,Date,Reviews,Ratings
0,"February 11, 2020",Recently my car needed to be serviced. It was a pleasant experience to bring my car in and get everything so quickly fixed. All at a reasonable price. ,5.0
1,"December 22, 2019",I have bought a Chevy three times and two of my children. It’s a nice place to check out some great cars or trucks. So stop on by and talk to Don.,5.0
2,"December 17, 2019","By far the best, most efficient, friendliest, and comfortable vehicle purchase I have experienced. My sales rep, Don, and his sales manager actually listened to me when I told them what I wanted, which is very rare in my past experiences purchasing vehicles. I have had experiences where it has taken days of back and forth negotiations when buying a vehicle, some to the point where I walked away and vowed to never visit that dealership again. Even the gentleman in the financing department was respectful of my time and had me in and out in a short amount of time. If anyone is looking to buy a new or used vehicle, at a dealership staffed with people who actually listen to you, pay attention to your needs and concerns, and respect your time. I would highly recommend ValMark Chevrolet in New Braunfels, TX. Regards, Tony Drabek",5.0
3,"November 03, 2019",Valmark Chevrolet is the best place for service. Everyone is friendly and the service is outstanding. I appreciate having a dealer I can trust to take care of me and my vehicle ,5.0
4,"October 30, 2019",Great experience  working with Don Nicolay. Anyone looking for a Chevy go to valmark and ask for Don Nicolay. He knows his product. Love my Silverado ,5.0
5,"October 23, 2019",Steve took great care of me. He had my part ordered ok’d by warranty and installed within 7 hours!! I’m so impressed. I have been using Gunn and had terrible experiences. So long story short Gunn lost out and y’all gained a loyal customer!,5.0
6,"October 17, 2019",I can't begin to tell you how pleasant our experience was at ValMark. We had been shopping for weeks for a specific vehicle with a specific budget. The folks at ValMark jumped in with great customer service and full transparency to help get us into our dream car. We'll be lifetime customers for sure! ,4.8
7,"October 05, 2019",Great service. Kept me updated on my car. Let me know as soon as it was done. Even ran it through the wash. Everyone was very helpful. Highly recommend. ,5.0
8,"September 20, 2019","2nd time I brought my Silverado in with a mechanical problem and 2nd time the service dept. correctly and quickly repaired! Andy Rubio was the service manager.

I had previously brought my Silverado to Sequin Chev service dept. and they said my bad vibration was hardly detectable and the jerking transmission shifts couldn't be repaired! I had seriously considered filing lemon law or trading my Chev for a Ford, costing me thousands! I brought the truck to Valmark and service manager knew exactly what the problems were and fixed both! Steve Hudson was the service manager.",5.0
9,"September 19, 2019","Andy was proactive, positive and helpful on my service experience. He also asked if I would like a courtesy car wash, on my last visit this was not even mentioned.",5.0
10,"September 13, 2019","I took my car in for a oil change. I ended up being quoted 1 1/2 hours. After 1 hour they were done. Not only did they change my oil, but I received a free car wash from them to. I highly recommend Valmark Chevrolet.",5.0
11,"September 10, 2019","
Kevin Smith in the Collision Repair center, was very friendly, professional, and responsive to all inquires.  Services exceeded our expectations and we would recommend ValMark for your automotive needs.   ",5.0
12,"August 22, 2019","My family had a great experience with Valmark. We will be customers for life if they continue to deliver as they did. Don(sales rep) was very patient in finding the right vehicles for each my wife and I. Kimo(finance) worked hard to get a deal that fit our budget and made sense. 

I would HIGHLY recommend Don and Kimo at Valmark in New Braunfels. ",5.0
13,"August 19, 2019","YOUR COMMENTS:   

Chris Young and Justin are top shelf when it comes to taking care of customers. Blaine Deleon was my service writer and is very competent at taking care of my vehicles.",5.0
14,"August 16, 2019",Everyone at Valmark was simply amazing to us!! We had a great buying experience once before and that’s why we returned! Thank you to all the employees that helped us and we will certainly be back again! I love my 2019 Silverado!!,5.0
15,"August 13, 2019","My recent purchase of a new Chevy Silverado was a great experience.  My salesman, Lane, listened to what I wanted, found the perfect vehicle, and made my buying experience a pleasant one.  Everyone at Valmark, including Kimo in the finance department and Steve Hudson in service ensured that I was well taken care of.",5.0
16,"August 12, 2019","We worked with Don Nicolay to buy new car.  He was very patient and knowledgeable about the vehicles and did not pressure us one bit.  On first day he had 2 cars pulled up and ready for us to look at and drive.   Few days later we had found some other options at lower prices and he was happy to work with us on competitive quotes.    Took us less than an hour to pick up car, sign papers, etc...   Such an easy going experience.  Would highly recommend both Don and Valmark Chevy.",5.0
17,"August 06, 2019",They went above and beyond for us! From the late hours to dropping our car late at night! I’m so pleased with how smooth everything went. ,5.0
18,"July 15, 2019",Robert was very nice and had my truck completed in no time at all. Customer service is #1 with ValMark. Have bought several trucks from them and have all my service done there.,5.0
19,"July 12, 2019","Wonderful place to purchase a Car or Pickup!! Very knowledgeable, extremely helpful in making sure you are happy with your purchase. No pressure to buy but also very competitive in price. Will definitely recommend this group!",5.0
20,"July 10, 2019","My check engine light came on one evening on my way home from church and the truck was idling very bad. I got to Valmark just after the service department opened and Steve helped me immediately. I didn't have an appointment, but he got my information and got me into a rental so I could get to work by 9 (I made it by 8:30)! I have been going to Valmark for over 10 years and will continue to go!",5.0
21,"June 02, 2019","I have been a Chevy owner for over 50 years. WE moved to Texas a year ago from New Jersey  with my              2017 Chevy Equinox.              i took it to ValMark Chevy for service and they did a good job. now we turn it in for a 2019 Equinox. Great Sales team got me out of my lease and into a new one   THANK,'s",5.0
22,"May 17, 2019",It was fast and friendly. We got all the help we needed to get out the door with confidence in the purchase we made. We will be repeat customers!,5.0
23,"May 08, 2019",I am always pleased with the service received in the service center at this dealership. They are by far the best GM dealer and service center around. They are always very prompt and efficient and I would highly recommend them. ,4.8
24,"May 06, 2019","The service staff at ValMark are the best. Super friendly, easy to talk to and keep you informed of everything that’s going on with your vehicle. Great group!!",4.8
25,"May 04, 2019",They knew what I was looking for and wasted no time in finding my new car. It only took about 24 hours to transfer my car. I had it the very next day.,5.0
26,"April 11, 2019",Valmark Chevrolet agreed to service my GMC as I had a issue with the dealership I bought it from. Robert was my Service Adviser. He answered all of my questions to my satisfaction so I felt confident with the work performed. I used the shuttle service to go to work. I believe I should have waited as they completed my truck quickly. I will definitely return to Valmark for my future service needs.,5.0
27,"April 08, 2019",I was greeted immediately & they set to work on my vehicle right away. Everyone was courteous & professional.  I've never had anything but good experiences at this dealership.,5.0
28,"April 06, 2019","From the moment I picked up my phone and called Valmark I have never regretted it. From Ray in Sales and, now, Johnny in Service I have been treated in a completely courteous, professional and friendly way.  
As long as Valmark continues to employ people such as these they will have my business.",5.0
29,"April 02, 2019",Everyone at the dealership was very friendly and helpful. They treat customers like family. I have purchased many new SUVs here. There service department is also excellent.,5.0
30,"April 01, 2019",I had a minor dent repaired on my tale gate. Kevin and Rita were very helpful with the process and the turnaround on the repair was exceptional. I highly recommend the dealership for service and or repairs.,5.0
31,"March 21, 2019","Truly went to just test drive & return later (expectation of long drawn out process)!  Troy.... Had a us at ""HELLO, how can I help you""? We left with a 2019 Beautiful Tahoe.",5.0
32,"March 19, 2019","We love visiting ValMark Chevrolet for service, even though we have to travel from San Antonio to do it.  They get us in and out quickly, and there is a comfortable waiting area, with clean restrooms, and even snacks if we decide to wait while service is being performed.",5.0
33,"March 17, 2019","The best part of my experience was that Ray listened to what I was looking for. He gave me the options they had available, then let me decide what I wanted! ",5.0
34,"March 09, 2019",Had a great experience with Val-mark Chevy went above and beyond Johnny and his group of technicians were informative and quick would highly recommend ,5.0
35,"March 08, 2019",All issues were taken care of in a timely manner and at a reasonable cost.  Appointment was scheduled without delay and attendant was very courteous and helpful.,5.0
36,"February 13, 2019",The car was professionally handled and cared for.  I have Z06 Corvette and am very particular about service.  They didn’t do any more work than what was necessary and all work was pre-approved.  ,4.8
37,"February 12, 2019",Service by appointment is so easy and convenient.   Made the appointment when I purchased the truck.  Showed up for appointment and was quickly taken care of.   ,5.0
38,"January 29, 2019",EXCELLANT...EV'THING WAS EXEMPLARY.  LON FRANK  PS WHAT MORE CAN I SAY???  LESS IS BEST!!!  AOK AOK AOK  I DISLIKE HAVING TO SAY MORE WHEN NOT NECESSARY!!!!,5.0
39,"January 24, 2019",Thanks Blaine!  Great customer service!  I love love love that the service department has late and weekend hours. Very happy with the service. I will definitely be a return customer ,5.0
40,"January 24, 2019","They were very helpful and did the service on time. Steve, in service, was friendly to us.  Help us with all that we needed.  There was coffee and pastries for us while we waited on our Traverse to be serviced.  Our car was dirty when we got there but when we were ready to leave it was clean.  Service beyond what we came in for.",5.0
41,"January 23, 2019","Called Chris Young and told him I might be interested in purchasing a new truck and just wanted to see what they had available.  He called me back a couple of days later and he told me he had the right truck for me to view.  He showed me the new 2019 High Country with the Deluxe Package in Havana Brown.  He understands what his customers want and he lets his customers make the decision to purchase.  No pressure, he let me think about it and decide on my own.  Easy purchase....",5.0
42,"January 06, 2019","ValMark's collision center turned a family disaster into a significantly positive experience.  Our vehicle appeared to have been totaled.  My insurance made a payout which I assumed was the amount I  would get for residual value.  When I called Rita in the collision center to ask what steps I needed to follow to dispose of the carcass of what was.left.  I was surprised (delighted) to discover that based on my approval signature given when it was left with her that she had already mobilized the collision center to rebuild my vehicle.  Then, over the next month, she did all the necessary work to keep me abreast of progress and recoup additional monies from my Insurance company.  When finally she called to inform me that my car was completed, I must admit I expected there to be issues.  The car has been that damaged!  Instead, it was like new.  I couldn't be happier.  Would I recommend?  Absolutely!",5.0
43,"January 06, 2019","I have been coming to Valmark for service since 2014. The Service team at Valmark is always  very friendly and it is always a pleasure to deal with Steve.  He is my favorite service guy!!
I also would like to mention Ephriam, he is very courtesy and sweet, when you need a ride he is the go to guy.
",4.8
44,"January 03, 2019",I’ve been using ValMark for over ten years. I’m always greeted by the team when I arrive with willingness to help. This visit was a routine oil change and tire rotation. They were quick and very welcoming. ,5.0
45,"January 02, 2019","Went in for replacement of driverside taillight assembly and oil and filter change for my 2014 Chevy Sonic Sedan, a 6 speed manual transmission little workhorse. Steve always takes good care of me, always goes above and beyond for this 71 year young great gramma each visit. I brag about Steve and the service at ValMark every chance I get. They're the best.",5.0
46,"December 27, 2018","I lease a GMC Yukon Denali that I started while living in Dallas. I have now moved to New Braunfels, Texas and requested my routine service, oil change and tire rotation from Valmark Chevrolet. I realize they are a GM Dealer but was not sure if they honored the GMC lease agreements. They said they would be pleased to manage my lease. Blaine Deleon was friendly, courteous and very accommodating. They are a great group. Thanks.",5.0
47,"December 21, 2018",Valmark Chevrolet goes above and beyond your expectations. Their customer service is absolutely exceptional. Chris and Maritza are your go to people. Thank you for such a wonderful experience. I’m loving my 2019 Chevrolet Traverse!!,5.0
48,"December 21, 2018","I have had my Chevrolet vehicles serviced at ValMark for the past three years and have been very happy with the service and quality of work. 
I have shopped there for a purchase of a vehicle and found the sales personnel very helpful. The manager is responsive and willing to help in selection and finance.",5.0
49,"December 21, 2018",Very easy doing business with these guys. Don was great! He stayed late to make sure all of my onstar services were transfered. Great job! Thanks,5.0
50,"December 18, 2018","Lane did a GREAT job! He was easy to work with and really listened to what we wanted, very refreshing. Mr. Couch was also wonderful.",5.0
51,"December 16, 2018",Mark was very helpful and showed us exactly what we were looking for.  Made our purchase quick and easy.  Was a real pleasure to buy our truck from ValMark Chevrolet,5.0
52,"December 12, 2018","All the years I have owned vehicles, I purchased my first brand new truck from Valmark. I couldn't have picked a better dealership than Valmark. They were very helpful and with me from beginning to end. Service center there is also great, Blain is so good with his explanations of service intervals and why they are important. Awesome group of people. ",5.0
53,"December 11, 2018","I made an appointment to fix a recall problem. When I arrived, they thought it was a drop off, but I requested that I would wait for the repair. Some communication differences when I made the appointment caused this minor problem. Johnny Bybee, at the service desk, was concerned about the length of my wait, but he did a terrific job and got my car out in 1 hour, which was way faster than we thought it would be. Hats off to Johnny for a great job!!!",5.0
54,"November 21, 2018","Maritza Baxley is such a sweet person and a pleasure to work with. She was very professional and helpful in the purchase of my new vehicle. She guided me every step of the way, ensuring I was comfortable with my purchase before leaving the dealership and even contacted me after to check on us. Chris Young, the General Sales Manager, introduced himself and spent some time talking with us. He was personable and you could tell he cared for his team, as well as his customers. Adam Couch was great. He explained everything thoroughly and always had a smile on his face. This whole team at ValMark seems more like a family and they treat their customers the same. I would not hesitate to recommend ValMark. Top Notch all around!",5.0
55,"October 08, 2018","We appreciate the service and sales with your organization. Special thank you to Johnny, service dept. and Chris Young, Sales manager. We will shop there again.",4.8
56,"October 08, 2018","Valmark Chevrolet did an excellent job repairing my car, twice!  Both times, it was returned spotless and looking just like new. If there is a third time, there is no doubt where I will take my car.  I highly recommend and trust this dealership and body shop.  They do a lot for our community and I like to do business with good people, whom I can completely trust and rely on for the best job possible. Thanks Valmark!  Awesome Job, Again. 

Marla N",5.0
57,"October 05, 2018",No hassle sales and great service department.  The entire staff at ValMark will treat you like family.  I wouldn't think of buying a Chevrolet product from any other dealer.,5.0
58,"October 04, 2018",ALWAYS TREATED FRIENDLY AND HONESTLY. I APPRECIATE THE CUSTOMER SERVICE AND BEING TREATED WELL EACH AND EVERY TIME I GO IN WHETHER THAT IS FOR SERVICE OR PURCHASE OF A NEW TRUCK.,5.0
59,"October 02, 2018",Grateful to have a local dealership that never fails to fit my needs. Jennifer always has great communication and tells me what to expect in terms of cost and wait time. ,5.0
60,"October 01, 2018",GO visit Justin Kelly in the service department. Justin has built a great team that will take care of you and your vehicle You will not be disappointed. ,5.0
61,"September 30, 2018",I feel like we are dealing with family and not a dealership. We have purchased our last 3 truck with Valmark and will not go anywhere else.,5.0
62,"September 28, 2018",Have been a long time customer of VALMARK. I hav bought and service several new vehicles here. Totally happy with the quality of service and sales. Sales mgr CHRIS and sales person maritza have always gone the extra mile to satisfy our needs. I have never left there unsatisfied.,5.0
63,"September 27, 2018","Great People, great service, and great follow-up after the sale! I believe in service in SERVICE EXCELLENCE, being a retired GM Plant Manager, I recommend this Group. Sales Excellence, Mr. Chris Young, and Service Excellence Justin Kelley. My kind of Dealer Excellence!!!",5.0
