,Date,Reviews,Ratings
0,"March 18, 2020",It was a pleasant experience. From the moment we started surfing the website until we drove off in our new car it was a nice experience.,5.0
1,"March 17, 2020","I would like to thank Kevin “Car Cowboy” Hancock for his great customer service in helping us purchase our new 2018 Chevrolet Equinox. We absolutely love it!! Thanks Orr Chevrolet in Texarkana, Texas.",5.0
2,"January 29, 2020",Great folks to deal with.no pressure or fast talking salesmen. Third time I have bought from Orr and have not been disappointed with their great customer service!,5.0
3,"December 24, 2019","Everyone is very friendly and professional. My questions were answered on a customer level instead of business car talk level, that I wouldn't understand. ",4.0
4,"December 14, 2019",These are great guys to work with on buy a truck. They made it very easy to make a deal and help me in every way possible.,5.0
5,"December 11, 2019",Leasing a new Blazer was quick and easy!  I was able to get most of the information on the phone before getting to the store. EVERYONE is so nice there. ,5.0
6,"November 30, 2019","I would highly recommend Brandon - no pressure, professional and knowledgeable. He gave us the best deal and took good care of us. He went over and beyond to make sure we got the best deal. This was the best car buying experience we ever had. Very satisfied!",5.0
7,"October 09, 2019",Everyone was great and did an awesome job to ensure I was well taken care of. The folks at Orr Chevrolet are totally awesome and stand way above any other dealership I have worked with.,5.0
8,"October 05, 2019",This is the 4th I have purchased from Orr and the second from Lee very very helpful worked with me on the amount I could spend I am very satisfied with the overall experience it was a CRV ,4.2
9,"October 04, 2019","Jerry Stepp is an awesome salesman. He works hard to get the best deal, for what the customer wants. All of the people who worked with me, on the sale were awesome. Mr. Matlock was one of them also. I do no remember the man's name who worked the money out with the banks, but he was awesome too!
",5.0
10,"September 21, 2019",Very helpful and friendly staff. Everyone went out of their way to assist us in our new truck purchase. They even drove an hour west to have a new 5th wheel hitch installed. Larry even called a couple of days later to make sure everything was ok. Never had that happen before. A really great bunch of people.,5.0
11,"September 04, 2019","It was really nice for the help of orr to let me get a car to ride n it n I'm very happy with my service that they gave me
",4.8
12,"May 25, 2019",We drove 3 hours to see a car and had several conversations before we arrived. There was items on the car that were not discovered until we arrived. We spoke with Casey the sales manager for the lot we were on. He and all of his salesmen sprung into action. They swapped three screens until it was perfect!  We also had some confusion on the price but Casey agreed to honor what we had viewed on the internet. Everything we had concerns with they would   stop  everything and fix it. Financing and paperwork were also super easy! We will be back to buy our next car from them!,4.8
13,"May 15, 2019","They worked hard to make the payments where I needed them to be. They were friendly, helpful, and courteous. I recommend them to everyone. They were great.",5.0
14,"January 21, 2019","The sales and service staff at Orr will work hard to win your business. After they have won you over, they keep working hard to be your dealer. You can trust the sales people and the service people to tell you the right thing to do. Last 4 vehicles purchased from Orr Chevrolet.",5.0
15,"January 06, 2019",I'm happy with my purchase however I didn't get the original keys to the vehicle.. not pleased with that. Need keys..... Orginal ones,4.0
16,"November 26, 2018","I have bought numerous cars/SUVS from Orr Chevrolet over the years. We had bought a 2018 Traverse back in July. Late September my daughter was driving it and had a wreck with someone that ran a stop sign. While waiting & waiting for their insurance to contact us about a rental, I contacted ORR to see if they rent vehicles. They said YES, Come on over! We did & they handed us a key to a Traverse that they would bill the other insurance for. Once we settled on the totaled Traverse, they found us a New Traverse that was exactly what we wanted. Mike Anderson & Joel Orr are both awesome to work with and take great care of us. I will only purchase from ORR CHEVROLET!",5.0
17,"November 06, 2018"," I took our 2016 Chevy 2500HD, which was still under the original manufacturer warranty, to Orr Automotive Chevy dealership in Texarkana TX. The truck was having an issue with the steering. I was dealing with Kelli Calvit in the service department. After waiting 20 minutes to find out what the issue was, Kelli came to the waiting room. She told me that whatever the issue is they cannot look at it because the torsion bars have been adjusted when a level kit was installed. I told her we never installed or had installed a level kit and we were the only owners. She said there was definitely a level kit installed. She tells me that an alignment might or might not fix the problem. I was extremely confused but told her to go ahead and do the alignment. While waiting for them to do the alignment, I called the dealership where we purchased our truck from to find out why there was a level kit installed on a brand new truck. They said that he would check on it and call me back. In the meantime, I told Kelli to hold off on the alignment. She told me that she could not because they already started. It had only been a few minutes. I explained that I wanted to talk to the dealership we purchased it from before putting any money into the truck that might not even be the issue. She tells me that if the other dealership is at fault that they will pay for the alignment. I told her that did not make sense because an alignment is considered maintenance so there is no reason for them to cover that cost. She  agreed but told me that she cannot stop the alignment from getting done. I got a call from the other dealership a few minutes later. He said he had the paperwork in front of him and there was no level kit installed on the truck. I was so confused but I paid for the alignment and left. I got about 5 miles down the road and realized that the alignment did not help. In fact, the steering wheel was now not aligned with the tires and the steering seemed worse. My husband called Kelli back to tell her that he wanted them to make it right. She told him that they will not touch the truck because of the torsion bars being adjusted. She told him that she also would not refund our money. 
My husband knew that Kelli had no idea what she was talking about and wanted a second opinion. He called Coleman Automotive in New Boston TX. He spoke with Ralph. We made an appointment for Monday. This required an extra day off and about 50 miles roundtrip. After inspecting the truck, they informed me that there is no level kit and that nobody has adjusted the torsion bars. He said that the alignment was also off and that is what was causing the issue with the steering. He could not find any other issues. I left and the alignment done on this day seems to have fixed the issue.
The receipt/invoice that shows the work done by Orr Automotive also shows our truck as having over 49,000 miles. It had just over 33,000 miles when we took it in. 
We should never had to of taken our truck to another dealership to resolve a simple issue. We shouldn't have had to pay for two alignments. I do not understand how this dealership can make up such lies and still be in business. ",1.0
18,"July 19, 2018","My experience was quick and painless. I told The salesman, Mike Anderson,  what I wanted. He made it happen.  Mike has followed up with me. I am completely satisfied. ",5.0
19,"July 11, 2018","My salesman, Lee Lybarger , was a great help to buy a car! He was very helpful in what I was looking for and knowledgeable about the car I was buying!. He and Mgr. David Yarberry , made the process of negotiations for buying a car very easy . If I had any questions, they would text me in a very short time or with a phone car!! Service is what sells and that is exactly what you will get from these two salesmen. I was not going to trade my vehicle in,  I almost always get more when I sell it, but I got a very good  quote and I took it!!  I am very pleased with my experience at Orr and would recommend  them  to all my friends! A very stressless experience !!",5.0
20,"May 31, 2018",I found a truck that meet my needs and wants within 30 mins on the lot and the dealer (Ralph) even showed me some others that were within my price rang and they stayed in contact with to see if I had got my down payment ready and when I came back to buy the truck it took less then a hour and half to get it all taken care,4.2
21,"April 28, 2018",The Dealer Dell Jr. was excellent he listened to what I wanted and stayed in my price range I would definitely recommend him to all my friends.,5.0
22,"April 17, 2018","I had a hassle free experience buying a used vehicle from Orr Chevrolet. The salesman was very friendly and helpful, and the vehicle was exactly what I was looking for. Decades of experience at Orr makes buying what you want a smooth and painless car-buying event.",5.0
23,"March 01, 2018",The staff was very friendly. Terry was an amazing sales man he was able to get me in the car I wanted for the price I needed. ,5.0
24,"December 16, 2017","Great customer service . Friendly, informative, and made the process very simple. Made me feel very comfortable. I love my new car. This was my first car purchase and I was so nervous. The staff made it so much easier.",5.0
