,Date,Reviews,Ratings
0,"November 02, 2019","Stopped by yesterday to look at a few Corvettes (Never looked at one before).  Dealt with Nathan (Good kid-not the problem here).  Asked if they honored Costco or USAA and the answer was ""yes"".  I showed both my cards and Nathan went to the back to get me a quote.  Came back with a quote that was approx 3500 less than MSRP and suggested I wait a week to check and see if there are any Manufacturers rebates which usually come at the beginning of every month. (I thought that was reasonable).  I thank Nathan, go home and check Bayways website and find the EXACT CAR (double checked VIN #)  for $5500 less than they quoted me not an hour before.  I plan on calling Costco and USAA so they know who what's going on over there.  Again, I don't think this had anything to do with Nathan but whoever calls the shots in the back.  STAY AWAY from this place!",1.0
1,"October 30, 2018",Beware of this unscrupulous dealership. They pulled a bait and switch on young college students. Financed a car for someone who was unemployed with a finance company known for not verifying application information. Never do business with this place unless you want to be taken on the deal. Worst car buying experience ever. One star is too much for this dealership. They take advantage of inexperienced college students. Does it get any lower? GM says they signed the papers. How many of us do without knowing the fine print especially when mislead by verbal sales pitch. If you can’t trust a business with your young college kid than shouldn’t be trusted to do business with anyone. The vehicle was way over priced and the finance rate ridiculous. They played some young kids. Buyer beware. Shame on Bayway Chevrolet. ,1.0
2,"January 26, 2018",Eric Sullivan is outstanding in seeing that my vehicle is serviced in a quick and professional manner. Eric always meets us in the drive when he sees us drive in.  Thanks for the great customer service Eric!!!!,5.0
3,"April 29, 2017","They were very helpful in preparing the quote, taking into account my offers. Pablo was easy to work with and answered all my questions. The car was very clean and filled with gas. A good experience, and I usually hate dealing with car salesmen.",4.3
4,"April 06, 2017",The Service Department was outstanding in seeing that the repairs was done completely and as promise. Eric Sullivan and the entire Department kept me up today on the status my vehicle.,5.0
5,"April 05, 2017",I have purchased 6 trucks from Chuck.He knows what I like so I am in and out in less that two hours.He always has a great selection so I always get what I what.,5.0
6,"April 04, 2017",Everyone was very friendly from the time I walked through the door until the moment I left. I would definitely recommend everyone to work with Garner. He was an excellent sales person. ,5.0
7,"April 04, 2017","I have been to several dealerships where I was very unsatisfied for multiple reasons, but I was very impressed with the service at Strickland. My sales guys name is dy and I would recommend him to anyone wanting to purchase a vehicle. Two 👍👍 up. Thanks Guys!!",5.0
8,"April 04, 2017",Thanks to Dy Chhoeun for helping us pick a vehicle that was within our budget. He went out of his way to make sure we were satisfied with everything. Wouldn't have went anywhere else. Def recommend this place and of course the salesman that he'll. One of the fastest process I've ever dealt with. I will be back if I decide to buy another vehicle. Thanks for the awesome service Dy and Strickland ,5.0
9,"April 03, 2017","Our experience at Strickland Chevrolet was a dream come true. Everyone did their best to make sure we drove away with our new corvette. We would recommend our family and friends to make their next purchase at Strickland Chervrolet. Special thanks to Chuck, Johnny, and Bobby! ",5.0
10,"April 03, 2017",This was the first time that I had a NO HASSELE experience at a dealer. My sales person Brenda Sullivan was AWESOME!!! The whole process from finding a car to finance was painless.:) everyone was GREAT!!!!,4.6
11,"April 02, 2017","I had an amazing experience at this dealership with Terry Scott, Johnny Martinez, and Tiana Covington. They were all very helpful and nice. Terry Scott was really nice and worked hard to get me approved to get my new car. I liked that when we got to the dealership and was about to go look at the cars that I was interested in. Terry Scott came up to us and greeted us and asked us what car we were looking at we told him and came back with the keys to the car. Once he told us that we were getting the car he kept us up to date on the whole process. Johnny Martinez he was really nice and quick with all the paper work. They both were very patient with my 2 year old son that was running all over the place while we were there. Tiana Covington she was really nice and went over everything about my car and how to work some stuff with this car like onstar and how to set up things for my auto start. They were all really nice and was a great experience I have ever had at a dealership. I would recommend going to Strickland Chevrolet if you are looking for a new/used car. ",5.0
12,"April 01, 2017",I was looking for a truck for about 2 years at a couple of dealer ships terry Scott gave me the best customer service out of all the dealers I went to,3.8
13,"April 01, 2017","The entire process was simple for the customer. I liked how the salesman didn't force me to a certain. He gave me the information that I asked for on the vehicle right there. There wasnt no let's go in and talk a about it. The dealership also didn't have any included packages. The price was the price, simple. And the details of the truck were broken down to the T.",5.0
14,"March 31, 2017","We showed up late to look at a car we loved. The whole team Seth, Chris, and, Trevor went above and beyond to get a fair price on the new car, trade value, and hit our monthly payment goal. We drove from jersey village and would do it again. ",5.0
