,Date,Reviews,Ratings
0,"February 02, 2017",My wife and I just bought a 2015 Chevy Traverse from Jay at Yazell Chevrolet and he made the experience very pleasant.  No problems at all.  Very friendly dealership  Ray and Sharon Thompson,5.0
1,"March 27, 2016",After arriving I knew I should of gone to Longview instead of a place that has gilmeritis.....over an hour plus wait for an inspection sticker......ridiculous.  ,1.8
2,"November 24, 2015","I was looking for a particular car with certain extras and Richard came through for me.  Great service, friendly personnel.  Easy transaction with local lender.  ",5.0
3,"November 01, 2015",I had a great experience buying my Chevy Cruze! Kurt Hill was so friendly and helpful! He got everything set up quickly while I was there so he could explain everything to me! He even sent me home with a full tank of gas. It was the smoothest car buying experience I've ever had.,5.0
4,"July 16, 2015",Went to Yazell and Kurt .HIll the Finance Manager did everything from the beginning. Showing the car and then all the paperwork. He knows his stuff. Went in late in the evening close to closing came back the next day to sign papers. He found the best rates. Signed papers and left. Appreciate all your help Kurt. Enjoyed meeting you. ,5.0
5,"April 30, 2015","This is our third truck purchased for business. Fast and fair service, great trade in deals. I always feel that I am treated honestly and with respect, with our business needs in mind. Service department can't be beat.",5.0
6,"April 23, 2015","I purchased a 2014 Chevrolet Captiva.  The car was used but certainly looked new.  The sales person, Kurt Hill was very knowledgeable, and really knew his business. There no ""haggling"" over the price as Kurt had already calculated what his bottom line was.  He made me a very fair deal.  I will recommend this dealership to my friends.",5.0
7,"November 25, 2014","This will be my 4th Chevy Truck to buy at Yazell Chevrolet.  We always deal with Jay Yazell and it is always a great experience.  He is very easy to deal with and very honest with us and give us the best deal possible on our trade  in and on the new truck.  I have all of my oil changes done by them and any problems I may have I take it to Ron Yazell,  We even bought our tires there for our last Chevy truck.  ",5.0
8,"May 23, 2014",drove honda and toyota for 21 yrs. 2 weeks ago bought 2012 cruze and I am very impressed.the car is amazing.i got the Eco model and the gas mileage is better than the honda civic i had.cant imagine what the cruze will get on interstate.all i can say is chevy has stepped up their game for sure!!!Staff at Yazell very helpful and courteous also.Helped out anyway possible!!,5.0
9,"May 05, 2014","My wife and I stopped in to look at some new trucks, and was greeted by a very polite and professional sales person, once we decided which vehicle we wanted to buy, it only took about 30 minutes to complete the transaction. everyone that we met was very polite and helpful in full- filling our goals.

",5.0
10,"April 15, 2014","Great friendly service by all employee's at dealership.  Will recommend to all my friends. Love my new red Traverse!!  Looking forward to road trips in the near future.
",5.0
11,"March 18, 2014",My wife and I went car shopping for a new car and went to several dealerships and found that Yazell had the car we was looking for. Jay Yazell was very helpful in helping us understand everything. Kurt Hill helped do all the paperwork and explained it where we could underst5and what everything was that he was telling us. Met several others there and everyone was real polite and helpful,5.0
12,"December 22, 2013",Lanny was very friendly without being a pushy salesman and Misty was thorough and very friendly also.  Both were professional. I would highly recommend this dealership!,4.8
13,"October 25, 2013",Very friendly dealership--all employees.  Always available to answer questions. Very willing to fix any problems you have. This is our 4th vehichle to purchase from this dealer.,5.0
14,"September 16, 2013","Wow! These guys & girls did an amazing job! They saved me a huge chunk of change, dealt with my insurance, ( so i didnt have to ) fixed my truck, ( engine & body ) best of all it was, like always, a pleasure dealing w them. ???????? they do so well that they were recommended by another mechanic & his daughter! Thanx everyone!",5.0
15,"July 17, 2013","I would like to take a moment to praise Yazell Chevrolet in general as well as Jay Yazell and Misty Martin and Ron Yazell in particular. Yesterday, 15 July, 2013, I visited Yazell Chevrolet about a problem with my 2006 Chevrolet Silverado. As usual, Ron was on top of my request and attending to my needs. During the process, I visited with Jay Yazell (I will only buy my vehicles through Yazell Chevrolet because of its top-notch employees and their high level of honesty and integrity), and on a fluke, I asked Jay to work up a sale for me (just as an exercise at that juncture).

He did so and took me out to see the one vehicle that he had on his lot which matched my interests, allowing me to drive the vehicle. Mind you, that this was done simply in the interest of camaraderie since at that point he had no idea that I was doing anything but wasting his time. When I returned from the drive, we visited, and during that visit I asked Jay some very pointed questions about whether it was time for me to trade my old 2006 in on a new silverado. Some of the answers were those that I did not want to hear, but Jay laid it on the line, giving me the necessary data that I needed to evaluate my prospective decision. He did not try to Hard-sell me, he did not misrepresent any information, and he did not try to be vague or ambiguous in his responses-- all of these I hugely appreciated.

When I finally decided to trade, he introduced me to Misty Martin and allowed her to handle the paperwork, and did she ever do so; I have never seen such coordinated and courteous efforts in many, many years. She was efficient, organized, helpful, and courteous. She went above and beyond her call of duty in assisting a customer.

All in all, this aura of professionalism and compassionate interaction is characteristic of the entire staff at Yazell Chevrolet; it does not matter whether they ""know"" you or not-- a stranger gets the same level of professionalism and courtesy as an old friend. Moreover, you can take whatever you are told by anyone at this business to the bank-- it will be absolutely true and unadulterated.

I sincerely appreciate everyone at Yazell Chevrolet, and they embody a work ethic that has otherwise long since departed the business world in general.",5.0
