,Date,Reviews,Ratings
0,"June 26, 2020","I have bought 6 pickups from Henna over the past 35 years.  I keep my trucks a long time and pass them down to my son.  I do both city and ranch driving but not much hauling.of a trailer...but some in the past. 

There is something nice about getting good service; so I will continue buying trucks from Henna.

",4.6
1,"June 24, 2020",Buddy Brown was such a pleasure to work with.  He found me just the right car that I was wanting.  The entire process was smooth and hassle free.  ,5.0
2,"June 23, 2020","There was an initial issue with the extended warranty company, but Randall took care of it. He kept us informed as to the status of the repair (Air Conditioner) all the way to completion. We are pleased with the overall experience.",5.0
3,"June 23, 2020",I bought a used car from Henna used section. It couldn’t have been easier. I was able to make most arrangements via text. There was no pressure at all to make a purchase and they offered me fair market value for my trade-in.  If they have the car you want on the lot its the place to go.,5.0
4,"June 23, 2020","I had a great experience at henna. I was tired of dealing with sharkie sales men who all they care about is that big commission. Calvin made my process pretty easy. The old dude is pretty chill. I called him up and spoke with him about a truck I was interested in. When I got there, he greeted me, handed keys off to me and let me go my way to test drive it. Personally, I liked his style, he wasn’t all over me, never felt any pressure to buy, nor did he tell me a thousand stories about how he’s had similar vehicle and then last a long time like many other sales men. He was straight up, here’s the truck, this is how much it goes for, and I bought it. I also got 2k more for my trade in than Leif Jonson ford offered me. ",5.0
5,"June 12, 2020","Contacted Henna re a shifting/lock in park situation. Randall Hilder provided the loaner, and handled the service problem in a professional and prompt manner He is a definite asset to Chevrolet & Henna. Car invloved is an 2018 Traverse.  Thanks to one and all. ",5.0
6,"June 08, 2020","In less than 75 feet the guy moving my car from the service lane to the bay for an oil change stalled it. Not once but twice....rather disappointing to hear and see your car buck and stop on the service drive.  Some simple driving lessons should be implemented before these employees are allowed to drive a customers car. Damage done, nope, but employee quality and customer care are damaged. I will not get my oil changes done there again. 
Also, at this same service when they brought my car to me they did not remove the paper floor mat nor the plastic protector covering the steering wheel. ( Carona virus protection,  they put it on to protect both the employee and the customer, that's good. But leaving it in the car for the customer to remove was not good ) I know, a rather insignificant item, but hey, after playing bucking bronco with my car it kind of capped off the day.",4.0
7,"June 06, 2020","No hassle, went above and beyond to accommodate my needs. After my possible COVID-19 exposure Henna held the truck for Me for 2 weeks.",5.0
8,"May 28, 2020","HENNA is a great place.  I love the people.  Felix, Joe, Randall, Mark, Dale, Doug and Alvaro always do a great job.  Alos, the ladies in the front are awesome...",5.0
9,"May 27, 2020","Friendly reception when I called for appointment. Service Rep was very friendly and helpful. I waited in the comfortable waiting room for the expected four hours, during which I was updated several times by Service Rep Randall. Price was very satisfactory. I was very pleased with this experience.",5.0
10,"May 27, 2020","After looking for a couple of weeks at various dealerships in Central Texas, I located the truck I was looking for at Henna. Called them about 30 minutes from closing and Diana was able to take my info and get approved within minutes where I spent hours or days at other dealerships to just get a yes or no. Was able to set up a time to come look at the truck in person and drove home in it that day. Great overall experience.",5.0
11,"May 26, 2020",Very clean and respectful sales staff. They worked with me to get what I wanted. Buddy Brown was my salesman and did an excellent job as a outstanding salesman,5.0
12,"May 26, 2020",Calvin of Henna Chevorlet was very helpful. He went out of his way to get the vehicle we wanted. The finance manager was also very helpful. Would recommend Henna to anyone wanting a good car buying experience.,5.0
13,"May 26, 2020","Enjoyed my experience buying a new truck here. Process was streamlined,upfront, and quick. I'll come back when I need another vehicle in the future too. ",5.0
14,"May 26, 2020","Initial encounter with employee was pressured and confusing. After details about appointment were acknowledged  no further Instruction was given other than to driver of shuttle will leave in 5 mins and consent for the shuttle.  More information came with what seems to be a manager coming to my side due to me standing there confused as another chevy owner stood there with more questions about their repair service, before even attempting to get into the shuttle. Manager texts is great for accessibility of car updates. Also great for to remind about problems forgetting to state in initial appointment setup. There were moments where managers did not come through with phone calls scheduled through texts. I waited until the next day to text first for the reason of no updates, no reply was made that morning. Called henna and asked for updates, educated to text manager. Informed employee about the actions taken that morning they said they would remind the manager to give me an update about the repairs of my car. Couple of hours later I text manager again due to confusion on what’s going on. Replied through text 2 hours later, followed by a call 30 mins after text. Since Manager called, updates were more clear understood the reason for longevity of repairs.  3 days pass (2 business days ) day of pickup I was  uninformed about shuttle pick up times. Had to pay for a Uber to go pick up my car due to lack of communication about transportation of shuttle times. Car repairs were successfully done, just a bumpy experience to the end.  (Also maybe stress was high for employees due to COVID)",4.0
15,"May 18, 2020","I ALWAYS GO TO HENNA CHEVROLET FOR MY MAINTENANCE SERVICE THEY ARE ALWAYS THERE TO HELP YOU OUT IF THERE SOMETHING ELSE WRONG WITH THE TRUCK THEY ASK YOU IF THEY CAN FIX THE PROBLEM MOST TIME I'LL SAY YES I CAN TRUST THEMWITH MY TRUCK ONCE AGAIN THANK YOU VERY MUCH FOR BEEN KEPT UP THE GOOD WORK 

",5.0
16,"May 12, 2020","I made an appointment and they acknowledged that, they got me in and out in under 45 minutes! I know there are some issues with my car that we’re not mentioned, like the nail in my tire but I won’t count that against them. As it was just an oil change and he did say I needed new tires. All in all it was a painless experience. ",5.0
17,"May 08, 2020","After several recalls, and a couple of major warranty issues with my 2015 Silverado, I wouldn't take it anywhere else ! These folks are awesome right down to the courtesy shuttle driver !",5.0
18,"May 02, 2020","The sales staff was great, they went above and beyond to make a great deal and get me into my new 2500 HD. They have a great sales team. They take great strides to take care of their customers.",5.0
19,"April 30, 2020",Unbelievable sales department!!  Tony E. Is by far the go to guy at this dealership!! His patience and effort earn him an A+ in my book,5.0
20,"April 22, 2020",Great service and glad they replace a tire and new wipers oil changed and tire change. Did a great job and was Fast and will be back,5.0
21,"April 15, 2020","I had an issue with my car, the gas filler cover would not open.
I called Henna and made an appointment for the car to be dropped off and then my wife drove me back home. Within an hour of arriving home the service department called saying that they had diagnosed the problem and that they had the part in stock.
Got the car fixed and back within a couple of hours after dropping it off. 
In this trying time everyone was cheerful and kind. Something that I was not expecting, figured that everyone would be OK but the whole staff was absolutely cheerful...best experience I have had at the dealership, which has always been good.
Got to give all there a shout out for their kindness and service. ell done people! 
",5.0
22,"April 15, 2020","Was taken very good care of even in these trouble times we are all living it thanks be be there for your customer 👍👍 be safe
",5.0
23,"April 14, 2020","My husband has purchased many trucks with Henna but puts so many miles on them he always wants to upgrade to new ones. I've purchased a car, a blazer and now we just bought the Chevy TRAX Premier which we absolutely LOVE. It broke my heart to trade in my Blazer because it was an excellent vehicle but my husband always decides on upgrades: he really likes new models. We get all our service done at Henna and could not be any happier!",5.0
24,"April 06, 2020",My truck is about 18 years old and not really spent that much in repair over the years. This was a little expensive but boy did they do a good job and absolutely the easiest and nicest folks to do business with. Randall kept me updated and informed the whole time and he even had the truck delivered to my house when it was done. This is the place to take your Chevy for service. Ask for Randall when you drive in. ,5.0
25,"April 03, 2020","My purchase of a 2020 Chevrolet Equinox was a very pleasant buying experience from making the deal, determining the trade-in value and closing with the delivery of the vehicle. Most business, as far as I am concerned, is about ""making promises and keeping promises to the customer"" and Henna Chevrolet has mastered this better than any other dealer in the area. ",5.0
26,"April 02, 2020",I just recently purchased my 2020 Equinox there at Henna Chevrolet.  My experience was by far top notch.  I highly recommend this dealership.  Great quality.,5.0
27,"April 02, 2020","So, I went to a few dealers that were asking for 5 to 7k down. Given I just discharged out of a chapter 7 BK I wasn't surprised. I needed to get a bigger family car. I met Alan over there who wasn't just able to get me in just one car but two in the same day. 
I gave my wife the brand new 2020 and I took the used 2013. It was an amazing experience, the guy answered every question I had. Oh yeah, did I mention NO MONEY DOWN ON BOTH CARS??? 

Henna rocks! They really helped us out and I honestly can't thank Alan and the Henna team enough. 

Thanks for the help guys ",5.0
28,"April 02, 2020","Another super job!!! The day our city went under ""Shelter at Home"" orders my AC went our . I dropped it off the next day and picked it up the following day all fixed up. Never felt like I was at risk dropping it off or picking it up",5.0
29,"April 02, 2020","Amazing service!! After hearing the word ""NO"" for like 6 Months. Henna Chevrolet said YES!! All employees made me feel important! Thank you so much for everything!",5.0
30,"April 02, 2020",Went through 4 Chevrolet dealers prior to finding Henna.  Service was awesome!!!! No hidden fees or run around games.  We will be a repeat customer and Henna will be highly recommended to family and friends.,5.0
31,"March 31, 2020","From placing my order to delivering my vehicle, it was pleasure working with Carter Hendricks. He was very courteous and knowledgeable. In fact, everyone at this dealership is professional and dedicated to customer service. This is where I buy all my cars and all my parts.",5.0
32,"March 20, 2020","Recently purchased a Silverado Z71 TrailBoss at Henna. Tony Elfrez is the man! Reach out to him if you're looking, rest assured he'll look after your best interest and will ensure a smooth, easy shopping experience. Also like to give kudos to Robby Garcia in finance, he secured the best deal out there, great work and extremely knowledgeable. Need to acknowledge Richard Helpard who did the delivery and walked me through all the bells and whistles. Great overall experience and would highly recommend.   ",5.0
33,"March 20, 2020","I had a safety issue that needed repair, and service appointments were not available for weeks, but as always, when I called Wayne, he helped me get the needed repair, and although I needed to leave the car a few days, it heloed so much.  This 2018 model is the third I've bought at Henna, and bet the next one will be from Henna too.  Kudos too to Mark who supervises Service dept,, who had let Wayne know to reach out. Thanks guys!! March 16, 2020.  Outstanding!  Linda",5.0
34,"March 17, 2020","Recently purchased a Chevy Equinox at Henna Chevrolet with Buddy. Henna made this purchase efficient and I was very satisfied with the price. Thanks Again, Shawn ",5.0
35,"March 06, 2020","Thank you so much Tony for your time and getting me in my new car-Traverse you made it a great experience. Robbie - thank you too, for making the finalizing of our documents a breeze, answering all our questions and making sure we left you office with confidence. Also Richard was so helpful showing all the gadgets in my Traverse and setting up my Onstar. ALL involved were very friendly and showed that they cared about my new car experience. I will always refer my friends to  and family to TONY and Henna! :)",5.0
36,"March 03, 2020","We thank you Randall for always working us in, I brought our traverse in you looked at found out what was wrong with it. You took of us. You are always there for us. Mark Wilson you also always take care of us even when you are really busy. 
Thanks 
Donna",5.0
37,"March 02, 2020","Thank you Dale at Henna service you guys were able to take care of my vehicle issue on a Saturday. I know you guys are very busy, but were able to work me in. It was very quick and the communication was excellent. I have been to other dealerships for other service needs and have not had this great of an experience. Thanks.",5.0
38,"February 29, 2020",I worked with Josh (Sales) and Dean (Finance). They made the process so smooth. My situation was not ideal with negative equity and going through a divorce and they took what I wanted and made it happen from a distance since I am not local! I would definitely recommend giving Henna Chevrolet a shot if you are in the market for a new vehicle! I love my new 2020 Equinox! ,5.0
39,"February 29, 2020","Incredibly easy and fast, they got us into two new cars in two days. Definitely recommend going to see the team at Henna Chevrolet for your new vehicle.",5.0
40,"February 28, 2020",Amazing service. Diana and her team got me in a car with in just a few hours. Very helpful and answered any questions I had ,5.0
41,"February 28, 2020",Great service! The sales guys are so helpful and made sure to answer all my questions.. Alan took the time to explain everything to me . I super satisfied with my new truck.,5.0
42,"February 24, 2020","I had an appointment at Henna to schedule my Silverado for a recall inspection on break pedal effort.  Even though The appointment was confirmed in email, the appointment did not appear on the service schedule.  Wayne Andrews saved the day and added me to the schedule and the inspection was performed.  ",5.0
43,"February 20, 2020","My first vehicle from Henna, I can definitely say that is was a great experience!!! Tony and the finance manager made it painless and everything ran smooth just the way they said it would.  thanks!",5.0
44,"February 15, 2020","Do not fill out the GM customer survey online if you have something honest or negative to say about service, or you may be punished, as I was. The last time I completed the GM post service survey I was sitting in my vehicle in the Henna service drive waiting on the fourth round of an oil consumption test. After I submitted the survey I walked into the service waiting area and was immediately challenged about my (thought it was private?) survey wording by Mark the Service Manager. Like challenged and chewed on loudly for ten minutes in front of staff, customers, god and technicians as they passed by. Although I tried to explain my review, Mark challenged every aspect and dared me to identify the service staff member who mixed up the transmission dip stick with the engine oil dipstick. I didn't see the gentleman at any of the service writer desks, but did describe him to Mark the Service Manager, and he called me a liar, said there was no one on his staff by that description. Then his associate, trying to calm him down, said softly the man’s name who did fit that description (another older Mark). Things got quieter after that moment of truth intervened.  I didn't expect to be harassed in person by the Henna Service Manager three minutes after completing an online survey. The incident was inappropriate, a customer with thinner skin would have been humiliated. But as for me, it was just gross unprofessionalism on the Service Manager’s part and I will move my loyalty and dollars where civility is the business model. I do worry about weaker souls who encounter Mark’s wrath. Also, if you have read this far and do not want to be publicly ostracized by Henna service staff, DO NOT RESPOND TO THE CHEVY ONLINE SURVEY FOR THE SERVICE DEPARTMENT LEST YOU BE CHASTENED BY SERVICE STAFF. Ridiculous!",1.8
45,"February 14, 2020","Like a lot of vehicle shoppers, I dreaded the process and had delayed looking for a new vehicle as long as possible. Before I entered the dealership; I was greeted by Mr. Buddy Brown; salesman. He was reassuring and accomodating and guided me through the  the entiire process of purchasing my new vehicle. Dispelling all my past fears that I had about the process. Thanks Buddy and team!!",5.0
46,"February 14, 2020",Marcos in sales and John in finance were great to work with. Marcos knew exactly what truck I had called about when I got there and John had me approved and out the door in no time. Great experience start to finish. ,5.0
47,"February 14, 2020",Mark and the service staff are always professional and courteous. They always make me feel as if I were a close friend or family member. The same applies the the cashiers. I recommend Henna service to everyone. ,5.0
48,"February 04, 2020","Second time in to get the problem fixed.  While my experience with Henna Chevrolet is good, my experience with Chevrolet vehicles have NOT been so good.  First Chevy new Tahoo and transmission went out at 3,100 miles and again at 61,000 miles (3 transmissions).  Second Chevy Avalanche and Master Brake Control Module went out.  Third vehicle another Avalanche and another Master Brake Control Module went out at over $1,100.  Also cannot get Chevrolet to fix safety recall on airbags.  Fourth vehicle Chevy Traverse and so far so good.  However I do not believe in Chevy's dependability awards.",3.2
49,"February 04, 2020","The first car I bought from Henna was in 1967...slipped away to other brands and dealers but never matched the service...came back and have bought 12 more cars.  Sales, service, parts, body work is unmatched...last week I called to get an appointment to service my Malibu and as soon as I gave my name Wayne said oh yes silver Malibu and friend of Tim Warren...never got that from other dealers.",5.0
50,"February 04, 2020",Took my truck in for a recall plus service and was told it would take about 1.5 hours it took about 45 min. Was very pleased the amount of time it took and was able to get to my appointment on time in another town. ,5.0
51,"February 03, 2020",Able to work with the most challenging credit issues.  Everyone said no but these people said we can and did. I will go back when I’m ready for my next vehicle. Even the finance guy was so nice. Thank you for putting me at ease.,5.0
52,"January 30, 2020",Worked with Josh for my new car buying process. Was not sure what model car I wanted just knew it would be a Chevy. Josh was patient and listened to what I wanted in a new car.  Josh was knowledgeable about the traverse and blazer. I will recommend Henna and Josh to family and friends..,5.0
53,"January 30, 2020","I traded-in my Bolt for the newer model, very thing was very smooth. We handled all the numbers and the drive-out amount via text, and I just went in there to get the paperwork done and swap the car.
I appreciated they give you $500 on top of carmax offer for trade-in's.",4.8
54,"January 30, 2020","Henna Chevrolet continues to be the best dealership in Austin. Always courteous and vigilant to the customer’s needs, I am happy to recommend both their sales and service. There is a reason they have been around for many years.",5.0
55,"January 30, 2020","Josh was my sales contact. He was very professional and helped through the entire process. I was looking all over the country for a 2020 Bolt EV Premier. Several dealerships sold the car right out from under me to an employee. They had at least one in several locations, but after talking for a few minutes, and learning the vehicle was available, I would start the process. Then out of the blue, a sales manager or a parts manager would ""purchase"" the vehicle.

I flew into Austin and Josh stayed in contact with me the entire trip. He had the vehicle fully charged and ready for my road trip back to Arkansas. He even had a map printed out with the locations and directions for al the necessary charging stops along the way.

When I am ready to purchase again, I will definitely use Henna. Even if my local dealerships have better deals,  I would prefer to have great service and travel close to 500 miles to buy from Henna than to be treated badly and lied to by local dealerships.",5.0
56,"January 28, 2020",I just called to get an estimate on having a transmission filter and all the solenoids replaced. The contact repair guy said he couldn't figure it out. He then proceeded to tell me that they were not taking any transmission work in anyhow because they were six weeks behind. You're a dealer who doesn't have any control of your repair business. So disappointing. What a major fail! ,1.0
57,"January 27, 2020",My RayBan sunglasses were stolen from my vehicle when I got an oil change. I was very disheartened! I didnt think to take them out of my middle console. I would hate to have that same person every service my car again!,1.0
58,"January 21, 2020",Service adviser quickly diagnosed the issue and set expectations on turn around.  Received an automated text that allowed me to check status at anytime.  Was happy with the service that I received.,5.0
59,"January 20, 2020","Bad as usual. I typically avoid this dealership for most maintenance. The employees usually seemed bother by you asking for assistance. The guy that came out to the express lane to ask what service I needed wasn’t friendly. I wasn’t aware my oil change expired, I was under the impression it was a free one a year. My 30k maintenance check was $390, went to Christian brothers and was quoted a $ amount at almost half of that for the same amount of work. Last time when I got my oil change the dealership dented in my hub caps on two tires. This time I get my oil change and tires rotated. Now my car is pulling left when I drive it. Will just avoid the dealership at all costs due to faulty work and unfriendly employees. ",1.0
60,"January 19, 2020",Worked with the best sales person here at Henna.  He listened to what I wanted and where I needed my monthly payment to be at. No haggling on price and gave me what I wanted on trade in.  ,5.0
