,Date,Reviews,Ratings
0,"October 02, 2019","The experience was great, mr parris was the best salesman I could’ve asked for! The process was simple and straightforward, made me feel very comfortable.",5.0
1,"September 21, 2019","I first began using this dealership to service my Tahoe. I had such quick and friendly service, I then knew this was the place to purchase my next new vehicle. I found the car I loved and Ronnie Parris was quick and eager to work out all details with me on my trade-in and new purchase. He maximized my rebate savings and trade-in value. I feel I got a good deal. I was in and out with my purchase in a lot shorter time than any other dealership I have purchased. I love my new Traverse!",5.0
2,"August 23, 2019","Enjoyed the no hassle purchasing experience and the complete open explanation for each question that I had and the reason and openness concerning the selling price and value of my trade in.  In the past I did not look forward to the purchasing experience of buying a new car because of the ""dog and pony"" show you had to experience.  What a refreshing experience dealing with Ronnie and the entire Jay Hodge team. ",5.0
3,"August 22, 2019","My experience with Jay Hodge, Bill Owens and Ronnie Parris was a great one.  It was a smooth, no hassle time.  Ronnie had it all looked over and ready for me to choose a color and sign my paperwork by the time I arrived after work.  I would recommend Jay Hodge and Ronnie to anyone looking to buy a vehicle.  Ronnie and the whole staff were very friendly.  It was like being around family.  He made it an extremely easy process.  Donna was awesome as well, helping me get set up with On Star and linking my phone to my car.  I purchased a 2019 Chevrolet Trax and I love it.  Thank you guys for being so courtesy and kind.  I may just have to come for a visit to say hi...  Thank you again,

Leslie Cannon",5.0
4,"August 17, 2019",Our salesperson Ronnie Parris took wonderful care of us and made us feel like we had known him for a long time. The customer service was wonderful and everyone was very friendly. I would not hesitate to recommend them and will use them again.,5.0
5,"August 02, 2019","The combination of great products, great prices, and great people are far beyond excellent at this Dealership.  The entire experience at this dealership is awesome.  ",5.0
6,"July 29, 2019",Very friendly staff. Very laid back experience. My salesperson was Laura and she was very attentive and helpful in my new truck search. I will not hesitate to shop there again. ,5.0
7,"July 25, 2019",Good experience with Lora Mosley my sales person she worked extremely hard to find the truck I was looking for. Would definitely buy from again. ,4.8
8,"July 17, 2019","I stopped by to look at my dream car a Chevy Blazer with all the bells and whistles and then some I didn't know about. Tyler was awesome and worked to get the payments to where I could afford to get the top of the line car that I thought I could dream about. Years ago I had a Chevy Blazer and eventually traded it in, but always regretted it. I'm now back where I belong. A happy Chevy owner. Thanks to a great team at Jay Hodge!",5.0
9,"July 05, 2019","As a person who has always feared having to go to a dealership and buy a vehicle, this place helped me fell confident about purchasing my new SUV. Every person this is eager to help you when you walk in. I really appreciated all who helping me as quick as possible.  I highly recommend if your in the area to go check them out.",5.0
10,"May 29, 2019","This was the shortest time ever at a car dealership. It was fast, stress free, friendliest dealership I have been to. Service was great and really efficient in buying a new car. Thank you!",5.0
11,"May 28, 2019","The process was simple and everything from the initial call to preliminary numbers was done online. Once I got to the dealership, they stuck with what they quoted and all I was left to do was sign and drive away. A big thanks to Laura for all you help. Fair and honest will bring me back. Not a typical dealership that I have dealt with in the past. ",5.0
12,"May 28, 2019","I have had the best and most courteous service and I really appreciate my salesman, Just good people down home folks, i was really reluctant at first because of alot of small town prices are higher but not Jay Hodge and they do everything they can to get you in what you are wanting. I have bought 2 so far and im very happy and will continue to do business here as long as they stay like they are",5.0
13,"May 09, 2019",Laura went beyond and got us into the car we wanted. Fast and easy. Definitely going back there. Was in and out in a timely matter . ,4.6
14,"May 08, 2019","Went in to ""just look""  Picked out vehicle. Test drove it.  Came back & bought it.  Was a great experience.  No pressure.  Told them the payment I wanted to keep it around.  They worked very hard to keep it as close as possible.  Everybody was great!! 
Thank you Doug Chambers!!!
Will definitely recommend.

Bobbie Dove",5.0
15,"April 23, 2019",We went in to get my husband a new truck. Great people. No pressure. We walked out with two new vehicles. Would go back for another. ,5.0
16,"April 23, 2019",Laura and everyone else at Jay Hodge were so nice and accommodating I felt like I was family. I was not pressured to buy a vehicle. I would highly recommend Jay Hodge.,5.0
17,"April 03, 2019","Top notch folks.  I could not have asked for a better buying experience.  They worked hard to find the vehicle we wanted and were a pleasure to deal with.  If you're in the market for a new or used vehicle, start at Jay Hodge, you'll be proud you did.",5.0
18,"February 23, 2019","My husband called Jay Hodge Chevrolet to let them know that I was interested in trading vehicles and told them what I liked. They called me within a short time and asked if I would like to come down and look at what they had that they thought would work for me. I ask if I could come down later that day and they said perfect! I went in and they treated me like a guest.  They showed me what they had offered to let me drive it, showed me all the features, answered all my questions, and I picked up the car that evening!  The salesman, Jeff, spent time showing me features, Donna stayed late helping me set up my on-star and everyone was super great! They made me feel so welcome! I would definitely recommend them to my friends!",5.0
19,"February 19, 2019",The whole team is so thoughtful and caring. They treat their customers like family! I would definitely recommend that my friends and family visit Jay Hodge Chevrolet! ,4.6
20,"February 17, 2019",The sale process was quick and easy. They got the truck I wanted for the right price. Jeff was a great salesman to work with.,5.0
