,Date,Reviews,Ratings
0,"June 27, 2020","Horrible experience with this dealership. I looked at a 2012 Chevy Tahoe and was told to come look at it. With me being a disabled veteran I needed a bigger vehicle for my neck and back problems. Ben Camerrero was my sales person and we set up an appointment at 1600 and while my wife and I were viewing the vehicle he drove another customer around during our appointment. I thought that was very unprofessional. The vehicle had a big dent on the side and I asked would they take money off the sales price and his manager said $300 since that’s what Gunn collision would charge to fix it. I guess he thought I was young and uneducated but I’m not. I then asked if I could take it by to get a quote for the dent repair and he stated that they would get the dent fixed before we buy it. The next day he called and said they wouldn’t fix the dent because it would cost $1700 and they wouldn’t make a profit. I thought customer satisfaction was top priority at Gunn Chevrolet but this encounter was different. I then told Ben Camerrero that I felt the website should have stated that the dent was on the side and he told me no dealership would put that on their website. Huge lie because most websites will say, “Sold As Is” but Gunn Chevrolet didn’t do such a thing which to me is fraud and wasted my time driving all the way out there. Nevertheless this disabled veteran will not be going back, I’ll stick with CarMax.",1.0
1,"June 24, 2020","This is my family’s 7th purchase from Gunn Chevrolet in 7 years. So, you know the service is GREAT to keep us coming back.",5.0
2,"June 18, 2020","Jeff was super helpful. I will use the service dept again. Thank you to Mike Baird for setting the appt. up 
Thank you to the service dept...",5.0
3,"June 16, 2020",Great service!! Roger & Mattie were amazing  and helpful! I love the fact that the salespeople work on salary and not commission. Have already referred Gunn Chevrolet to three people. ,5.0
4,"June 10, 2020",The dealership was very nice and the representatives were professional and patient. I am glad I went to this dealership and am confident that if I ever need anything else I could go to them for help.,5.0
5,"June 05, 2020",I always receive good service at a fair price. Everyone I deal with is courteous and helpful. I don't think anyone could ask for more than this!  ,5.0
6,"June 03, 2020","Dear Sir / Ma’am,
I dropped my wife’s 2015 Chevrolet Corvette in the afternoon with Michael Brown in the Service department.  I told Michael that I wanted the oil changed with synthetic, and to service a check engine light.  I gave Michael the name of my service warrenty company, and the contract number, and Michael wrote down my warrenty information. The following day, Michael called me to say the check engine light meant I had a faulty transmission cable or solenoid. Michael said it would take a few days for the part to arrive. A few days later, Michael called me to say my wife’s Corvette was repaired and ready for pick up. I asked Michael if my wife and I could pick up the Corvette on Saturday because my wife would be working late on Thursday and Friday. Michael said that wouldn’t be a problem. When my wife and I picked up the Corvette on Saturday, I noticed on the receipt that my balance was zero.  I asked the service representative if the balance was correct, and he said “yes, you don’t owe anything.”  I was expecting to at least pay for the oil change, but I wasn’t even charged for that.  I think it’s because I had to wait over a week for the transmission part to arrive. Nevertheless, I was very happy that I wasn’t charged for the oil change.
Respectfully,
David Antonio Leal",5.0
7,"May 26, 2020",Chris Brooks and Rob Couser made the process great! I told Chris exactly what I wanted and he had it there waiting for me to test drive. Also he explained the vehicle in depth and on its performance. He didn’t pressure me on my decision. Chris and Rob made the process a breeze from start to finish! They were fantastic! ,5.0
8,"May 26, 2020",Gunn Chevrolet made me a deal I couldn’t refuse - and Cesar was awesome! Whole staff is great there and good inventory on the entire lot. I went for a specific truck but had a backup plan because they had great options. 2nd vehicle I’ve bought from this dealership. ,5.0
9,"May 21, 2020","Just had a simple oil change. Called before hand to ensure that a competitor price would be honored. Was told “yes” and to see Santos when I arrive.
When I dropped it off Santos was asking me why I didn’t go to the competitor for the oil change. They don’t honor competitors prices. Has to get supervisor approval?!?  I called prior to avoid all of this. ",3.0
10,"May 19, 2020","Great service despite the COVID-19 conditions. I was greeted politely and my car taken in ahead of scheduled time.  Whole event took less than 45 minutes.  Car was returned cleaned, service agent explained what was done in detail, and walked me through the payment process.  Good service as always.",5.0
11,"May 14, 2020",I really enjoyed the experience I had at Gunn Chevrolet. The salesman Cesar was excellent. He got the vehicle I wanted to buy. Thank you Gunn for my new ride. I couldn’t do it without Cesar.,5.0
12,"May 11, 2020",The service person was good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good ,5.0
13,"May 05, 2020","Quick and efficient service with the customer as the focal point. I received 2 of the 3 requested needs for my vehicle only because the location in South Texas is not a high demand for engine block heater element, go figure!  I did request a wash, which I would have gladly paid for but alas my truck is still as dirty as it was when I requested the wash.",4.0
