,Date,Reviews,Ratings
0,"June 16, 2020","MILITARY AND VETERANS BEWARE OF THIS DEALERSHIP BECAUSE THEY DO NOT CARE ABOUT VETERANS.  

1.Had a quote off of the USAA car buying service.  Took it in with me and they manipulated the figures on the purchase agreement  and screwed me out of $1578.00 by selling me the car at MSRP, rather than the quoted price on the deal.  The additional Dealer adds were OK, but disregarded the option agreement completely to get the extra money!!
2. Mark Montz the Finance person completely lied by misrepresenting the facts of a (so called extended ) warranty, he sold me and then delayed getting the policy facts to me and filed the loan with USAA rather than waiting as I asked him to do until he got me the facts.  The cost of the warranty was $2,275.00.  Then after me putting down $10K on the vehicle the dealership drug their feet about cancelling the misrepresented warranty and then did not want to inform me about getting my money back so they would not double dip by getting the money again on the loan.
3. The General Manager Adam Scott has never returned my phone calls or e-mails asking questions about the sale and warranty so I had to go in personally to try and talk with him about the problems, and when he realized I was there left the property to keep from talking with me. I have never met or talked to any Manager, even though they swear in their form letters about the sale to treat you like part of the Chevrolet Family if you purchase a car from them.   Would hate to be part of their family.
4. This dealership seems that their business goals are to squeeze every penny out of you that they can, no matter what devious things they have to do to get it.
5.Bought the car on 5/15/2020, and the loan has still not funded because of screw ups on the loan paperwork as of today 6/19/2020.   Mark Montz was more interested in selling me a bogus warranty than getting the paperwork correct.
6.  Wanted me to come there to give them my signatures to fix the title paperwork so I held my signature hostage from them until they refunded my $2,275.00.  They even wanted to send someone to my house to get the signature, and I told them to stick it, that they could send the paperwork to me or forget it.  
7.  Found out that these shenanigans are not infrequent.  There have treated other buyers just as bad.  Probably Veterans they are doing it to!
8.The General Manager Adam Scott does not care about the veterans or customers and how his representatives at his dealership treats them , as I am still waiting on him to call me and talk.   
9.  I have been concerned about driving the car, because until it is titled in my name what would they try and do to me if I had an accident.  I have  fully insured the vehicle, but this dealership is so corrupt that I do not have any trust left for them.
10.  I am 67 years old, and have bought several cars from dealers and this is the most disgusting and frustrating car buying experience  I or my wife have been through.  If you are smart stay away from them and go somewhere else to purchase a Chevrolet.  YOU WILL BE GLAD YOU DID!!!!",1.0
1,"April 08, 2020","I went to Freedom Chevrolet with the full intention of purchasing a brand new truck from this dealership. The salesman who was helping me was named Jarren. I looked at two different trucks when I went in there on Saturday but they just seemed to be too expensive and out of my budget. I was willing to go over numbers but Jarren was being very pushy with the whole ""If I get this monthly payment, can you sign here so I can earn your business today."" He also stated, ""I just want to make sure you are 100% committed to us as we are to you."" It sounded like they didn't want to help me if I wouldn't buy the truck that day, BUT I originally told him when I got there that I would be getting information today and I would do some research and then hopefully make a purchase that same week. Also, he acted like he didn't want to waste his time...AS IF I WASN'T THE ONLY CUSTOMER IN THE DEALERSHIP. I thought maybe I could make it work, but again I told him that I would do some research and get back in contact with him in a couple days. Two days later, I reached out with an offer on a different and less expensive truck than before and told him that if he could make it happen then I would come in that day and buy the truck. I specifically told him on the phone and through text that I did not want to come in if they couldn't make it work due to a medical condition and the COVID-19 outbreak. I was extremely clear with my offer and request. He texted me shortly after and asked if I could come in. I asked if everything was good and he got the okay from his manager, Charles. I asked twice because, again, I did not want to come in if not due to my medical condition and risk of getting the virus. He told me everything was good to go and to come in to complete the paperwork. I drove in to the dealership, which is about 25 minutes away from my house. Sam, a different salesman helped me out with the paperwork, and he had no idea about my offer or what was going on. Sam seemed genuine and was more of a help than anyone. He asked Jarren and Charles what was going on then they both came over to go over the numbers. Charles said, ""I thought as long as you were good with $550/month then you would buy."" Funny thing is, I never once went over monthly payments on this truck with them because I did all that math at home. The paper they pulled out was nothing like the offer I gave and it was way over priced for a vehicle that was not worth what they were trying to sell it at. Again, Jarren said, ""we have a great deal in front of us and we can get you in the truck today."" I showed Sam the text messages from Jarren showing he agreed to my offer and asked me to come in. At this point, I was extremely upset that I wasted my time, risked my health, and came in because he had agreed to the deal. It was all a lie and a game to them. They do not have the best interest of the consumer in mind. Everyone was extremely dishonest and shady. They probably thought because I'm only 24 and want to buy a new truck..they could take advantage of me. Everything about that felt fake. I will never go back to freedom chevy and I recommend nobody else do business there. They obviously lack integrity there.

There's a reason why they only have 2 out of 5 stars on their reviews.  ",1.0
2,"March 06, 2020","My sales experience was pleasant, and my salesman seemed to go above and beyond to earn our business. However, my experience after the sale has left a lot to be desired. I found out after purchasing the car that there were two important features  (related to charging the vehicle) that were verbally described to me as being included in my vehicle purchase, and after purchasing the vehicle when I looked into how to use these features (I’m new to EVs) I discovered that they were not actually included in my particular vehicle. Shame on me for trusting the professionals to give me accurate information about the vehicle I was purchasing. So when I reached out regarding the absence of these features, the initial response I received was an apology for the misinformation and a commitment to make amends. However, after that I was met with almost 2 months of radio silence as I reached out multiple times to follow up about the issue. I ultimately contacted the general manager, who not only refused to take any responsibility, but he actually had the audacity to blame another dealership for their mistake, and then to imply that I had perhaps fabricated the whole issue after the sale. 
Meanwhile, in the service department, I had to take my new car in to get a faulty USB port repaired, and it took 3 months for them to repair the USB port. They blamed GM for sending them the wrong part (more than once) and thus delaying the process, but sometime in the middle of the 3 month process I heard the technician refer to my vehicle as a ""hybrid"" and a ""Volt,"" and when I got my keys back they were labeled ""Chevy Volt"" (it's a Bolt EV), so I have reason to suspect that they didn't know what kind of car they were working on and were likely ordering parts for the wrong type of vehicle. To top it off, when I got my vehicle back (after 3 months), I got it home only to realize that there was vapor barrier hanging out of the passenger door panel and so we had to bring the car back there yet again to correctly install the interior door panel. 
So overall, at this point I do not actually recommend any part of this dealership if you truly want the “lifetime customer service experience” that they sell you when you purchase a vehicle. If you are looking for well-informed, honest professionals who will provide an excellent and timely customer service experience even *after* they’ve sold you the vehicle... you may need to look somewhere else. ",1.6
3,"December 24, 2019","Total waste of time.  Had a 9:45 AM appointment for a 2 year service maintenance and after the truck sat for two hours without any attention, I departed.  Of course I got all the typical excuses from the service advisor but when he said it typically runs 1 hour and 45 minutes I asked him why do they set appointments.  I was asking for an oil change and tire rotation.  I spoke to the service manger who had I don’t care attitude.  When I purchased the truck two years ago the sales person did not recommend their service department....I thought I would give them a try but wasted two hours.  Also when I asked the service advisor for more information about the brake recall letter I received from zGM he acted like he did not know anything about it and suggested I bring in the letter. After he scanned my VIN on his iPad, he came back and said yes there was a software update that would take 45 minutes for each of the two updates.  I lost confidence in their skill in doing the right thing to my truck and will never step foot in this dealership again....how do they stay in business....I was one of three in the customer lounge waiting....poorly ran operation.",1.0
4,"December 22, 2019","I had a very frustrating experience with one of the service advisors.  I spoke with Brandi over the phone to schedule a diagnostic check for the battery on my 2017 Camaro.  It had been sluggish to start a couple of times and I couldn’t reach it to check it myself.  I dropped it off on Oct 30 at 5:30pm and left it overnight for an appointment the next day at 7am.  When I got there I gave the keys to Brandi and asked her to also have the tech check an issue I had with the steering.  I waited all day on Oct 31 and Brandi finally called at 3:15pm to tell me that no one had even looked at my car yet.  I asked her if she was expecting me to leave it overnight and she said it’s looking like that’s the case.  And when I asked if I could get a rental she said none were available.  She had waited all day to call me to let me know no one was going to get to it because they were backed up from the previous day, when she could have warned me when I dropped it off or called me first thing the next morning to give me an opportunity to arrange for transportation.  But what’s even more absurd is that it’s a 15 min job to do the diagnostic at the very least.  I never expected to have to leave my car overnight for TWO NIGHTS for a battery diagnostic & steering check.  I guess it was my mistake not to just bring it in & wait for it, but I don’t have that luxury with my schedule.  So over the phone I told Brandi to forget it, I’ll take it elsewhere to get it checked and I went to the dealership to pick it up just after 5pm.  To add insult to injury, when I walked in to the service dept I stood around for a good 5-10 minutes while Brandi spoke with not one but two techs and didn’t even acknowledge me...standing IN FRONT OF HER. RUDE!!! Another tech finally spoke up & Brandi gave him my keys & told him I didn’t have any work done & I was ready to go...she still didn’t say one word to me. I was so offended.  I wasn’t the one who dropped the ball & I had a right to be frustrated...she didn’t have the right to completely ignore me while I was standing right in front of her. I even tried contacting the service manager Rick Lawver via email TWICE and absolutely no response. Do NOT waste your time going to this incompetent service dept",1.0
5,"August 13, 2019",Horrible experience.. They are going to waste your time. Customer service was unprofessional at the moment I walked in the dealership. Unknown to the staff after signing and requesting assistance. Ignored.,1.0
6,"July 31, 2019","I was looking for a good car. I noticed online that they had the car that I was looking for a Dodge Challenger 2018 model. I ended up popping in unannounced on my contact Jacob Glass. This man was very friendly and didn't dive right into the what I call typical dealership questions about myself my family my work etc etc. After some small talk he brought the car around and we went for a drive I was thoroughly impressed with the car. I asked him a lot of questions and he answered just about all of them that he could. We went back and sat down crunch some numbers but couldn't come up with an agreement. (Bummer) We smiled and shook hands and I Departed. I would recommend this dealership to anyone and above all Mr. Glass. He was very professional with me and I enjoyed our laughter and love for cars. He's an excellent partner for this dealership.
Bob Moore",4.4
7,"July 05, 2019","I scheduled to have service done to my car. Once I arrived at the dealership and was told that two services that I requested could not be done, because they were backed up and tomorrow they have a event going on. This should have been explained to me before I got there and not upon arrival. Service Advisor was nice and respect, but would have want better communicate before arriving with expectations.",4.4
8,"May 16, 2019",My friend and I came in to see if she could get into a Silverado and we were greeted by Greg Held. He asked a few questions before he made a point of insulting her previous car buying decision. This is not a strong arm technique but rather a sure fire way to lose business. He flat out ignored everything we were saying. I have never felt more disrespected at a car dealership before. I had no problem walking out on him without warning. Greg needs a refresher on customer service skills before taking another customer. ,1.0
9,"April 23, 2019","Will never take vehicle to this dealership again.  I am anxiously waiting for  the survey to arrive in mail from General Motors,  Just plain awful customer service.",1.8
