,Date,Reviews,Ratings
0,"March 10, 2020",We never had a problem with Benny Boyd Dealership.  Benny Boyd is a super company.  I honestly recommend to anybody to buy vehicles at Benny Boyd.  Thanks to Steve Ross for being a very good salesman.,5.0
1,"April 17, 2019",Top notch. Never had a problem with them. I would recommend it to anyone that wants to take their vehicles for service.  They wont disappoint you. Trust me on that. #YellowTeam#Michael,5.0
2,"June 27, 2018",I shopped other Dodge/Chrysler dealerships and Benny Boyd was the best. Everyone was very friendly and helpful from the technician who opened the door for me through reception and the sales team and their manager. I've already recommended the dealership to a couple of friends.   ,5.0
3,"April 02, 2018",Benny Boyd’s customer service is the best! My salesman Chase took excellent care of me on my new purchase and on previous purchases. Awesome ,5.0
4,"February 11, 2018","Preston worked very hard to make the deal we wanted on our 2818 Ram.  I am a very stubborn and grouchy old man an very hard to please he did an outstanding job in getting the deal we wanted.  In fact all the people in sales an finance deserve atta boy.
Thank you
David & Arlene",5.0
5,"January 14, 2018","We went to Benny Boyd Lampasas after looking for a suv we desired. Had no problems and they treat you like family there!! Thank you Josh, Danny, and Michael...ya were awesome! Guess next time will save time and go straight to you guys. Thank you  all....",5.0
6,"January 09, 2018",From when I walked in to the end everyone was professional and made the deal work even with all the headaches and confusion I am happy with the experience.,5.0
7,"November 22, 2017","This is my second purchase in two years and would highly recommend Benny Boyd in Lampasas. Chase Eckert was my salesman, he was very knowledgeable about the truck and didn't try and upsale me on a fancier truck. I told them what I wanted and the trades that I have with a budget in mind. Very happy customer. ",5.0
8,"November 16, 2017",A great non pushy vehicle dealership.  Enjoyed the whole process.  The salesman was cooperative with what I needed without trying to close the sale until I was ready.,5.0
9,"November 01, 2017","We have purchased 4 new vehicles from Benny Boyd.  The latest was a 2017 Dodge 1500 diesel pick up.  My husband is totally satisfied with the truck and the service.  He keeps going back and back and back!  Must be something there that's working..
",5.0
10,"October 23, 2017",Outstanding costumer service. Listened carefully to my expectations and met them. Very friendly and relaxing environment. Steve very professional from beginning and even after purchase sent a thank you text giving his contact information and his availability.  ,5.0
11,"October 20, 2017","Felt welcome upon arrival and felt appreciated as a customer when leaving (with a new truck, by the way).  Professional, knowledgeable, fair, empathetic and friendly salesman.  Steve Ross rocks.",5.0
12,"September 27, 2017",The experience was so friendly.I would recommend this dealership to any one.They went out of there way to make you feel comfortable and welcome.,5.0
13,"September 12, 2017",Bought my 2-door Rubi 5-6 mos ago from Steve Ross and Danny. I was 100% pleased. I decided that I wanted a 4-door Rubi and gave Steve repeat business! These guys rock at BB,5.0
14,"August 02, 2017",I can be happy enough to express my satisfaction I have received with BB-Lampasas. Steve Ross in specific is not just great salesman but is so helpful. He does not run you around. Actually nobody there does. They are real and true!  The Service department is just as good!!  I'm always in good hands with Benny Boyd - Lampasas!!  ,5.0
15,"July 26, 2017","Great people, easy to work with, felt good about buying my truck with them. The sales lady and management were very helpful in finding the vehicle that met my needs. Finance dept also found a great loan.",5.0
16,"June 23, 2017",Very good service and professionalism. Staff worked very hard to get the truck I wanted. I couldn't be happier with the people at Benny Boyd. ,5.0
17,"May 15, 2017",I want to thank everyone that works at Benny Boyd . For a fast and easy Jeep Purchase. I would kindly refer them to friends and family . Once again thank you .,5.0
18,"May 11, 2017",The guys down at Benny Boyd made it easy and painless in finding me at car. Micheal Ramsey is the Man!! Great deals for everyone just tell them what you want and let them work their magic,5.0
19,"May 09, 2017","I work out of town, my time is precious. I called Michael Ramsey at Benny Boyd's of Lampasas and stated what I was looking for, how much my budget was, when I was going to purchase and the limited time frame that I had. Michael made it happen effortlessly.",5.0
20,"May 01, 2017","We dealt with Mike Ramsey,  he was great.  Asked what my husband and I each wanted and got us the truck that had everything!  I highly recommend Mike if you're looking for a ride.  Great price on our new truck and our trade-in. ",5.0
21,"April 23, 2017","Go check out the dealership! My experience went smooth as gravy on potatoes. A family friend, Trish, refered us to Michael Ramsey for finding the perfect truck. We walked in (unexpected) and out same day with a brand new beautiful Ram (money in our pockets still) and boy am I loving this new ride!! Thank you all for a fantastic truck buying experience, and a special thank you to Michael for being a great salesman!!! 
-Rachel and Josh 
Sorry I forgot the names of the team members who helped :(",5.0
22,"April 19, 2017","we e traded our 2014 with 2017 dodge grand caravan and we are excited to have this van.

the upgrades are appreciated and we have been extremely pleased with the whole team.

our friends will know where we got the van and we will recommend to always have you in mind, too.
",4.8
23,"April 10, 2017",Awesome people!! Helped me get my daddy in a truck he deserved! Very very happy with the customer service Mr. Ramsey gave us! Love them!,5.0
24,"April 04, 2017",I drove in from Brownwood to purchase my 2017 Rebel. I had talked to Madison on the phone for preliminary details after shopping online. The website is great and the dealership made it easy to complete my purchase. I would recommend Benny Boyd in a heartbeat. Can't beat dealing with a small town group of people. ,5.0
25,"April 04, 2017",Very friendly and worked with me to get the Ram truck I wanted at the price I wanted. I wont buy from any other dealer else.,5.0
26,"March 30, 2017",Benny Boyd is the best dealership and Steve Ross is so knowledgeable and thoughtful!!!  He really went out of his way to help me and make the buying experience pleasant and quick!!!,5.0
27,"March 27, 2017","Fantastic experience.  Chase Eckert is very informed with all aspects of the truck buying experience.  Very helpful and very professional.  Chase made our experience great.  Ethical, fast and a great time.  Would definitely recommend Chase to help anyone with their car/truck buying service.",5.0
