,Date,Reviews,Ratings
0,"August 10, 2019",Ram are sales person and eddy finance help my wife and I get into vehicles we wanted.. thanks guy for everything. Highly recommended to anybody in the market for a new/used vehicle..,5.0
1,"August 10, 2019",Great customer service. Really friendly environment. Salesman Fernando Mercado knew what he was doing and helped us find exactly the car we were looking for.,5.0
2,"August 09, 2019","Neto, Ricky and Eddy were amazing with helping me find a better vehicle . I struggled for two years with my Jeep renegade and they were finally able to help me when others couldn’t.",4.4
3,"May 07, 2019"," Our salesman was knowledgable, courteous, and pleasant. Mr. Bedolla made it easy to like the vehicle he was showing us. No pressure to buy at all.",5.0
4,"May 06, 2019",The workers were very courtesy and welcoming. I was attended  fast. They tried to make a deal with you. They  were very helpful on getting me my Jeep. First time ever buying a Jeep. I wouldn’t change anything in the dealership. Very clean and nice. businesses.,5.0
5,"April 23, 2019",I spend all day at the dealer but hey it's a long process and it's worth it at the end. The team was amazing. They got me at the monthly payment I wanted they went out of their way to got my vehicle from their other lot. At the end I was satisfied with both the team and my vehicle. My salesman was Jacob hill. He was very helpful and he pushed until we made an agreement. ,5.0
6,"April 14, 2019","Awesome Team Work! Thanks, Humberto Leal sales consultan for his patience. I thought it was not going to be possible, but they made it happened",5.0
7,"April 02, 2019",I came in knowing exactly what I wanted. My dealer was great and was able to assist me to perfection. I was nervous since it was my first car but based on his performance I was able to get my dream car. 2019 Dodge Charger,5.0
8,"March 27, 2019","Our sales man was very helpful. They didnt have the car we wanted, so they looked for it and got it for us. He is been very attentive since we purchased the vehicle. ",4.6
9,"March 11, 2019",My wife and i when to see if we would get approved to a jeep we talk to Ramiro he did everything to help us  get us our new jeep even on the down payment it really low very. Excellent sales person. I do recomend him for  anybody who's looking to buy a truck or car.😉,5.0
10,"March 05, 2019",Thanks Meme for helping me get the truck for my dad. You’re the best man. Whenever you want a truck or a car ask for him at Laredo dodge Chrysler Jeep ram,5.0
11,"February 21, 2019","Customer service was exceptional, Ramiro Veiz, Lelo and Eric were very professional and were able to answer all my concerns. Walked out extremely satisfied and very pleased with my new Jeep. ",5.0
12,"February 02, 2019","Awesome staff and great service! My salesman Oziel Cavazos took good care of us and understood our needs. He worked diligently with us and was extremely patient. Once we decided on the vehicle, the finance part was quick and easy to understand. Overall it was a great experience!",5.0
13,"January 26, 2019",Andy Bedolla made our car buying process easy and fast! He helped us get the car we wanted and the financial part as well. very good customer service!!,5.0
14,"December 29, 2018","The staff were aiming to please. They showed us the vehicle we wanted.  They actually found what we were asking for and they were able to obtain it from out of town. The attentiveness of the staff, the supervisor and genersl manager went out and beyond their services to pleae us
 Thank you so much. We are very happy with Dodge.  We have obtained 5 vehicles in the past 20 yrs. ",5.0
15,"November 29, 2018","The used car sales mngr. was horrible! He had issues wih the finance company and called me up forcing me to resolve issues that I was unaware of, he demanded I go look for my co-signer at their workplace, when I said I wouldn’t do that , he turned even more rude and told me “ what’s it going to be? You go look for your friend or I send the vehicle to get picked up?” Who speaks to their customers like that!? All of a sudden he lost respect ?🏽 and didn’t hesitate to speak to me in an undermining tone sarcastic tone. In the end he was wrong issues were resolved , but he still called back @ 7pm and said. “ well I haven’t heard anything so bring me my vehicle “
I told him he was mistaken, and he continued with” well since I haven’t heard anything Im sending my people to pick up the vehicle, what’s you’re address?” 
I told him I didn’t have time for his errors , and told him they should have all my info including my address . I proceeded to hanging up. 
Still I did not get an apology from this coward. I’m in pure disgust. Little men like that should not deal with customers!",1.8
16,"January 21, 2017","This dealer tries all the textbook high pressure sales tactics such as focusing on monthly payments, four square sales pitch.    they would ask me ""what kind of offer i wanted""  i would reply ""just give me your best"", we would talk in circles but obviously they had more room to work with based off what the salesman was saying and his persistence in trying to goad me into giving him a specific number.  I told him if he cant do any better just say so and i would shop around, if they had the most reasonable offer i would come back.   I was particularly offended that they had the audacity while negotiating over the phone to claim that i was treating them unfairly by talking to other dealers to see if they could beat their offer.  In the end i decided I would be better off taking my business elsewhere.

that being said, i enjoy tough negotiations and do appreciate the salesman's persistence and must say that aside from the negotiations over the phone he was very courteous (maybe he was having a bad day or perhaps his manager wasn't giving him much to work with)",2.0
17,"May 11, 2016","I was a potential new customer and already felt as if I was a bother to the Internet manager. No thanks, made my purchase elsewhere",1.4
18,"March 08, 2016",Constantly lying to customer's about the status of the vehicle. Months spent in the dealership trying to figure out the problem and repairs that have me going back in the next week to start the arduous process all over again. Worst is they are the only dealership around so I don't have a choice. My next vehicle sure won't be a Chrysler I can tell you that. Horrible.,1.2
19,"August 19, 2015","I have been a jeep owner for the past 9 1/2 years.., was thinking of changing model this year 2015, but paid a visit with mr. Jon Hernandez
Was able to convince me into continuing my tradition.... 
I am very happy with my new jeep... Since being a customer, never had had a call from my seller to see how I was doing and if I had any questions...

Mr. Hernandez will definitely recommend you in the future. 
Laredo Dodge Chrysler jeep ",4.8
