,Date,Reviews,Ratings
0,"May 28, 2020","Maria was so easy to work with, she cut out the riff raff and got down to brass taxes quick. Very professional I highly recommend her to anyone ",5.0
1,"May 06, 2020","Horrible experience. They prey on uninformed people. My father and I bought 2 mega cabs. The next day they said financing fell through for my father but had another contract ""for just a little bit more interest"" this is called spot delivery and is done because the dealer gets all of this added interest, and ITS ILLEGAL he didn't have to sign the new contract but he did. Weeks later driving in my new truck and they call me saying my financing fell through, but I didn't fall for that. We signed a contract if I can't back out when it's signed neither can the dealer. But they have been harrassing me and my father for a month now, Carlos the finance manager has been threatening me and my father and so has Zachary owens. Even after the sheriff has told them they can't do anything they still keep lying and harassing me. If you're looking to get harassed and taken advantage of go ahead and come here. They prey on un informed and people that can't afford an attorney for stuff like this, but they're getting a rude awakening with me ill see you in court cjdr of midland.",1.0
2,"April 01, 2020",Yvonne was our salesgirl. She gave us great customer service. Surprise us with our deal. We couldn’t be anymore happier with our 2500 Ram. Thank you for all tour help. Also i will like to thank her manager and Kevin in finance for their help. God bless you all. ,5.0
3,"March 24, 2020",We were referred to Maria Diaz and she made the process and negotiating so smooth! We were able to purchase our dream truck! We are grateful for a salesman like her.,4.0
4,"March 01, 2020","Wow, we’re to start. Was referred to Maria Diaz from a friend. Happened to y’all with her with I was working shift work. We were able to get everything from application to keys done over the phone via texting. Cannot say enough about how awesome she was to work with! It was the hands down fastest, and easiest experience of buying a car I have ever had.  ",5.0
5,"December 15, 2019",Great Experience last 2 times! Maria Diaz is great! Maria made us feel welcome and works hard to make your deal. Thank you Maria for all you do!,5.0
6,"December 04, 2019","We had a great experience going through our sales person, Michael Duarte. He new exactly what we wanted and made sure we left with satisfaction.  Thank you mike",5.0
7,"November 20, 2019",John Villareal is by far the best most honest car salesman in West Texas! I’m so thankful for his hard work and dedication! Thanks John!,5.0
8,"November 17, 2019",John Villarreal was very friendly and professional. He got me a very good deal on a great car. I would definitely refer my friends and family to him,5.0
9,"September 21, 2019",I rated a 5 🌟  Mike Duarte was amazing! He was so patient with me as I was out to buy a new vehicle. I am very satisfied and will and have been referring others to go to All American Dodge of Midland.,5.0
10,"August 23, 2019","I went to All American CJD of Midland to look at a new wrangler, until they pulled the gladiator I wanted off the trailer. Big Mike and Zachary helped get it financed, awesome guys!",5.0
11,"July 22, 2019","My salesmen and his manager apologized for the mix up in vehicles but stated a resolution was out of their hands and rests with the management. Neither the dealership nor their owners, Lithia Motors, are members of or answer to the BBB. After my bait and swap I can tell you why. ALL American is rated F on the BBB for good reasons.  The Administration of the dealership and their parent company Lithia Motors have refused to correct the situation.",1.4
12,"June 19, 2019",This is my 3rd purchase with Mike at All American CJD of Midland. He was able to put me in the vehicle I was wanting.  Great customer service skills and Awesome Deals!,5.0
13,"June 03, 2019",We are on our 8th family sales in 2 years with Lithia Group. Yessica Vences is our family sales person and she does great. She knows what we want and is always helpful to make it happen. ,5.0
14,"June 01, 2019",In the past we have had bad experiences with dealerahips but with AACDJR of Midland ot was very good. They were helpful and did everythimg they could to our satifactory in buying our trucks. Thanks again!!!,4.8
15,"May 19, 2019","Everyone at the dealership was very friendly & nice offering water tea and food, over all great customer service. Great deals where offered. Met the price range.",5.0
16,"April 02, 2019","Randy Castaneda was my sales person and let me tell you, he went above and beyond to make sure I got exactly what I wanted. 
I was pretty specific on the car I wanted as well as what features I wanted it to have. I know a sales person's nightmare, right? (JK) However, Randy treated me with respect and he was extremely patient with me. He kept in contact with me frequently and listened to understand what I was looking for and gave me a great selection of options to look at without overwhelming me. He promised that he would do everything he could to find exactly what I was looking for and he did just that! I am a proud owner of a 2019 Dodge Challenger, Pitch Black, with 20"" granite rims, leather seats, sunroof, 8.4"" display screen, and 6 Alpine speakers. 
His level of expertise and genuine care for his customers can not be measured. 
I highly recommend any one who may be in the market for a new vehicle to contact Randy Castaneda at All American Chrysler Dodge Jeep Ram of Midland. ",5.0
