,Date,Reviews,Ratings
0,"March 09, 2020","My story starts about 6.5 weeks ago when we brought my wife’s Chrysler 300c in for repair. we have had issues with the electronics in this car essentially for the duration of owning it. We have been told in the past by this service department that the car’s BCM could be defective or the problem but tried less expensive issues before committing to a $400 part. 

I would call in to request an update. I would be told that they didn’t know anything at this point. I would be told I would receive a call on Monday and never receive it. Being a generally patient person I would give it a few days and call on Wednesday only to have the cycle repeated. 

I was told the service techs were testing different modules in the car and checking wiring harnesses for chafing and wear. 

Finally have two and a half weeks of them checking these modules, and having to contact them to find out what was being done. I was told $750 worth of a dash tear out would be needed to continue checking modules. Okay, not the best news but okay. The frustrating part was the service rep did a large deal of double speak but we were able to come to an understanding. I was able to broker a deal, if they were unable to find the problem I would only be responsible for $400. 

After another week of not hearing anything I decided to contact the service manager, Teresa. I vented my concerns about my service rep not returning my phone calls and requested an update on my car. Tersa was very helpful for two or three days and then it was back to the normal guy. *sigh*

While speaking with Tersa, she told me that the car has about a page and a half worth of failed communication codes on my car

A few days later, I was advised they were unable to recreate a problem and wanted to return it to me. Keep in mind, nothing had been fixed at this point. The codes were cleared before the 60 miles were put on the car and asked whether it was still popping codes. Initially he told me that it was not but later stated it was. They were trying to send my car back to me without it being repaired. 

Finally another week and a half later, I was told the BCM of the car may be the problem but it was not a sure deal. With them telling me the BCM could be bad in the past and all the different areas there was a failure to communicate it sounded like the best guess that could be made.

When I have messed with BCMs in the past, they have been behind the glove box or under the passenger seat of the car. My rep told me the BCM is up in the dash but did also say he hasn’t changed one in a long time and was 100% sure but that’s where he thought it was. I was okay with lying the $750 if it in fact was in the dash. However, it was on the passenger side, sidewall of the car. A few pieces of trim needed to be removed along with the glove box. After that you had full access to the part.... I tried to argue with him about how I should not be responsible for the $750 dash tear out when the repair does not need that work to be done. That got me absolutely no where.  My rep now told me that he would cut me a deal. The dash tear out would be discounted to $400 and I would be billed for 2.2 hours of labor @$180/h. This was more than the $750. I tried to explain that to my rep but he wasn’t hearing it and wanted to argue about how I was wrong. Low and behold. That total cost was $796... really.... okay. He changed the price to $750 to shut me up. 

I didn’t want to bring it back a few weeks later with the exact same issue and be billed another $750 for a dash tear out. The only thing I was offered was a comp on the diagnostic fee of $125. They comp this for anyone who gets repairs done at this dealership so nothing at all. I told him this was the same deal they cut for everyone he said I didn’t have to get the repair done there if that happened. I asked him to get with someone who could make a better deal and never heard anything back. 
 
The Part was changed without a hitch

I was billed to fill up the gas tank. Which I get but they billed 3.10 a gallon for fuel at a total of $67. That’s a tank and a half if I fill it up. Eventually he changed it to $35 after a long argument. Also, of course, I was still billed for the oil change. Oil changes are comped all the time to smooth over problems at the dealership..
I asked for him to check the car for any problem codes before I left the shop with it. He checked it and of course it was still showing a code. Twice now... they tried to send the car back with codes still on it. How embarrassing. I’m done. I’m done with this line of products and certainly done with this dealership. ",1.0
1,"April 03, 2019","I purchased a new 2015 3500 Dually from DeMontrond Dodge and gave them my business because of a past experience.  After the deal was done, I found out several items about the way the contract was developed and how things, I was not told about, were added.  I was not very happy but at least I had a new truck.  In a very short time I starting having problems with the truck and I did not get any support from the dealership.  First thing was abnormal wear on the right front tire which is an issue with the design of the ball joints.  The tires ware was uneven within the first 5 thousand miles and the tire became unsafe.  I also had two other tires with tread separation and almost had an accident because of them.  I received no support from Chrysler nor the dealership to remedy the situation and had to buy two new tires and get refunded from the tire manufacturer.  There have been a number of recalls on my truck and most of the time the dealership did not have the parts to conduct replacements.  I have tried to contact the service rep many times and many times he does not answer my calls and I have to go to the dealership to get things done right.  The truck has been in the shop at least 10 times since I purchased it and after repairs some of the issues still exist.  The A/C blower motor went out and had to be replaced of which I was charged 100 dollars for installation.  It took them almost 3 months to replace the exhaust system because of recalls.  There are so many other issues it would take much more time to show them all here.  Enough to say that I am very unhappy with the way the dealership is so disinterested in dealing with the customer after the initial sale.  It seems their attitude is you bought the truck, get out of here.!!!",2.0
2,"May 09, 2018",Romel helped my husband and I find the exact van I loved and the next few days we found a great truck for my husband as well. The process was quick and easy. We love our new Chrysler Pacifica and Ford truck. Thanks to Romel we are driving safe and protected with a lifetime warranty in vehicles we love! ,5.0
3,"April 17, 2018","Romel Erazo Found the exact truck that I asked for, in the price range that I requested. Very honest and trustworthy. I also received top dollar for my trade. I will definitely purchase from this dealership again.",5.0
4,"November 06, 2017",This is not a dealership I would recommend  black folks to visit. So I wouldn't  get a refund/overpayment the dealership sat on my approved deal for 32days.if I was blond haired and blue eyes I would have receive 1st class treatment. The dealership could use a make over (diversity in all areas of the dealership).I am waiting to see if I will receive my $378.20 refund i will give another review when i receive my refund.,2.0
5,"December 23, 2016",Two things a dealership must do right: sales and service. These guys lied during and after the sale and then refuse to service under warranty issues. I was tricked into purchasing a vehicle I did not want via deceptive claims to get a non-refundable deposit. Lied to about work to correct the issues with the vehicle before taking it home. Have since returned numerous times for warranty repairs they now refuse to fix.,1.6
6,"October 09, 2016","Ordered a 2017 Durango from Jeff and Don Size, 4 weeks later the vehicle came in and the purchase was quick and easy from start to finish. Fair price and had me in and out of finance in under 30 minutes. Great people I would buy from again. ",4.8
7,"June 08, 2016","Buying a vehicle can be a daunting experience. For me however purchasing my vehicle from this dealership was one of the best decisions made. I spent some time walking around the sales floor then I was approached by Wade. 
The following day I returned to the floor and this time I chose a vehicle for a test drive.  The process for financing the vehicle was very efficient. Option for Auto Insurance was offered, but in the end we chose to use our own insurance.  The purchase was completed within 2-4 hours.
We were able to leave DeMontrond and continue with other business we had on that day with ease.
 ",4.8
8,"June 01, 2016","I took my 2006 Dodge 1500 truck in after receiving a notice in the mail that the air bag system was defective.  I was told it would take approximately 2 hours when I made the appt.  When I went back by to pick it up, 3.5 hours later I was told by the service writer it would take "" several hours' more to repair.  It took 2.5 hours more.

Number one, I don't understand why it took Dodge 10 years to discover this problem.  Number two why do dealership lie to the customer.",2.4
9,"November 04, 2015","I bought a new truck from DeMontrond.  The dealership took all day to process my purchase.  They tried to get me to switch my auto insurance to their brand, (allstate, lol).  I bought an extended warranty, but got no paperwork on it.  (save your purchase paperwork)  I went to the dealership for my first (free) oil change.  When I drove in, my tires were equally inflated.  When I left, I discovered my tires on drivers side were low inflated, the tires on passenger side were almost maxed out.  Very rough ride home.  I purchased the maintenance contract, yet every time I have to use it, the service dept. says I don't have it and I have to show my sales receipt.  The warranty forever is a joke.  (read the rules for it carefully and you will quickly see what I mean)  Thankfully my mfg warranty and my extended warranty are being honored by a competitor.  I will NEVER buy from this family of dealerships again as long as I live.  I cannot recommend this company.  I wish I had gone to a competitor, but hindsight is 20/20!",1.8
