,Date,Reviews,Ratings
0,"May 05, 2020",  My wife and I were very pleased with Matt Maxwell (Sales Manager) and his team when we ordered our 2020 Durango. All options were thoroughly explained to us throughout the whole process. Likewise the finance manager (Ray Green) at Stanley Gatesville really impressed us by taking the time to explain in detail all the paperwork. We definitely recommend Stanley Dodge Ram Jeep in Gatesville if you're looking for a quality vehicle at a great price.,5.0
1,"April 08, 2020",Rick Johnson and Ray Green was absolutely amazing. Plus the management team went to another dealership and picked up the truck after hours just to appease me. I told them it was no worry but customer service was A plus. ,5.0
2,"March 13, 2020",Stanley Chrysler / Dodge /Jeep / Ram dealership around in Texas. Rick Johnson is a great guy and will do everything to take care of his customers. ,5.0
3,"March 12, 2020",Go and see Tim Trawick. He truly cares about his customers and goes above and beyond. Tim has been our car guy for years....TIM DID IT!!!!!!,5.0
4,"February 24, 2020","I have nothing but praise to sing regarding my experience with these fine professionals.  My initial contact was made by Bubba, who called me on a Sunday because he just happened to be in the office.  He was very pleasant and honest.  I was upfront about my credit and told him what I was looking for.  He called the next morning to initiate the whole process with no pressure.  I would also like to acknowledge Larry, a General Sales Manager.  Larry went above and beyond to get me a good loan option, even with my shaky credit.  He explained all the terms in simple, no pressure language.  

I was also given the option to have the car delivered at no additional cost.  I handled all transaction through phone calls, text messages, emails and a debit card.  

I cannot recommend these folks enough!  ",5.0
5,"December 27, 2019",I went in to the dealership to purchase a new truck and was greeted by Dewayne he was very polite and found me exactly what I was looking for so I would recommend this dealership to anyone looking for new and used vehicle best buying experience ever ,5.0
6,"September 16, 2019","My vehicle broke down at the gas station on a saturday morning, Tim the service manager for the Dodge store happened to be at the same gas station, he looked at my vehicle and gave me a ride to there store, with me needing a new vehicle I was nervous, Tim got me with Matt (Big Country) and from there he made everything so simple and easy, he showed me a few vehicles and worked with me to insure they would do everything they can to get me in a new car. I fell in love with a 2017 Chrysler 300S!!! Matt was patient and worked with me explaining everything and made me feel so at home, everyone at the dealership was nice and greeted me like i was family, I am now the new owner of a beautiful Chrysler 300 and could not be happier. I highly recommend MATT and Stanley Dodge to anyone looking for a new or used vehicle! Tim in service was beyond helpful and even set up a driver to tow my broke down car back to my house! This has been by far the best experience i have ever had buying a vehicle!!! Please do not pass this store up , when i say they go above and beyond Matt even called and helped me get insurance for my new ride! If i could give 10 stars i would! Make Sure to ask for Matt!",5.0
7,"March 13, 2019","We purchased our 2006 Dodge pickup from Stanley in Sept. 2018, we were told since it was a used vehicle they always change the oil and detail all vehicles. I took the same pickup in today to get the oil changed again and found out that Stanley does not have the filter to fit the Ams Oil bypass filter that was on the vehicle when it was purchased. I asked the service department how they changed it before if they dont even have this filter in the entire town. They informed me they have never changed the oil there. So now I have to worry how long has it really been since a oil change? I guess even though they told us they changed the oil they really did not",1.4
8,"September 11, 2017","On September 12, 2017, I purchased a used Jeep Wrangler Hard Rock edition from Ashley Erwin and Sales Manager Courtney Hobgood.  Both were excellent to deal with and made buying a pleasant experience.  Whether you are three hours away like myself or 3 days away, it is worth the effort to deal with them.  The say what they mean and mean what they say.  What more can you ever ask for?  Trust me on this.  Buy your next vehicle from them.  You won't be disappointed.  ",5.0
9,"May 23, 2016","I went today to get an oil change presented my coupon they sent me in the mail stating it would only cost me 29.95 plus tax before I even walked into the building, waited two hours and was surprised with a 70 dollar bill. They said my car needed a synthetic oil and the coupon didn't cover it. They never once came to me before the service was done to tell me it would be more and to ask me if I still wanted it done. If I had known I would have said no I didn't and gone elsewhere. I used that same coupon last time I got an oil change and they honored it, I had no reason to think it wouldn't be this time. They have lost a loyal customer forever I will never buy or have my car serviced by them again and will make sure I tell everyone in Gatesville that I run into about what happened to me I would hate for them to get charged more the double what they thought they were going to pay I should have been refunded that extra amount.",1.0
10,"May 19, 2016","WE LIVE IN THE CREADR CREEK AREA ABOUT 140 MILES FROM GATESVILLE. WE FOUND THE CAR WE WERE LOOKING FOR HERE AT STANLEY AND WAS ABLE TO DO SOME OF THE PAPERWORK VIA EMAIL AND SPOKE NUMEROUS TIMES ON THE PHONE WHICH HELPED ONCE WE ARRIVED. PRESTON WAS GREAT VERY KNOWLEGEABLE WITH ALL THE FEATURES OF THE 2014 CHARGER SXT. HE SPEND THE TIME NEEDED TO MAKE SURE WE WERE CONFORTABLE WITH ALL THE FEATURES.. HE AND GREG WORKED WITH ME TO MAKE SURE THAT I WAS SATISTFIED. 
GREG WAS ABLE TO WORK IT SO WE WERE ABLE TO GET A 3YR 36K MILKE BUMPER TO BUMPER WARRANTY AND STILL STAYED IN BUDGET.
THANKS TO PRESTON AND GREG FOR A JOB WELL DONE!
THANKS AGAIN FOR EVERYTHING GREG P",5.0
11,"May 12, 2016",Preston was a great salesman. He was helpful and made buying a car simple. He was very personable and easy to deal with. I would definitely recommend him if you're in the market for a new car! ,5.0
12,"April 08, 2016",This is my 4th automobile from Stanley and they always do a good job. The people are always so kind and take care of me and my wife needs. They always have a great selection of vehicles on the lot.,5.0
13,"April 08, 2016","So I've purchased a lot of vehicles in my days. This was absolutely the most effortless purchase ever. I searched for a while and then found this truck at Stanley Dodge. Called and spoke to Preston so he could answer a few questions. He did that and what he needed to clarify, he did and called me back within minutes. Preston was never pushy at all. I'm used to people asking for everything but your social just for a inquiry about a vehicle.....so nice! The next morning decided to make an offer. Within a couple hours, deal was done and we were talking about when the truck would be delivered. They came the same day! What's so exceptional about this, is that I live in Austin! The time and hassle that saved me is so so appreciated. Preston and the other driver were in no rush. Anything I needed to know and what other conveniences I had as options he fully explained. Preston went went above and beyond! Even my one phone call with the finance manager over the extended warranty was easy and pleasant. I would recommend these guys any day!!! Thank you again Preston and Stanley Dodge! ",5.0
14,"April 08, 2016",My salesman was great. He show me a lot of trucks and made sure that I had the truck that I wanted. He was very knowledgeable about the brand. ,5.0
