,Date,Reviews,Ratings
341,30-Oct-10,This was by far the best experience ever.  I purchased a Dodge Ram 1500 - Laramie and everything was flawless.   I was extremely impressed from the sale to the financing and could not say enough about NW Dodge.  Ronnie and Beto did a great job! The salesman event took his time to pick up my vehicle in Dallas and bring it back to Houston.  ,5
340,07-Apr-11,"Overall, the service was great!!! I was little disappointed they didn't wash me Dodge Challenger like I thought they would, I didn't have time to speak with the Service Manager about this, but I was a little upset, I hope it was just an oversight. Thank you ",4.8
338,09-May-11,"Raymond was very knowledge about the Charger and was aware of all the changes between our old 2006 model and this new one. The whole pricing / trade-in evaulation experience was great - no high pressure - no going back & forth  - very up front about our trade-in, financing, options - and the time needed to get some of our extras added  ",5
339,09-May-11,"This was the best car purchasing experience I have ever had.  I did not feel like anyone was trying to pull ""the wool over my head"".  I was honest in what I wanted and my price range and they helped me to leave with exactly what I wanted within my price range.  I would absolutely recommend this dealership and we will return next time we purchase a vehicle.",4.6
337,10-May-11,"Personally the best dealership i have stepped into!
Worked with me on a NO hagle deal, did exactly what they said they would do.
Was personally met, greeted and congratulated by the GM Mr. Jim Hatfield.
Dave Walters worked his butt off to make sure i was getting the best deal possible too!
All around great truck buying experience!",5
334,12-May-11,"Overall, buying our truck was a good expierence.  I do have a complaint with the finance department, as I started getting reject letters from finance companies, I realized that my social security number was incorrect, which ultimately closed the door to a better intrest rate.  Had they gotten my social correct the first time, I would have definitely gotten a better intrest rate in my opionion.  Otherwise, our expierence was good and the people were great.  Ken did a fantastic job and has since contacted us on several occasions to make sure everything is still going great.  Will definitely refer family and friends who are looking for simplicity and a good deal on a car.",4.2
335,12-May-11,MY CAR SALESMAN WAS DAVID PERRY. HE IS VERY COURTEOUS. HIS CUSTOMER SERVICE WAS GREAT AND MADE MY FIRST CAR PURCHASE A GREAT EXPERIENCE.DAVID CALLS PERIODICALLY TO MAKE SURE EVERYTHING IS WELL WITH MY NEW VEHICLE. I WOULD STRONGLY RECOMMEND THIS DEALERSHIP TO FAMILY/FRIENDS.,4.8
336,12-May-11,"My sales person, Maggie was the best!  I was not looking to purchase a car at the time that she called me, however, she convinced me to come in and I decided to buy the Durango.  She worked dilligently to make sure that I received what I wanted and at the price I wanted.  I am very happy with my new 2011 Dodge Durango Crew. ",4.6
333,13-May-11,"I gave this rating because the customer service with Maggie and Raymond was and still is amazing. I love my vehicle and am very happy that I purchased from Northwest Dodge. I am completely satisfied with the price, quality of the vehicle, and experience with both Maggie and Raymond. ",5
332,14-May-11,"We went to NW Crysler, Jeep, Dodge to look for a little larger vehicle than we were currently driving. The lease on our Jeep Compass was closing, and we were very happy with it, but just needed a little more room.
We looked on-line at their inventory, and even chatted with a dealer representative about what we were looking for. An appointment was made for the following day and we met Kent Adams who helped us look at only the vehicles that we were interested in.
The entire visit was pleasant, and not at all like your horror stories commonly heard in times past. Not only did we get the vehicle that we wanted, but the deal was right as well. We would definitely recommend NW Dodge to any of our friends.",4.5
331,15-May-11,"I never give perfect scores because perfection is unobtainalbe, but to give this dealership anything less would be a grave injustice.

I would recommend this dealer and this sales person to anyone looking to purchase a vehcile.  The service is great and I and there was no pressure.  They put me first when buying the car and did not try to push anything on me that I could not afford or did not want.
",5
329,16-May-11,"Raymond, and the credit manager were great. I was looking for a used truck for my stepson, and found one, and they put me in it, and worked with me and made me feel like my business was important. I've purchased many cars and or trucks in the past and at many different dealers, but this by far was the best experience.  These guys sold my neighbor a new truck too, and now my wife doesn't like my truck anymore, so now I'm going to have to go back to see Raymond, and get a new Dodge, to replace my Chevy. I'm looking forward to the trip, and would tell anyone, ""GO HERE FIRST!!!""",5
330,16-May-11,"Dave Perry, the finance team and the General Manager are all ""Awesome"". They really care about making a buying experience comfortable and easy. Their commitment to detail on an individual basis is phenominal, as well as, their involvement with community organizations and devotion to our armed service men and women. No other dealer offers so much, and, a purchase is not necessary. No salesmen here, just friends. We purchased two new jeeps, one of which, is the ""All American"" custom jeep that Northwest created for a special event in honor of our ""Wounded Solders"".

With Warm Appreciation,
Michael & Kim Allen",5
326,17-May-11,"I had a nice experience with Northwest Dodge.  Jeff helped me find the perfect car for my family.  It fit everything I needed, and in my budget.  The finance department was great.  I would recommend this dealership to anyone.  The dealership was really nice and the staff were all very friendly and helpful.  ",5
327,17-May-11,My purchase at the this dealership was a great experience. Mr. Taylor showed me the Jeep I wanted to see and 2 hrs. later I was driving it home. They were friendly and quick.I would recommend this dealership to all my friends looking a new or used vehicle.,4.8
328,17-May-11,Jeff was a great guy! he really made me feel comfortable and extremely helped me alot!i would most definately recommend the dealership to one of my friends. Jeff made sure that I didnt leave without my car! he even arranged to have my previous vehicle towed to the dealership.,4.8
323,18-May-11,Jeff was a great sales person. He answered all my questions quickly. The entire deal was just about worked prior to me arriving at the dealership. Jeff located the specific color combination that I wanted and went and picked it up same day. The finance department was also very helpful and easy to work with. I think his name was Victor. I would recommend the dealership and both of these gentlemen for future business. ,5
324,18-May-11,"hassel free,fast and straight to the point.i would recommend everybody to go there great customer service.i was having other issues at another dealership so i found a car that i wanted at northwest dodge so i called he told me he could get me in that car and guess what he was not lying, which we know thats what you normally expect when dealing with car dealerships. Oh.....I love my Car!",5
