,Date,Reviews,Ratings
0,"March 10, 2020","My 2019 Ram had a defective passenger side fender, and since it was a warranty issue, Rockwall CDJR sent me to Rockwall Fords body shop to handle. When I walked in CDJR, I was not greeted and it seemed like nobody wanted to help. I finally asked if they were open(it was 5pm), and Meagan Stepped up to help. I told her about the issue, and she jumped right on it. She took pics, explained the process then sent the pics over, but never followed up with an answer from Ram. I called back a week later, still nothing. Finally after 2-1/2 to 3 weeks, the pics were approved. I got my truck in and they set me up with a rental. I only called once a week for an update, and sadly, I had to initiate most calls, and they couldn’t tell me much when we spoke. I finally got smart and called the body shop direct and that’s when I started working with Shelby. She started off strong, and I felt good about how things were going, but there were a couple of set backs, which I was more than understanding about, but during those set backs, she stopped calling me with updates. They finally got the fender replaced, and it looked great. They did forget to put the pinstripes back on the passenger door and fender, as well as the badges, which I pointed out immediately. I was told I could bring the truck back before 5 on any week day and they would take care of it. I went back the following day, and even called ahead, but all they could do is put the badges back on, due to the cold wet weather. Shelby told me she would give my info to their pinstripe guy and he would come to me and put the stripes on. Well, he didn’t call for 2+ weeks, so I called Shelby. She apologized and said she’d reach out to him. About 3-4 days later, he called. To this date, he has never called me back to schedule, so I just took them off of my entire truck. The part I’m most disappointed in is next. On my way home from the shop on Jan 20th, which was the first day I got it back, I stopped to fuel up. While I was fueling up, I was admiring the great work on the fender, but I noticed a scratch on my passenger mirror, and 2 very small gouges on my hood, right above the newly replaced fender. I immediately called Shelby to inform her, and she instantly said they didn’t do it and it was a rock chip, I politely disagreed and asked her to look into it the following day when I was going to be at the shop. When I was at the shop the following day, I pointed it out, and she continued saying it was a rock chip. I was very nice about it and told her whatever it was, it wasn’t there when I turned the truck over to Rockwall CDJR. She offered to get with Courtney, who took over with helping me, to see if he had pics. When I called to ask for an update, she said she hadn’t been able to speak with Courtney, but would keep trying. Another week passed and I hadn’t heard anything, so I called Courtney and got the pics myself. They were not broad enough pics, and only showed the defective fender, so I asked him if I could get the other pics, and who I needed to speak with, I never heard back from him. I called back later that week and spoke with JB(?), who was awesome, and he got with Meagan who had pics of my truck from the initial report, which clearly shows there was no damage when I turned the truck in. I called Shelby to inform her. She was very hesitant to offer to look at them. I obtained her email, emailed the pics, highlighting where the damage was and was not, and still haven't heard back from her, and that’s been 3+ weeks. I even emailed her again to ask if she had a chance to review... and haven't received a response. Sorry for the book, but this service was ridiculous! The gouges are very minor, and I could probably live with them, but this is now about the principle of the matter. I don’t know where to go if this essay falls on deaf ears, but I’m ready to do so if necessary. It’s comical how small these gouges are, and that I was in a rental from Dec 10 to Jan 20, but it’s also comical to know this is how you treat your customers. ",1.0
1,"March 06, 2020","Got a new Renegade from here. Staff was friendly and helpful. Sal our salesman was knowledgeable and understanding of what we wanted. We unfortunately had an issue with the car after 1 day, but they were able get it taken care of right away. ",5.0
2,"March 04, 2020","Although I overpaid for the vehicle, it was an overall good experience. Sidney was a pleasure to work with, as was Martin. I was in and out quickly. ",4.6
3,"March 02, 2020",We have always had a great experience.  No problems.  Everyone is very nice and helpful. We would recommend this dealership to family and friends in the future. ,5.0
4,"February 28, 2020","Service was in and out.  The 5 stars is for the service advisor, Carey.  This guy went out of his way in a world that rarely does that!  Thank you.",5.0
5,"February 24, 2020",Awesome and quick service! Will definitely continue to bring my vehicle to this location for service. Very efficient & didn’t have a long wait! Thank you guys. ,5.0
6,"February 20, 2020",Shane was great to work with. Very personable and professional. Also very knowledgeable about the Jeep Wrangler I purchased for my son.  Would definitely recommend him to friends!,5.0
7,"February 19, 2020",Great customer service! They were very knowledgeable and able to answer all of my questions. I felt very comfortable purchasing from this dealership and would recommend to someone else!,5.0
8,"February 19, 2020","I brought my 2017 RAM in on 2/18 & 2017 Durango on 2/19 for maintenance service. Kevin Fail was my advisor on the 18th and Carey Lindsey on the 19th. Both excellent representatives for your dealership. Both are professional, knowledgeable and courteous. They both made my trip to your dealership a pleasant experience. ",5.0
9,"February 17, 2020","Great Experience. In/out ASAP. Usually have to wait two or more hours. 30 minutes this time! Good work thank you, see ya'll next time.",5.0
10,"February 14, 2020","The App told me a low price, but upon walking in I found out it was 5 times as much, rep gave me a discount ",4.6
11,"February 13, 2020",We found Rockwall on line.  Aaron jumped through hoops to make sure the truck we wanted would fit our needs.  He even did a video walk-thru of the truck so we could feel comfortable before we drove 2 hours to get it.  The one minor surprise we had was handled professionally.  I would recommend them.,4.4
12,"February 13, 2020",Had a great experience with Michael my service advisor. I did not have the work completed by your dealership as I felt the overall price far exceeded the level of effort required for the job. I am giving you five stars on the price as it reflexes the zero dollar bill for diagnosing the issue. If I was to rate your estimate of 500.00 to replace a coolant expansion tank it would be two to three stars. ,5.0
13,"February 12, 2020",Service department gets you in and gets you out!!! Erica took care of all my needs during my service appointment. Quality work. Fair Price. Will be back.,5.0
