,Date,Reviews,Ratings
0,"June 14, 2020"," The most unethical place I've ever been into. They are driven by money, no customer loyalty whatsoever. Avoid them like Covid, they wear mask for one reason, they're bandits. ",1.0
1,"May 27, 2020",Do not buy service contracts from this dealer especially oil changes. Its a scam. They sell oil changes you cant possibly use. No refund. Bad,1.0
2,"February 27, 2020","I was referred by a mutual business partner and was excited about this process and salesman. Unfortunately I was sold a luxury lemon that I took back for the engine light. The salesman reassured me, but the car has been in the shop for a total of a month within the first 10 months. Completely disappointed. I woman shouldn't have to rely on a man's presence to get a reliable vehicle. ",1.0
3,"February 12, 2020","I just wanted to take a moment to recognize TC and Alyson and the service department as a whole.  
A couple of months ago I brought my truck in for repair of a water leak in the passenger compartment (thought it was the 3rd brake light) and they replaced the 3rd brake light assembly. Well it leaked again and that is when I had to bring it back.  This time they did not return my vehicle until it was fixed right.  The service department team is changing the way they take care of customers as evidenced in my return visit, professionalism from start to finish.   I will be bringing back my vehicle for required maintenance. 

Thank you,
Joel I Gomez.",5.0
4,"August 28, 2019","My father needed a reliable used vehicle on a very small budget. Our criteria was beyond limited, but Mr. John-Charles got it done! There were even additional personal complications with paperwork requiring a lot of extra time and expense that he took on without hesitation. We are extremely happy with our purchase and will definitely be repeat customers. Highly recommend working with this gentleman.",4.4
5,"August 07, 2019","I purchased a new '19 Ram 2500 longhorn addition. first off I traded in 2 trades. one cadillace and one pickup. the trades and the new truck price had all been negotiated in advance. all I had to do was bring in the trades and sign the papers. I was there 4 plus hrs!!!!! also informed the sales man (Hunter) that I wanted to put 35 inch BF Goodrich tires on it along with a bull bar. I was promised to receive a credit for the existing tires towards the new larger ones which they sold me for almost 2 thousand dollars which I could have purchased elsewhere for 1500.00. they looked up the bull bar and sold me that for just under 1,000.00. I was told I would be put in a loaner while they ordered the tires and bull bar and I can come back once it was complete. I then was told to go ahead and take the new truck and they would call when the parts and tires came in. Almost 2 weeks later I get a phone call to bring in the truck to install tires and wheels. I took the vehicle in only to be told there is not any bull bar available as that truck is too new. (where did they get a price from then?) So they told me I would be refunded the price for the bull bar when I picked up the truck. Ok, 5 hours later (for tires) I get a call the truck is ready. I pull up to find the following new tires are not 35's they are 33""s basically the exact size they took off!! On top of that the removed tires were in the bed of the truck. When I ask about my promised credit for the existing tires I was now told they could not do that because I had driven on them. WTH? You are the people that told me to take the truck vs. a loaner. The manager then proceeds to tell me I can wait for them to reinstall the original tires while they order the 35's I had paid for. If I drive off the lot I then own 2 sets of tires! Now...the bull bar check comes and I ask about adjusting my sales contract as even though the sold me a fictional accessory and are giving me a check that number is still figured in my payment and will collect interest throughout the length of the loan. I was told they could in no way do that either. These people are crooks. I have numerous family and friends that are attorneys and you can bet I will receive some sort of resolve and it will cost them some time and money unless they contact me immediately to fix this. Stay away from this dealership at all cost!!

P. Ferris Date of event 8/6/2019",1.0
6,"May 31, 2019","I bought my 2011 Jeep from this location & was pretty happy with the sales experience. I recently brought the same jeep back (148,500 miles later) for service due to the 4WD and ABS lights coming on. In addition the Jeep was stuck in 4 wheel Hi. I had already taken the Jeep to an independent Jeep repair facility and they couldn't fix it and recommended me taking to a Jeep dealership so I chose this one. I was quoted $1400 to replace the transfer case module and arm. They said this ""might"" fix it but not sure. When I dropped the Jeep off I told them I didn't want to spend more than $1000 BUT I did authorize these charged in hopes that this would fix the problem. 3 weeks later I get a call that this did not fix the problem and it would take another $1600 in addition to fix it. Well I can't justify this so I asked my original parts be put back on and that I'd pay the diagnosis charge since nothing was actually fixed. My advisor, Luis, said nope I owed and authorized $1400. I said but Luis nothing was fixed. I authorized the parts so you could see if they fixed the problem. They didn't do anything. Why, if you have my old parts, paying for anything especially for something didn't fix anything? Why not give the Jeep a 4 tire rotation while you are at it and charge me for that as well since that won't fix the problem either. He said he told me this ""might or might not"" fix the problem, you authorized it, and we have to pay our technician for his work (3 weeks worth). I said so if you brought me you TV, not working, I tell you ""I think parts X and Y  may be the problem but not sure"", give you TV back not working, you're ok paying me for the parts? He said yes as I authorized the work. I said, ok no sense is going round and round about this. I'll come pay you & get my Jeep. Look I'm not saying if this legally wrong or right. I am saying it's not fixed and they can't tell me parts X will 100% fix the problem. Its a hunting expedition. I am just saying if what you did, didn't fix it why are you charging me for the parts. My brother is the service manager at Honda in Burleson so I asked him is this right and how would you address the situation. He said ""I couldn't in good faith charge you if we didn't fix it. Period."" This is advise from a service manager. I guess you sometimes you get more than expected and sometimes, like this time, you get the shaft. Well the funny thing is I was going to purchase a RAM truck but given that I'd be dealing with the same parent company I'm passing and looking at another brand. Sometimes what you do has ripple effects. And it also spurred this review.",1.6
7,"January 14, 2019","Raul Luna sold my daughter gap insurance and a warranty for $5000 on a used car that was under $13,000. He also failed to provide the bill of sale and told her to come back the next day for it. She believed she was getting the gap and warranty for much less. Luna took advantage of her lack of experience, as she relied on his advice.

Gap insurance was not needed b/c the car had already depreciated and the price charged for the warranty was excessive and dishonest.

Luna's conduct and the dollar amount of coverage he sold her was unconscionable and constitutes fraud. The situation is ripe for a lawsuit.",1.8
8,"January 12, 2019","
Don’t buy a car from these people, new or used. They lie to you in your face. Spent 46k for a broken Jeep and still haven’t gotten to drive it. They will not honor their own 5 day guarantee on vehicle ",1.0
9,"December 19, 2018","DON'T WASTE YOUR TIME.  SERVICE CENTER IS A JOKE.  ZERO STARS.

Dishonest ""advisors"", ineffective ""manager"", lame service techs.

I could write a book on what amounted to an 8 hour oil change but I'll try to keep it short and to the point.  If you don't want to read the detail, just trust me, don't waste your time at this place.  

OK, here's the shortish version:

Set up an 8am appointment for service of my 2015 Jeep Wrangler Unlimited.  Oil change, tire rotate/balance, air filter, check engine light (70K service due).  Dropped off night before so I could be first in line for service.  Vehicle checked in by Christopher at 7:41, where he tried to sell me on a couple bogus services (fuel treatment for $250, throttle body cleaning another $170).  I haven't spent much on maintaining the vehicle and he said it was part of the 70,000 mile service so I agreed.  He stated that the vehicle should be ready by about 10:30.  More than I wanted to spend but OK.

Not hearing anything back, called in at 11:00 expecting to pick up vehicle.  VEHICLE HAD NOT BEEN TOUCHED...THREE AND A HALF HOURS LATER.  After a series of lies and excuses, Chris said he would check with the tech and get back to me in 20 min.  Since he did not call me back, ONE HOUR LATER, I call him back.  This is his response, ""Oh xxxx, I completely forget, let me go check, I'll call you right back.""  Does not call back again.

ANOTHER HOUR LATER, I call back and still no update, ""tech was at lunch"".  It was clear that he had not even spoken to the tech.

I'm now irate since I had other plans and didn't expect the vehicle to be tied up all day for a simple service.  I call him back to check on progress, figure they have to have everything done by now, it's been close to 6 hours.  This time no answer.  Leave message to wrap it up, whatever they had done, I'm coming to get my vehicle.

Another hour sitting in the ""advisor"" office waiting for my Jeep.  This was interesting.  I listen to these ""advisors"" make dozens of excuses to other irate customers, hear advisors brag about sticking a guy with a new Dodge Ram with an $1800 non-warranty bill, hear an estimate for a $500-$700 estimate for a fuel tank flush that of course is not covered by warranty on a new car.  Locker-room profanity with customers in earshot (a young mom and her two kids also there waiting to pick up their car that was supposed to be ready an hour and a half ago).

In the end, oil change , tire rotation and balance and check engine was supposedly the thermostat which would be another $400-$500, I said no thanks.

So for approximately 10 hours of time including drop off and pick up, I got a $200 oil change and tire rotation that I could have gotten at discount tire for about $100 and one hour.

Best part.  ""balanced"" tires were not balanced.  Worse wobble in steering  than when I dropped it off.  Some residual mud left on wheels from last weekend (it is a Jeep after all) was not cleaned before balance.  YES, you read that right, the wheels were rebalanced with mud and reinstalled.  

Worse wobble than when I dropped it off, so I turn back around and have the pleasure of asking for a refund since there was no way they could have balanced tires in that condition .  If you cannot do the service because ther tires are dirty, fine, don't charge me for it.  After speaking with Chris again, some other senior advisor, I get to speak to the ""manager"" Joey.  Explain my concern, request a refund.  Says he can do that ""just not today, I have to submit a request"".  I literally checked out less than 5 minutes ago and they cannot process a refund?

I call BS to Joey and call him a liar to his face.  He says there is nothing he can do.  Two things, either he is a liar which is most likely, or upper management does not trust staff to manage their business and must approve every refund.  Either way, not cool.  Won't be holding my breath for that refund.

Bottom line, will never by a vehicle form an AutoNation facility or take my vehicles to service there again.  I recommend you do the same if you wish to be treated fairly.
",1.0
