,Date,Reviews,Ratings
0,"June 19, 2020","I dropped my car off at the service department on June 2, 2020. I knew the left rear axle boot was torn. I received no contact from my service advisor, so on 4 June I called for an update. I was told that the part was ordered and would arrive in a few days, and my car would be done on the 8th or 9th. I still hadn't heard anything by the afternoon of the 9th, so I called again. I was then told the part for my car was on back order and it would be another several days before it would arrive (5 to be exact). I told them my car had sat there long enough, and I wanted it back. Terry (my service advisor) agreed, and told me he would call once the part came in. When I picked up my car, it was covered in dirt and bird xxxxxxxxx. Being that the dealership is located in the iddle of what use to be a cornfield, I understood that it wouldn't be spotless. Later that evening, I washed my car. This is the 3rd time I have washed it, and I have become very familiar with the blemishes on my car. I always wash it by hand, so I am up close to it as well. Well, i have found several scratches on the hood, passenger door, drivers exterior mirror and left corner of the front bumper. I called to speak to the service manager the morning of the 11th, and was told he wasn't available at them momment, but would call me back shortly. I still haven't heard from him. To further add insult to injury, my parts manager called our Dodge store to inquire about the part for my car to see if there was a way to get it any faster, and not only did they say there were several at their wharehouse, that the part was not and has not been on back order. I feel that my car just sat there for an entire week, and no body bothered to do anything with it.

After 9 days have passed from me picking up my car, I still have not received a phone call from them that my part has arrived that was suppose to be in within 5 days.",1.0
1,"March 09, 2020",Best experience ever. Found a car online. 2019 charger rt. Went to the dealership and the car was there at the advertised price. Great experience overall. I drove 150 miles to buy from this dealer and will again in the future.,5.0
2,"January 23, 2020","Kenny was the best! He was very helpful, easy to work with, and pleasant to talk to. He was very knowledgeable about the vehicle. He went with us for a test drive and answered all questions.",5.0
3,"January 20, 2020","Great Customer service. Kenny Robinson was super helpful and made Us feel right home. Their Dealership is top notch and I will return.
Thank you
Eddie Salinas",5.0
4,"January 17, 2020",Nil Maxwell did a real good job with us. We recommend them as a place to buy a car. Good price had the car ready when promised.,5.0
5,"September 17, 2019","Great experience, the Nyle Maxwell team was very professional. They where incredibly helpful in finding the perfect vehicle for me. The finance team worked really hard to find me the best financing options. I am very pleased with my experience. ",5.0
6,"September 15, 2019","My overall experience with Nyle Maxwell of Taylor is absolutely amazing , and special thanks to my salesman Andrew Cortez and the service manager brian for the best customer service they provided to me , and thanks to all other awesome salesmen and service department crew who were so helpful and knowledgeable about everything I needed to be advised with , I strongly recommend this amazing dealership for anyone who’s looking for purchasing new or used car , I bought a used Jeep Wrangler from there and I’m totally happy with the quality of it as a used vehicle in addition to all after sale service and warranty they provided that made my car buying experience a real piece of mind , thank you guys for your generous help and the best customer service you guys provide, Nyle Maxwell cdjr is the perfect example of how a perfect dealership should be",5.0
7,"September 03, 2019","From the start Brandon Gerbe was very welcoming and friendly, He was very informative with knowledgeable of  what jeeps were  available. Made me feel comfortable and confident with the budget and range of payment I want to pay. After showing me several jeeps, We finally found one with everything I wanted and within my budget. Overall great buying experience and a customer for life.  Thank You! Rodolfo Woolf",5.0
8,"August 30, 2019",The sales team was very patient when working with me and my budget.   They listened to my guide lines and found the correct vehicle fit for my family I.   Wonderful experience. ,5.0
9,"August 23, 2019",The service department is top notch they go above and beyond to help you with whatever your concerns are. They even called me each day with updates ,5.0
10,"August 06, 2019","Service was great and online appointment setting was easy to use.   Service department is friendly and helpful 
Technician are conscience and check everything out on your car for you",5.0
11,"August 03, 2019",Actually took the time to listen to what I was looking for and the first car I test drove was the one I was choose.,5.0
12,"August 01, 2019",Just picked up a new Jeep from them and couldn’t have asked for a better buying experience! Thank you very much to Jason and Noris for making this an easy process and also an amazing deal! ,5.0
13,"July 01, 2019",Use them for oil change/filter and 18 point inspection this work was scheduled and done at the scheduled time. Thank you Brian and the guys in the service department ,5.0
14,"June 21, 2019","Complete blundering idiots! From Steve David the GM to Justin Lynch the sales manger and everyone in between. None of them know what the customer is asking for even when stated in writing! Tried buying a new Challenger and all they needed to answer was a) can it be ordered and built b) price and they couldn't even come up with all the answers. Just ""come on in and we'll get you a new truck"" I wasn't even buying a truck!!
Mean while their crack telemarketing team is calling me with offers! Complete buffoons!!",1.0
15,"June 06, 2019","Dave Amstutz at Nyle Maxwell in Tylor showed the best practices in customer satisfaction and retention. 

He listened to me and understood my need. He explained to me why the vehicle I thought would be best actually is not and sold me a vehicle that was cheaper but fitted my need opposed just selling the more expensive vehicle. 
There was no pressure or forceful closing attempts. 
Quick and painless, the process was made easy.  
He is trustworthy. 
There were no games or hidden meanings. 

I trust that I actually got the best deal under the constraints I set for the purpose of buying a new vehicle. Dave had full support of the entire dealership including the GM Steve David. 

I met Dave because he came highly recommended by a former customer of his. 

Because of my experience I am planning on buying another vehicle for my daughter. 

Best dealership in my 40 years of buying cars. ",5.0
16,"April 18, 2019","Had my new 2019 Dodge Ram truck in the shop 4 times for squealing brakes. 1st and second time they said they could not hear the brakes squeal. The 3rd time I had the manager test drive the truck with me, and he did hear the brakes  squeal , and he said they would fix it. I left it and 3 days later, it was done. 3 weeks after that, the brakes started squealing again! They then said I needed to break them in! Never heard of breaking in the brakes of a new vehicle, but I did! Well, 2 months later, still squealing! After having enough of people commenting on my brakes, and me having to listen to it, I took it back this week on Wednesday. They said my brakes were 100% ok. I asked why the are still squealing!?!? He said that I’m not the only one with the same problem, and that Dodge is aware of the problem, and they have not not came up with a solution to resolve the problem! 
Needless to say and very unhappy, Iv spent 50+ thousands of dollars on a truck with squealing brakes that I was told I have to put up with! I’m not giving up and I want it resolved! ",3.0
17,"March 06, 2019","Terrible experience buying and worse experience with service dept. I have had my new truck for 3 months, have been in 6 loaners logging more miles in 6 weeks in them then my new truck. But somehow maxwell and Chrysler feel it doesn’t qualify for a buy back. Oh yea, I’m still waiting on parts. I’ve been coming here for 10 years. I’d never believe I would be treated this way. Trust me, stay clear of this dealer and new ram trucks.",1.0
18,"February 21, 2019","Everything was handled in a timely manner.
Have to take truck back for (1) Recall,this was not something that this dealer ship caused. The problem was caused by another dealer apperantly useing my vin #.",5.0
19,"December 22, 2018","Jason took great care of all my needs . I was really impressed with the timely manner that I could get in and out. The Service dept took the time out to travel to another dealership to receive a part for my bed cover.
The time frame stayed within the allotted timeline so I could get to my meeting. 

Joe S. ",5.0
20,"December 07, 2018","I had a warranty repair conducted at this dealership in December 2018. The staff were very friendly, professional and kept me informed throughout the process. Totally satisfied with the service department. ",5.0
21,"August 21, 2018",Can’t say enough about this dealership I drive an extra 30 miles instead of using a closer dealer.  The staff from top to bottom is great.,5.0
22,"March 27, 2018",The service department is always helpful & honest. I've been going here for years as this is where I purchased my last 2 vehicles as did my Mom previously. I typically don't like going to the dealership but never have they recommended anything not needed & get it done.,4.6
23,"March 20, 2018",My Ram 2500 was taken in for service. The staff treat you like family. Always pleased with the experience at the dealership. Big thumbs up to all the service staff and mechanics. ,5.0
24,"March 09, 2018","Excellent people, excellent service, kept their scheduled delivery times. Seating was comfortable, the tech supervisors were very professional yet everyone remembered that we all could use a friendly grin occasionally. ",5.0
25,"February 28, 2018","Had great experience with salesman Andrew at Taylor Maxwell answered all questions ,courteous,attentive and efficient.Got the Lonestar Ram that I wanted for great price and fair value for my trade in .Would reccomend to anyone shopping for a solid beautiful truck! JSM MD",5.0
26,"February 24, 2018","Darin Schilling is the best service manager and truly represent the Dodge product line. Go to Nyle Maxwell if you want fantastic service on any vehicle. 
",5.0
27,"January 06, 2018","I went to purchase a new car.  I had talked to the dealer in Mississippi about the kind of vehicle I might want, and I had a certain amount of cash available for this.  My other car was starting to cause some issues.  I deal with a great many elderly and children, so the one feature I wanted was a full size spare.  My old car would not fit the full sized spare in the original well, so I purchased one anyway, and then I always had a bubble in the trunk.  I did not want that again, so I wanted a vehicle with a full sized spare.  I did not want to get caught between here and El Paso with no tire and only the donought.  

My friend, Bob DeClerk, went with me to look at Nyles Maxwell.  We wandered around, and finally Ken Jones came out to help us.   I explained that the full sized spare would be the one thing that was non negotiable in this vehicle.  NO car without a full sized spare would be purchased.  It was a mantra.  

We looked at several vehicles, and we would always return to that question.  No full spare, move on.  

I wound up in a Dodge Journey, a vehicle I was guaranteed would have a full sized spare.  I took possession of the vehicle on October 26, 2017.  December 31, 2017 found me with a flat tire, a screw had invaded the tire on the rear passenger wheel.  Once the tire was changed, I took the car to Firestone to get it repaired.  I discovered in the changing of the tire that the spare was not full sized but a donought.  What?  

I called Nyles Maxwell on January 2, 2018, and the informed me that they would not give me a spare.  They only promised the car would hold the full sized spare, but they did not promise it would have it.  Did I want to order it.  I had just had a post chemo treatment, and my friend Barbara was here when they called, so she heard that part of the conversation.  (speaker phone)  I did not want to order one from them since I felt they had been a little less than honest about it, so I called Covert Dodge on Wednesday, and they said they had the tire in.  I made an appointment for Thursday morning between jobs, and Bill Schie (spelling?) came to get me about 30 minutes in to my visit, and he told me there was a problem.  He took me back to the shop and showed me that a full sized spare would hit the exhaust pipe and burn a hole in the tire from where the spare fits.  My heart plummeted.  I felt robbed, duped, lied to, etc….  

I am a widow, working hard, living on a fixed income, and I paid cash for this transaction in good faith.  If this is how Nyles Maxwell treats their customers, then they should not be allowed to be in business.  There was never any misunderstanding about what I wanted.  
",1.4
28,"July 27, 2017","I just leased a new 2017 RAM 1500 Lone Star Silver at this Dealership, basically replacing my 2015 RAM 1500 EcoDiesel Lone Star. The sales rep assured me that the new truck would have everything my old truck had PLUS some additional upgrades, mainly due to the ""Silver"" in the model name. My old truck has the Lone Star package with Satellite radio, Navigation, Backup Camera, Parking sensors etc..
As it turns out, the new truck does not have it's Navigation activated - a feature which was a standard component of my EcoDiesel.
Upon requesting that they activate it - to deliver the deal as promised - the sales rep boldly informed me I'd have to pay the $595 activation fee to get it done - and that he really doesn't appreciate unhappy customers contacting him about their gripes. When I asked him to take the vehicle back due to this, his answer was: ""Well, it's a financed deal. I guess you can take it up with the bank"".

My advise: Avoid this dealership at all cost! ""The Original Nyle Maxwell""......",1.0
