,Date,Reviews,Ratings
0,"March 19, 2020","I am a repeat buyer at Dick Poe Dodge and I will happily share my great experience.  Edward Favela was my salesman.  Ed was extremely knowledgeable, professional and got me get into a new Ecodiesel. 
I could not have asked for better service and care!  What a great team...Ed, Roger, Jack, Zandy you all are top notch!  I love my truck!  I will buy from this dealership in the future.
Nina Michael",5.0
1,"February 22, 2020","Hugo Garcia really made the impossible, possible... for sure best customer service and best deal I could ask for on my brand new RAM 2500... Highly Recommend this Dealership and especially with my good friend Hugo Garcia as your sales man!!! ",5.0
2,"December 04, 2019",Eddie Padilla is a great sales person. Made the experience fast and easy. He knows his inventory and will work with you to get you what you are looking for. ,5.0
3,"November 11, 2019",The salespeople at this location were extremely helpful amd courteous and allowed for a very easy transition into a new vehicle.  My family is totally satisfied with this purchase and we highly recommend both Tanya Sanchez and Edgar Porras.,5.0
4,"October 26, 2019","I've got an oil change, front and rear rotors, new brakes pad and engine cover replaced on my charger. 

Thanks for the service 
Feliciano ",5.0
5,"October 25, 2019","I need a Ram 3500 Heavy Duty and I was able to locate it in El Paso. At first I was a little hesitant to drive out there to buy, but I was taken care right from the start and it made me feel comfortable. Both Edgar and Samuel were awesome, nice guys and very knowledgeable. They knew I was coming from another State and made sure all my questions were asked and that everything would be ready for me and my arrival to sign and drive away! It was a very welcoming place and I would go back to buy again. Thank you guys at Dick Poe Dodge!",5.0
6,"October 22, 2019","It was a great buying experience. Adrian the salesman was able to answer all my questions, never felt lost or overwhelmed. He took care of me from the beginning, showing me the vehicles, arranging the test drive, successfully going through the financial portion with me and then present my new car to me. 
The staff was also really helpful. 
I can definitely recommend Dick Poe Dodge Ram!! ",4.8
7,"September 17, 2019","Great dealership to work with, they work hard to get you into the vehicle you want. Edward was especially helpful and an honest salesman. Would recommend. ",5.0
8,"August 05, 2019",This has been the most flawless vehicle buying experience I have ever had! The sheer speed of the process alone was unreal! Bing was and is an awesome sale rep! He made the process of buying my 2019 Ram 1500 4x4 Lonestar the best experience I have ever had! ,5.0
9,"July 26, 2019",I was very pleased with the customer service and friendliness all of staff at Dick Poe Dodge. My dealer Mr Edgar Porras was by far the best dealer I’ve ever encountered when purchasing a new vehicle. His willingness to work with me so I could get the vehicle that I always wanted with affordable monthly payments was outstanding. I would definitely recommend him to anyone who’s looking to buy a vehicle.,5.0
10,"July 11, 2019","I would highly recommend not just this dealership but specifically Mrs. Tanya Sanchez!  We just purchased our second vehicle from her in 3 years and the experience is always personal and professional.  She truly cares about her customers and will go to extended lengths to make sure the customer gets exactly what they are looking for.  If you are in the market for a new vehicle, go and ask for Tanya.  I have been replacing our cars with new ones for the past 14 years where ever the Army moves us and she is by far the best and most compassionate sales person I have encountered.  She was even able to convince me to change from my F-150 (that I loved) to a new Ram, only because she asked my wife and I all the right questions and got to know our personal family needs and made a recommendation, not on cost or sales, but on what was best for our family.  She is amazing and the team at Dick Poe Dodge will keep our business.",5.0
11,"June 24, 2019","Edward Favela and John Atel worked with me every step of the way, which is not easy.  I go into places like this trying to test the people I am working with, not many things are more irritating than a salesman who gets commission just because he met you at the door that particular day.  Edward took it well and before long he was dropping the same kind of comments i was, which is refreshing.  Don't let political correctness rule your lives.  

O ordered a new Ram 3500, they followed it through the process, kept me updated, and the vehicle arrived on schedule as expected.  ",5.0
