,Date,Reviews,Ratings
0,"June 25, 2020","Very good service. Quick, in and out in less than an hour and a half for an oil change and tire rotation. Would recommend Chris.",5.0
1,"June 17, 2020","Yes I made an appointment over the phone to have my oil changed with Chris Chavez. Upon arriving to the service area i stood outside of my vehicle waiting for someone...anyone to pay attention and ask me how I can be helped. 30 minutes later I get the chris coming to me asking how I can be helped. I told him I made an appointment for an oil change and he told me he had no idea.Why did I make the appointment
It makes my want to never come here due to customer service. Another lady after me came. Stood around waiting for assistance then left",1.0
2,"June 12, 2020",couldn't find what was wrong with my truck. And would take me days to be able to get a hold of him. It was faster to talk to someone at corporal that it was to talk to him.,1.0
3,"June 01, 2020","estimate for doing all my truck needs was very expensive. thats whay I decide not to do it with you. sorry but I dont Think prices are worth
 ",4.6
4,"May 28, 2020","Great service. Thank you for your help with my Jeep. My vehicle was ready early and Peter was very
professional. Everything I requested was done on my Jeep.",5.0
5,"May 27, 2020",My service advisor did a great job of explaining what my repair entailed and my truck runs great again.  The only thing I would improve on is having someone answer the phone in the service department. ,4.2
6,"May 20, 2020","I was taken care of immediately, allowing me to decide what vehicle I wanted since I am a person that goes to a dealership and knows what he wants and does not like to waste time.  Antonio, my salesperson was very knowledgeable, courteous, and friendly.  Martin, the manager was very good in giving me a great price, and not wasting time.  Thank you to both these salemen.
",5.0
7,"May 19, 2020",Work is done as promised. I feel they take care off my vehicle really good. I appreciate viva dodge Jeep Chrysler for everything they do. ,5.0
8,"May 19, 2020",I had just bought my car 3 weeks ago and the battery had to be replaced already which was disappointing since the car was brand new however the service was awesome!!!!,4.0
9,"May 11, 2020",Took my truck for recall and for additional issue. Service was perform and was told that other part would be ordered and would me fixed at when part came in as promised truck will be repaired this week. Excellent service by service adviser (Peter),4.0
10,"April 29, 2020","So far, I have not had a bad experience at this dealership!  Pete has always been able to answer all of my questions, and honest with his recommendations.",4.8
11,"April 28, 2020","Disappointed in the service due to the following. Overpriced, quality and execution of work, no customer incentives. The front desk service wasn't bad, it was the technicians involved",1.0
12,"April 19, 2020","my visit from the Viva dodge staff was great. The young man that met me, Whose name was Chris, was very professional and addressed my needs including washing my car. Stacy, the service manager also came out to greet me and make sure I was being taken care of. The gentleman who is in charge of all service centers for the Viva dealerships, Mr. Patrick Brown,  does a great job in training his service people in customer service. ",4.8
13,"April 09, 2020",Horrible service will never go back to you guys went in for a recall you charge me 125 for nothing but I found a better place ,1.0
14,"April 07, 2020",My experience started in 2018 when I had lifters replaced.  The lifters were replaced twice times and I (and my warranty have paid over $8000).  I was told that I had aftermarket parts from AutoZone because supposedly the parts were on back order by 6 months (At one point they had my vehicle from July - Nov and I had to take it back in Dec :(   I no longer have a warranty and this last time I took my car in I was told that the warranty is expired and they were being nice to me by offering to not charge for labor (lifters again) but I could buy some lifters that came in for another vehicle.  I really believe that there is an underlying problem and did not think I should have to keep buying lifters and the REAL problem isn't addressed.  Needless to say that was their final offer.  I have my car after spending over $8000 and its still not working properly.  I spoke with everyone from the service manager to the general manager...NOT RECOMMENDED!!,2.4
15,"March 18, 2020","My fiance took my Scat Pack to the dealership for an oil change and ended up paying over $300 extra. Instead of asking her if she wanted them to do the filter replacements, fuel injector flush, and brake fluid flush they took the liberty of starting on it without her say so. To make matters worse they tried to explain to her what and why they did it as if she knew what they were talking about. The way I see it they took advantage of the situation to make a profit. ",1.0
