,Date,Reviews,Ratings
0,"June 26, 2020",I can’t thank Jonathan enough for all his help and efforts into getting me into a new vehicle!! The entire team that helped me was exceptional. My situation wasn’t easy but they didn’t turn me away or give up. I love the vehicle I purchased and in the future will choose Jonathan at Lithia for another deal! ,5.0
1,"June 25, 2020",Words can’t explain Mr. Eagle. He takes care of your buying needs with compassion and Care The Empathy he carry in his eyes as he serve you helps ease the salesman theory. I was pleased with his readiness to help . He is great.,5.0
2,"June 25, 2020",The salesman was very easy to work with and know how to talk to his customer and will go bat for the customer. The dealership was clean and friendly. ,5.0
3,"June 25, 2020",excellent handling of the sale . no pressure which is nice. explanation of features important and well described. I have no negative issues to report . thanks,5.0
4,"June 23, 2020",Salesman was great. Go Cole! We found exactly the truck we wanted quickly. Everyone involved were very professional and friendly. And thanks to Coy for making the deal good for me.,5.0
5,"June 22, 2020","In October of 2019, I submitted an electronic request for more information on a Ram truck.  I was 9 months away from my lease ending on an Infinity Q60 lease for my wife, who was interested in a truck.  At the time, I was only shopping looking for different brands of trucks.  Sam followed up. 

Sam was persistent.  He checked in with me regularly understanding that I was months away from making a decision on a truck. His persistence paid off.  Three months from my lease ending, I ordered a Ram 1500 Rebel (fully loaded), and on Friday, June 18 2020 my wife’s truck arrived.  

We haven’t driven much at all, but all indicators are that my wife will love it.  Thank you, Sam! ",4.2
6,"June 22, 2020","Extremely happy with the service/help of both Phil (Sales Manager) & Brandon (sales). They made the whole process easy from start to finish, one of the best truck buying experiences I have ever had. 

Thank you all,
Andy",5.0
7,"June 21, 2020","Both Justin and John were extremely friendly, polite and helpful. They patiently answered my questions and made me feel welcome. Overall, the Lithia dealership earned my trust and I would recommend them to others looking to buy a car.",5.0
8,"June 16, 2020","Fish was my salesman and he was very helpful throughout the entire process and I left with the car I WANTED, not one that I settled with. My experience at Lithia was by far the best experience I have ever had at a dealership! ",5.0
9,"June 15, 2020",Very courteous and helpful. Cole was my salesman and Jeff took care of my paperwork. I was pleased with everything except that my new vehicle was not detailed when I took delivery - there was debris under all of the floor mats and trash under the seats.,5.0
10,"June 13, 2020",Found a truck on car gurus and called from Mississippi about buying it. The process was extremely easy Archie Clary made everything go smoother than I expected. ,4.0
11,"June 13, 2020",We have been purchasing from Lithia since 2003 and for the last five years Albert Vasquez has done an excellent job in providing what we needed.  Albert has always answered our questions when we have called or dropped by.,4.6
12,"June 13, 2020",Best Salesman in the world!! Jonathan rocks!!! He really made my buying experience simle and easy I am a lifetime buyer now and will not be going anywhere else thanks for this experience ,5.0
13,"June 12, 2020",We had a great experience at Lithia!  We will definitely be back!  Jon Hines and Jon Eagle are great salesmen and go above and beyond.,5.0
14,"June 12, 2020",Brandon Veverica has been AMAZING every time we have needed his help. Sending ev1 we know to Brandon. Thank you again.  Will send friends and family to you,5.0
15,"June 11, 2020","We have purchased two cars from Albert, and he is definitely our first contact if we need another vehicle.  He is always super nice, and works his butt off to get us what we need.  We appreciate everything he has done for us, and will continue to return to him in the future!",5.0
16,"June 09, 2020","Brandon was great. He took the time to listen and helped us into the vehicle we wanted at a good price. We love the new Gladiator. 
",5.0
17,"June 09, 2020",Sam is amazing ! He worked very hard to help me and my son get a car. We will definitely come back. Sam really too care of us! ,5.0
18,"June 08, 2020",Everytime I go to Lithia everyone is always nice and helpful! Great customer service! I would definitely recommend to a friend or family member. Great service! ,5.0
19,"June 06, 2020",Albert keeps us coming back! Very professional and listens to our wants and needs. Gave him our price point and he delivered as always. Highly recommend him to anyone!,5.0
20,"June 05, 2020","Pleasant experience, Brandon is friendly, helpful and not over the top pushy. Seems an honest fellow trying to make a sale, as it should be.",5.0
21,"June 05, 2020",Very helpful. Helped me find something I like in my budget. Would recommend highly. Albert V. Got me taken care of and made the process a lot easier. ,5.0
22,"June 02, 2020",Gene Holiday provided us with excellent service. Got us in exactly the vehicle we came for and exactly the right price range we were needing. ,5.0
23,"June 02, 2020",Bought three trucks from them and wouldn't go anywhere else. Thanks John Hines for the great buying experience and getting me into my Toyota Tacoma.,5.0
24,"June 02, 2020","It was a very fast and easy process, I was in and out. Gene worked very hard and carefully to fulfill my SUV needs and wants. I’m very happy that I had a chance to work with him. He has great communication and people skills. I definitely will be recommending him and the company.",4.0
25,"May 30, 2020",Service was good and was able to get a great deal on a brand new 2020 Dodge Ram 1500. I Would recommend to a friend. ,5.0
26,"May 30, 2020","Albert was extremely helpful in starting the car buying process over the phone, minimizing the amount of time we had to be at the dealership! The process was the quickest I’ve ever had in purchasing a car and he really worked with us to make sure we got the best deal. ",5.0
27,"May 30, 2020",Great service by Albert and Nick!  It was a pleasure buying from them and I highly recommend them for your vehicle needs.  Albert helped us find the perfect vehicle for our son.  Thanks!,5.0
28,"May 29, 2020","Albert was my Salesman, he was great, very direct, and personable. I spoke with Coy over the phone prior to coming in and he was very knowledgeable and friendly as well. Jeff in Finance helped make the process painless and smooth. Overall a great experience!",5.0
29,"May 28, 2020","Salesman, Brandon, was nice and very helpful in finding just the right Jeep for me.  Brandon says he will be glad to help anytime thanks",5.0
30,"May 27, 2020","The entire experience was great.  Everyone was honest, straightforward and zero pressure.  Pablo was very professional and went to work on my behalf.  The entire experience was finished in about two hours.  I cant recommend LITHIA enough and will absolutely be buying another vehicle there.  ",5.0
31,"May 27, 2020",Albert was outstanding to work with.  He was very helpful and had my best interest in mind. Felt like he was looking out for me and what I needed. He made the process easy. First positive experience at Lithia. Great guy!,5.0
32,"May 26, 2020",I had a great time on choosing the right car for me and my children. Thank you Mr. Sam for all the help you provided to help me to get a reliable and safe vehicle. Thank you. ,5.0
33,"May 22, 2020","Very Helpful, Determined to help you out in any way, keeps in touch with you after purchase, makes sure your very comfortable while you wait on your purchase to be ready! Highly recommended you shop with Albert!!",5.0
34,"May 22, 2020",Litha is amazing place they are awesome. Works hard to get the individual into a car justin Johnson is the name. Litha is the best.,5.0
35,"May 21, 2020",Great customer service Brandon was easy to work with and very helpful. Dropped the Jeep off to have a hitch installed. They drove me home and then delivered it back to me. ,4.8
36,"May 21, 2020",My experience purchasing a vehicle with Lithia CJD of Bryan/College Station was Awesome and my Salesman Justin Johnson was Awesome from start to finish. I will refer family and friends to Lithia/ Justin Johnson  if they are looking for good Quality and Service. My experience at Lithia was a 100. Thank you Justin Johnson ❤️,5.0
37,"May 18, 2020","The dealership was great about helping me find the vehicle I want! And meeting the best price I could afford in the vehicle I wanted! Gene Holiday was such a great help and very patient! Anytime I have a question or concern he is always there , ready to help and in a matter of time! ",5.0
38,"May 18, 2020","You can't go wrong with Lithia, I have been dealing with them from CA, to MT, to TX and have bought over 7 trucks from them in my life tome, most traded in for a newer truck or to get the job at hand due to geographic location done right. I keep coming back because you just can't get a better deal or service. I will never buy from anyone other than Lithia and MR Holiday was on my side to get a lower rate for the truck I wanted. fighting the banks is what they do for the best rate posable, trust me when I say I was there until 11 pm because the banks trying to up the % rate, but MR Holiday and the GM at Lithia went to bat for me and after all said and done even with a chapter 7 on file, I still got the truck at a great rate. Thank you Lithia and MR Holiday for working so hard.  ",5.0
39,"May 17, 2020",This dealership work with me to get a car I really needed. They were very helpful and understanding. I will always go back to them,5.0
40,"May 16, 2020",This is my fourth purchase from the Lithia family of dealerships.  The staff is professional and courteous.  The car is a perfect fit for me and as clean as a new car. Right price and financing. Working with Justin Johnson was a pleasure.,5.0
41,"May 15, 2020","The experience we had was amazing 
I would recommend anyone that is in looking for a new vehicle 
Jake is a very knowledgeable person with great customer service ",5.0
42,"May 15, 2020","This dealer was exceptional with our purchase of a 2020 Ram 1500! Our salesman Melvin Holiday got us the BEST deal possible on our trade, and also the new truck itself. Out of all dealers we visited, Lithia earned our business! These are great people! ",5.0
43,"May 12, 2020","I enjoy coming here, Everyone are very nice and friendly. You can ask a question and they can answer it ,if not they will ask someone and get back to you. To your satisfaction. I would like to thank everyone at Lithia.",5.0
44,"May 09, 2020",This dealership was very awesome and helped me get the car I wanted. I would highly recommend them to anyone who is wanting to purchase a new vehicle. ,5.0
45,"May 09, 2020",Justin Johnson is awesome! I’ve purchased 2 vehicles through this dealership with his help. I appreciate his fast work and helpfulness. When I pay these 2 vehicles off I’ll definitely be back!!!,5.0
46,"May 06, 2020",Great dealership with awesome employees. Bought my second vehicle and look forward to buying more in the future. Thanks to Cole Ryan For working hard to get the deal done.,5.0
47,"May 05, 2020","Cole Ryan bent over backwards to find me exactly what I needed to pull my camper and made me a deal so good that I couldn't say no. If you want great service from a great guy, talk to Cole. ",5.0
48,"May 04, 2020",I like the new changes working with better management. I got my questions answer professionally. Service was better now than previously. We really like the truck and plan to enjoy the trips we plan to take.,4.4
49,"May 04, 2020",Jon Hines was excellent. very friendly and not pushy like some other dealerships I dealt with. Made my car buying experience very pleasant. Thanks Jon!,5.0
50,"May 04, 2020",Brandon made sure every step was taken care of for us and made it quick and easy to get in and out. Hope to deal with him again in the future for our other daughters vehicle.,4.8
51,"May 04, 2020",Jonathan made purchasing my new car so easy and he was incredibly helpful. He explained everything really well and wasn’t pushy. He did everything he could to help me and get me into  my car. I’ll be referring all my friends and family to him!,5.0
52,"May 03, 2020",Awesome salesman and staff. Actually did not mind the buying experience this time. The showroom was clean and friendly staff that played with my children while I was buying my truck,4.0
53,"May 03, 2020","This was my first time buying a car & absolutely loved my experience! I was very nervous, but ended up feeling very satisfied with everything. Eric made my experience one to remember. I will definitely go back there. ",5.0
54,"May 02, 2020",This dealership was very helpfully and went out of their way to make adjustments for me and I greatly appreciate them. This dealership assist you as soon as you walk in the door and the are very friendly and have great customer service. They are great with keeping you updated and creating a comfort zone to where you laugh and feel comfortable. ,5.0
55,"April 29, 2020","Wow, I received the best experience I have ever gotten from a dealer here at Lithia, Johnathan Eagle was so amazing! He helped me to make sure I got everything I wanted with my budget and got me the best rates on finance out there! He’s a car Guru!! Thanks John, you have a forever client. ",5.0
56,"April 24, 2020","Jon Eagle is the sales rep to ask for. He took care of us and did an excellent job ensuring that we were happy with our purchase. I would definitely buy from him again. Keep up the awesome work, Jon!",5.0
57,"April 18, 2020",The best car buying experience ever. My fifth vehicle from this dealership. I would gladly recommend to anyone for their purchase. Albert Vasquez was awesome with just the right amount of contact without being pushy. ,5.0
58,"April 14, 2020",Great service all around with a great deal! Brandon Veverica worked hard and did not stop till he got us the deal we wanted with our vehicle.,5.0
59,"April 13, 2020","Very fast and friendly they were able to get me into my dream car and gave me a good deal on my trade in, thanks",5.0
