,Date,Reviews,Ratings
0,"October 04, 2019","Excellent and professional customer service. Super friendly, made me feel like family. No run around, just the best deal possible on what I wanted! Listened to me and did what I needed and got the deal done as quickly as possible. Made buying my new vehicle completely easy and hassle free. David Rivera went above and beyond to help me and make sure that I was happy. Thank you you David and Smith Ford!!!",5.0
1,"May 24, 2019",Jacob and the team that worked with me was ABSOLUTELY AMAZING!!!!! Thank you all so much for helping me and working so hard for me! I will definitely be sending friends and family here!!! Again BIG THANKS TO JACOB AND STAFF FOR EVERYTHING!,5.0
2,"October 22, 2018","My husband and I would highly recommend Smith South Plains for purchasing a vehicle and getting is serviced! My Escape needed a new part and Mr. Campbell was very thorough in exaplining what the issue was and how much it would cost. The part had to be ordered and was done so in a timely manner. Also, I was kept informed the entire process. Furthermore, my husband needed a used vehicle with decent mileage and a few other necessities (4x4, white, & cloth interior.) Mr. Sykora was quick, professional and efficient in guiding us to the right pickup. The truck met all our needs and the deal was done in a matter of days. We will use them in the future! ",5.0
3,"October 13, 2018","Excellent and professional staff that took care of every detail. It was quick and simple and No haggling, just fair prices. Family owned makes all the difference!",5.0
4,"September 30, 2018",They were very helpful and informational. They gave every detail you needed to know about the car you were buying. Very professional and definitely recommend buying from them!,5.0
5,"September 18, 2018",Absolutely a great experience from the start to finish.  I was met on the lot by Dakota who showed me the car I was interested in and made sure that it met all of my needs.  I told him the final number I was looking for and he and Holden totally had the deal done in less than a day.  The entire staff of Smith South Plains is always there to help.,5.0
6,"September 11, 2018","have dealt with smith ford for over 25 yrs and have always been treated fairly by all the folks there, people like liz Martinez and Ronnie jones, now retired",5.0
7,"September 04, 2018",Always a pleasure to deal with the Smith south plains team. Wont go any where else for my vehicle needs and service. A plus team ,5.0
8,"September 04, 2018",Both the salesman and finance department went above and beyond to make things happen so this purchase was possible. I am very happy with the entire experience and would highly recommend Smith South Plains. ,4.7
9,"August 31, 2018",We have bought our last 4 cars from Smith South Plains! Customer service is top notch.  They go above and beyond to help you get into the vehicle you want! ,5.0
10,"August 30, 2018",I love that you guys are a home town dealership from the start to finish we were treated like family! I can’t sy enough great things about Victor Jr and mike Duran.,5.0
11,"August 29, 2018", Bryan and Justin took care of an out-of-town guy pretty well and I ended up buying two vehicles the same day and a 350 miles from home.  Justin knows his financing pretty well and knowledge rebates .,5.0
12,"August 27, 2018",Friendly and very helpful staff. I would recommend Smith South Plains to anyone who is looking for a new vehicle or somewhere to have your vehicle worked on.,5.0
13,"August 26, 2018",They work with you and help you get a great buy they are very friendly make you feel welcome we will definitely come back again ,5.0
14,"August 25, 2018","From the time we arrived the time we left everyone was considerate very nice tried very hard to help my mom get her a deal on a car while we waited they talk to us make sure that we didn't want anything to drink ask this how they are day was going very nice and very friendly
",5.0
15,"August 24, 2018","Dakota Holder exhibited great dedication and patience in my search for the right vehicle. I let Dakota know what my interests were and what my budget consisted of. I also told Dakota I was going to be very picky about the vehicle I bought. He was very patient with me after turning down many different cars.  When I finally decided to look at a car I had first selected, Dakota worked with me on the sale price and met my needs. I trusted Dakota and all the employees' judgement on the vehicle I bought and am confident they will help me with whatever needs I have to ensure they have sold me a quality vehicle.  I will be buying from Smith South Plains again!!",4.6
16,"August 22, 2018","Easiest buy I've ever experienced, gave me time to think and made my visit comfortable. Kept their word on pricing and made it affordable ",5.0
17,"August 20, 2018","I was having a hard time finding the exact car that I wanted; so, I came to Smith South Plains (recommended by a friend). They bent over backwards making sure that I was happy. Thanks to Jacob for finding my dream car! I highly recommend this dealership!",5.0
18,"August 15, 2018","Everyone at Smith Ford was great, especially Dakota. They made it such a fun, easy experience. I look forward to working with them in the future! Thank you for such an awesome experience!",5.0
19,"August 15, 2018",A big thanks to Robert Rios our experience was excellent we are very satisfied with the great customer service we would recommend y’all to anyone !,5.0
20,"August 14, 2018",Was a great experience and would recommend it to anyone who’s looking to buy a vehicle without the dreads of car buying! Great Job people!,4.7
21,"August 11, 2018","Robert sold me a 2015 f-150 platinum, great to work with and great communication! Justin did my financing and was also a pleasure. Just a great experience overall and couldn’t be happier with my truck! ",5.0
22,"August 04, 2018",Christy was very friendly and accurate in her price quote. She followed up immediately and kept me apprised of the process in ordering the part and time frame of installation. She made me feel welcome and is doing a great job. Thanks ,4.6
23,"August 03, 2018","Great work ethic, worked hard and gave me what I wanted! I could not have asked for better service. I would recommend the dealership to anyone I know. ",5.0
24,"August 03, 2018",The entire staff at Smith Southplains in Slaton made the buying experience amazing!!Every wish I had for my vehicle was granted and the entire team was in on this purchase.  Wouldn’t go any where else for a vehicle.   Thanks Smith Ford!!!  ,5.0
25,"July 30, 2018",Mr Victor Portillo is great! He always keeps it real and goes above and beyond for his customers. This is my 2nd car to buy from him even though I live in Dallas I will continue to come back to him! ,5.0
26,"July 27, 2018",Overall i had a great experience doing business with Smith south plains ford. The team considered every detail and did all they could to get me into the vehicle of my choice. 10/10 would recommend smith south plains ford and their team to anyone seeking a friendly staff to help them get into a great vehicle.,5.0
27,"July 24, 2018","Other than the lengthy process which is expected at most dealerships, this was a good experience.  Dakota went above and beyond keeping my increasingly fidgety child busy (movies, coloring) during the process.  He was very nice and kept up great conversation while we waited.  ",5.0
28,"July 21, 2018",I have been buying my cars from Tony for the last 25 years and have never once had a bad experience. I love that Tony knows me so well - he has the car picked out for me and I don’t have to worry about whether it is right or not. He has never steered me wrong. ,5.0
29,"July 11, 2018",All my dealings with Mr. Dakota Holder over the phone and through text messages were all prompt and were given with positive explanations. He was very informative on the vehicle and gave excellent instruction in such a short time frame because I had to get on the road for an 1800 mile trip back home. If this dealership were closer I would definitely work only with them.  ,4.6
30,"July 05, 2018",They are not afraid to find the vehicle you really want no matter what. David Rivera hunted a few days for the specific Explorer we wanted and I am so happy with the one I bought.  I will always buy my Explorers here (this is my 3rd from them). Everyone is very friendly and the service department is the best around.,5.0
31,"June 26, 2018",David was excellent in sales and Justin was similar in financing. Mondo very professional. A great team. I spent a long time with these folks. They were extremely professional. ,5.0
32,"June 25, 2018","I am a repeat customer, I have purchased 7 vehicles in 19 year from Smith Ford. As long as I don’t have to deal with Armando. I will continue to come back. I will never deal with him ever again.",5.0
33,"June 24, 2018",Mr. Rios went beyond are expectations to provide us with excellent results. We are EXTREMELY grateful. This was the fastest experience of purchasing a new vehicle so far. ,4.6
34,"June 23, 2018","I had recently bought a new car with this dealership 3 months ago, but totaled it on the second month. After being completely heartbroken, this team at the dealership got me an even better car within a week. Junior and everyone at this dealership are truly amazing. Couldn't imagine getting a car with anyone else! ",5.0
35,"June 21, 2018",As soon as you walk in the reception people greet you with a smile and take very good care of you. and had my truck out in a timely manner. ,5.0
36,"June 19, 2018", Excellent quick and no hassle service! Everyone is very friendly. Makes getting work done quick and painless plus hanging out in there company wasn’t too bad either 😉,5.0
37,"June 19, 2018","I drive 30 minutes to Levelland from Lubbock to get my oil changed at Smith South Plains because the experience is so great each time. I was even 15 minutes late for my appointment at the end of the day on a Friday and Adrianna reassured me it was fine and got me in and out in no time. All the staff from the service department, sales, office and body shop are amazing. ",5.0
38,"June 16, 2018",Everyone was great. Robert very friendly. He answered all our questions. Would recommend to family and friends. Will be back when ready to buy a truck.,5.0
39,"June 14, 2018",Dakota was awesome he was very professional call me everyday to see how the loan was coming along and he sold a car thanks Dakota for the great experience as a 1st time customer I was very happy ,4.8
40,"June 14, 2018","This was a great team to work with from the internet rep to the sales guys I would recommend them to all my friends and family!! 
When I buy again they will be on the top of my list. 
Thank you guys we love our new truck

Thank you 
Jim & Petra Harding. ",5.0
41,"June 13, 2018",The salesman and the team worked hard to get me approved! Got what is wanted and not that other car! I would definitely recommend South plains Ford to anyone looking to buy a Ford. The salesman was very friendly and was not pushy but very professional. ,5.0
