,Date,Reviews,Ratings
0,"June 03, 2020","I had a great experience working with Terry at Huffines. It was extremely easy to immediately trust him, which made what can be an oftentimes frustrating experience in car buying a smooth and enjoyable one. I highly recommend working with Terry for your next pre-owned purchase if you are in the DFW area. I know I will.",5.0
1,"June 03, 2020","Shopped the other dealerships before I bought here. The candidness, honesty and patience assisting myself was beyond reproach. Highly recommend buying your next vehicle from Zach and Huffines!",5.0
2,"May 26, 2020","Terry Layman gave us the most incredible car buying experience! After calling the dealership we found out a car we were interested in wasn’t available , he quickly gave us options and within 8 hours we had the perfect car! he was kind, knowledgeable & made sure we got the best deal for the right car WE wanted! Cannot praise this dealership enough from how fast and kind everyone was.. bonus their financing team beat our credit unions rate! ",5.0
3,"May 18, 2020","LONG BUT WORTH THE READ:

This was the best experience I have ever had by far with a dealership. If I could give them a higher rating I would. I was specifically dealing with Terry Layman. I had been looking for a 3.5 Ecoboost F-150 for quite awhile. I came to realize to get any kind of deal, I was going to need to look outside of TN. (they really really like their used trucks here judging by the prices) Needless to say I found a 2013 F-150 with 112,xxx miles at their dealership in TX. That meant I would need to travel quite a distance, as I live in TN. I must admit, I was very reluctant to put money on a plane ticket with the thought of ""what if it isn't in the shape they say it is"". Terry was extremely helpful in reassurance. Every question I had, he answered. Every picture/video I asked for he supplied...and quickly I might add. I flew down to give the truck a look over with the intentions of picking it up if everything checked out. Sure enough, everything checked out and I left that day with the truck. The closing went extremely quick as well. He asked for a few things ahead of time, which made the process extremely fast.

I took delivery of the truck and made the trip back to TN. It was not a drive straight back. We stopped at a few beaches and places along the way for overnight stays. The truck drove perfectly!! Mechanically it was everything Terry said it was. However when I I got home, I went to open the sunroof and it would not function properly. I was thinking to myself ""great...here we go...why didn't you think to check that before hand...you will never get the dealer to help with the repair cost...you bought it with an as is warranty"". Hopeful, I reached back out to Terry and explained that when I got home and went to function the sunroof, it was not operating properly. I didn't even need to ask for them to help with the repair cost. Terry quickly apologized and said they were going to help. He also took care of the negotiation with the Ford dealer on the repair. Huffines almost completely paid for the repair, which was not cheap I can tell you that. This was very much to my surprise, because as I said, I bought a 6 year old used vehicle with an as is warranty.

Again, I can not say enough how great of an experience I have had with Huffines Chrysler Jeep Dodge Ram in Lewisville, TX, specifically Terry Layman. I would highly recommend this dealership. They are very trust worthy and stand behind the vehicles they sale. ",5.0
4,"May 15, 2020","I just experienced the easiest and most pleasant vehicle purchase in which I've ever been involved...and I'm 57 years old!  Surya Bhasin was a joy to work with throughout this process of purchasing a used vehicle online.  We exchanged several emails and phone calls in which Surya patiently and humbly asked just the right questions to clarify exactly what I wanted and needed in the truck I was seeking.  Once that was done he delivered an absolutely beautiful Dodge Ram 1500 LoneStar which had everything for which I was wanting.  The negotiation of final buying price was fair and reasonable I've walked away feeling better than I ever have about a ""Used Car Salesperson""!!  Thank you Surya, I will recommend you to anyone anytime.

Bill in Finance & Insurance was also outstanding in his role.  I can tell you that we purchased an after market product that I genuinely feel is a fantastic and fair option to extend the warranty for my new used truck.  Our total time on site from driving onto the lot, test drive, price negotiation, credit review, and signing contracts was right at 2.5 hours...awesome and easy.  Thank you!  ",5.0
5,"May 14, 2020","Our experience was easy and fast even though it was during the covid-19 pandemic. Finding the correct vehicle, submitting the application online and financing was the best service I have ever experienced in my years of buying a new vehicle. 
I will recommend this dealership to everyone!  Keep up the great customer service!",5.0
6,"May 13, 2020",My husband and I received the most incredible service when buying a car for our son!  Larry Holtzclawn went far beyond our expectations!  He’s the BEST and we will definitely be back in the future.,5.0
7,"May 13, 2020","Thank you Thank You Thank you! Terry made buying my 16 year old her first car the best experience at a car dealership. He was very informative and down to earth. Never hassled me like dealers you hear about. I will be going back to Terry when i decide to get my next car. Thank you for everything you did for us. My daughter even enjoyed him and she is hard to win over!!! LOL :) 

Raquel from Finance was also a joy to be around. She was very informative too. She treated us like she had known us for years. I really appreciated her. Cant wait to be back in your office and having a laugh!! Thank you Raquel!!",5.0
8,"May 12, 2020","And I say that because the entire experience seemed to last only a few minutes rather than the traditional hours with NO HAGGLING. De'Arien made it clear up front he was interested in getting us the best deal possible and it showed. I have nothing but positive things to say about the entire experience, and I'll encourage anyone in the market to give De'Arian a call before shopping elsewhere. ",5.0
9,"May 10, 2020","When it came time for me to purchase a new vehicle it was never any doubt that I would purchase another Jeep.  I went to Huffines Chrysler Jeep Dodge Ram in Lewisville, TX and there I met De'Arian Spencer and staff.  Not only was De'Arian not a ""pushy salesman"" he actually made the car buying process simple and a pleasure.  I never felt any pressure, he answered all of my questions and walked me through the entire process.  He continues to serve me by making my service appointments for me and asking me if I ever need any assistance.  Not only would I recommend Huffines but I most certainly would refer you to De'Arian.  Thank you De'Arian for all that you do!",5.0
10,"May 05, 2020","I will start by saying that this was by far the best experience I have ever had while buying a new car. It all started with me visiting the website and asking the pop up chat about rebates. Next thing you know, I have a new Jeep!
I was contacted by Surya thru email as requested. I laid out what I was looking for and gave him the #'s I wanted to be at. 30 mins later he had my deal done all thru text. All I had to do was come sign my paperwork and take possession of my Jeep. It was that easy. No dealer ad on's. No back and forth. I cant thank the Huffine's Team enough. P.S. Be sure and ask for a poem from Surya!",5.0
11,"May 04, 2020","De'Arian was great.  There was no pressure and I was in and out relatively quickly.  I would recommend this dealership to others, especially De'Arian.  
",4.8
12,"May 03, 2020",Great service!!! Zack answered all questions I had and made me feel comfortable doing business with him. I would definitely recommend buying a car from this dealership.,5.0
13,"May 02, 2020","Zack was amazing!!!!! He answered all questions and provided 2 realistic options based on what we wanted. He was not overbearing nor did he oversell. He was fantastic and I’d buy from him again/recommend anyone else to buy from him. 
The front staff was awesome and connected me to a sales person that fit my style. 
I do wish the finance team would have had masks, sanitizer, or used larger spaces to allow for more distance. 
",4.0
14,"April 27, 2020",Had a great experience buying my 2019 Ram from Joe Koubek! Raquel took great care of me in finance! Would definitely recommend Huffines Dodge Lewisville,5.0
15,"April 20, 2020","I just bought a 2020 Challnger RT from this dealership I have to say I had a great 👍 experience.  John was fantastic and had understanding of what I was looking for and my expectations,  he was very astute and found me exactly what I was looking for at a great price. John had a partner take over and he was just as nice in completing the sale. There was no run around and getting to finance only took a few moments to complete.  My mom referred me to John and I would share the referral and recommendation to anyone I know in the market for a vehicle at this dealership.  Great job guys!",5.0
16,"April 18, 2020",I am considering filing a lawsuit and filing compliants with State Attorney's office. Have tried to resolve issues with the misrepresentations made by Scott Bradley but no response. They don't care they just want to trick customers. You should be ashamed of yourselves.,1.4
17,"April 11, 2020","from the first contact with Zack Victory to the signing of the contract with the finance dept, it was the easiest and friendliest experience my husband and I have ever had with purchasing a vehicle.  It was actually FUN!!!!  Thanks to Zack and everyone at Huffines Jeep in Lewisville ",5.0
18,"April 09, 2020","Vincenzo and Zack were both very professional and understood our needs. Everything got done right as soon as possible during the virus shutdown. They both worked hard to make sure we got the new vehicle without having to rent one until it arrived, much appreciated. We are very happy with the new Jeep and with the service we have received. This was overall the best experience for us and we had this Jeep built to what we wanted in it. A short note to Mr. Huffines, thank you for keeping the dealership open so that we didn't have to wait until everything is reopened to get our Jeep. We are enjoying it and it is exactly as ordered and as we wanted. Thank you sir, for supporting our military and disabled veterans. Bless you all.",5.0
19,"March 26, 2020","Buying a car at Huffines Lewisville was a very good experience. Hamed Awadi was my salesman and he is the best car salesman I've ever dealt with. He was very knowledgeable, friendly, and and truly concerned that I was totally happy with my purchase. Everyone I meet at the dealership was friendly, efficient, and professional. I highly recommend Hamed and the Huffines Lewisville dealership.",5.0
20,"March 15, 2020","Not only was De'arien professional and knowledgeable, he made the whole process smooth and enjoyable. We'll definitely be back to see him for all our future car needs. Thanks, De'arien!",5.0
21,"March 08, 2020","I’ve never taken the time to write a review but in this case; buyer beware. I was working with a sales person named Terry on the purchase of a Jeep Wrangler. We were down to financial information and I received a text saying “I think I got this done; just waiting on your financial info”. I sent it within 2 min of that text. I was supposed to head over there after work at 6 pm. He seemed very helpful and determined to get this done for me. The sales manager had also become involved to help us get this price right....
NO SOONER did I send the financial information, I received an email “SOLD SOLD! Just wanted to let you know that another salesperson sold the Wrangler we were working on, to a customer that was in this morning and the.n came back”. No apology; no “I’m so sorry”. NOTHING! We had been working on this sale for 48 hours. An apology would have been nice. I will never deal with this dealership again. I took my business to the dodge dealership in McKinney; where the salesman immediately put a “sold” sticker on it, with my name; while we see if we can get this done to fit my financial requirements. 
So just know; if you deal with Huffines Dodge in Lewisville; you may have your chosen vehicle sold out from under you! And if you do; there will be NO apology or anything done to help make it right. He didn’t even guide me to a possible alternative purchase or help me in anyway. Not even a follow up email. Disappointed to have been treated this way.",2.0
22,"March 04, 2020",I’m pretty sure people at Huffines cringe when they see me pull up to service. I feel like I always have something wrong with my car. Either way they are always polite and ready to help get me on my way. Mr. Smith is someone who always gets stuck helping me. This young man puts up with my attitude that I have regularly. He will even go out of his way to call and make sure he has everything ordered before I come in so there is nothing getting in the way of my service being completed. He will even follow up and make sure if I was helped by someone else that they made sure I was taken care of. This is definitely someone who I know will make sure my vehicle is in good hands when I come in. The whole staff is very nice especially the young lady in the front. ,5.0
23,"March 04, 2020","Joe helped me purchase a 2017 Chevy Silverado.  I went to the dealership twice and Joe was an incredible help both times.  He is very friendly and not pushy at all, i felt very comfortable dealing with him, and he is part of the reason I bought the truck at this dealership.  After we signed the contract, he had the service shop fix a few things that needed to be done to the truck, and he called the former owner and asked him to bring the spare key to the dealership.  He is just awesome to work with.",5.0
24,"March 03, 2020",Friendly and ready to make it happen! Zack was great and follow up was excellent!This is my 6th or 7th time buying from Huffines!,5.0
25,"March 02, 2020",Everything went fast and Smooth. Everyone was friendly. It was like I knew the guy for years. i love my new challenger. Worth the 1 and half hour drive to get it,5.0
26,"March 02, 2020","I had a wonderful experience at the dealership. Curtis Kimberlin was very professional and caring. It was very refreshing to have great service because I had bad service at another dealership close to my home I decide to go to Lewisville and give them a shot, and they passed with flying colors.",5.0
