,Date,Reviews,Ratings
0,"June 20, 2020",When I bought my Jeep it was  an easy process did not have to haggle over numbers in and out. Thank you all for everything .,5.0
1,"June 12, 2020","Great experience, they worked with me until I got what I came for. I really reccomend, they go the extra mile. After purchasing the salesman called to see how I was liking the car and I've even received a gift by mail.  Wonderful customer service. ",5.0
2,"June 05, 2020","Elliott's of Palestine is by far the best vehicle dealership I have ever done business with. All of the staff is pleasant and respectful. Juan Servin was the sales rep I had the pleasure of working with. He found the exact vehicle I wanted. He understood my time was precious and didn't even try to waste it. There was no pressure, no hard sales, no haggling. Just straight up, get the job done service. I appreciate all the members of the Elliott team I dealt with and can't thank each and every one of them enough. But definitely ask for Juan when you go in. He's awesome. ",5.0
3,"May 30, 2020",I really enjoyed working with this dealership on the purchase of my new vehicle. The staff and finance department was exceptional. I would recommend this dealership to any of my friends do and family!!! ,5.0
4,"May 27, 2020","I had a problem with accessories on my new Dodge Ram.  They have been resolved with the General Manager, and Elliott Auto Group will once again be my dodge dealer of choice  ",4.6
5,"May 21, 2020",Easy to deal with. They found the truck I wanted in another state and had it on site in about a day. Fair price and quick closing.,4.6
6,"May 20, 2020","I was mis-led as to the options that the vehicle I purchased!  I was dis-appointed with the salesman, who claimed he would contact me monthly at the least, and I have not heard from him this year!",3.2
7,"May 05, 2020",They did a grate job .Two thumbs up ill let everyone know how friendly and nice every one is they really get the job done. ,5.0
8,"May 03, 2020",Very low key approach with every degree of courtesy friendly and helpful. They were very generous with help transferring contents of one car the other. The information during the the sale was delivered in a manner that was able to understand!,5.0
9,"April 17, 2020",Salesman was knowledgeable of the product and very polite he made my experience with the dealership comfortable and pleasant I  would definitely refer my family and friends ,5.0
10,"March 24, 2020",The staff was really friendly and very knowledgeable. I have enjoyed working with this dealership. I will continue getting my car serviced at this dealership. ,4.6
11,"December 06, 2019","I appreciate the professionalism that was displayed through the entire sales process. I was treated with kindness, and the sales rep was transparent and accommodating!
 I ",5.0
12,"November 09, 2019",I like a This dealership.. Its more personable than big city dealerships. I live in Longview and plan to drive  70 mile to continue to use this dealership although we have one locally. My salesman was great and I like the finance guy 😉! Its better all the way around. They make sure I am satisfied..,5.0
13,"September 27, 2019",Awesome place would not go anywhere else. Very friendly from the first step in the door. They do exactly what they say  they are going to do. Did not feel like I was being pushed into anything ,5.0
14,"September 18, 2019",They weren't pushy about trying to put me in a vehicle I didn't want. They worked well to get me the truck I wanted and a finance rate that was awesome! ,5.0
15,"September 10, 2019","We shopped at 50 different car dealers online for a 2018 Toyota Highlander.  All of them were playing games on my trade in and price of the car.  And Palestine Elliot Group gave the best trade in up front.  No negotiation was required.  Over all, I financed $4500 less with Elliott with my finance amd purchasing of this vehicle.  The customer service is great and well worth your time.
",5.0
16,"August 07, 2019","I recently purchased a 2017 Ram 1500 from Elliot Chrysler Jeep Ram and couldn't be happier! Marcelo did a great job getting me into my ""new"" truck quickly and painlessly.  My family has now bought 4 vehicles from them and they went out of their way to get us the best deal possible.  ",5.0
17,"August 01, 2019",I was impressed with the attention the service people exhibited. They listened and ensured I was happy with the service they provided. The handled my recall and suggested minor additions that would ensure my vehicle ran like it was supposed to ,5.0
18,"June 27, 2019",Nice place to do bussness witth great staff very pleasant.makes buying a new auto an enjoyable.experience.will be  reffering them to all my friends.,5.0
19,"June 22, 2019",Very pleasant empoyees making for a great experiance buying a new truck.very knowlgeable employees very friendly.had a great and enjoyable time at elliots,5.0
20,"June 21, 2019","We had shopped several dealerships looking for the right truck - found a couple but couldn’t negotiate a price I could live with until we came here.
Fair price, fair value on my trade-in and fair apr -
We bought the truck !",5.0
