,Date,Reviews,Ratings
0,"February 09, 2020","Great Experience, Great Company and highly recommend! Chris Dees is the guy to talk to. Got us a deal we couldn’t refuse and we walked away super happy! ",5.0
1,"December 16, 2019","We came in got a really great experience, josh was very kind and respectful. The process ran smoothly couldn’t have had a better experience.",5.0
2,"October 14, 2019","Recently my car had a recall posted to me. I went to the Ford Family Dealership and am very pleased with their promptness and the service I received. They were very quick to respond to my questions. The manager, as well as the service department,  are friendly and knowledgable. Based on my experience, I value their opinion and feel they are more than competent.",5.0
3,"October 10, 2019","Great Car Buying Experience From Beginning to End! My salesman, Ryan Harrison, treated me like family. He served as my trusted advisor, making me super comfortable with my purchase. I'll definitely return to Family Ford for my next Vehicle.",5.0
4,"October 10, 2019","I used to go over there for many years, but new management team seems to be the best so far. Keep it up with good work !!!",5.0
5,"October 09, 2019","Tanner and the rest of the team were a pleasure to work with. No pressure and lots of yes sirs.throughout the process. Price was good too. 

David Motley",5.0
6,"October 08, 2019","I was needing an oil change and state inspection. I was greeted promptly and after checking for any possible recalls, they completed the work in less than 45 minutes.",5.0
7,"October 05, 2019","This was my first time to the Service Department at Ford Family Auto, but it won't be my last. Tyler took the information on my car, got it in to get the oil changed, fluids check and completed the other checkpoints they do. The whole process and wait time was about 45 minutes. It was great to get to see all of my friends and get great service at Ford Family Auto. ",5.0
8,"October 03, 2019","I called this dealership after test driving at another dealership. The other dealership told me they could meet all of my demands before driving over to make a deal, they did not! I called  Ford Family Auto and they met all of my demands in an extremely fast manner! Everyone that I spoke to seemed very appreciative to have our business! We will definitely be returning customers! I love my new Ford Ecosport!!!",5.0
9,"October 02, 2019","Enjoy the people every time I come out to family ford! Mail sold me my new truck! I put kail through the ringer, and he did not disappoint! Tyler always takes care of my truck and really appreciate what he does!",4.8
10,"October 02, 2019",Family ford will be the place I buy cars for years to come. The staff was so nice and very helpful. I would definitely recommend this place to friends!,5.0
