,Date,Reviews,Ratings
0,"June 07, 2020","#Hensonbrand is by far the best of the best. Love the company and all the people who work for them / with them are all Awsome. only one in the country who offer 100.000 mile warranty on all cars sold new or used For life . Awesome.
",5.0
1,"June 06, 2020","This is the best dealership in the country. They really want to get you in the right car or truck at the Best price, they have the best deals,financing,and giveaways. They are the country's 5 Star Dealership!",5.0
2,"May 28, 2020",I love the Hearts thay have helping so many in need. Its what God would do and thay follow in his steps.goid and kindness. God Bless them all.each and everyone of them.,5.0
3,"March 04, 2020"," The giveback program shows me that it’s not all about making money it’s helping the community and I live in Indiana and my next vehicle purchase will be from them and I’ll have it shipped to my door ,",5.0
4,"March 03, 2020","I love hensonbrand. The staff is amzing & its  rare to see a company  that truly cares and gives back to the community. 
I highly  recommend buying your next vehicle from them",5.0
5,"March 03, 2020","I love henson brand they are very nice n do a car giveaway every month for those who may be in need of transportation,great poeple great service.",5.0
6,"February 24, 2020","Absolutely the best vehicle buying experience ever.  Amber Renee was an incredible sales person.  Pleasant, knowledgeable and low key.  The other persons I dealt with (Sergio Portillo, Zach Menard, Eric Barbosa, Brandee Curtis and Sergio from service)  were all consistently upbeat and helpful. I drove over 50 miles one way and I would do this again along with recommending these folks every chance I get.  Thank you all again and I wish you all the best!",5.0
7,"February 12, 2020","Best vehicles sales and service. These guys are great and help a lot of people, the way dealerships should. I love these people and the service they provide. ",5.0
8,"February 12, 2020",Very good reliable vehicles and very good customer service and they give back I would definitely send people there to purchase from them good luck everyone ,5.0
9,"February 12, 2020",My daughter just bought a truck from you guys! She is so happy with it. Thank you for helping her with such a great purchase!,5.0
10,"January 13, 2020","The staff at Henson Motor Company far exceeded my expectations. I was a first time buyer and they were so attentive to my needs and did everything they could to make it a positive experience. They did not treat me like a customer they treated me like family! Thanks for everything, Henson",5.0
11,"January 09, 2020",Awesome experience!!! Brock our sales associate was super helpful and nice. In fact my opinion of car shopping was very poor until shopping at Henson. Thank you for an excellent experience!!! Highly recommended. We LOVE our new Jeep,5.0
12,"December 30, 2019","I traveled to Henson, hoping for my dream truck.  The staff worked hard to help me find a truck that suited my needs and to make my dream come true! ",5.0
13,"December 27, 2019","My wife took our Jeep in for a recall. The service was performed satisfactory. While there she looked at some of the used inventory. I went online to see what she looked at. I also submitted to see what our vehicle was worth as a trade and I have had no response. Still waiting...

Robert",5.0
14,"December 21, 2019",Friendly professional service personnel with the “no pressure” sales techniques. It was great to have the work completed in a timely manner and return to a freshly cleaned vehicle.,5.0
15,"December 11, 2019",Henson has the best customer service ever!!!!  I took my car in for service and got my Jeep back on the same day.   The service department kept me informed of what they were doing and when I would get my jerk back.  Very friendly and professional people in the service department. ,5.0
16,"December 07, 2019",The Henson staff really went after my bussiness and were great people to work with.  Very happy with my new 4x4 Ram and the deal we made.,5.0
