,Date,Reviews,Ratings
0,"January 22, 2019","I bought a brand new Jeep Wrangler in December 2017 . I spent 32,000.
In July 2018 my information was used to finance a 2012 Ford pickup for 12,500.
Peters used my SSN ,name, phone number to secure a loan for another customer.
This was Identity Theft and Bank fraud according to the bank investigator where 
the loan was taken out. I had to fill out a affidavit to get the bank to stop calling 
me and get the loan taken off my credit report. It's now been over 6 months and 
there are still inquiries on my credit report that affects my rating. I can't get them
removed. Never again!",1.0
1,"January 15, 2019","Peter's claimed the part needed was no longer available and the tack could not get to part ti be replaced, did not have the tools necessary. After blowing out the new module the blame was placed on the weather.  The SSR was at the Dealership for three days. I took the SSR to a private auto repair. $1100.00 to repair Peters mistake and in two days found the part necessary and repairs made.",1.6
2,"September 14, 2018","I inquired about a used Corvette for sale at Peters Chevrolet. They do NOT have pics on their web site of this $50,000 car for sale. However it is the year model that I'm looking for, so I asked them to please send me pics of the car. Well, I get a call from a salesman name John. He said before I send pics let me know you looking for in this car. I was like, well, I don't even know if i'll like the car because I don't know how the paint looks, and if there is any damage. And he still won't send pics.....Really? your selling (trying to sell) a $50k but oh no, your not allowed to see pics of the car first. LOL. I live 2 hours away, I need to see pics first. Is that too much to ask? Well, at Peters Chevrolet I guess it is.",1.0
3,"October 03, 2012","I would highly recommend this dealership. Isaac was very knowledgeable, friendly and straight forward. Did the deal over the phone and everything was exactly as he said it would be. Drove 5 hours to get the best deal after researching other dealers on the internet for over a month. This was without a doubt the best car buying experience in 37 years of purchasing vehicles. Signed paperwork within 5 minutes. Dealership closed at 6:00 pm but Isaac went over every detail of our new truck until after 7:00pm. He truly cares about his customers and it shows in the way he does business.  We will definitely go back to Isaac and this dealer for our next vehicle purchase.",5.0
4,"June 05, 2011","  When you walk in and meet Terry, you get an immediate feeling of dealing with a person that wants to make you happy. I knew we were ""clicking"", for some reason or other, and finally asked if he was from around Longview. Come to fine out Terry graduated from the same school (Longview High) a year behind me. Unfortunately, we could not recall each other from back then, but threw out 20-30 names of mutual friends we went to school with. I knew then that was the reason we were getting along so well. Terry acted like I was the only customer that had ever walked into his office and made us feel right at home. 
  Terry was honest about what he could do for us, kept a smile going and made me want to buy my new truck right then and there and not look for a better deal, which I do not believe I could have found anyway. 
  With the world of the internet, it makes shopping and comparing so easy, but to meet and get to know a salesman like Terry, makes the new vehicle shopping experience worth the eye to eye contact. 
  If he would have been a pressuring, ""come on, I havn't got all day, I have other customers"" type of fellow, we would have walked out the door and never looked back and, trust me, I have before. 
  Now to the sales manager....give Terry a pat on the back and take him to lunch cuz these are the type of salesmen you can not afford to let walk out. If you had 3 of him, it would be worth 15 of the salesmen at the chevy place in Texarkana.",5.0
5,"June 02, 2011","Jace is a fantastic person and for the first time in a car buying expierence I actually felt as if he had me and my best interest at hand. I felt as if he were working hard to get me the best deal he could both for my trade and and on the price of the new car. Once I made it back to the finance department Floyd was very helpful and did an excellent job for me. Over all this was my best buying expierence to date. I will recommend Jace to all of my family, friends, and my clients when they are in the market for a new car.",5.0
6,"June 01, 2011","We were very happy with Issac and your dealership. We drove all the way from Arkansas to purchase the Dodge 3500 and it was worth it. We have dealt with other dealerships and the experience was not the best. I really appreciate the respect and customer care the employee's at Peters showed us.

Thank you for a very good experience!

Sheila & Guillermo (Pelon) Martinez",4.8
7,"May 21, 2011","VERY IMPRESSED with David Hawkins.  He treated like family, very attentive and respectful.  I will diffently tell anyone I know to purchase the vehicle from Peters and have Dave Hawkins for their salesman.  He did all that he promised he would and more.  

Steven the finance manager did all he could for us to get in a better vehicle , and was also very pleasant to do business with.

David also has contacted us even after the sale to make sure everything was working out for us.  We just appreciate all that was done for us.",5.0
8,"May 05, 2011","This was the 3rd vehicle purchased from Patrick is less than a year.  We are always pleased with the service we receive.  We enjoy doing business with an attractive, well maintained and professional dealership.  Peter's has an excellent reputation in our area.",5.0
9,"May 04, 2011","I felt very cared for at Peter's.  Ron was very kind to me, as were Terri and Scott.  Other sales personnel were very nice to me.  I did not get everyone's name.  I really thought I had made new friends! I will recommend Ron and Peter's to anyone I know that is in the market for a vehicle.",5.0
