,Date,Reviews,Ratings
0,"June 27, 2020","Jose Fonseca and Lupe Perez were both outstanding, great service, stress free, they helped us find what we wanted, would recommend them anytime. Greta experience",5.0
1,"June 24, 2020",The experience was excellent as always. We keep coming back for more trucks every year. We won’t take our business to any one else. ,5.0
2,"June 17, 2020","Jose Fonseca was an outstanding salesman.  He listened to what I wanted and the price range I was looking at. He did not try to push above that, which I appreciated greatly.  He help me find the perfect truck for myself and family.  Thank you Jose!

Robin ",5.0
3,"June 13, 2020","Ron Wilson was very professional and knowledgeable. I was very pleased with Ron, and I recommend him very highly to anyone! Kudos to Mr. Wilson!! ",5.0
4,"May 28, 2020","Jose at Rogers Ford was amazing! I loved working with him, he made the whole process simple and stress free.  Will refer him to everyone in the future. ",5.0
5,"May 14, 2020",Was close by and just stopped in Fast Lube to grab wiper blades and they put them on for me even.  In and out in nothing flat.,5.0
6,"April 30, 2020","Rogers Ford is always clean courteous fast, helpful and ready to help.  I have had them service my pickup ever since I bought my first one many years ago.  I am a loyal customer and will remain so.",5.0
7,"April 15, 2020","Had a budget, was in a bit of a bind and looking for a vehicle fast. Leslie ray (salesman) and the finance guy found my vehicle, put me in it same day! Great to work with.",5.0
8,"March 17, 2020",   Rogers Ford Service Department has impressed me every time I've taken them a vehicle to service. Their monthly email oil change/tire rotation discounts are hard to beat.,5.0
9,"March 07, 2020",The service adviser went out of his way to resolve my vehicle problem. Wait time was better than expected and the service fee was WAY lower than expected.  ,4.8
10,"January 20, 2020","My family has been buying vehicles from Lee Cook at Rogers Ford for 25 years and Lee is the definition of a salesperson.
ZERO hassle! He treats all of us like his only customer when we call and certainly when we arrive at the dealership.
Doss Rogers greets us like old friends not like a car buyer. If you are in the market for a vehicle you will be well served to spend your money at Rogers Ford ",5.0
11,"January 12, 2020","Rogers Ford Lincoln has the best service department in the Permian Basin.  They are very friendly, knowledgable, and are able to get your vehicle serviced quickly.",5.0
12,"January 12, 2020",wrnt in and found the exact car I wanted what I was looking for at a great price Leslie Ray and Amber Locke amazing people,5.0
13,"January 08, 2020","Mike Johnson is our to guy at Roger's.  He always does is a great job and is very quick.  None of that ""Let me get with the manger"" run around.  Always open and honest ",5.0
14,"December 24, 2019","Recently visited to purchase a new truck. Ron Wilson helped greatly in making the purchasing process quick and straight forward. 

Will be returning in the future for my next purchase.",5.0
15,"December 18, 2019","We had a very pleasant experience. Phil Mathews was great to work with, made the purchase easy and  I would certainly recommend him to others.
",5.0
16,"December 13, 2019",A smooth and easy process purchasing a new 2020 aviator with two trades.  They offered a fair deal and easily beat their competition at Sewell.   Would recommend Rogers. ,5.0
17,"December 11, 2019",Great sales staff and a really awesome service department. They always make you feel like you are their only client and do  really good work. ,5.0
18,"December 11, 2019",Purchased a used 2014 Chevrolet pickup truck that is really nice and it will be great for my transportation to and from work. Real nice. ,5.0
19,"November 06, 2019","Beau was very friendly and helpful. When I got there, he was ready to help. Will continue to stop by to have my husbands truck serviced.",4.6
20,"November 01, 2019","Sale was quick, easy and friendly as usual. Salesman at Rogers are fast & convenient to help and never keep you waiting. Finance was a quick process and out in less than 15 minutes.! Thats service at Rogers.! i",5.0
21,"October 17, 2019",Friendly service and they are willing to go the extra mile. Salesman was great to my wife and made the experience easy. Will definitely buy another vehicle here. ,5.0
