,Date,Reviews,Ratings
0,"June 19, 2020","Outstanding service! Turn key operation. I live in Tulsa and it was as seamless as can be. Mark, Adam, and Amanda are the best! They make it right for you. 

Beau T.",5.0
1,"June 11, 2020",Wonderful experience! Worked with me and it's been the best experience I've ever had buying a vehicle. First time I've ever had a sales person show me how all the little extras work on the vehicle I was buying. Thanks to Adam!,5.0
2,"June 05, 2020","I stated the process with internet sales and progressed go my final sales associate Mr. Adam Brown. From the beginning of the process, I was greeted by very friendly employees quickly evaluated and taking care of my needs. Adam was top of the line sales and for my next vehicle, I would seek out Adam to help me. Overall the dealership was great and would recommend to anyone needing a quality vehicle which includes quality service.",5.0
3,"June 05, 2020",Adam Brown was FANTASTIC!!! He went above and beyond with the customer service he provided. He kept working to help us even after we made the purchase when he didn’t have to.  The process was seemless and the experience great. Definitely recommend!! No hidden fees. Was also one of the best experiences I’ve had at a dealership!! ,5.0
4,"May 16, 2020","They worked hard to find exactly what I wanted,and met my expectations with price. Josh Deyo is great to work with and helped me totally surprise my wife with the new Fusion. Josh is the reason I decided to give Bird-Kultgen a try.",5.0
5,"March 28, 2020",I have dealt with many dealerships and this was by far the best most relaxing experience I have had. Straight forward Honest no numbers game! ,5.0
6,"February 11, 2020","Saturday I bought my 5th Escape from Bird Kultgen. Joshua Deyo, Philip Howard and Tim Pietsch are great to work with and always work on getting me the best deal possible.  ",5.0
7,"January 06, 2020",Just purchased my second new truck in less than 6 months from Bird Kultgen.  Very smooth process and the staff was excellent.  I also have great experiences in service department - Thanks Bill Bullman and Leslie McBride!,5.0
8,"November 08, 2019",These guys were super patient with us out of state buyers.. dealing with our bank etc. Highly recommend using Miguel.. he made this process super easy.. worked extra hard to make the deal happen! ,5.0
9,"June 20, 2019",Great and easy to work with. Very honest experience when many aren’t upfront. The prices were given upfront unlike other dealers and there were no hidden fees. ,5.0
10,"May 21, 2019",Adam Brown made the truck shopping experience as easy as could be. He was incredibly knowledgeable and made us feel at home. I would highly recommend Bird-Kultgen to anyone shopping for a new vehicle.,5.0
