,Date,Reviews,Ratings
0,"June 26, 2020","Everyone at Blake Utter Ford was very friendly and helpful.  My service advisor, Aaron got my truck in quickly and kept me informed of progress as the work was being done.  Very happy with the service!",5.0
1,"June 12, 2020",Blake Udder is a great place to buy a new vehicle. I love love my truck!! Thanks to Kerry Burns for all his help. Friendly and great service ,5.0
2,"June 10, 2020",Great Service!!!! I’d recommend Jonathon Armstrong and Aaron Fleming to anyone interested in getting treated fairly that wants a good value for their money. ,5.0
3,"May 22, 2020",Every one was great to work with!! Including staff that wasn’t directly involved. Very cordial about opening doors and making sure you had a good experience!,5.0
4,"May 05, 2020","I felt awkward arriving at the dealership during the Covid 19 outbreak. Even though they were allowed to reopen their doors, I was unsure of how the experience would go. Not to worry. My salesman Robert Powell was very prepared and made the effort to insure our safety all through our time at the dealership. He had the vehicle I was interested in ready and waiting at the front door. He was polite, knowledgeable, and didn’t use high pressure tactics. We had a very good day at the dealership, and went home with our dream truck!",5.0
5,"May 02, 2020","The service writers are excellent Sherri always takes care of use ,very pleasant & professional . Arron help me this time he was also pleasant , professional 
The only problem I had was l had a 8am appointment to have the belt replaced ,Rogers turned ,brakes pads  & tire rotation I told the service writer 
,writter I had to have my truck back today as I was to move something for my son on Saturday . I went to pick it up at 4pm & was told rotors could not be turned . I felt I should have been told earlier in the day so we could have came up with a better plan 
Service folks were great but someone did not communicate with thins ??
Thanks
",5.0
6,"April 30, 2020","Sold truck out from under me.   One star is too many but I guess that is the minimum rating.   I reached agreement on price via email on a Friday.  Late Friday morning, I was on the phone with salesman with my card out of my wallet to leave a deposit.  By Friday afternoon my bank's loan officer was working with the dealership's business manager to process paperwork.  Several iterations of back and forth (delays on their sid)e over next couple of days.  On Wednesday I was coordinating for travel and pick up when I got an email from salesman that the truck had sold through their sister dealership.  Unsatisfactory that they would  sell the truck  to an ""in person ""warm body over some guy in AZ "" (Saless managers words) despite fact that we had reached a good faith agreement.  Incompetent at best and unscrupulous at worst. Shop elsewhere!",1.0
7,"April 28, 2020",The dealership was very clean everyone was very friendly and professional they had my vehicle cleaned and ready for me to pick up filled up with fuel very nice,5.0
8,"April 27, 2020",I only had an oil change today. My husband and I love this service department. Very friendly staff. I will say today I was disappointed...they normally vacuum my car out and that was not none. It also smelled like oil/garage shop on the inside. ,3.0
9,"April 24, 2020",Excellent service and work done replacing my windshield and coolent flush. I highly recommend Blake Utter Service.  Talk to Lee Earley in parts for help and information.,5.0
10,"April 21, 2020","They checked up Escape for rotten egg smell issues and  found nothing wrong. They said it was probably a fluke or just bad gas. Next time it happens,will ignore it.
",5.0
11,"March 12, 2020","Took my wife’s 2018 Edge in to Blake Utter Ford for oil / filter change and tire rotation.
I was immediately met by service advisor, Ron.
He completed the service order and moved the vehicle to the service department.
",5.0
12,"February 26, 2020","We only do business with Blake Utter or Bob Utter, bought our last 5 or 6 vehicles here. We were the first vehicle sold by this dealership. It just makes since to have them service our vehicles. Sherry is super, Preacher is super. Nuff said.",1.0
13,"February 17, 2020",This is the second vehicle we’ve bought through Kerry at Blake Utter Ford and both times were great! He’s attentive and cares a lot about your needs. I would highly recommend buying a vehicle through Kerry Burns,5.0
