,Date,Reviews,Ratings
0,"June 04, 2020","When people want the sales they are aggressive ,  but lack of response after the sales, Ford dealership on US 59 is horrible!!!! Calls are never returned or texted with answers!!! Sterling Mc Call sales need work !!!",2.0
1,"May 29, 2020","I believe in Buyer Beware.  Buyers need to do their due diligence and Sellers don’t need to disclose everything they think or know is wrong with the vehicle.  BUT they do need to answer questions honestly when asked and paperwork that is part of the transaction needs to be truthful and correct.

I purchased a used Ford Expedition from Sterling McCall “As-Is” which means that Sterling McCall is under no obligation to fix things once the transaction is complete and the vehicle leaves the lot.  This is not however a license to engage in fraud, which is what they did…read on!

The first thing I asked after the test drive was “Has the vehicle been inspected?”  I was told that is had been inspected.  Specifically, the Salesman said “We don’t put vehicles on our lot unless we inspect it first. Sir!”  It is in quotes because that is what he said.  I requested a copy of the report and moved to the next step, financing.  

The Finance Manager handed me a document that he told me was the inspection report for the vehicle.  I reviewed the document carefully and it showed that the vehicle had been thoroughly inspected by the dealership.  All the major systems, including AC were checked as functional.  I asked for a copy of the report and was told by the Finance Manager that it would be provided as part of the file associated with the sale of the vehicle.  Specifically, the Finance Manager said “Of course, of course, no problem, I’ll add it to the file.”

Well, I found out later that he did not add it to the file, and I did not notice that the Inspection Report was not part of the documents I received at closing because I did not recheck the file before I left.  My bad, I guess.

Over the next couple of days I noticed there were a few issues with the vehicle, like the AC was not cooling.  I also noticed that the passenger seat squeaked when driving.  I moved the seat and saw that the bolts that hold the seat in place were not fully tightened to the floorboard.  In fact, they were barely threaded.

I had the AC checked by my mechanic because I thought it might just be low on Freon which is an easy fix.  I was told by 2 mechanics (just to make sure) that parts were missing.  Based on this information, the only conclusion you can reach is that there is that the dealership never inspected the AC prior to the sale and the inspection report was forged.  This is not a case of “It must have broke after you left…”  The unit could not work in it's current state of missing parts.

Full disclosure again, it was cool the day I test drove the vehicle and I relied on the inspection report as full disclosure of the condition of the vehicle to close the sale.

I returned to the dealership and was told that they could not fix any of the items (there were a few others) because they were not safety related issues.  The bolts being loose on the passenger seat are not a safety issue.  Really?  Wanna go for a ride??

I told the General Sales Manager that I was given a copy of the inspection report for the vehicle and all major systems, including the AC, were checked as functioning.  Before even discussing any of the issues I had mentioned, she asked for the Inspection Report.  It was almost too quickly, like she knew something I did not.  Sure enough when I checked the file there was no inspection report.

I met with the Salesperson and finally the Finance manager involved in the original transaction.  They both claimed that they had no idea which document I was referring too and that their vehicles only receive a safety inspection.

I realized at that moment that they had a system in place to defraud people so why frustrate myself asking for an honest answer from dishonest people.

There is a pattern and practice at Sterling McCall to lie to customers by providing documentation that the used vehicles are fully inspected when in fact they are not.
 
I learned my lesson.  Get every vehicle independently inspected because people lie.  And spend your money with someone who values honest dealing.  Sterling McCall does not.",1.4
2,"April 15, 2020",I have no complaints! I had a problem with my trick! I took it in to Drew. He found out what the problem was and fixed it! I have no complaints he did a good job in a timely manner! I recommend him! He’s awesome!,5.0
3,"February 22, 2020","Went there yesterday 2/21/2020 after seeing a great deal online. I clicked the “schedule my test drive.” Ahmed texted me and said it was ready to look at. When I get there, they “can’t find it” but do I want to look at something else. I asked if I can get the same price on another one but they say the price is only available on the one they can’t find.

SCAM, Bait and switch scam. 

Don’t waste your time with this dealership and especially don’t waste your time with Ahmed. 

VIN #: 1FTEW1E43KFD14005
Stock #: KFD14005
Status: In Stock
",1.0
4,"December 04, 2019","My experience with Ford and now Sterling McCall has been nothing short of horrible. Not only have there been 3 recalls on my car but when I dropped my vehicle off to get the recall work done , I was told that now I have to come up with an additional $500+ to fix something that is a result of the horrible vehicle Ford created.  I will never purchase a Ford again and the people that work in the service department are complicate in their actions. Not only did they string me along for 3 days before the news was broken , they then extended the work an extra day(so far).  Stay clear of this establishment if you want fair treatment.  UPDATE , sitting in the lobby they have now told me that my transmission recall work and now my warranty do not cover all of the work done on my vehicle and now they want $800 and lowering it to $500 would be ""helping"" me out.  The service agent of the day(Jerry Quick) is now saying if I put a negative review online they definitely make me pay the higher amount that I did not agree to. Do not deal with this company unless you are willing to fight them to do the right thing.  Horrible dealership service experience.  Jerry Quick was today's service advisor, my 3rd in 3 days and they have all told me something different.",1.0
5,"November 02, 2019","I’ve never dealt with such an unethical car dealership as Sterling McCall Ford. I truly thought this would be the easiest sale they had all week.  I already knew the vehicle I wanted, which they had in stock.  I submitted my “accelerated” financing application online, provided them with the information for a $500 deposit so I could make sure they held it for me for a few days. First bad feeling was when I asked if they could provide me with the pricing to ensure they would honor their internet sales price.  They said they couldn’t because it was the end of the month and when I came in at the beginning of the next month they could change.  I brushed it off and still moved forward. My husband and I arrived today and we got our second bad feeling.  They had moved the vehicle I wanted to the showroom floor and they wouldn’t move it outside so I could drive it.  They wanted me to speak to financing first.   When the finance guy came out with the numbers, the payment was literally $250 more a month than the internet pricing that was quoted AFTER they ran my credit.  After much debate, including some very shady pricing (at one point he claimed we’d have to pay a local sales tax, which is NOT true) we chewed them down within $20 of what we wanted to pay - but get this, they still would not allow us to drive the vehicle until financing had been completed.  Outrageous!  We walked!",1.0
6,"October 29, 2019",Coming for oil change  and battery test . First battery ok then when finished with oil change .   Vehicle will not start now I need a battery Advertise says battery 99 to 129 now 184,1.0
7,"October 18, 2019","First off, This has no reflection on the Salesperson I was working with. But the sale's manager. After spending 6 weeks comparing 2018 F150 XLT's , It was clear I had a real good idea what I wanted in a 2 year old NEW TRUCK. 

I arrived at the dealership one hour before opening, just to make sure the F150 XLT 5.0lt 4x4 was on the lot. The salesperson I was working with arrived. We test drove the truck and I made an offer of 33.500.00.  this was based off of the real window sticker, not the made up window sticker placed inside the truck, the dealership showed on their website the MSRP was 51,210.00, (really this was the Total Before Discounts price of the F150) with a dealer discount of 11,550.00,  the real window sticker I downloaded off their webpage showed a MSRP of 49,210.00. 

Again after 6 weeks of comparing 2018 F150 XLT's I also had a real good idea of the discounts being offer by the dealer within 100 miles of Houston. These discounts being offered where from 16.000.00 to 20.000.00 off MSRP. And my offer of 33.500.00 was based on the advertised discount flashing on the Great big sign in the front of the Dealership saying. 15.888.00 off all 2018 F150 XLT. (A get them in the door sign)

Here is where it gets to the interesting part. My Salesperson when back to the sales manager with my offer, and came back with an out the door price of 46,000.00.  I informed my Salesperson this wasn't going to work. Next was the sales manager. 

The sales manager came in and my first question was where are you getting and MSRP of 51,210.00, that is when he started with, This is our internet price. Then I pulled out my copy of the window sticker and showed him the listed MSRP. And then I heard this. Those discounts are optional for the dealership to use or not. At that point I was getting ready to head out the door. But I decided to stick around for a little longer. I then asked about the discount of 11,550.00. Again I heard this is the internet discount. I then told him about the dealership not 15 miles down the road that was offering 20,000.00 off the 2018 F150's, He wanted me to show him the dealership offering this discount. So I did and and when he seen the discount, He went back to, The 11,550.00 is our internet discount. So I moved on the the next item on the cost breakdown. The Spray on Bed Liner that was installed by the Dealership, Bed Liner cost. 794.00. I just said. REALLY. The dealer installed cost sheet I found in the console of this F150 stated the cost of the spray in bed liner was 499.00. The sales manager asked what do you think the cost of the bed liner is worth. I told him maybe 200.00. He changed to bed liner cost from 794.00 to 200.00. 

Then I asked about all these little fee's, These are Federal and States fees that have to be charged. The only good price on the price breakdown was the Doc Fee. This is where I got up. turned around and told the Salesperson Thanks you, for working with me by phone and email for the last 2 weeks. 

I really think the sales manager need to sit down and read Texas House Bill 3621. And he also needs to understand that people now do their homework when buying a new car or truck. 

Added note: Two hours after waking out of Sterling McCall Ford Houston, I was on my way home in a 2018 F150 XLT with 4 miles on the odometer, full warranty and a out the door price of 33,524.21

",1.0
8,"July 29, 2019",Service light it was very nice and helpful and always. The salesman who had told me that he would give me the first service free backed out on it and claim he never said that,1.0
9,"January 19, 2019","I truly recommend this dealership they really stand behind their word, they honor warranty services never make any excuses. They took my car in with a check engine light on and took care of all issues it had and did not charge a dime. ",5.0
