,Date,Reviews,Ratings
0,"June 03, 2020","Closed a deal on a truck in April
Started the paperwork on Wednesday, already approved by Ford credit, salesperson pulled the keys, and I planned to pick it up on Friday. 
Another salemen SOLD the truck the next day! Took the file and keys directly from my salemen's desk, and SOLD the vehicle! Didn't even check with my salemen!!!  UNREAL!!
WOW!   HOW DISHONEST AFTER WE ALREADY HAD THE DEAL, COMPLETED COVERTS credit approval, and then just to screw me a day later!!  
Talked to the GM Chris Uranga and Will Taylor- their fix, pay an additional $5K on a different truck!  wow!  thanks guys-- Then they wouldn't even take my call to make it right!  
DISHONEST!!  AVOID!!!",1.0
1,"February 21, 2020","I am very sad to be writing this, because I am usually a very satisfied customer. If truth would have it, I give just about everyone the benefit of the doubt.
First, I had a horrible miscommunication with my service advisor. He thought I was dropping my car off just so it could stay in their lot. What? Haha, so it sat for a week. I called, but wasn't in the system. My car hadn't been touched. I learned this all over the phone.
So I went up to Covert to figure out what was going on.
I asked around, several times if someone could point me in the right direction. But alas, I'm a 25 year old female, and apparently also an idiot. I have never been a victim of sexism until my experience at Covert. The manager and two service advisors out of their 20 male employees were the only ones that treated me with respect. The rest of them wanted absolutely nothing to do with me. I feel sorry for the manager having to put on a face for his awful employees.

I spent 20 minutes frantically walking around trying to find my service advisor, which then lead to us arguing about communication. Yes, arguing, like children.
He called to apologize later that day, because I walked away in tears of course. Because of our argument, they put my car on first priority. It was finished in two days.

They left a GIANT plastic piece from my dashboard on the floor, instead of putting it back into place. I feel ridiculous complaining about that piece because I usually don't really care if it's an easy fix, but come on.

I will not be taking my car back to Covert Ford. I am so sorry you have the employees you do. Thank you to the ladies at the desk that were nice while I paid for my service (like normal human beings). The two starts are for fixing my vehicle. It's much better, thank you to the servicemen.
",1.4
2,"January 06, 2020",So I had a major issue with my car and had to take it in to be serviced. Thankfully it was covered by warranty but they took 3 months to actually get it back to me. In that time I barely had any communication from them and to top it off I had to get a rental car because they had no loaners available. I was told because it was warranty work they would pay for my rental car. While they have still said they will pay for this it has been about a month and a half and yet they have still not paid for the rental which racked up quite a hefty sum. Now I am constantly having to call and get an update and still have not received any news regarding the payment. The only good thing is that the employees that I have worked with have been incredibly nice to me but overall unhelpful. I believe it is due to poor management and not the employees themselves. Overall the next time I need service I am definitely going elsewhere no matter what as well as never buying a car from this dealership again.,1.6
3,"September 28, 2019",Had to take truck in four times for the same problem. Running boards will not come down. 2017 F250. Expensive truck. Waste of time having to constantly come back to dealer,1.8
4,"September 28, 2019",They lied to me about a deal so I wouldn’t go with another dealership.   The sales manager never even bothered to call me back.   I was trying to buy a 90k car.   They should stick to selling the cheaper cars and leave the luxury cars to the professionals.   Sales person was Kristen and the Manager was James.  ,1.0
5,"July 31, 2019","
I saw an online ad for an older Toyota Corolla and made an appointment to test drive it. When I got there, I found that the car was completely mislabeled online, for ex: the ad said the car was a manual transmission, it was an automatic, the ad said it had a CD player, that player was broken. The car wasn't even cleaned when I got there and the salesman told me that it hadn't been through their service department yet. They just got the car and threw it straight online trying to flip it.

HERE's where things get BAD. The car drove alright and me and the salesman, Bob Nadeau, agreed on a price on the condition that I could have it inspected before money went through. He agreed and told me that their service department would look at it and if there were major problems they didn't want to fix, the deal would be off. The next day, Bob called me and said everything was fine, I called Auto PI and they went out and found serious problems with the transmission, $1,500 repair at best, several thousands at worst. When I called Bob Nadeau back, he wouldn't even acknowledge the problem and said ""we sell old cars as is,"" never mind the fact that his service department was supposed to catch such a big problem and call of the deal once they found it. So when I expressed frustration and told him that I felt his dealership had wasted my time and the money I paid to have the car inspected he hung up on me. Such childish behavior.

So at best, this place is incompetent, and at worst they're flat out thieves. STAY AWAY!",1.0
6,"July 26, 2019",My 72 year old mother went to purchase a new vehicle from Wendell Tanner and was bullied to the point of tears. Shame on them!,1.0
7,"July 25, 2019","We have purchased many F150s in the past and since this new service manager started, we have had nothing but trouble. Having to wait 2 months for parts is just one thing, but having to wait 2 days to have a keylock reset, is ridiculous. He told her that first come first serve is his policy without consideration of the size of service. So an engine overhaul comes before a keylock reset or oil change? How unprofessional and unorganized do you have to be to not see that this is the wrong approach. On top of that our employee was ridiculed by the service manager, when she complained. We have over 40 trucks and will look for another service center. Get your act straight. ",1.0
8,"July 20, 2019","Brought my car in for a simple oil change , I showed up at 7am when they open. Was told it would be an hour and half. 3 hours later I am still waiting. This dealership does not care about their customers at all there service department is a joke. Terrible service when I told them how insane it is to wait 3 hours for a oil change they just shrugged me off. I will never bring my car or truck here again. I will make the drive to Georgetown to go to a dealer up there. You have lost a loyal customer for the last 5 years . All of staff who work here on Saturday do not seem to care at all no one apologized just said oh well. At end it took them almost 4 hours for the oil change. Took them another 20 mins after it was done to pull the car around.",1.0
9,"June 22, 2019","Covert is open on Saturdays - first come, first serve.   We were first in line.  The service advisor said 1 1/2 hours.  That seemed excessive to me, but okay.  It has now been 2 1/2 hours and we are still waiting.!!   This is the worst service ever.  You would think that if a vehicle is promised in 1 1/2 hours and it is going to be longer than that, someone would come and let us know, but not a word!   I went to look for the service advisor and couldn’t find her!    Horrible service!   Never again!",1.4
