,Date,Reviews,Ratings
0,"April 11, 2020","Best experience buying our 2020 ford king ranch expedition!!! Rebecca, Jim and Anthony really rock! Very professional, took their time and explained everything and answered all of our questions. Transparency is their way of dealing! Highly recommended ",5.0
1,"March 27, 2020","With some reluctance, I felt the time had come to replace my great 8-year old F150.  The San Antonio dealership where I had purchased and maintained my truck had lost my respect, loyalty and support for their deteriorating and disappointing customer service support.  Eventually, I focused on dealing with Ford of Boerne, in the hopes that I could ""survive"" the normal xxxx of purchasing a new vehicle;  From the time I walked into the dealership (Prior to the visit I had spoken to the online sales manger, Mike and my designated salesman, Adrian, narrowing my desires to a Ranger) I was warmly greeted by all staff members.  Unexpectedly, the negotiations were cordial and transparent, as I also worked with sales manger Jim.  The respect and customer support was superlative, especially when I requested a last minute change in the purchase.  The finance representative, J. Michael and his manger, Mr. Galvan were unexpectedly (to me) open and supportive of my last minute change.  Bottom line, my overall experience was IMPRESSIVE and I felt I was treated in a friendly, honest,and  transparent manner; relieving much of my aforementioned anxiety.  At this time, Ford of Boerne has earned my trust and business in the years to come. ",5.0
2,"December 01, 2019","Looking for a 2019 F150 with specific color, trim and options. Contacted multiple dealers looking for best price. Ford of Boerne had a truck that matched my specs. Michael Smith quoted me an out the door price of $48,829. Another dealer quoted me a price of $46,362 for the same truck. Vin numbers matched. ",1.0
3,"August 17, 2019","I have purchased four truck from Jennings Anderson and have always had them serviced there.  This past week I brought my 2011 F350 in for a 45,000 mile service and a problem with check engine light.  I felt that the service advisor sold me as many service procedures as he could, many of which were not warranted on a truck with 45,000 miles.  One of the procedures was a repeat of one done less than 10,000 miles previously.  Because of this I do not know if I could trust the service advisors in the future and just may have to take my business elsewhere   ",3.2
4,"June 01, 2019","A bad experience from beginning to end.  We ended up walking out on the deal because they did not live up to their end of it.  We regret ever having wasted time with them.  They were unethical, dishonest, and incompetent.  We saw a car we liked on their website and had them send us the sticker so we could see what it had on it and the price.  When we got to the dealership, we found they put a SECOND sticker on the car with another $1300 of dealer-added options, like paint and interior protection (which is invisible), tinted windows, nitrogen in the tires, and some insurance-like coverages, none of which we wanted.  These are all the things consumer groups have been telling people to avoid for decades, but this dealership is still doing all the same old unethical dealer tricks.  We drove around the lot in a golf cart for 15 minutes because the salesman couldn't find the car we came to see, and when we found it, it had a dead battery.  After dealing with 6 different salesmen and managers, we came to a deal on the car, which included a new battery to replace the dead one.  But before getting to a deal, we had to go through more of the same old dishonesty.  They told us they were selling us the car ""below cost"" and ""weren't making any money on it.""  Well, I must be the best negotiator in the history of the world because just about every car dealer for the last forty years has told me that.  When I asked what the $150 Document Fee was for, they ""didn't know"".  Just consider that at a wage of $20 per hour, that would pay for 7 1/2 hours of document preparation.  Ridiculous.  When we showed up at the agreed-upon time and day to get the car, they again couldn't find it and had done nothing to prepare it, including not having the new battery we agreed upon.  We walked out and are glad we did.  I would have regretted giving them my money.",1.7
5,"February 25, 2019","TREMENDOUS!!!  I have purchased 20+ new cars over my years, and I have never had an experience like I did when I recently purchased my 2019 Ford F150 from Ford of Boerne.  I would like to mention three employees, specifically:  Sonny Tydlacka, David Cruze, and Jim Dames.  From the moment I arrived at the dealership, I felt like family.  The BEST salesman I have ever worked with came in the person of Sonny Tydlacka.  I immediately felt like I had known Sonny for years, and the care he took to find me the right truck was above-and-beyond.  Sonny wasn't just interested in getting me into any new truck, he was interested in finding me the exact truck that fit my desires.  He was able to find a brand new arrival as if I had custom ordered it.  He and David Cruze spent a great deal of time with me and my wife... way more than I had previously been accustomed during other new car purchases (many different brands over the years).  They both were eager to ensure we knew of every feature and benefit of our new truck.  It was clear they both were proud of their brand and the quality of their product!  Enter Jim Dames.  As the sales manager, Jim personally involved himself in our purchase and made us feel so welcome and appreciated.  At no time did I feel we were being offered empty platitudes or being patronized.  Their genuine care, attention, and sincerity were monumentally evident.  As a team in new car sales, these gentlemen cannot be beat, and we truly felt like family... and still do a month after purchase.  I would happily buy another vehicle from Ford of Boerne and recommend them highly!  If you visit Ford of Boerne, ask for Sonny, Dave, or Jim and I can assure you that you will be treated as good as any customer can possibly be!",5.0
6,"February 19, 2019","Everyone friendly and very helpful. Felix definitely went the extra mile to help me with my Ford F-150 truck. Also, they found a safety recall which was fixed easily. ",5.0
7,"December 27, 2018","I took my 1993 Ford Mustang in because the light on the dash board came up to ""CHECK ENGINE"", I
talked with David, he called me the same day they checked it and found that the sparks that start the engine was failing.  They told me they still made this part, and  would have to order it.   But, they found one and was able to repair it the next day.  Excellet service.",5.0
8,"December 26, 2018",Did what they promised and on time ! Great Service ! The service department was extremely knowledgeable of the problem and preformed the service necessary to repair my vehicle. Again Great Service !,5.0
9,"December 19, 2018","My F-150 had a safety recall.  I called Jennings Ford and the customer service was amazing.  I spoke with Mitchell Quigley who was friendly, polite and helpful.  When I took my truck in, Mitchell again was so polite and professional.  I will definitely return to Jennings Anderson Ford for oil changes and any other needs.  Great job!",5.0
