,Date,Reviews,Ratings
0,"June 22, 2020","On return and my short drive home it appears technical work performed and completed addressed the problem I was having with an occasional mis-fire of the engine.   When so many dealers (e.g. Mercedes, BMW, Hyundai, Chevrolet) are advertising the lengths they are going to, to clean and sanitize your vehicle after being serviced, Tommie Vaughn gets a bit zero in that respect as it was apparent they did nothing in that respect of the car on completing the service and returning it to me.





",2.6
1,"June 19, 2020",Took a little too long just for an oil change. Over an hour is too long. 45min would have been perfect. Otherwise great service. Free with ford pass.,4.0
2,"June 12, 2020","My recent experience was a little disappointing, most of the time I have no issues. Frankly, Brenda was rude on my engagements with her. I spent $2,300 on a new evaporator core and the memory to my remote key was lost, I had to drive home 45 miles round trip to get extra key to prove it to them with no concessions. I was a little surprised, I also got no loaner car, had to rent a car for 3 days. ",3.0
3,"June 10, 2020",Mike Gallagher took really good care of me.  He let me look at anything i wanted to and answered all my questions.  I look forward to sending my car to the service department.  ,5.0
4,"May 28, 2020",Lauren was very friendly and helpful finding the truck for my needs. David in finance was great to work with.would highly recommend Tommie Vaughn Ford for your next purchase. ,5.0
5,"May 23, 2020",2011 Explorer going on a long trip.  Wanted to have car ready.  Needed a new passenger mirror.  Friendly Repair coordinator.  Split repair time to minimize time in service center.  Showed how tow and camber were off.  Fixed everything.  Ready for trip. ,4.8
6,"May 19, 2020","I am in sales myself and I really appreciate someone so GENUINE as  Lauren Evans at Tommie Vaughn Ford.  Knowledge + Integrity + the Right Amount of Intensity go along way. Everything was so relaxed and went so smoothly.  

I emailed LAUREN from their website with my interest in a 2020 Ford Explorer ST.  She responded with an email.  Then by text, we conversed about my specific areas of concern over several days.  I told her I would be in on Tuesday around noon.  I was running very late and she said no problem but to text her when I was in route so she could make sure she was not eating lunch and would be available.  At my request, Lauren provided information on available financing and rebates and based on my specific desires, she made certain recommendations that I appreciated.

 After, I bought my car, I made 2 trips back to the dealership with some stupid operational questions such as ""I remember you explaining how to use the lane watching system and the various drive modes but can you go over them again?""  

There are many Ford dealers but I will definitely return  to TV Ford for my future new cars and and highly recommend anyone buying a Ford to do so also.",5.0
7,"May 18, 2020","Tommie Vaughan out did themselves in every category!
Price, value, timely communication on and on....................
Megan Acosta was fantastic. Finance person (Andrea Watson) was concise and to the point. The estimates I was given vs. the actual numbers were spot on.
We will be back! ",5.0
8,"May 16, 2020","Great experience overall. 
Salesman was not pushy.... but very helpful.  Easy to work with.  
Shane went above and beyond to make sure things were good for me. ",5.0
9,"May 12, 2020","I received first rate service from Tommie Vaughn Ford when I brought my vehicle in for replacement of my water pump and coolant leak.  My F150 Platinum only had 61000 miles and the repair was covered under my Master Tech agreement I purchased from the dealership two years ago.  
I then bought a Ford Escape from Tommie Vaughn the following week for my son.  Definitely recommend Tommie Vaughn Ford.",5.0
10,"May 11, 2020","I received great service from the staff at Tommie Vaughn Ford.
Thank you for sorting the problem with the AC on my Ford Transit Connect.
",5.0
11,"May 04, 2020",It was a horrible experience. I was lied to about service I paid for but never received. I reported and received no response or respect. ,1.0
12,"April 30, 2020",This was my first time buying a car and it was a little stressful but the guys over at Tommie Vaughn made it so smooth that I will never go any where else,5.0
13,"April 24, 2020",Very friendly and helpful went above and beyond to help me got me in fast and did a amazing job super clean dealership and amazing service KC was very helpful ,5.0
14,"April 24, 2020","I go there for all of my service need and maintenance, they are fast and very professional.  I haven't found a place to beat their price on tires either.",5.0
15,"April 23, 2020","I have now purchased numerous vehicles at Tommie Vaughn Ford going back 20 years all with the same salesman- David Bagby. He is the best in the business, easy to talk to, personable and doesn’t give you any runaround. It’s the smoothest and most stress free truck buying experience. The dealership itself is great also. Tommie Vaughn is smaller than other Ford dealerships but have always plenty to choose from and you feel like they value your business. I wouldn’t buy a truck elsewhere period. 4 F150s and 3 F250s later I couldn’t be happier with the service. ",5.0
16,"April 20, 2020","His a very nice guy and helpful with all the questions, I had to ask him.  Highly recommended! 
*Excellent Service
*professional 
*Great Communicator & Team Technicians 
*Fast Service  ",5.0
17,"April 16, 2020","As always, TVF did a great job. Did work in a reasonable amount of time at a reasonable price. answered my questions without any BS.",5.0
18,"April 13, 2020",I came in to check on my car battery. In and out within 1 hour 15 mins or so. I booked my appointment online. No hassle. The lady who took care of me was very pleasant and nice. They replaced the car battery and i have no issues since. ,5.0
19,"April 09, 2020","I love that I can make an appointment and be in and out in under 30 minutes.  Megan and Cesar are very professional, knowledgeable and helpful, and the service tech who did the work on my car was as well - I'm sorry I don't know his name.  There's no reason to go anywhere else when my car needs service, and since I'm a Ford girl, I'll never go anywhere else to buy my vehicles.  It was a pleasant surprise to find Cesar had moved to Quicklane as he was my salesperson when I purchased my Expedition.",5.0
20,"March 30, 2020",Service department was working through the pandemic and completed the recall service as well as some warranty issues.  They turned the vehicle around in a day and a half and all work was completely satisfactory.  ,5.0
21,"March 30, 2020",Service reps were courteous and professional.  Work was done in a timely manner.  All my questions were answered clearly.  I would go there again.  Good job.,5.0
22,"March 26, 2020",I tried to email my service person upon return home on Tuesday. I don’t have his card in front of me but believe his name is Randy! He was the best!! I could not have been any happier with my service - thank you! ,5.0
23,"March 25, 2020","My salesperson, Christy Zeh, as usual took great care of me and my car buying experience was a job.  The dealership supports her well and I look forward to coming back in a few years for a new model.",5.0
24,"March 23, 2020","I have never had a car-buying experience that was this easy!  Moses was sensitive to my budget and my particular preferences.  He was not pushy or aggressive with his sales pitch, instead, he worked to get me what I wanted instead of just pushing what he wanted to sell. 

Thank YOU!",5.0
25,"March 20, 2020","Randy checked us in and did all the right things: called us with a diagnosis, told us when to come back (parts had to be ordered) and had the car back to us when promised, all in a courteous and professional manner. Everything works 100% again.",5.0
26,"March 06, 2020","The service team, managers, service writers, cashiers, porters, techs that run the service are EXCEPTIONAL! The information, quality of the work, the customer service is beyond expected on every service I have had at the dealer. I am beyond grateful to have a service center that makes me feel like family everytimne!",5.0
27,"March 04, 2020","I have purchased many vehicles over the years, but this was by far the fastest and easiest deal I have ever done!  Basically, I went to the dealership to sign the paperwork and take the truck home!

Thank you!!
",5.0
28,"February 17, 2020","Could not be more pleased with our experience buying a truck from them. Very helpful people who went out of their way to meet our needs. I have already recommended them to my friends and family, and will definitely purchase from them again. ",5.0
29,"February 13, 2020","This about the 5 or 6 vehicle I have purchased from TV and there is are reasons......good experience, efficient, eye to detail, prompt delivery. In general, they just ""take care"" of their customers. ",5.0
30,"February 13, 2020",Very happy with the service I received.  Promised an amount of wait time and that is how long I waited.  Able to complete my job in a timely manner.,5.0
31,"February 08, 2020","This area has a spectacular family-owned dealership! Never have I known that when I arrived at Tommie Vaughn with the big sign coming down pass 11th street, Shane Sullivan hooked with me up with several cars to test drive. I loved the service that he provided me, which is a different experience versus another salesperson. Shane told me about the history of the store and the ways I can get an affordable oil change + tire rotation. There are incentives when coming to this dealer, which they also have a quick service lane. It depends on the timing of when you arrive for service, but it should take no more to 30 minutes to an hour depending on how long the line is to get your car serviced. I recommend getting your vehicle serviced at this dealer instead of anywhere else. Other places are a rip off! Come to Tommie Vaugh Ford, and you'll see for yourself. Also, fun fact: Tommie Vaughn went to Texas A&M University, which most of the technicians are highly trained with a degree in mechanical parts.",4.8
32,"January 30, 2020","The salesman, Mr. Watson was very helpful in making the deal for us go quick and smooth.  The Finance Dept, Andrea Watson was super quick and had everything ready so we were in and out in 30-45 minutes.
I would recommend Dave Watson to help with purchasing a vehicle.  He was very friendly and was not pushing us, just wanted to try and get us the best deal.

Thanks to both Dave Watson and Andrea Watson.",5.0
33,"January 26, 2020",I have the toyota camry and a ford 2006 king ranch.  Tommie Vaughn is the only dealership I trust to service the vechiles.  Thank you for all you have done.,5.0
34,"January 20, 2020",I am happy with salesman and did not have any nonsense. I told him what I wanted and he did not try to sell me anything else. It was all about me.,5.0
35,"January 20, 2020","Excellent customer service and super quick for the services I needed, very much appreciated! In my opinion this is the way for a dealership should extend customer service to their clientele, all the time.",5.0
36,"January 17, 2020",Todd Brown our salesperson was a pleasure to work with and the customer service to deliver the vehicle to me was exceptional.  I will be purchasing more vehicles from Todd.,4.8
37,"January 17, 2020",Sam Powell is a wonderful sales man. He was very professional throughout my transaction encounter with him when I bought the 2013 Nissan Armada. T,5.0
38,"January 07, 2020","Mine was a good sales person, the dealership was fair with the trade in and this made the transaction easier. It was a good overall experience",5.0
39,"January 01, 2020","When we contacted the dealership on Monday after having started looking at another dealer on Saturday and could not get them to answer us on Monday, we were assigned to Lauren Evans.  We knew that at the end of the year there were rebates on the 2019s.  We had researched them on Sunday online.  So we knew what vehicle, we knew a price from the other dealership, and we knew what we thought were ""all"" the rebates available.  Lauren worked with us and found us even more.  We worked it all out by text and email, so when I walked in, we were ready to sign documents.  And, there was an additional rebate that was added from our last text to when I signed, so the vehicle was $750 lower than I thought I would be paying.  They were not hard-pressuring post agreement to add additional ""bells and whistles"".  I would contact Lauren again if I am in the market looking.  THANKS TV FORD!!!",5.0
40,"December 23, 2019",Tommie Vaughn had the exact vehicle I wanted. They gave me a fair value for my trade and a fair price on the new Expedition. A very pleasant and stress free buying experience.,5.0
41,"December 19, 2019","Everyone I have encountered has been kind, courteous, and skilled in what they do!  I feel like I am in good hands at Tommie Vaughn Ford.

",4.8
42,"December 18, 2019","Best new car buying experience I've had! It was very easy to get answers to my questions about available vehicles before I visited, and the sales team was honest about pricing and trade values. They were super helpful in narrowing down the best configuration for me in the price range I wanted to stay in.. no hard sell on any one configuration like other dealers. The finance team did a great job finding better rates for me as well.  I'm very happy with the sales process and will certainly be back when I need another vehicle.",5.0
43,"December 17, 2019","Web search for a truck you had in stock. Richard Ruffino answered quickly about the vehicle.  We had a few conversations concerning the vehicle and price. Decided to purchase from Tommie Vaughn and made an appointment. Driving in from Beaumont, I asked him to have everything ready and it was. Was in and out of the dealership in less than an hour.",4.4
44,"December 09, 2019"," They do all of the routine maintenance without all of that ""service coordinator"" mumbo jumbo.  150,000 miles under their care with nary a breakdown.",4.4
45,"December 05, 2019","We came to the dealer to look at an expedition and we were greater by Mark. Mark is an expetional sales person 
Customer service was awesome ",5.0
46,"December 03, 2019","Christy Zeh went out of her way the week I ordered my pickup to offer ideas concerning added features that made the finished order exactly what I needed in a new unit. She also took the time at delivery to go over the vehicle (in & out)  and discuss warranty options. Thanks again to all at Tommie Vaughn Ford for what you do in the greater Houston area!

Ronnie Melton
Pattison, Texas",5.0
47,"November 25, 2019","Darrell Knight was truly an outstanding use car salesman . He was not pushy, Mr. Knight gave my spouse and I time to think and talk about the deal.  The deal went smooth, we both agree on a reasonable price.  Again,  Hats off to Mr. Knight and the management team at Tommie Vaughn Ford.  I will try to make my next vehicle purchase from this dealer.",5.0
48,"November 22, 2019","Fast, Easy, Very responsive to my inquiries. Well informed on the vehicle. Fast Service Same day turn around for spray in bedliner. Couldn’t be happier with service",5.0
49,"November 21, 2019","I ask her if they could check  if my insurance coverage could pay to repair a damage to my car windshield. She answered my in a very unpolite way, that they don't do that.  OK, I said,  thank you anyway.
It looks to me that she is not the one to work with enthusiasm early Mondays.",2.4
