,Date,Reviews,Ratings
0,"June 19, 2020","Bait and switch.  Don’t waste your time calling this dealership.  Everything that is wrong with the new car buying experience.    

Listed a car online at $65K.  Changed the price to $71K when they sent the deal sheet over. 
Unless you need nitrogen and blue car steel don’t waste your time...",1.0
1,"March 04, 2020","Great dealership! Drove 16 hours round trip to purchase a vehicle from Mr. BT Patten. He made sure the vehicle was detailed, full of fuel, and ready for me to take it. Paperwork was quick and easy. Went above and beyond to make a deal. Will buy from again. Thank you!",5.0
2,"February 27, 2020","I would  like  to  say that it was a pleasant  experience purchasing  an automobile  from Friendly  Ford in Crosby  Texas. Our salesperson Brandon did a great job ,and was on point with everything.  Tanks again.",4.0
3,"February 27, 2020","I was treated very good and they worked diligently to get me the deal that I wanted.They actually gave me a better trade in offer than Kelly Blue Book. This is my Second vehicle I have purchased from Friendly Ford and I will definitely be a repeat customer.Larry helped me set up all the electronics and filled me in on everything about my New truck, and Stanley got me the deal I wanted without all the Bull of haggling.GREAT Dealership!!!",5.0
4,"February 19, 2020","My experience was negative with “Friendly” Ford. I don’t like the old school used car lot scams. In the internet age I find it surprising that they think their customers are uninformed. Basically they tried to pull a good old fashioned bait and switch. They had the Toyota FJ cruiser listed for $15000, they wouldn’t negotiate so I agreed to their price,$15000. I asked for the total price, TTL and $150 document fee. They sent it to me and it was $18071!
They had raised the price of the car from $15000 to $16196 then taxed that number. They had claimed the increase was from add-ons, which I didn’t request that totaled $1200. I asked them to remove them and they refused. What were the add ons? $299 to fill tires with nitrogen (free at costco), $199 wheel locks ($40 amazon), $499 vin window etching ($20 DIY kit on amazon) and $199 window replacement (insurance covers this). Don’t use this dealer unless you like getting ripped off. 
Shady AF!",1.0
5,"October 18, 2019","I tried to go in this morning for a works package.   They tried to tell me the works package is now 55 dollars and a tire rotation would be an extra 25.   The quicklane website says the works package is always 49.99 or less and includes a tire rotation.   

I have frequented this service department in the past, but will never bring any of my vehicles here again.   Completely wrong to charge a different price than the quicklane website.",1.0
6,"October 12, 2019","Called and spoke with internet salesman Jose Jasso about a truck I was interested in. I am from another state. After a brief conversation and pictures of said vehicle being sent to me I completed the necessary finance approval application per Jose's direction. I asked if I could put a hold on the truck. I was told no they couldn't do that however once financing is approved the vehicle is effectively held. I was happy with the price of the vehicle so no attempt was made for negotiations of its price. We negotiated the price of some outrageously priced add-ons that I did not want such as Nitrogen in the tires for $299. I was sent a worksheet of the total price and thought all was well as Jose texted me that the truck was mine and that we were all set for a weekend pickup. Later that day, after being sent the text that stated the truck was mine and that we were set for the weekend pickup, when I made contact again concerning the weekend pickup and my plans for transportation there and asking what forms and identification I needed to bring for financing and purchasing I got no response. A little while later I tried to call Jose and he sent a text response that I would be called shortly. I checked in again after a couple hours passed with no response to see when I could expect the promised call. Finally I was called by Jose, 3 1/2 hours later after my initial contact concerning transportation and ID needed, and he then told me someone else was buying the truck. I was told this new buyer contacted the dealership this same day, after my contact the previous day, after my financing approval the previous night, and after I was told the truck was mine by text this same day. I was told that this new buyer had somehow managed to complete financing approval and hold the truck. All this after I was told by text that the truck was mine. Wow! I contested this, explained that I was told that I could not hold the truck officially however financing approval does effectively hold the truck (which I completed the night before), and that I was ghosted for multiple hours that afternoon while apparently the truck was being sold to someone else. As you can imagine this conversation went nowhere. The truck was sold right out from underneath me. I have to wonder if it was done to make more profit on the extremely overpriced add-ons such as the $299 nitrogen? To make matters worse Jose said maybe the deal would fall through and he would update me the following day either way. Well, the next day came and went with no contact from Jose. Not a complete surprise based on how I was treated on the truck that I was told was mine. I myself reached back out to Jose, after not hearing from him as promised the previous day, and he confirmed the truck was sold. This was my poorest experience ever with a dealership. I feel this was very unethical and immoral. We clearly had a deal agreed upon, I was approved for financing, and Jose knew my plans of arriving over the weekend. He himself stated these things to me in text communication. Then somehow the truck is sold to someone else? ",1.2
7,"August 27, 2019",The service and personnel were great. I recommend Danny Nathan as a very nice and informative salesman. This is 2nd automobile purchased from this dealership. I highly recommend!,5.0
8,"June 24, 2019",Great customer service with no troubles getting my family into a new vehicle. They had plenty to choose from with no salesmen pushing. Will be going back for the next one,5.0
9,"June 23, 2019","had  a Terrible experience at this dealership, i bought a f250 used about 3 weeks ago and the next day i realized it was full of ants, i called the salesman (José jasso) and the manager told me it was because ""the season"" i went twice because the first extermination didnt work, i missed a day of work, next time they told me they will do a full extermination which they did but i missed 7 days of work. I tried to return the truck but sales mánager told me that was the only way that they could help me. Its been stressful because ive had Nothing but problems with this truck. After that i went to the service 2 weeks later cause the truck was shaking and it had weird noises on the chasis,i picked Up my truck  sales man told me that was normal in those kinds of trucks, thats not true, everyone knows that. Ive had almost a month with the truck. i went to ntb to get my truck suspensión checked and they told me the stabilizer bar was damaged. Friendly ford didnt want to fix my truck cause i got the insurance and it was cover they said everything was ok. And till today i have the same problem with the ants. I regret buying this truck from this dealership and i do not want anyone to have these kinds of problems. Last thing, the same day i bought this truck, he tried to put a good coment on him self and the dealership with my own cell phone. The whole situation is unfair.",1.2
