,Date,Reviews,Ratings
0,"June 18, 2020",This was my first car under my own name. I was very nervous being a female purchasing alone. Alfred at Southway Ford was patient and understood what I wanted and needed. Never was I made to feel like I couldn’t or didn’t deserve to get my own car. I will definitely be purchasing again with Alfred in the future!,5.0
1,"June 17, 2020","Excellent experience.  Mando was very knowledgeable, professional and courteous.  He answered all my questions.  I will continue to use his services in the future.  Thank you.",5.0
2,"June 15, 2020",great service courteous service writer dealership very clean waiting area made you feel at home TV do help enjoyed working with Carlos would recommend to my family  and friends,5.0
3,"June 11, 2020",Quick Lane continues to provide fast and excellent service.  Service writer is always courteous and knowledgeable.  Easy to get started by just providing phone number.  Always provide estimate time it will take and usually beat that time. ,5.0
4,"June 10, 2020","I can always expect great service from Southway Ford service department, from an oil change to changing filters they provide the best service!! Will continue my business with Southway Ford!! Thank you!",5.0
5,"June 06, 2020","Professional and great customer service.  Provides an accurate assessment and maintains my vehicle quickly to get me back on the road.  Also, cheerful and knowledgeable. 
",5.0
6,"June 05, 2020",staff were professional and very helpful.I love my new Escape Hybrid and enjoy driving it.Working with Carlos and Richard was problem free.Great.,5.0
7,"June 01, 2020","In the past year and a half, my daughters and I have purchased a total of 5 vehicles. It has been a great experience, the Personel at Mac Haik Southway ford has been real good to my family. I have recommended this dealership to other family members.  And they've also purchased 4 or 5 vehicles in the past year or so. I highly recommend Mac Haik Southway Ford. I personally want to thank Eloy Negrete, Felix Ramos, Enrique Torres and Moses. ",5.0
8,"June 01, 2020","Salesman Roger was super patient and knowledgeable on the Expedition. He wasn’t just working to sell a vehicle, he was working to make us happy. I’ve bought several vehicles from Mac Haiks Southway Ford and this was hands down my best experience. I will continue to purchase my vehicles from Mac Haiks",5.0
9,"May 28, 2020",Customer service was great as soon we walked into dealership to the time I drove Off with new 2020 Ford Fusion great experience 100% satisfied ,5.0
10,"May 26, 2020",Both Rory Parker and Joey Navarro were most respectful and kind. They sold my family and I 3 new vehicles. They were very knowledgeable and shared that with my family and I. We all walked away very satisfied. ,5.0
11,"May 26, 2020",Working with Sergio and his employees was really fun. They made the buying experience real easy and took the time to take all our needs into consideration.,5.0
12,"May 26, 2020",As always service and communication were met and exceeded and work was completed in a very timely manner! Would recommend them to anyone and everyone!,5.0
13,"May 22, 2020",Very satisfied with all the work that has been done in my truck very professional communication was good start to finish Truck is running perfect no issues at all ,5.0
14,"May 20, 2020",The quicklane staff took care of my truck as their own. They are great people to work with and will take care of you and your family.,5.0
15,"May 19, 2020","nice, clean facility. Everyone was kind & helpful. Anthony listened to what i wanted & got me into the most perfect car for my family. i probably won’t go anywhere else for a vehicle. ",5.0
16,"May 18, 2020",THE GENTLEMAN AT THE SERVICE COUNTER WAS NAMED RICHARD AND HE WAS VERY HELPFUL AND KNOWLEDGABLE. HE KEPT ME INFORMED ON WHAT THE PROBLEM WAS AND PUT N AN ORDER FOR THE PARTS. GREAT LACE TO TAKE YOUR VEHICLE.,5.0
17,"May 18, 2020",Always good service and friendly faces when I take my 2019 F150 to get serviced. I've never had any complaints on anything and service is always completed in a timely manner.,5.0
18,"May 17, 2020",Always excellent service throughout entire process. No pressure sales keeps my family coming back. We never have to haggle over prices. I give my price range and then I am giving options in my price range. ,5.0
19,"May 17, 2020","Excellent sales person and staff. Allowed the purchase of my new Ford Explorer ST to be seamless.  Ray was highly professional and exceptional helpful in picking out my new ride. 

Thanks again ",5.0
20,"May 12, 2020","I would highly NOT recommend Mr. Lopez, S. to handle your final paper work from the finance office. He will add services without your knowledge.",1.6
21,"May 12, 2020","Purchase was made easy and stress free by salesman and finance officer, awesome experience. All questions and concerns we’re adequately  addressed. Will continue doing business at this location.",5.0
22,"May 11, 2020","As always Quick Lube is efficient and customer service, they rock. Tec keeps you informed when will the car be done and if you need any additional  service according to your mileage. Thank you Southway Ford.",5.0
23,"May 07, 2020",Had a pleasant experience buying a vehicle at Southway Ford. Alfred Rodriguez and the rest of the people I dealt with were very knowledgeable and friendly. ,5.0
24,"May 04, 2020",Excellent customer service and an overall great experience. The sales team saw to our safety due to the Covid Pandemic and kept us updated during every step of the buying process.,5.0
25,"May 04, 2020",Always working fast and excellent they also give great deals for their services and accessories. They also great you immediately and ask you what you want,5.0
26,"April 28, 2020",Joe was great as far as helping us before during and after the sale. It was a very easy process even giving the COVID situation.,5.0
27,"April 26, 2020","Spoke to Julian via phone call, upon arrival he had multiple trucks ready for us to view & test drive, he gave us time to decide which truck meets our needs and we purchased it. He handled our 2 trade-Ins, which we were satisfied with. Francisco did a great job with the financing options and paperwork. We asked several salemen & employees questions and they stopped to answer them or went to get the answer. It was refreshing to see all the Employees here work as a TEAM!! I referred them to everyone I know and will continue to. Thank you Southway Ford for a friendly and pleasant experience in buying our F150 Ford Sport Truck!! We made the switch to Ford and love our Truck!!! ",5.0
28,"April 23, 2020",Very disappointed with warranty repairs on my truck. Carpet underlay was ruined due to condensation leak and they refused to replace it. Truck now stinks. Also discovered a dent on one of my doors that was not there when dropped it off.,2.0
29,"April 23, 2020","*BUYER BEWARE*
First off let me say that when I first found my vehicle it did not have a price so I went ahead and called I was told “X” amount and that the vehicle had just been traded in. When I got there I was greeted by a sales representative who had cleaned the truck up which I appreciated. I explained to them that because it was used as well as a diesel that I would like to get it inspected by my mechanic just to ensure this is worth my time. He explained to me that the vehicle also will go through inspection before they are ready to sell, but he let me take the vehicle for 48 hours for the inspection by my mechanic which I appreciated. Before I could return the truck I got a call that someone else was also looking to buy the truck. I said I was still interested but I will go ahead and wait for the truck to be inspected by the dealer before we talk numbers. I was explained that the only way the sales price would change is dependent on how much money it would cost to repair things on the truck. So i got to the dealer and It must have been only 30 minutes and he came back with only one issue that the truck had (needed new batteries) I was surprised that the inspection was done so quick but more to my surprise was how many things the dealer missed when Conducting this inspection.  This whole time I had been under the impression that their inspection would take at least a day which i would have been fine. He then goes to tell me that this negotiation process is unfair because my mechanic had the vehicle for 24 hours. The sales guy explained to me that he was unsure how much they could repair due to the fact that the service center was closed, and instead of holding off till we got prices, he had the audacity to tell me that the other person who would want to buy the truck would pay the price without the repairs. How could a sales individual or dealer be comfortable selling a vehicle that had many mechanical and safety concerns and just sell the car as is? Then he mentioned that because of the time they could not put a hold on the vehicle and they couldn’t guarantee that it would be there the next day.  In order to make the sale he talked to the manager and stated they would write up a contract and repair everything needed that was addressed by my mechanic with the condition that i could not negotiate the price. This tactic put a lot of pressure on me due to the fact that this left no negotiation which is what the reason for me delaying to buy the truck. After talks I agreed to their terms and would have all the repairs done before I took delivery However all I asked was if if they could a replace a manufacture step board (FORD) that had been broken. He explained that the company could not eat $800 and that the price was nonnegotiable. At this point i was so uncomfortable i wanted to get the deal over with. When I arrived home I went the the dealers website to grab the Vin for my insurance company.... my heart dropped when I saw that the price had been changed by $1000.00 lesser....after the dealer said the price would not and could not move. This just goes to show the amount of integrity this dealer has towards its customers. How can they say the price is nonnegotiable however the same day that I signed papers the vehicle price has dropped by $1000.00.  To me this is not right. This has taken money out of my wallet.  To those who are looking to buy from this dealer be very cautious. I would recommend if you are buying used to get your vehicle inspected by a third-party as they only do a 30 minute inspection before putting a vehicle for sale. Also do your due diligence and check their prices as often as possible, as you can see in my experience I signed for a vehicle that was less online the exact same day I bought it. I would hate for anyone to put their life in Jeopardy or be put in a financial bind due to the sales tactics of this dealership. Note: I addressed these concerns with an assistant manager and was told i would hear back from them to make things right. I have not heard anything....",1.0
30,"April 21, 2020",My F150 buying experience was excellent as usual. Alfred and Jamie took care of my every need once again. This is the fourth vehicle that I have bought from them at Mac Haik Southway Ford. I am satisfied 100%,5.0
31,"April 16, 2020",Quick Lane continues to provide prompt courteous service.  The always meet me immediately upon arrival and all it takes is my phone number for them to start the service process.  Very efficient and friendly personnel.,5.0
32,"April 13, 2020","Mario Menchaca made sure I found the right vehicle for me, it was a 2020 Ecosport and I couldn't be happier. Esteban Guerra gave me several payment option, and I chose the one that was in my budget. Great overall atmosphere and EXCELLENT service.
",5.0
33,"March 20, 2020","Jose Ortiz was great, he was honest and friendly. We would definitely come back to buy from Jose. The financial was quick, friendly and efficient.",5.0
34,"March 20, 2020","I went to southway ford to have my oil change,I always take my 2016 Ford Mustang there,because I purchase my car ther,they are very professionals n fo a good work in my car and fast,I trust them,and they are friendly people.",5.0
35,"March 20, 2020"," We purchased a 2020 Ford Escape on March 14,2020 at Southway Ford and our sales person was 
Carlos Jimenez. Mr Jimenez was very knowledgeable, professional and most helpful. He dedicated several hours to serving us and made certain we left with all our questions being addressed.",5.0
36,"March 20, 2020","The folks at Mac Haik 35S provided us with World Class Customer Service, we are a Ford family. Thank you continue the Blue Ribbon service",5.0
37,"March 20, 2020","Richard Tervino did a awesome job taking care of our needs as always, one of the reasons we keep going back to Southway ford great customer service.",5.0
38,"March 11, 2020","We were looking for a truck and Robert Elderman, our salesman, was FANTASTIC!  We buy all our vehicles from him, because he is so honest. . ",5.0
39,"March 07, 2020",Everything went great!!!! If ur looking for a vehicle this is the place to come and John Viderre is the guy to see!!! He is awesome and Mac Ford is the place to go!!!!!!,5.0
40,"February 20, 2020",Super professional dealership! Carlos was amazing from start to finish!  Went it to look at new Expeditions not knowing what to expect.  We were shown a lot of the inventory to ID exactly what we wanted.  Would recommend Southway Ford any day!,5.0
41,"February 16, 2020","Best experience I have ever had. Sales Manager, Staff and Financing are well informed, professional and accommodating. They have a informational approach not a high pressure sales pitch. I am sold on Mac Haik and Ford due to your staff. ",5.0
42,"February 13, 2020","a very professional organization, that gives outstanding service over and beyond what could be expected. a profession staff with customer satisfaction at heart. I would recommend this dealership wholeheartedly",5.0
43,"February 11, 2020",First time at this dealership.  Staff was courteous and professional.   Welcomed the selection of vehicles available and even had the color/style I wanted.  Will recommend this dealership to others. ,5.0
44,"February 04, 2020","Very satisfied with our new vehicle for our family. Our salesman Mario Menchaca was exceptional and gave us excellent service. He was very professional and kept us informed.
We were very impressed with the service and are Very satisfied with our purchase. Thank you .",5.0
45,"January 29, 2020",Service department always takes care of my needs for my trucks they are fast and friendly especially on Wednesdays when they have donuts coffee and prizes for the customers ,5.0
46,"January 28, 2020","Paul was our service specialist and he was excellent.  We took our F250 for servicing and for engine light,  We were originally told that the total price would be close to $500, and that we had to leave our truck.  The service manager managed to find us a loaner car so we could get home.  When I picked up the truck the price was $100 we just paid the deductible.  Everyone at Southway Ford has always been very helpful and friendly.  They make me feel important like I'm the only customer they have.  
Excellent Service!!",5.0
47,"January 22, 2020","This is the 10th vehicle we have purchased from Mac Haik Southway Ford, and by FAR the best experience! Rory Parker went above and beyond to help us get the car we wanted, and saved us a lot of money in the end. He handled everything in a professional manner, and the follow-up has been nothing short of amazing. If you are looking for a new vehicle, go see Rory Parker at Mac Haik Southway Ford. We will definitely be back! ",5.0
48,"January 21, 2020","I have been dealing with southway ford for some time now and from the first time I came here I have not been sorry. They continue to come through for me n my family, very satisfied with our recent purchase. Will continue to  do business here",5.0
49,"January 14, 2020","Very supportive , helpful, and the easiest vehicle purchase i think i have ever made. i will defiantly be a repeat customer in the future on my next vehicle purchase.    ",5.0
50,"January 06, 2020","I was able to call and set up appointment, same day. Rene provided Excellent customer service, was fast and knowledgeable, will definitely go back for my vehicle service ",5.0
51,"December 22, 2019","I have been going to Southway Ford since 1999 . They have always been very professional,I keep going back one I love Ford vehicle’s and my experience there has always been excellent.keep up the good work",5.0
52,"December 17, 2019",Rory Parker took us step by step with out any problem's  on the purchase of our FORD Ranger and FORD Fiest ST. Thank You,5.0
53,"December 11, 2019",Ruben Hernandez is a great sales man!  He is very courteous and is always willing to go out of his way to make his customer happy.  The facility is always clean and the other co workers of Ruben are courteous as well.,5.0
54,"December 04, 2019",Very Helful.  Found what I needed immediately.  Went on a Sunday to see what was available.  but again it was available.  Jaime and Buck treated me and wife like we were special.,4.2
55,"November 29, 2019","We've kept the 2016 F-150 returning to the Quick Lane ever since we bought it for good reason: Fast, friendly, efficient, and effective service.  The F-150 is an excellent truck, and we want to keep it that way.  Great service with reliable results!",5.0
56,"November 22, 2019",This was an awesome experience. Everyone was so friendly and courteous especially my Sales Rep. Anthony Martinez. He really helped me out. Thank you all!,5.0
57,"November 15, 2019","Great dealership, their service is always reliable and guaranteed. I can always count on them for tires ,brakes and even body work. They have done it all for me. Thank you.",5.0
58,"November 14, 2019","dropped off my f-150 for an oil change, service was quick and fast! I was out in a flash! They also service my Yukon, great prices and coupons are a plus!",5.0
59,"November 13, 2019","we were greeted very warmly ,James Chatman showed us several vehicle explained all the instrumentations on each .   One of a kind salesman.  The handling of the finances went smoothly .the extra work done on the truck was completed 2 days later as promised .Very happy customers ",4.8
60,"November 09, 2019",wonderful staff and excellent service.  The service department was quick to help me in getting my car’s oil changed and they were concerned about getting fuel injection serviced.,5.0
61,"November 06, 2019","The handling of the safety recall went well and received the vehicle back the same day. Service was satisfactory, and the CSR kept me informed throughout the day on it's progress.",4.0
62,"November 04, 2019",It was awesome using the service department. It went smoothly and completed very quickly. Great service staff. Will use this see department again. Job well done,5.0
63,"October 11, 2019",Everything went great. Had good prices from the get go. Sale went smooth and fast. Great customer service. Very courteous. Will buy again from there,5.0
64,"October 07, 2019",Our third vehicle purchased here at Mac Haik's Southway  Ford and we shall return! VERY HAPPY with the no nonsense salespersons. They are there for the consumers needs and not for theirs. Thank you to Ruben Hernandez and Socrates Lopez for making our purchase of a 2019 FORD ESCAPE so pleasant and calm. We left the lot very content and satisfied. THANK YOU! ,5.0
65,"October 02, 2019","Great customer service! From sales to finance, every part of my buying experience was satisfactory. Southway Ford made my car buying experience a pleasure. I recommend stopping in! ",5.0
66,"September 23, 2019",Professional and Friendly staff that worked with me through the whole process to make sure I got a great deal on a new vehicle! Great Job!,5.0
67,"September 16, 2019","Jason was patient with me and willing to go above average to get stuff done and look for what fits my style, I've already recommended him to several of my friends and patients. ",5.0
68,"September 13, 2019","After 40 plus years in the retail service industry; it is so good to see a young man who knows the secret to success is GREAT CUSTOMER SERVICE. It seems ironic that you go to a so called ""service dept"" at other dealership, and get anything BUT SERVICE.
Mr. Diaz certainly is an asset to your Facility!",5.0
69,"September 12, 2019",Always friendly and helpful. Service is always quick and very professional. I always buy our cars here and have them serviced. Keep up the excellent work. ,5.0
