,Date,Reviews,Ratings
0,"February 17, 2020","Sold me a vehicle that was ""Certified Pre Owned"" with two open recalls, didnt transfer Ford Certified Warranties to my name and here 9 months later still trying to deal with. 
4 Months after I purchased the vehicle transmission went out, took it to the shop and there it sat for 5 months. During that time they lied non top to me and Ford Tech (from corporate office) about what they where doing. Have emails from them that my vehicle was in the bay up and trans mission out even through at the exact same time my vehicle is in back of the shop parking lot ( I have photos dated and time stamped). They issued me paperwork saying they removed transmission and found nothing wrong. I had vehicle transferred to another dealership and it was confirmed transmission was never removed, filled with fluid yes (I had two leaks and they had to fill it with fluid so I could leave with it...which it leaked out by the time I went 17 miles down the road but remember nothing is wrong with this transmission). Second dealership completely rebuilt transmission after they actually removed it and found a long list of things wrong as well as two leaks. Platinum kept telling me they removed the Auto Body value and it was fine, when in reality they did not and it was not. Platinum Ford does NOT have a transmission mechanic on staff. Instead of telling me this they continued to lie to me, Ford Tech, Ford Customer Service rep for 5 months...then placed a false claim on my warranties (which where still not in my name). 

DO NOT BUY, DO NOT HAVE SERVICE DONE at Platinum Ford

Owner was contacted multiple times, he is aware of this and has ignored me and evidence shown to him HE ALLOWS this to happen. So while The Gilchrist name & Southwest Name mean something to his family they mean nothing to him....he allows people to be treated this way. ",1.0
1,"February 03, 2020",Great dealership just needs to hire more techs. Cramped for space right now. Hopefully when new place is finished it will be a better place,3.0
2,"January 27, 2020","Took my vehicle in for oil change, and they parked it in the mud. which resulted in mud in my vehicle. Left finger prints all around the fenders around  hood. No detail to taking care of someone else’s vehicle.  After parking my car at home. It was remnants of oil on my driveway from the oil change",3.0
3,"January 24, 2020","You need to run background checks on your salesmen. I was surprised to see that Juan Carlos Olvera and Juan Carlos Olvera Jr work there. They are even in your commercials. Do you have a habit of putting convicted criminals in your commercials? They are crooks with convictions for drugs, assault, DUI, credit card fraud and identity theft (stole identities of their customers). They were on the news for selling cars at Rayo Motors without titles and with air bags removed. People got hurt. 

Look at cases in Dallas County (CC-18-06725-B, CC-11-05430-C, DC-13-05017, CC-05-12238-D), Rockwall County (1-18-1530, 3-06-146, 3-05-171, CI04-15, CR04-0333, 3-04-25, 3-04-256), and Van Zandt (12-14-00168). That's just a few of them. They were evicted in Rockwall twice, Garland twice, Dallas, and Edgewood. They trashed the commercial and residential properties before they were evicted. Stole everything they could. 

When your customers give them their information for financing a car, they will steal their identity and rack up debt. And they will steal air bags out of the cars before they sell them. That's a fact. They've done it before, been caught, been in the news, been convicted in court over and over again. 

Google search their names. Juan Carlos Olvera.",1.0
4,"January 23, 2020","Salesman Terry Williams was very helpful and went the extra mile to help me find the perfect truck for me. I would DEFINITELY recommend Platinum Ford to my friend's and family!!
",5.0
5,"January 10, 2020","Able to schedule over the phone. They were on-time and made it easy to drop off. Also they rotated tires at no charge. Finally they told me what to expect on the next service call, no surprises, I like that.",4.8
6,"January 06, 2020","I purchased a new 2019 F150 Lariat FX4 from Platinum Ford on 12/20/2019. I went in without an appointment and the process took time which is expected but the online price for the truck was not what they actually wanted for the truck. The online price took into account every rebate Ford offers and there is no way to qualify for every exemption. We came to a price that I believe was fair but the entire process took almost 6 hours. There was no sense of urgency from any member of the dealership to get my new truck ready and get me out of there. The real trouble started when I took the truck back to get my bed liner installed that was part of the purchase of the new truck.

After having the truck for 6 days I went to pick it up and the bed liner install was terrible. There was over spray on my cab and on my rear window. They made no attempt to remove the box link plates installed in the bed so there is no liner under them and they are covered in liner, the button for the lighting in the bed was covered with liner and the overall install was very poor. When I pointed it out and went to talk to the sales manager I was told that the shop they used had messed up another truck the week prior and that they would send it somewhere to get it fixed. The sales managers barely even looked up from there computers and never once offered to go look at the truck with me to see my concerns. The salesman I dealt with had the truck taken to a sister dealership where they got 95% of the overspray off my truck(not all of it) and where they corrected some of the install and uncovered the bed bolts and the light switch in the bed. They did not remove the box link plates or clean the bed liner off of them so the box link tie downs cannot be installed. The truck has been through the make ready area 3 times for a ""detail"" and has never once been returned to me clean. I took the truck back from them and will have someone else fix the issues and will never return to the dealership again. Through the process I called and left messages for the General manager as well as spoke to the sales manager and no one could even be bothered to return my calls while they had my truck trying to fix their mistakes. Jacob was my salesman and he did his best to try to solve the issue but if you cannot even inspect a customers truck before returning it to them, that shows just how much you care about service after the sale.",1.6
7,"January 01, 2020",Michele knew I had a super busy work schedule. She was able to send me all the information needed to consider purchasing my new vehicle. She was very poilte and more than helpful.,5.0
8,"December 23, 2019","I was having an issue with the steering on my 2018 F350. I took it in for repair work and found there was a technical service bulletin on my truck. Parts have been ordered, but, unfortunately they will take 6 to 8 weeks to arrive. Jason, the Service Advisor, and the dealer parts manager have done outstanding work in an attempt to get my truck safely back on the road. I'm looking forward to the parts coming in so the truck will be back to 100%.. Hopefully, they will arrive earlier than projected.",5.0
9,"December 18, 2019","Went in to have warranty work done, found other odds and ends needed repair. mike wrote them up and all was taken care of. Work on the vehicle was done right, and in a very timely manner. Will go back if i ever need repairs on my vehicle.",5.0
10,"December 08, 2019","Driving from Forney over to Terrell for shopping, I ran over an object on the road, which quickly cut down the right front tire.  I was approximately 1 mile West of the Platinum Ford dealership.  I called my insurance company to take my car to the Ford dealership.  It took awhile to get it there, but once I got there Micheal went to work.  I had installed a new set of Toyo tires a year earlier, and asked him to replace the damaged tire, with the same brand.  With a few phone calls, he found the correct size, and it was delivered about an hour later.  He then provided us with a loaner car.  We had just got back home, and Michael called to say that the car was ready.  So we returned and pickup up my car.
Platinum Ford in  short time what had been a disaster for the past four hours stuck out on the road.
Thank you to all the Platinum crew involved. ",5.0
11,"December 03, 2019",The guys in sales went above and beyond to assure I was happy with my new truck. Very pleased. My son bought a truck from them too and one of my other boys will coming in January for his purchase. Highly recommended!,5.0
12,"November 14, 2019","Oil change and filter, tire rotation.  Well done.  This was the first oil change for my 2018 Ford Mustang GT.  Michael remembered that I purchased the Mustang, how nice.",5.0
13,"November 11, 2019","Polite,friendly, helpful, and Sweet hospitality. Driving the car after the service was Really a great improvement! Would recommend this dealership  to my friends .  Thank you ",5.0
14,"November 05, 2019",service has improved a lot since platinum took over.can be trusted more than when randall noe had it.parts are pretty high tho..friendly,4.0
15,"November 04, 2019","Took my car in on Friday afternoon for a non-warranty issue and they stuck to the labor hours they estimated.  Got me in a loaner car and back on the road in no time!  Felt like they respected my time and didn't give me a run around.  They even suggested I go ahead and get the oil changed and tires rotated since the car was already there.  Very straight forward and able to get on with my day!
",5.0
16,"October 29, 2019",Truly a great experience!  I had an oil leak with my new mustang and the got me in immediately!  No waiting at all... I was very impressed with the urgency in which they had to take care of my problem.  It ended up being something minor and got me on my way!  The service man at the counter was awesome.  I think his name is Mike!  Well done!!! ,5.0
17,"October 24, 2019",This place is wonderful. Everyone here is always friendly & greets you with a smile. The service is fast but very dependable. Thank you Platinum Ford Service Department. ,5.0
18,"October 15, 2019",I go there for my free oil change that i got when i bought my ford escape. The only thing  is takes a little long. ,5.0
19,"October 07, 2019",Convenient 10 minutes from my house.  No traffic congestion.  Plus Ford experience on maintenance of my vehicle.  No hassle with traffic.  Parking is limited but offset s the congestion hassle.,5.0
20,"October 02, 2019","Booker Law was the best sales person that we have ever dealt with. He, Gary, and Scott worked with us and exceeded our expectations by leaps and bounds. We were able to get more than we expected and stayed within our budget. ",5.0
21,"September 30, 2019",Very professional but also showed us they really cared about our issues. Went over and above to resolve all issues in a timely manner. REALLY a nice change since our last visit.,4.0
22,"September 30, 2019","no pressure , very respectful , went very smooth and they did the best they could do to set me up finance wise , i will recommend platinum ford to my friends",4.7
23,"September 25, 2019","Went in for a free oil change on my new F150. Mike Woodall greeted me and asked how he could help me. Found me quickly in the system, informed how long my wait would be and invited me to grab a coffee. My truck was ready before the estimated time and I was on my way. So refreshing to have a quality Ford dealer in town!",5.0
24,"September 20, 2019","My 2007 Navigator had a 90000 mile tune up and runs 100%. better now. Other issues were repaired and function just fine. My compressor that keeps my leveler working was replaced and functions like new. This was just 5 days ago. I was advised to watch it if it begins to appear leaking again. My service technician, Mike Woodall advised me daily while the work was being done. He is an asset to The Platinum Team.   Iirecommend this service department very highly. 
Thanks 
Reuben",5.0
25,"September 19, 2019","First time here for service. Mike was great. Super nice and informative. having an intermittent battery indicator. Service tested battery and alternator and both were a-ok. The offered to keep the car and continue troubleshooting, but we agreed that since battery and alternator tested ok, just going to wait for it re-occur then bring back.",5.0
26,"September 10, 2019",Found the truck I was looking for online.  Got to the dealership and Booker Law helped me out from start to finish and made sure that I was taken care of.  Great experience and will do all my car/truck business in the future at Platinum Ford.,5.0
27,"September 08, 2019","After visiting several dealerships in the city, I was frustrated with all the “add-ons” and hidden prices. I headed home to Terrell and stopped by Platinum Ford just to take a look at a couple of cars, not intending to buy. I’d read their online reviews and was impressed with their excellent ratings. Everyone was so nice; straight forward, honest pricing. I found my perfect SUV at a great deal and drove away a happy customer. I absolutely recommend Playinum Ford as a 5 Star dealership.",5.0
28,"August 31, 2019",Very professional and friendly. I felt like they really cared about me and not just about my business. I will continue to take my vehicles to them.,5.0
29,"August 27, 2019",The sales division is so friendly they will go out their way to give you a good experience.  I will let my friends know about this dealer.,5.0
30,"August 26, 2019",Gary Walker is the sales manager and is a great person to work with he is a man of his word and honest glad to do business with them. Samantha is the salesperson I worked with Great person too. Thank you for a great job ,5.0
31,"August 26, 2019","Shopping new vehicles is definitely not high on my ""favorite things to do"" list.  Booker L. and Gary W.
changed that for me.  Both were very forthcoming with vehicle details and in price negotiation. Many of our conversations were outside of business hours, which speaks highly of their work ethic. Booker knows the importance in treating potential buyers with honesty and respect.  When I was in a bind to take delivery of the vehicle, Booker went the extra mile to drive me to the dealership. I have no regrets making the 60 mi. drive to make the purchase. Thank you to the team at Platinum Ford!",5.0
32,"August 23, 2019",Traveled to Texas in 107 deg. F. weather to pick up a new mini horse and my air conditioning went out.  Called five different ford dealerships before talking to Platinum Ford.  Believe it was Mike I spoke to who not only made room for my vehicle the next morning but also asked if I needed help finding a facility for the mini horse.  What a wonderful gesture and excellent customer service and follow-up on my vehicle.  It doesn't get better than that.  Thank you!,5.0
33,"August 06, 2019","I am completely satisfied with my experience at Platinum Ford on August 1, 2019.  The young man that helped me was very polite and courteous, and he seen to all my needs.  I also didn't have to wait a long time for the work to be done.",5.0
34,"August 05, 2019","drop truck off Thursday at 730 am for 40K service. told should be ready by noon
called at noon was told be ready in 45 minutes
showed up to pick up vehicle was told mechanic broke fuel line and would have to be ordered
had to wait for loaner car
went out of town that evening returned to pick up vehicle on the following Monday afternoon
was told may not be ready, this after 4 working days
it was however ready, they temporarily lost keys, found keys. finally was able to drive it home
, there was also a question of warranty or extended service plan which was purchased thru ford not 3rd party. 
overall very aggravating experience and would not recommend your dealership to anyone. 
myself and everyone including persons employed by your dealership should expect better service especially after such an expensive good faith purchase.",2.0
35,"August 03, 2019",This was the easiest experience I’ve had buying a vehicle.  I got exactly what I wanted at the price I wanted.  Big thanks to Stephen Sterling and his professionalism.  ,5.0
36,"July 24, 2018","Our buying experience at PLATINUM FORD in Terrell, TX. was awesome. My wife and I are senior citizens and have purchased many new and used vehicles over the years, and this was by far our best experience...ever!!!. Stephen and Eric were great salespeople. Josh in finance was awesome and went out of his way to assist us, and GM Adam Vincze was absolutely amazing. Great folks and great! dealership
 ",5.0
37,"June 22, 2018","I had an excellent experience and very thankful with  Platinum Ford and there team! Stephen Sterling was an awesome sales person. He was very helpful, he  went over and beyond his way to getting us in our dream truck. that all other dealers turned us down for. Me and my husband are beyond greatful with him and his service. I would definitely recommend Stephen with my family and friends. 

Sincerely 
Isrrael & Erika Cervantes",5.0
38,"May 01, 2018","We (my wife and I) were in the market for a new Ford Fusion. We must have contacted 10 dealerships in the Dallas/Ft. Worth area trying to score a good deal. Platinum Ford was the only one that shot us straight and didn't try to play all those shady car dealership games most of them like to play. They were willing to get us the car we wanted at a price we liked. Our sales guy Pete was amazing. No pressure, no hard sells, just friendly service. Thank you Pete! We handled the whole transaction via email and they had the car, and all the paperwork ready to go when we arrived. It was a quick in and out with a free bottle of water for the long drive home =) They definitely earned our business for life. 

I've purchased 5 vehicles over the last 20 years and I have to say this is one of, if not the best car buying experience we've ever had. We drove over and hour and a half from our home to do business here but after the experience we had I would gladly drive from Houston or Austin to do business here. Its worth the drive! Shop them first and you won't need to shop anywhere else.",5.0
39,"March 28, 2018","From the time of contact via email to purchase, there was no pressure and they stood behind what they said in all areas, all the time and in a very relaxed and pleasurable environment.  I highly recommend Platinum for your auto needs.  I would and will use them again. ",5.0
40,"December 27, 2017","BEWARE! Company will try and pull a bait and switch on customers! I found a listing online for a truck from this company, and called to make sure everything on the listing was correct. After confirming everything was correct, I left Louisiana on a roughly six hour drive. Approximately 30 minutes before I get there, the salesman calls me to let me know the ad was a misprint, would've been nice to know when I called to confirm everything!",1.0
41,"September 27, 2017","Local salesman was not pushy.  Followed up with all questions.  They respectfully handled the sales process and delivery.  Other dealers were good, but not as competitive on pricing.  ",5.0
42,"July 30, 2017",The team at Noe's Supercenter was Fantastic!  They got me into a beautiful used GMC at a Great price! I highly recommend this team.   Rich H,5.0
43,"July 22, 2017",Drove over an hour to buy new car - best choice ever. From salesman to finance to owner - a wonderful experience. Reminds me of the old days when customer service was important   ,5.0
44,"June 12, 2017","First time car buyer. I had researched online & I knew what vechile I wanted. But I didn't expect to purchase the first car I saw. Needless to say I did! Chad was very professional, hekpful, and nice. The cars seemed to be well taken care of in the preowned area of the dealership. When we sat down to go over the paperwork there was no funny business that took place like sneaky extra things in contract or anything. I'm so excited to have my new vehicle, well used but new to me! Thank you Chad. Y'all definitely want to ask for him if you are looking for a preowned vehicle at Randall Noe Ford. ",5.0
45,"June 06, 2017","Looking for our son's first vehicle I felt would be daunting. We had a budget in mind and I was afraid of what that end budget would manifest itself to look like in the vehicle. We started by researching brands, models, safety features and found what we felt was the right choice for us.
From the beginning our sales person, Chad Ragsdale was responsive to these concerns and recommended several similarly priced models so that we had a good variety of choice. We ended up going with our original pick, a 2012 Hyundai Genesis. 
Fast forward a month or so, one concern was that we only had one set of keys to the vehicle and a dwindling list of where to get an extra copy. Mr. Ragsdale went above and beyond and tracked down the previous owner for us and was able to procure that set of keys as well. That level of commitment after the point of sale is a dying art.
Thank you to Mr. Ragsdale and Randal Noe used vehicles for making this a very positive experience.

Gerald LaPlante",5.0
46,"May 15, 2017","Thanks to Rigoberto Rojas, we found the perfect family car! He took great care of us. We love our new ride! If you are looking into buying a car. GO HERE! ",5.0
47,"May 12, 2017","Going to a dealership I didn't expect such a warm welcome and good hearted people. Bethany and Don were very kind and helpful, definitely made my day will be coming back. ",5.0
48,"March 05, 2017","I saw a 2015 Ford F-150 XLT  Super Cab with 7096 miles listed as ""Certified"" and priced at $26,130.00 I was very interested and submitted information on the internet. I soon heard back from a representative that the vehicle was not""certified but ""certifiable"", i.e. eligible to be certified, and that if certified during the sale an additional cost would be added, basically an extended warranty . Why then advertise this vehicle as ""Certified""on the website? I reasonably assumed based on the dealerships own advertising that the vehicle already was ""Certified"". After thinking about this overnight I called back to cancel my appointment to check out the vehicle. I thought if the dealership can't shoot straight and tell the truth on their advertising then what else am I walking into?",2.2
49,"November 10, 2016","An update to my review. Originally I had a great sales experience but not so great back office experience. There was issues getting taxes sorted, tags taken care of and promsss made. In the end Trey from Randell Noe came through and got things taken care of. Thanks a Trey!",2.8
50,"October 04, 2016",No pressure from Michael Campbell. In and out of there in no time after we chose the truck we wanted. Great customer service! Don and Stephanie were fabulous as well as Jason in finance. Don't waste your time on other dealerships. We checked many other dealerships and still come back Randall Noe everytime. Best prices and service!,5.0
51,"July 31, 2016","UGH!  Where do I start?  The overall service was far less than par, and we ended up chasing the service rep, who we later found out was only days on the job.  We received the call that the truck was ready to be picked up, so we make the hour plus drive up to the dealership only to learn it was not in fact ready after all ... and we waited for well over 3 additional hours.  Icing on the cake occurred when we drove off the lot and had to immediately stop to put gas in the truck as the dealership refused to fill the tank.  Final straw was that we never received the full set of paperwork promised by the dealership, even after making numerous calls / trips as well as contacting their corporate VP.  WILL NOT USE THIS DEALERSHIP, NOR WILL I REFER THEM TO ANY OF MY CONTACTS!",1.4
52,"July 17, 2016","If you are looking for a vehicle you are crazy if you don't go to Randall Noe Ford. Eric Showler was my salesman and went above and beyond to insure I was happy with my choice, even to the point of driving over an hour away to bring the truck to me to drive. Never I have I had a dealership do this. All my vehicles will come from here from now on. ",5.0
53,"July 16, 2016",Everyone was extremely helpful in the purchase of our Forester and finding a great deal. I can highly recommend them. They were very knowledgeable and friendly.,5.0
54,"July 13, 2016","it was fast and easy. fast oil change, comfortable waiting area. nice people to wait on you. clean and friendly people. everyone took care of my beeds",5.0
55,"July 12, 2016","I have bought four new vehicles from Randal Noe and will be back for another. There is a very good reason for this - Quality product and a great support staff. 

Also, not taking the banker bailout of 08 sits well with me.",5.0
56,"July 07, 2016","After several calls to let them know I would be in on a Wednesday morning to pick it up and promises that it would be prepped and ready Tuesday. When I got there nothing had been done. When I ask why they said they were too busy.  The car was delivered with miss matched paint 65 pounds of air in the tires and the spring locks from shipping still in place. Which made the 1200 mile drive home with no suspension brutal. 
Nice people, too busy to get it right. ",3.0
