,Date,Reviews,Ratings
0,"June 22, 2020","I needed a quick turnaround on a 36k service and they did it, super satisfied.I was in at 6:30 and the response was fast and immediate.
",4.8
1,"June 19, 2020",Great service. Work was done in a timely fashion. How to do some work while waiting for my service to be complete. Had good internet service.,4.6
2,"June 18, 2020","From  the buying experience to the full maintenance experience this is the Ford Dealer that you want to deal with, at every level we have been very satisfied with the one on one experience honesty and expertise that we have received.  ",5.0
3,"June 09, 2020",I have always received outstanding service form North Central Ford. Any questions or  issues that have arisen have been handled in a timely fashion. One of the main reasons I believe this has been the case is the great service that Roy Coleman has provided. He's has always had my best interest at heart.,5.0
4,"May 31, 2020",Good quick service. Clean facility. I am not a verbose person so please do not try my patience. If you need 25 words you should read a dictionary.,5.0
5,"May 19, 2020","I purchased the maintenance plan on my F250.  Everything was fine until I got to 50k miles, where I was then told (it's definitely not clear in the contract) that I have a certain amount of services and then my plan is over.  No big deal, you can't have an indefinite plan, totally understood.  I take it back for my next oil change at 57k miles and i'm told the plan is over at 61k miles.  Different than a set number.  Still, not that big of a deal, a little gray but I know.  Not a lot of caring from the employees delivering that news, but I was informed.  Fast forward to Covid19, 61,500 miles I take it in because Texas had a Shelter in place order.  Was told no way was the plan still good, no flexibility, no empathy.  During a pandemic, and in a tough place for everyone, North Central Ford is there with their hand out and not willing to bend at all for the last service on a plan they probably over charged me for in the first place.  The attitudes didn't help the situation at all, if youre looking for a business to have a good long term buying and service relationship with, this is not the one.",1.8
6,"May 18, 2020",Great service as usual.  The service maintenance was completed in a timely fashion.  I was kept informed on the progress of the service being performed.,5.0
7,"May 11, 2020","Best dealership in Texas
Love the people and service
Recommend to everyone who is interested in ford vehicle
Keep up the great work
I always purchase my vehicles here",5.0
8,"May 05, 2020",These guys treat me well. I keep coming back for service and a couple of repairs for the parts that wear out. I am always treated well and taken care of.,5.0
9,"May 04, 2020",i received immediate attention upon my arrival.  Seth was very courteous and explained the charges for each portion of the repairs.  The repairs were excellent and done in a reasonable amount of time.  They also washed the car at no cost.  I have always received the best care at the dealership and has never gone elsewhere for service since I purchased my car.,5.0
10,"April 30, 2020","Amazing!! I had a 3:00 appointment with Rockwall Ford for an oil change. Once there, I was told it would be 1.5 to 2.0 hours. No happy at all. Called North Central Ford, scheduled, and out in 34 minutes. And Seth Spence was extremely helpful. Definitely will be my maintenance facility.",5.0
11,"April 28, 2020","Christopher garner was amazing.
I had a horrible noise coming from the front end of my raptor. He took careful notes and expressed to tech / mechanic  exactly what was happening. Comunicated repair , parts and timeline perfectly to me. 
Truck was ready , clean and most importantly repaired correctly exactly as per his timeline. Best service guy i have ever had.
",5.0
12,"April 22, 2020","Andrew in service was great. He got me in and out with no hassle. My car is running good.
I will drop off there again
Everything was great!",5.0
13,"April 19, 2020","Roy, the service advisor I used, was courteous and very helpful. He made sure I understood everything. He has taken care of me for the last 10 years.",5.0
14,"April 17, 2020",Bradley Bemis went above and beyond to make the deal.   I would highly recommend North Central Ford because of Bradley Bemis.  He is a true asset to the Sonic Automotive Group.,5.0
15,"April 08, 2020","In the midst of the COVID-19 pandemic, North Central Ford was able to smoothly handle my new 2020 Ford Edge lease at a better price than comparable vehicles elsewhere.",5.0
16,"March 25, 2020",I took my Edge in and Jim Ayo was so very helpful. He didn’t try to suggest all these tests to try and figure out what was wrong. He listened then he and the mechanic called me asked questions and the repair they did was spot on. They earned my trust and I will ask for Jim each time. The other two morning guys were also nice - Seth and didn’t catch the other ones name. I thought it’d cost at least $600 or more and it didn’t. Thank you Jim for your knowledge and getting me back on the road the next day. Kudos to you!!!! Your genuine concern is very much appreciated!!!  Five star ***** all the way ,5.0
17,"March 19, 2020","Thinking Ford would find several issues that needed to be token care off.  Minimal service required for trip.  Great.
Roy reminded me of broken rear tail light crack. Told him to replace it now; he did and picked up my truck the next morning.
Have been a Ford Truck Man for many years.  When time to replace truck, I tell myself to check other trucks.  I almost did the last time.  I had made up my mind to get a Ram this time, but I made myself go look at the Ford 150 before deciding.
One look and forget Ram; Ford 150 again.

",5.0
18,"March 18, 2020",I am a professional woman in Texas. I have urgently called North Central Ford a few times in need. They have always treated me as a priority. They have always taken me right in and serviced my vehicle promptly.Great staff and dealership! Thank-You!,4.8
19,"March 13, 2020","They always do excellent work, everyone is courteous and there is good communication about work needed and progress or any delays for ordering parts. Easy to set up service appointments online",5.0
20,"March 11, 2020","Just a yearly vehicle inspection, but they offer donuts and coffee while you wait. It only took about 30 minutes and it was done. I always take my vehicles to the dealership and North Central Ford has been very good to my vehicles over the years. Roy Coleman in service was very helpful and had me back in my vehicle almost as soon as I sat down with my coffee and donuts!",5.0
21,"March 05, 2020",Everything was great they fixed the recall very quick and what won me over is they actually called me to see how they truck was doin.,5.0
22,"March 01, 2020","Exceptional customer service and great service for my truck. I highly recommend this location, they never disappoint me or my vehicles. Every time I visit I am welcomed with the best way and offered the best service and by the time service is done, I get briefed on what was fixed / replaced and what need to be changed soon. Just the perfect spot to fix a Ford. ",5.0
23,"February 21, 2020","The service department is highly professional and very efficient.  They processed my extended warranty claim just like it was an OEM warranty claim.  They also gave me a loan car, as my plan provided for that.  They communicated with me regularly and the repair was completed within the time frame they promised.",5.0
24,"February 16, 2020","Subject: Proceed With Caution

North Central Ford of Richardson has a great selection, friendly staff, and overall fair experience during the purchasing process. This appears to be window dressing for an incredibly poor post purchase support experience.
TLDR: Nice before cash in hand. Curt and dishonest after the sale.

While I was considering the vehicle I purchased, I expressed concern about maintenance history and inspection of the vehicle. Their listing photos showed a warning light on the dash, which wasn't lit when I test drove the vehicle. So, I asked what the issue was and whether it had been resolved. 

I was informed that this light was due to tire pressure, which was thoroughly inspected while the tires were balanced and rotated. I was told not to worry, and that the dealership moves more than 400 cars monthly - so rest assured that they're incredibly thorough and all maintenance was up to date.

Less than two days after my purchase the light came back. I took the car to my local Toyota dealership and was informed that:
The engine thermostat needed to be replaced.
The tire pressure sensors were deffective.
Engine fluids needed servicing and had not been maintenanced on schedule.
Oh, and by the way... There was no way they could have balanced, rotated, or otherwise inspected the tires as the rims were locked on with incorrectly installed lug nuts that would need a specialty tool to be removed.

I contacted the dealership - wanting them to resolve the issues. They had stated they had resolved all of these things and completed an inspection - an obvious lie.  No one I spoke to including the General Manager cared about me at all - remainign completely indiferent about how their dishonest dealings had impacted me. The only person who showed any sense of human sensitivity and willingness to help me was the Used Cars Manager: Billy Plasket - and to him I'm grateful.

Billy agreed to have the car serviced in their service department again and also by Discount Tires - where the tire pressure monitors were to be replaced.  At least the two tire sensors that had low readings.  Upon inspection, Discount Tire discovered one of the rear tires was not road worthy, and had rotted so poorly in places that they were for concerned for the passenger's safety. Additionally, the other tires were so worn that the entire set of four would need to be replaced to match the fourth new tire. And to top it off, the spare was rotted and not road worthy and it's tire pressure monitor was also dead. But... They did a thorough inspection right?

I believe Billy advocated for me - but I'm sure the indiferent General Manager overrode him - because North Central Ford of Richardson declined to replace the tire and dismissed the concern for safety for me and my family. They insisted they had done all they would.

To date I'm left with the cost of five new tires, three tire pressure monitors, plus gas time and energy ALL ... On a vehicle I was assured had been thoroughly inspected. I suspect somoene simply cleared the error code long enough to get the car off the lot so somone, unfortunately me, could be taken advantage of. 
This is shameful.

I'm an honest, hard working, single mother. I saved for several years to pay cash for a new car for me and my family. Not only did I not get what I paid for; I got a financial liability I can't afford and a car that put me and my children at danger as we drove on the highway with rotted tires ready to blow underneath us. I'm not sure how these people sleep at night, but I'm sure it must take zoologic doses of tranquilizers to quell the shame of scamming those who already have so slim of margins.

If you insist on buying a vehicle from this dealership, do yourself a favor... Have an independent mechanic perform an inspection and pull historic code readings from the computer to see if they've tried to cover any errors they would rather not rectify. Or, save yourself the time and keep on moving. Look elsewhere for integrity and ethical business dealings.",1.0
25,"February 12, 2020","North Central Ford is ahead of all the rest when it comes to customer service, satisfaction and overall care for their clients.  The service department is a very busy department; however, they do all that they can to accommodate you when pulling in for service.  This team is a team comprised of compassion, honesty and competence. Top Notch.",5.0
26,"February 05, 2020","Whether it's been Jim or Chris or others helping me, my personal experience has been quality. Those guys work hard and our consistent.  Working in retail for many years previously, you deal with a lot with the general public. This team is trained well and carries themselves above reproach. ",5.0
27,"February 01, 2020","They are truly professional, very thorough and caring. I have gone to them for 50 years and would not think  of going anywhere else. We are family!",5.0
28,"January 27, 2020","Timely service as scheduled.... Nice People...I came back to the dealer who sold it to me, because I wanted quality work done,resulting in me not having to come back for more work. Done right the first time.......I live 70 miles from your dealership....THANKS",5.0
29,"January 22, 2020","I was able to get my truck in and out for a routine service late on this past Saturday afternoon.  My Service Manager Ronnie Ralph was very responsive to my telephone inquiry, as always, and took care of all of the details including the complimentary exterior wash.",5.0
30,"January 15, 2020","Took my car in for some electronic issues (and recall issue) first thing in the morning (even got me a coveted loaner car).  They completed the work and called to notify me with enough time (same day) to pick up my car before severe weather moved in.  North Central Ford is always prompt, courteous, and professional!",5.0
31,"December 20, 2019","ASSISTANT SVC MGR MET ME IN SVC BAY AREA, WAS FRIENDLY  AND RESPECTFUL. INQUIRED ABOUT
MY VISIT/PROBLEM. EXPLAINED REASONS FOR MY VISIT, VERIFIED MYNAME,VIN #,MODEL OF
VEHICLE,VERIFIED MY WARRANTY STATUS. ADVISED APPROX WAIT TIME FOR SVCS REQUESTED.
SVCS REQUESTED COMPLETED QUICKER THAN EXPECTED. 
",5.0
32,"November 22, 2019",Very dependable dealership with which to work and you can count on your expectations being fulfilled. Our service advisor (Jim Ayo) returns all calls made buy us almost immediately and follow up contacts as well.,5.0
33,"November 19, 2019","went in for 10000 mile service, all appeared good until i notices the following morning that oil was leaking.  Called the next day and had to drive into the dealership for them to fix what was wrong.  Was just inconvenient to have to make a separate trip.",4.6
34,"November 19, 2019","good job. this is one way to loose me as a customer. you are there to do a job, so do it and be satisfied/",5.0
35,"November 18, 2019","Jim Ayo,the service writer took very good care of me by replacing the defective battery in my Ford2019 Transit.He solved the only problem I had.",5.0
36,"November 08, 2019",Very satisfied with the efficiency with which they got my car in and out.  Was surprised when our name was called to pick up our car.  Thank you!,4.8
37,"November 07, 2019",The finance team at this dealership is full of crooks. They blatantly lie about the service policies they sell you and as soon as you realize and fill out the paperwork for a refund you never hear back from them. I have made so many calls and left so many voicemails that they refuse to return. I received confirmation of the cancelled policy 3 months ago and they have still yet to issue the refund check I am entitled to. ,1.0
38,"November 06, 2019",Poor service. Delayed service. Over charged time to repair. If a non certified local technician takes an hour to do the job whey does it take ford certified technician more than twice the time to fix a simple repair. ,1.0
39,"October 08, 2019","Saw a used truck I liked on the website. Sent an online inquiry to verify if the truck was still available.  Got a nice email and text from Josh confirming it was.  We discussed a mutually beneficial day/time to come by for a test drive (I live about 30 miles from this dealership).  Drove the truck and really liked it.  Got a trade-in quote for my current truck and some estimated payments on financing the difference.  

Went home and talked with wife.  We'd been badly burned on a used vehicle a couple of years back by a different dealer, one who hid some serious issues.  As a result, asked Josh if we could get a mechanic to check it out.  He welcomed it.  

The mechanic showed up and Josh pointed him to the right truck, and they had a great interaction (Josh is a very personable and down-to-earth person).  The mechanic gave me a clean bill-of-health, so Josh and I coordinated calendars again for me to come in and finalize the deal.  

I got a good truck for a fair price, a respectable trade-in value, and a reasonable financing deal.  My total in-person time at the dealership was probably about 2 - 3 hours across the two visits (and some of that was the test drive).  Josh was great at communicating electronically, which was ultra-convenient (especially since I live so far away from the dealership).  

I have nothing but good things to say about my experience with North Central Ford, and will recommend them to others.",4.8
40,"October 03, 2019","I been going to North Central Ford for years and their service department is outstanding. Jim Ayo, service advisor, is top notch!  All other service advisors rate equal when Jim is not available.  Gary Davis, Service Director, does a great job managing the department and makes himself available for customers as well as provide valuable tips related to the vehicles.  The whole service department is excellent!",5.0
41,"September 25, 2019",I have taken my vehicles to NCFord for many years and keep going back due to the dedicated service staff and good work on my vehicle. I highly recommend this dealership--I buy all my cars from them as well!!,5.0
42,"September 24, 2019","Red Redmond was very attentive and informative... He worked with me to try to get the best deal. The only criticism that I have and it’s nor towards Red but the financial guy Michael Potocki seems very fake. He tries to be sympathetic but failing at it. Seemed self centered and very un attentive. 
Red should teach him some customers service skills, but maybe his stuck up attitude would never appreciate it. Keep him in the back...",4.4
43,"September 20, 2019","Easy to search inventory to see what options there are for you see your choices a long with the prices. 

Thanks and regards from Shane ",5.0
44,"September 08, 2019","North Central Ford is an outstanding car dealership. They will go out of their way to ensure you are completely satisfied with your car purchase. Very knowledgable and professional salesmen, yet down to earth and comfortable to work with. Great place to buy a car.",5.0
