,Date,Reviews,Ratings
0,"June 17, 2020","I bought a car through TrueCar from Red McCombs Ford.  I bought this car remotely, asked and documented all my questions in writing.  I also asked for photos and a video.  I tried to cover all my bases.  When I received the car it was not the Premium Mustang as listed.  I have pictures of the online posting where it says Premium Mustang with leather seats among other features.  It arrive with no leather seats and when I took it to a local Ford dealership they ran the VIN and said it wasn't a premium.  They printed the window sticker for me.  

Also, the transportation company highlighted a few dents and scratches prior to picking it up.  The dents was covered in black polish which tells me they knew.  Any car person would know, it was one of the first things that I noticed.  Also, when I called the dealership and asked what was serviced on it the woman started reading the notes and then stopped and said I would have to contact someone else.  I tried, but no response.  The car salesman, Roman, stopped responding to my calls and texts.  The dealership, at all leadership levels, stopped responding.  They wouldn't even respond to TrueCar.  

TrueCar said they can put them on probation for misrepresentation, commented on how detailed I was and that was it.  They took zero responsibility as well.  Even if you are local, a leopard doesn't change its spots.  I wouldn't buy or get my car serviced there.  They clearly lied, acknowledged it and now won't make right of their mistake.",1.0
1,"May 29, 2020","David is awesome!!! He help us to get the car that we want to and make everything super easy and smooth, been in market for three months and he made our experience very satisfying. The Truck was awesome and everything we want to. Red McCombs gave higher trade in value for our car, and gave us a great deal on the finance. I have been buying a lot cars in my life and this is the very easy car buying for me. Thank you David, Jessica and Red McCombs y'all awesome",5.0
2,"May 25, 2020","Started with ruben, on 2nd vist was passed on to Mo. No success, requested return call from ruben recieved email from Barry on belaf o",1.0
3,"May 23, 2020",Very friendly and knowledgeable!!! David had the truck available when we arrived. He worked hard to get us the best deal and we never felt pressured!!!,5.0
4,"May 23, 2020",I buy from Red McCombs because they treat me right. Philip is a great salesman. Also I love my new 2020 Ford Escape SEL and all the features,5.0
5,"April 09, 2020",Victor has extensive experience and knowledge regarding all models of vehicles. We are so grateful for the extra efforts he has made on 2 occasions. Made certain all details of work was done properly and personally put in extras effort to have a rental car quickly available for handicapped husband.  We travel 3 hours to you based on our local USAA repair recommendations of a dealership wirh quality service & repairs and Victor’s efforts have exceeded our expectations every time.  Thank you Victor,5.0
6,"March 24, 2020",We bought a 2015 Altima in December. With approximately 3000 miles on the car we were metal on metal with brakes and had leaking shocks. We parked the car for around 2.5 weeks because it wasn’t safe to drive and we couldn’t afford brakes. I then took it to the local shop because I could finance the work for brakes. They fixed them and confirmed (and showed me) that they were metal on metal in the back and close to that in the front. Needed pads all the way around and rotors in the back. That’s when they showed me the leaking shocks on both sides. I tried to call the manager at Red McCombs 3 times and never received a call back. Then I called the service department and left two messages. No call back. Finally the operator transferred me to someone who was there. They said they would look at the shocks but won’t reimburse for the brakes because they didn’t get to look at them. It was unsafe to drive an hour away and I can’t afford a tow. He said they MAY have paid for the tow after they looked at the brakes. I don’t have money for MAY. I will never buy a car here again. I dealt with Josh and Cliff in service. I am out almost $500 for brakes. They are doing the shocks after I raised xxxx. Never again. They obviously don’t inspect cars before they sell them as “certified preowned.” ,1.0
7,"February 15, 2020",Marcus Venson helped me  and quickly answered my questions  regarding the Ford 150 truck I wanted.  He is an excellent salesman and will be recommending him to my friends and family for their future Ford purchases. I really like the online features of McCombs website. It helps you get an idea of whether someone can afford a vehicle or not.  Thanks Red McCombs !  I really wish I could have talked to the finance people and be able to ask them financing questions since I’m from out of town.  Are they not allow to talk to customers? Anyway that would have been helpful. ,4.0
8,"January 22, 2020","This dealer is always prompt, courteous, and efficient when I take my car in. I can sit and wait in a comfortable and hospitable waiting room, with coffee, tv, and other services. ",5.0
9,"January 18, 2020",The staff at Red McCombs Ford is extremely friendly and have great customer service! They worked with me to get me in the car I wanted!,5.0
