,Date,Reviews,Ratings
0,"June 23, 2020","I cannot rate the service department since I cannot get through to them on the phone.  I tried calling to schedule an appointment for warranty work three times on Friday, June 19th, four times on Monday June 22nd and two times on Tuesday June 23rd.  Each time the phone merely rang, and rang and rang. The switch board did not even pick up. As much as I want to do business with this dealer, I refuse to go to the service department without an appointment and drop off my truck that has less than 10,000 miles on it without some type of assurances of how long I will be without a vehicle.  I would hope with unemployment being what it is, Mac Haik would at least hire someone to answer the phone.",1.0
1,"June 09, 2020","Update:
I just got off the phone with the service manager. I received his call about 30-45 from posting this. Apologies were given and accepted for not returning phone calls, etc. Things do happen and things get forgotten. I am an understanding person.

They have made this wrote by giving me a credit for service equal to what I paid for the second tow fee. I am satisfied with the outcome.

I would like to say thank you to the team for responding and showing that you actually care. I will be going back now that they have made this right.

---------------------------------------------------------------------

The service department at Mac Haik needs some serious work. Mostly with the service advisors. The mechanics are doing what they are instructed to do, and overall are very skilled. If we could get the services advisors to listen to their customers and the mechanics, or just get rid of them all together, I think they would be in better shape. The mechanics are the only reason for the one star. 

My truck died on me while driving down the road. Had it towed it. Service advisor calls me and says that after sitting a few days over the weekend, they got in it and it fired right up. They pulled the codes and suggested a fuel pump failure. SA said to replace it would be best.

I asked him if they would recommend dropping the tank and flushing it and the sending unit. My though was perhaps some debris was in there that was getting stuck on the suction lines. I was told no, that is next to impossible. Anything like that would get sucked through and be caught in the filter. Dropping and flushing the tank would be a waste of time and money.

So, I trusted him and replaced the fuel pump. Picked up the truck, and a few days later I'm having it towed again. This time, to the house. Where the next morning I dropped the tank myself to find a piece of wax-paper gasket stuck to the high suction line of the fuel pickups in the sending unit!

When I went back to speak to the service advisor to try and get some restitution for the $1400 he F#$%^D me out of for the fuel pump, I asked him if they even hot-wired the pump to run a while to see if it was OK or not; NO. I then asked to speak to the mechanic and showed him the piece of debris I pull out of my tank, and I showed him the pictures of it stuck to the suction lines. Mechanics words, ""Oh yeah, I've seen that hundreds of times. I told him we should have dropped the tank"". Clearly the SA was in this to make revenue numbers and not take care of his customers. Funny thing is, I would have paid for both the pump AND the tank flush.

SA gave me his managers number. I have called and left messages twice. All I was asking for was for them to clear the (second) code in the truck and perhaps reimburse my tow fee by giving me some oil changes or something. No call back.

Last time I go here.",2.2
2,"February 20, 2020",Working with Roy was a pleasure.  He showed us three different versions of the Expedition we were looking for and there was zero pressure towards the higher priced version.  Roy allowed us to make our choice on our own.  Roy worked to get us all the rebates and perks I asked for.  Will gladly buy from Roy Casas again!  ,5.0
3,"September 07, 2019","For years we've bought  all of our vehicles at Maik Haik Ford Houston. We drive 60 miles one way and every time has been a great experience. They're the best in customer service. Sales people are very courteous and knowledgeable. Aladdin Atassi & Cameron Gray took care of all our needs in our vehicle purchase.


",5.0
4,"September 04, 2019","recently bought a used f150 with 85,000 miles so i was expecting some issues down the road, but i did not expect to be paying for a tow truck and repair cost of 500$ before i even made my first payment. called the salesmen right as it happened expecting some help to at the very least get it looked at that day, to find out ""there was nothing they could do"". i didnt buy the $4000 warranty so i guess ive learned my lesson, but i can assure you i will not be buying my next vehicle at Mac Haik Ford ",1.0
5,"August 17, 2019","I usually keep a truck 20 years, I have sent over 11 friends to Mac Haik Ford. And everyone of them treats with reverence and respect to directing them to see Aladdin Atassi. I bout my truck from him last week. It was time for a new one, my 2001 F-150 had 400,000 miles on it. Runs good but needs to rest more often. I asked Aladdin for what I wanted. He killed it, knocked it our of the park. He sent me the Mac Haik Ford promise of savings. I completed the paper work ahead of time. I live in Dallas and decided there is only place to buy any vehicle, Mac Haik. I came in Saturday evening, Barry Graves had the paperwork prepared, I added a warranty, wheel and tire and gap insurance. my payments were a lot lower than I expected. I bought a new Ford F-150 in less than 45 minutes. Chris McKInney, the GSM looked in over everything and made it so smooth. Terry Shields, the President, I say thank you and I will always send my family, my friends and business partners to see Aladdin. Good Job Aladdin and keep in touch
Charles S. Walker, CPL, USMC- retired",5.0
6,"July 17, 2019","It was my first visit to Mac Haik Ford searching for a new vehicle, Aladdin understood my requirements & needs and answered every question i had,  He and the sales manager helped me all the way to what i think is a great deal for the car i took.",5.0
7,"July 06, 2019","Very thorough and knowledgeable salesman 
It was a great experience. Quality vehicle at a fair price I would definitely recommend Alladin and MAC Haik to friends. ",5.0
8,"July 03, 2019","I bought a certified pre-owned car from Mac Haik Ford's Used Car department with a 100k powertrain warranty & 12k bumper to bumper warranty.

Soon after taking my car home, a buzzing noise would start at high speeds. The noise got louder the faster I went (freeway speeds). I took my car in and spoke with Kelli, who said it may be a loose panel under the car or the disintegrated soundproofing on top of the passenger side wheel well which would not be included in the bumper-to-bumper warranty. I tried to look at it myself but didn't find any loose panels. I gave in and made the soonest service appointment with Ron Gunter because I had a long road trip coming up.

Ron Gunter said that there were screws loose under the car and that after replacing, the sound went away. They charged me $200 for an oil change and supposedly four screws. I explicitly didn't remember any missing screws under the car when I had checked previously. In picking up the car from service, they left my car running in the middle of the parking lot with grease stains all over.

On the drive home after the appointment, the buzzing noise was still obviously present. It was too late to reschedule as my long road trip was right after. On the road, I realized the rubber surrounding the windshield was lose and flapping in the wind, making the sound. I glued the rubber strap back down and vowed never to go back to Mac Haik as they had misdiagnosed my problem and charged me for it.

After submitting a bad review on the follow-up email, I got a call from Cyrus Makvandi wanting to make things right. He wanted me to bring my car in to fix the soundproofing and make sure everything else was ok.

I brought it in and left it with him, then he came back promising to fix the soundproofing and give it a full detail, and give me oil change coupons if I left him a perfect review. I told him that sounded like a deal. Then he said that he was not going to do anything until I left a perfect review and he got a confirmation that it was received.

I told him that I was already deceived by the sales department when Nathan Wood promised a lot was covered in warranty, which ended up being incorrect, and as such I would not submit a perfect review for service that was not yet rendered. He refused to do anything until the review was submitted, so I came back to collect my car and leave. I am baffled that any company would hold services hostage until receiving prior confirmation on perfect review of services.

The Mac Haik Service center wasted my time and money. They charged me over $200 without double-checking the problem was fixed, left my car running in the parking lot with grease stains all over, and tried to scam me in to leaving a perfect review before making things right. I will never go back and strongly advise others to not do business here.",1.0
9,"July 03, 2019","I was on the market for a car knowing pretty much what i wanted and with little time to spend on the whole process and a very specific credit situation. (Foreign national)

Aladdin helped me every step of the way making sure he understood what I needed and providing options. He guided me through the credit application process and helped me get my credit approved in 3 days. Finally he helped me get exactly the car I wanted in record time and matching my budget. All that was done in a week and I just had to walk to the dealership to sign papers and pick up the car.

Overall the service from both Aladdin and the entire team at MacHaik has been a very pleasant experience, fast, precise and flawless. Would highly recommend him and his team.

Thx again,
Jerome Cartier",5.0
