,Date,Reviews,Ratings
0,"April 28, 2020",I took my car in to have my computer updated. The service advisor stated they had complete work up on my vehicle. I showed him the paperwork from my mechanic and asked him to give me a quote for the computer module. He calls me later that day and stated the problem was the wiring and it would cost $440 to fix. I agreed and the next day he calls and says that didn’t fix the problem and that I needed two modules (which is what I asked for in the first place. Frustrated I decided to just pick up my vehicle. The next day I noticed my front bumper was not reattached it was bearly hanging on. I returned to the dealership to have them fix it. As I was leaving I noticed that every time I turn my wheel left or right my horn blows. They not only didn’t fix what was asked but created another problem!!! I’ve reached out to GM but have yet to hear back. ,1.0
1,"March 19, 2020","Awesome Service!!!
Service advisor Jamie Seymour took care of me and gave me great customer service she was very quick turn around on my vehicle.
Thank you so much Jamie.",5.0
2,"March 09, 2020","I had a great buying experience at Mac Haik Ford Pasadena!!! Jose Navarez was the guy who worked really hard to earn my business with great customer service to facilitate our needs!!! I was going to buy a brand new Ford Truck at another dealership and Jose got right to work and went the extra mile to earn my business as well as drive the vehicle to me in Austin Texas. I bought the New Ford Truck at Mac Haik Ford because of Jose Navarez and his customer service!!!
Gregg Moreland
Lamesa Texas ",5.0
3,"February 03, 2020","Our experience at Mac Haik Ford was easy and enjoyable.  We bought a preowned Ford Flex from Kenneth Pullin, and we have nothing but great things to say.  Coming from over 4 hours away, Kenny was extremely helpful and responsive with all of our questions and concerns. He went above and beyond helping us evaluate our Flex before we made the trip down to Houston. He was transparent, extremely pleasant to work with, and helped us get a great deal on the car we wanted – a true professional. 

We couldn’t be happier with our Flex !
",5.0
4,"October 11, 2019","The bottom piece of my Wife’s Explorer fell off when her and my daughter were on the freeway. It’s a year old still under warranty. They kept her car for 2 weeks and gave it backed rigged. They said they could not determine why it fell off so they did not cover it. They rigged it with clips instead of putting the proper bolts backed on, so now they bottom piece of her new Explorer is clipped together, because they were to cheap and lazy to fix it properly. And there attitude about it is they just don’t care. Do not go here...",1.0
5,"November 14, 2018","Had numerous issues, but were able to get the job done.   Well organized department with very good facilities.  Chris was very attentive and always responded to calls.  

 ",5.0
6,"September 11, 2018",I will never recommend nor will purchase a vehicle from this dealership. Purchase a 2017 mustang and have had multiple issues. Vehicle has been in and out of the service department for the same issue. Asked to speak to the service manager and he advised me to go to another dealership due to my vehicle being in their service department for the same issue multiple times. vehicle has left me stranded and the service department advised since the issue didn’t occur while they had it the vehicle had no issue with it. Took my vehicle due to to having my check park aid light come on and they advised me to take my car home due to the high levels of service. I asked to speak to the general manager several times and he has been avoiding me. ,1.0
7,"July 27, 2018","I am in the market for Mustang, but when they found out that I was not using their finance department, they added $500.00 to the price of the car. I cancelled. Waited a month or so, called back, dealt with another salesman, Larry and the sales manager, David. They again added $500.00 to the sales price and said it was for transportation fee to get the vehicle there. If that is true, no where does it say about a transportation fee or have to transport the vehicle, but it should NOT be added to the sales price of the car where I pay taxes on it. It should be added as a fee, but not to the sales price! STAY CLEAR OF ALL MAC HAIK!!!",1.0
8,"April 04, 2018","Service will not honor warranties on parts that they feel as if it will be a burden for them.  They will keep putting you off for so long that you will have racked up more miles on your vehicle than when you originally came there for the issue.  Next, they will just simply tell you that Ford will not cover it just to stop.you from bugging them when actually forsaking will.cover the part.   Go somewhere else. ",1.7
9,"March 19, 2018",Just bought a used car from these guys less than 3 weeks ago. I have driven the car 800 miles. Yesterday the tranmisson went out on the highway while we were over an hour from home. Now the repair shop NTB says estimated repairs are between $2200-4500. Their is no doubt in my mind that they were aware of this problem. They are shady. They will do anything to sell you a car. I would not recommend anyone to this dealership. They have horrible ratings all over the internet because they have no integrity. Praise jesus for he is good and always provides. Even when scummy car dealerships do there customers wrong. Btw the the car was used but it only had 80000 miles on it. Not like I bought a 20 year old beater from these guys. Do your research and go to someone you can trust. ,1.0
