,Date,Reviews,Ratings
0,"April 29, 2018",Great service at reasonable price. Great dealership to work with.  Bought 6 or 7 vehicles from them since they opened in Lamesa.  Purchased 4 or 5 more for the company I was CFO for.,5.0
1,"April 22, 2018",Good service but was a little slow for just an oil change. I had an appointment I would think if you had an appointment that they would get to you on time.,4.0
2,"April 13, 2018",Had an oil change and the experience was amazing. Would recommend the service department very highly. They are very prompt and knowledgeable. Very friendly and accommodating ,5.0
3,"April 07, 2018",Great people great service I would recommend them to anyone looking for service or to buy a New vehicle. Definitely worth the drive to Lamesa Texas ,5.0
4,"April 06, 2018","Great friendly service by everyone I saw in the dealership, great prices, lot of vehicle to pick from, service department is great, and they had new vehicle  ready to go in about an hour.",5.0
5,"April 06, 2018",Service Dept went above and beyond trying to diagnose my truck problem. I would recommend this dealership for service and sales to anyone thanks again. ,5.0
6,"March 30, 2018","I appreciate the service staff at spike dykes very much. I trust them to do what I need them to do and in a timely manner.
Wendy was very nice and knowledgeable. 
",4.8
7,"March 24, 2018","I had an amazing experience with the service department.  

They were able to get me in and out very fast and fix the problems I was having. ",5.0
8,"March 22, 2018",Great place they go above and beyond to help you get the car you want. Everyone was very friendly and I will recommend this dealership to my friends and family.,5.0
9,"March 21, 2018","Joe was great he had all my paper work ready to go. I was in out less then 30 minutes. Joe also keep me informed on my new truck when it was being built and delivered. He also provide me pictures when it arrived and added Features. Joe was amazing and I enjoyed the experience of buying my 2018 ford raptor. 

Thank you joe and spike dykes Ford 

Craig Eubanks ",5.0
10,"March 14, 2018",I am always treated very respectful and professionally.  I have bought five vehicles from them and have always been pleased. Will be returning buyer inn the future.,5.0
11,"March 14, 2018",I would recommed the good guys here to anyone.  They are always very nice and helpful.  I feel like I can trust them to fix anything that is needed on the vehicles. ,5.0
12,"March 10, 2018","Great Service and Great staff, super easy check in process. I will recommend Spike Dykes Ford to all my friends and family for sales and service. ",5.0
13,"March 09, 2018",Very great service and very great people there ! Would recommend to any one and everyone . They had my car in and out . I showed up for my appointment and had a great staff help me . ,5.0
14,"March 08, 2018","Un-impressed with Ford for lack of warranty support. Not pleased with Spyke Dyckes for lack of investigation for cause of electrical fire, also extremely upset with amount of time it took to prefer parts and fully diagnose my truck",3.6
15,"March 07, 2018","Very accommodating service, both as to work on truck and pick up and delivery of truck. Loaner truck was in good shape. Performed as promised, and then some!",5.0
16,"March 07, 2018","Awesome people! I was out of a car for 2days & it was fixed! I live in midland the dealership here said I would have to leave my SUV w/ them 2 wks b4 they would look at it. Then it would be another week to fix it. A total of 3 weeks with out my SUV! No thanks! I drove to Lamesa & Shane made sure I was informed when the part was not delivered on time & he had a driver, drive to Odessa to pick up the part. ",5.0
17,"March 05, 2018",Everyone at dealership does their best to make you welcome there and work really hard to give you a good deal on your next auto,5.0
18,"March 04, 2018","The dealershinp ,sales dept. And service dept. All rate high but there is not any satisfactory  waiting area for sales or service.  There is no showroom area either  and sometimes  getting  out of the weather can be a positive  thing in sales.",4.4
19,"March 04, 2018","I had a blow out on a 2017 Fusion that didn't have a spare tire . I called Ford fleet cars as I was in my company vehicle and I followed the protocol that we have to take in this instance . After the tow truck towed my car approx. 5 miles to the dealership my car was dropped in the middle of the lot and I went in the explain to Shane my issues  . After I explained it to him he stated "" I sure hope that we wont have to replace your tire because I don't think we have any "" . So sure enough after the tire is removed he states that the tire has to be replaced and he was going to the back to see if he had one . ( I have been at the dealership 1 hour at this point ) . sure enough Shane comes out and states that he doesn't have one and that he is looking around town to see if he can find one . Mind you I am from Lubbock , TX and was stranded in LaMesa TX . So as we approach 3 hour mark I am approached by Shane and he says that a tire is coming from Lubbock that is 1 hour away with a driver and that once he gets there they will replace . I am highly frustrated at this point as I have now been there 4 hours . As I waited after that conversation I was later approached by a manger I assume and he says that the driver they thought was in Lubbock and had the tire just showed up and didn't have the tire so we are now at the same point we were at when I arrived . The solution that we finally came up with was to go down to a parts store and purchase a plug for the tire to get me home . Never once did they offer to take another tire off another car nor a loaner . The tire was plugged and I left the dealership and headed to Lubbock . After I arrived I parked my car with intentions of taking it to Pollard ford here in Lubbock as I knew the plug was only to get me home . Of course when I wake up the next morning my car was on flat and had to get a ride to work . I then had to come home wit ha air tank to air the tire up just to get me to the dealership and have it changed . Needless to say I will never use a Ford dealership with my personal vehicle because if this was my personal vehicle this type of service is uncalled for.  ",1.6
20,"February 23, 2018","They were quick, good communication, helpful, and friendly.  They help line up towing of my vehicle and then provided a car runner back to my home town.",5.0
21,"September 19, 2016","Let me start by saying that I have always hated buying vehicles. Of all the things that have caused grief in my marriage, buying vehicles is easily at the top. Apparently, we have just been buying vehicles in the wrong place and with the wrong people because in the last couple months, we have bought multiple vehicles from Spike Dykes Ford in Lamesa. Our experience with the dealership was the exact opposite of any vehicle-buying experience we have ever had. The employees that we worked with had great work ethics, customer service and personalities. It was a pleasure, and we are already spreading the word.",5.0
22,"August 26, 2016","The customer service was wonderful and purchasing a vehicle with Spike was the best decision I've made! They made my purchase hassle and worry free. I HATE dealing with car dealers, but Felix Medina restored my confidence. I highly recommend Spike for your next vehicle purchase and know I will be a returning customer!",5.0
