,Date,Reviews,Ratings
0,"August 06, 2019"," Horrific 4hr experience... do yourself a favor and don't waste your time with these lying, conniving high pressure thiefs. I dropped in to look at a $82K Ford F350 truck that I had found advertised on the internet. I showed them a printed copy of another dealers deal which was $4500 dollars less than theirs and asked them to beat or match it because there truck had a spray in bedliner other than that the trucks were identical.. well they ended up being $7500 more which was 3k less for my trade and $4500 more for their truck all along they said they would match my other deal if I would just sign the form giving them permission to run my credit. Well after the fourth time insisting to run my credit and promising to beat the other deal they got me approved to purchase there truck and did not keep their promise to beat or even match my other offer... begging me to sign the contract with Ford Motor Credit I walked out of the finance office... they would not even honor their own advertised internet price which I had also provided a printed copy.... I was so upset that after driving Ford truck for the last 18 years I went and bought a Chevrolet 3500 four days later. Not only did I trade my 2017  F-350 in but I also traded my 2017 Mustang GT in on the Chevy. I also sold my 2016 Mustang GT-350 on the internet.... so upset I got rid of all 3 of my Ford vehicles and will never go back due to the way I was treated at Auto Nation Ford.... I hope nobody ever has to endure the lying and horrific way I was treated and I also hope the salesman and the sales manager both lose their jobs.................................. ",1.0
1,"June 06, 2019","Just bought our vehicle from this dealership, and our experience with their staff was fantastic!  Chris Purtell, our sales associate, was simply the best. He facilitated an introduction for an ongoing direct relationship with an Asst. Service Mgr. and also made direct introductions to the Service Dir. and Sales Mgr. Gary Anderson, our Financial Service Mgr., stayed several hours after closing with Chris to accommodate our schedule and ensure our deal was done with optimal promotional incentives. Loved the personal touch  i.e., ensured our Loaner had a full tank of gas as well as our purchase when picked up.",5.0
2,"September 11, 2018","Brought vehicle in to address loud, reproducible, and acknowledged noise under truck. Service contact was able to hear noise and reproduce. Was told that there is a diagnostic process that would take place upon drop off. Was contacted shortly after drop off and informed nothing will be done for my issue. Was told that sometimes on other trucks, he has been able to repair noise and sometimes the repairs do not address the noise, but that for me, nothing will be done. Was told that all Ford trucks make this noise and that I need to deal with it as Autonation will not be addressing noise. At check-out received bill for diagnostic time of under warranty visit. Check-out attempted to call service contact to front and he never appeared. She agreed to not charge me for diagnostic time that was billed to me. I no longer enjoy my vehicle and feel that it is unsaleable for no one surely would be satisfied with an ever present knocking sound that I am told is unrepairable and told that every Ford truck has. I have not been able to find another Ford truck or speak with another Ford truck owner that has this noise present.",1.0
3,"April 18, 2018","I've been dealing with AutoNation for 6 weeks now. I went in with an approved application and it still took 7 hours to complete the sale, without getting my car cleaned. I bought a 2017 certified pre-owned  which you would think would not have issues out the door, I was wrong. Trying to get them to address the issues was a nightmare. I finally had to go to their corporate headquarters to force them to address the issues. I picked up my car late at night so I didn't see the damage that was done to my car while it was in the shop. They only shrugged when I brought it up. Now finance, 6 weeks after the fact, is coming back to me requesting information. Once again, it's back to corporate headquarters I go because I'm sick to death of them not being able to manage their own business. ",1.4
4,"January 23, 2018","The dealership and staff lack in committing a service experience worth returning. The advisor failed to call in and claim a extended warranty claim and told us it was a non covered item charging us over $2000.00 in repairs. After further research and a call into the extended warranty company myself, I find out that the repairs should have been covered. I did call to speak with the service manager with no resolution or explanation and the general manger and has not returned my phone call. 
DO NOT GO TO AUTONATION",1.0
5,"November 09, 2017",She did a great job for us. Stress free process. Helped us thoroughly and took time to make sure we got in and out with ease.,5.0
6,"August 11, 2017","Bought a used Ford Excursion, paid cash- paid to have leather put in it- All of this was done at about 3 pm on Thursday, August 3rd, 2017. I was promised delivery of my vehicle on the following Wednesday, August 9th, 2017. C. Smith- the sales person lied through his teeth. I had to call on the way to the dealership on Wednesday to find out the Truck wasn't ready. I was told at that point by Mr. Smith it would be done Thursday by end of day...  Long story short it wasn't... So Again Mr. Smith the Sales person at AutoNation Ford in Fort Worth assured me- ""It'll be done by  Friday, August 11th, 2017. Now I'm being told it won't be done until Monday, August 14th. THAT'S AN 11 DAY SALES PROCESS???? I will not ever do business with Mr. Smith or AutoNation again. Total disgrace to the car buying process. ",1.2
7,"July 19, 2017","I love this dealership.  My wife and I have purchased 2 vehicles from them this year!  Their sales team and financing are great.  In the past we have been a Chevy family and it has been so stressful and a terrible experience across the board.  We are now a Ford Family with a New Expedition and F150.   AutoNation Fort Worth is Fun, Professional and Accommodating.  Go see Christine Caselli.  She is great to work with and easy going.  We never felt pushed into anything.  She is a great Salesperson.  Also, my wife has hated taking her vehicles in for service.  She has always had bad experiences.  She took her new Expedition in the AutoNation Fort Worth for its first service recently and went out of her way to let me know how great and nice they were.  She set an appointment and was done in about an hour.       ",5.0
8,"July 16, 2017",Kris the sales manager was awesome! He beat a competitors price significantly and helped to get me in the ride I wanted. Christine Caselli was a great sales both at the dealership and since I've had the vehicle. Very straight forward and helpful! I would absolutely buy here again. ,5.0
9,"June 08, 2017",So impressed with Collin the used car sales manager!!! Never thought the day would come that I could truely say I was impressed with a car dealership! He has gone above and beyond and wouldn't ever trust anyone like I have come to trust him. Truely cares about the customer. ,5.0
