,Date,Reviews,Ratings
0,"June 26, 2020",First time I used this particular Body Shop and proud to say it was customer friendly and informative on status on my vehicle since it was not ready in the five (5) day that was quoted and why and what was need.  I appreciate the communication.,5.0
1,"June 22, 2020",Did the repair work in a very timely and professional manner. Happy with the results. Would recommend them to others looking for a dealership for maintenance.,5.0
2,"June 19, 2020",Basic oil change get checked out and rotate tires. I had a appointment using Ford Pass ap. The Blond forgot about my order. I was there over 3 hours not right. I went to check on it they rushed it thru took 30 minutes no way to know what the really did back there! I usually always take my trucks there to be serviced this time I was a bit disappointed ,2.0
3,"June 08, 2020","After having my vehicle for 6 days, it broke down.  They DID NOT stand behind it   NO SUPPORT. if I could give negative stars I would. Zero concern for my well being when I was broke down on I-10.   I had to use my extended warranty and thank goodness I had it.  A joke.  I would not recommend them to anyone  ",1.0
4,"June 02, 2020",Great service and they worked hard for us to get the truck back as quick as possible. They helped us when our insurance company wouldn’t and found the problem,5.0
5,"May 28, 2020","thanks to philpott for the same great service, dont change i drive from china,tx to have them take care of my 2011 f-150xlt they have always treated me great",5.0
6,"May 04, 2020","Service was slow with appointment, no masks, no social distancing or virus wipe down after the service even though it was advertised. Overall service was good This was service on my Ford F150",3.6
7,"April 16, 2020",Love the service wash could have been a little better but overall great service advisor and service manager the cashier was a delight will be back,5.0
8,"April 10, 2020",My experience was EXTREMELY EFFICIENT AND POLITE They have went over and beyond to make my needs taken care off thank you for your service,5.0
9,"April 05, 2020","First, the phone system is archaic. You CANNOT reach anyone. Once you get the automated system, if you don’t know the exact extension, you’re instructed to press “0” for operator & are then told operator not available, & are disconnected. 
My claim involved the optional insurance for tires & wheels. Around October 2019, an item fell off of a trailer I was behind, after dark. I swerved & missed hitting it with front tire, but the rear ran over it. Soon after, the tire wouldn’t stay inflated. I took it in, & the tire was immediately replaced. 
Within days, the replaced tire kept losing air pressure. I returned to the dealership to have it looked at. They told me my wheel was bent, & until replaced, wouldn’t maintain a seal. I told them I had the coverage, so they were to begin the claim process. They kept truck while this was happening. After 4-5 days, I returned to check progress. Nothing so far. At this point, I asked them to mount my spare so I could use truck until parts arrived. Great idea!
About (2) weeks later, I received a call asking when I was going to bring truck back in so repairs could be completed. I asked if parts had arrived... “Umm, I’m not sure. What is it we’re doing to it?” I explained, & was assured they’d get right on it. A few days later, I received a call informing me that the insurance representative had told the service writer they declined to cover the repair. I told the service writer that was unacceptable, I’d purchased the policy, & that this was EXACTLY what it covered. I was given the number & told “see if you have any more luck.”
I called the tire/wheel insurance company, gave my claim number, & asked why this wasn’t a covered occurrence. I was told they DID NOT deny the claim, they’d simply requested photos showing the damaged area of wheel (clearly visible to even an untrained eye). It was recommended I return truck to dealer so they could take & submit the pictures. I was able (miracle) to reach someone in service by phone. I was told I could take the photos as easily as they could... 
I took the photos, called the insurance rep back & obtained email address of where to send, & submitted. A few days later, the dealership called & asked if they should close out my ticket. I told them no, & what I’d done to revive progress. I gave the insurance rep’s name & extension so they could contact them, & get approval to order parts. 
This carried on until FEBRUARY... I left message after message with no return calls. Finally, I received a call message that parts were in, & I should call to schedule an appt. I tried & tried, but could never reach anyone. Finally, I drove to dealership, walked in, & spoke to receptionist(s). They pointed out the office of who I needed to speak with. I walked in, sat down & waited. I was told they weren’t taking appts, so it was first come, first serve. I replied, “Well, I’m here. Let’s do this.” 
A couple of hours later, all was repaired & I was on the road. 
I have NEVER had any experience nearing this level of incompetency. Truthfully, however, the service employees were always friendly & polite. I made more allowances than I should’ve along the way as to why things could possibly become so confused. Maybe I should’ve been more demanding? Guess the squeaky wheel really does get the grease...
NEVER AGAIN",3.4
