,Date,Reviews,Ratings
0,"April 30, 2018","Employees great, the manager are always helpful and the service there is on top of things. Overall reagor dykes is the place to be at",4.8
1,"April 27, 2018",Luis was friendly and on top of getting both my cars worked on. I would recommend him to anyone I may know that needs work done to their car. ,5.0
2,"April 27, 2018","Nice, quick and easy. 

The team explained everything perfectly

This is my teenage son's truck and as a father, safety is of the utmost importance.

I'll be back for sure!",5.0
3,"April 20, 2018",John Cruz and Eddie Ashburn went above and beyond to help find the perfect first truck for my son! I am very happy and thankful!,5.0
4,"April 18, 2018",The guys in service take great care of us. They make sure to let us know if there are any services that need to be done. They are courteous and professional. Great place!!!,5.0
5,"April 11, 2018",Went in for a oil change and while I was there they had the parts to fix what was under a recall. Promptly got me in and out. ,4.0
6,"April 11, 2018",It's easy and close to us to get the part that was recall on the car to get replaced and didn't take a long time,4.0
7,"April 06, 2018","Needed Fuel Filters changed on '16 Ford Diesel. 
I was there roughly 30 minutes. Done and out of there.
Gentleman in the service dept. very helpful and courteous.

",4.2
8,"April 05, 2018",I always get good service at Reagor Dykes! I wish they were a little faster. They are always very friendly and helpful! I have purchased my last 2 vehicles there and will use them again the future!!,5.0
9,"April 02, 2018","I made an appointment in advance for an oil change. I live in Lubbock., when I arrived at proper time the service center could not find my appointment. I had to wait for a couple of cars in front of me, but they got to me in an acceptable amount of time. I was a bit disappointed about the extra time.",4.6
10,"March 27, 2018","Purchased a 2018 Ford Truck. The entire putchase from locating the truck we wanted, through signing the paperwork to the entire product knowledge review exceeded our expectations .  I would highly recommend the entire crew at Reagor Dykes Ford.
First Class dealership.",5.0
11,"March 27, 2018","Mike, Luis, Heather and the service team are always so helpful! Whether it is repairs, recalls or something as simple as a wash; they ensure that I am provided with the best service. They are doing a great job at making a long-term customer!",5.0
12,"March 22, 2018",Much improved service. Turn around time improved. Waiting area and bath area much cleaner than previous visits. Only improvement would  be the music in show room was very loud. Ask someone to turn down and was done immediately. With in five minutes a young lady turned it up and made a remark about it being turned down. The same lady went back and ask that it be turned down. It was not just loud and blurring Western Music and here seemed no one was in the sales area. It stayed down this time.,4.8
13,"March 11, 2018","I’ve never known Marco a day in my life until I saw a truck that I was interested in when he approached me with excellent professionalism. He didn’t pressure me about any other vehicle or with a bunch of questions, he aloud me to look at the vehicle I was interested in. I came back the next day just expecting to get a quote on my old vehicle and drive the new one and walked out with them buying my old vehicle and me in my new dream truck . Just wanted to say thanks for the time spent Marco and for your business. I’ll be looking forward to using you again for my wife to get a new SUV soon",5.0
14,"March 01, 2018",they where really friendly and promp to get my car out they called me as soon my car was ready service was great i was very pleased whit them all ,5.0
15,"February 24, 2018",Very good experience working with Eddie and Marco. They found the truck with all the features I wanted. Marco has taken the extra time to make sure I have been satisfied with my purchase and that everything was okay.,5.0
16,"February 23, 2018",The salespeople were on the ball. It's the fastest I'll ever purchased a vehicle. My truck was delivered as promised. I am very happy with my new truck. The salespeople were fantastic. I recommend your dealership every chance I get.,5.0
