,Date,Reviews,Ratings
0,"May 24, 2020","My initial  experience started with a phone call with the Salesman Ernesto.  Who was friendly, patient and approachable and had knowledge pertaining to the vehicle I was interested in. He follow through.great job.",5.0
1,"March 10, 2020",Don’t not buy from Ford! The sales rep sold me a car with a known defect in the transmission. My car has stopped 2 times in the middle of the road Ford will not buy back!! Please go to Chevy or Nissan ,1.0
2,"February 09, 2020","My son and I talked to general manager and a service man about a problem we had. Agreement was reached and they took us to the car rental. Our car was taken to the service area a cardboard number put on it.We left in a Ford 150.I soon found out it was hard for me to get into the truck because of being 73 and having a painful hip. Jeff called the rental place and told them about the problem. The man was very nice and said we could switch vehicles. When we drove back into the lot there was a very agitated service man.He told us to get out of the truck get into our car and leave.We of course was very surprised since an hour ago everything was okJefg asked what was going on.He said he didn’t have to tell us anything and we were to leave. Jeff went inside and got the manager. He grabbed the guys arm and told him to calm down. He didn’t . Then he told us he had his manager on the phone.Jefg asked if he could speak to him.He said no he would call us on Monday. Then he went and got our car and told us to leave.I was still in the truck. He said he had already told me twice to get out of the truck.I told him I would as soon as my son could help me down. I am not fond of the dealership right now but I don,t think they would want their customers treated that way.He was rude, unprofessional and inappropriate. He caused us embarrassment because there was other people around the area.They probably thought we stole the truck. If there was a problem we should have been taken to an office and the problem discussed.I can honestly say I have never been treated that bad before.",1.0
3,"December 19, 2019","Overall good experience, great deal. Great salesperson. However no one went over details of vehicle upon delivery, was done several days after delivery. Also no owner’s manual included in vehicle.",4.0
4,"December 10, 2019","I would stay from this place of you are looking for a good used truck, or even a new truck. First, I found a truck I wanted to look at online in their inventory, when I emailed about the truck the salesman, who I later found out was the used car managers son, called to inform me the truck had been bought. While I was listening to his voicemail a different salesman called to inform me he had located the truck on the lot and was sitting in it while we were speaking. That should have been my first warning but things happen.a couple days later  I drove over an hour and a half to test drive the vehicle, it was in good shape from all outward appearances and was still under factory warranty. While driving I noticed the back up camera wasn’t working so when we went to the desk I made that known to the assistant manager of used car sales, at least that’s what I was told he was. His response initially was that it would be taken care of, that soon changed to “well, the truck is still under factory warranty so if you take it to them they will take care of it for you”, his words. That should have been the second red flag. At this point I’m tired of looking at trucks so I just let them appraise my trade in. In my conversations with the salesman I had told him I had a written appraisal from a different dealer and I was assured they would beat or match it, no problem there. Their appraisal was 2500 below what I had in writing from the other dealer. At this point I asked for my keys back, the salesman( a different one that the first I had spoken with) was visibly shocked that I was not going to play his games, in fact his response was “why?, that was only the first one”. He informed me the appraiser still had my keys and he would have to go get them. I specifically said to bring me my keys and nothing else, I didn’t want to speak to a manager or anyone else, just bring me my keys. The appraisal manager, at least that what he introduced himself to me as, decided to come out and show me a piece of paper he printed out showing where he got his numbers from. This piece of paper had no official markings or logos from any auctions, firms, or businesses on it, it was literally a piece of paper he typed up and printed out and tried to pass off. After retieiving my keys from him I was headed out the door and ran into the first “manager” I had encountered, he was perplexed as to why I was leaving without buying the truck that they were refusing to fix before being sold. Of this is the kind of service they are giving I will take my business elsewhere, there were plenty of other dealerships willing to take the 40k I had to spend on a truck without making me feel like a I wasn’t worth their time.  



",1.0
5,"December 05, 2019",Outstanding sales and management Team and FAMIlY. They go above and beyond for Customer Service.  I purchased a used truck and never been happier. Thanks!,5.0
6,"October 20, 2019","This was my first time buying a car and they helped me through everything with their great and friendly customer service representatives  They were so helpful and gave me a great deal on the car and extended warranty. I needed a new, reliable car car before I transferred to a new college several miles away from home. They possibly spoiled my future buying experiences because this was just so great, I'm happy I don't have one of those car dealership horror stories everyone seems to have. I will definitely be buying from these guys again in the future! Highly recommend David and Matt!",5.0
7,"September 16, 2019","My husband and me won't go to any other dealership. 3 different times they helped us get into our dream vehicle. This last time they were our light in a storm. My husband had totaled our car when he had a seizure due to a prescription brand change done by the pharmacy. It was hard on us because he wasn't at fualt but now we were stuck with an upside down loan. 

I asked about a 2019 ford flex online. Within a matter of moments Nicole had called and given me hope. We had 9000 We had to roll over. Nicole didn't let that discourage her from helping us out. She was understanding and compassionate. 

She worked along side Matt first trying to go through our bank. They called explaining it was a no go. Our bank was offering a small amount to work with and no GAP. They told me don't stress though. They found a vehicle on another lot that thry got lots of discounts for. Then they tried Ford Financing and got us a deal that worked for us. 

Two days later NICOLE PERSONALLY DELIVERED OUR NEW 2019 FORD FLEX TO OUR DOOR. she apologized for taking so long which made me laugh a today wait is nothing.

In addition MATT called to follow up on paperwork, and offered TO PERSONALLY HELP PERSONALLY HELP ME SETUP MY FORD FINANCING ACCOUNT BEFORE THE PAPERWORK CAME IN. He even offered to help me with the best way to handle the payments.

NICOLE AND MATT WERE OUR LIGHT IN OUR STORM AND HELPED IS MAKE A GOOD START TO GETTING BACK ON TRACK. LEIF JOHNSON IS THE PLACE TO GO FOR CARING SERVICE, WHERE THEY WILL FIGHT TO HELP YOU GET INTO YOUR DREAM VEHICLE.",5.0
8,"September 05, 2019","I was going in to just look for a car to work forwards to getting! SIKE Mr. Raphael Johnson helped me pick a car! Trade in my old car! I walked in with a 2007 Chevy hhr and walked out with a 2017 Ford Focus the best experience with this Guy! He is Amazing, Welcoming, very hard working, passionate to help you drive off in your New car I highly recommend! I would definitely go back! Vroom vroom!! ",5.0
9,"August 04, 2019","Job Ballard was such a great salesman to work with, I found a car I liked online at this dealerahip which is 5 hours away from my home, he was very accommodating and made the process quick and easy and him and his team helped get me all finished at a time that was good for me, they even stayed after hours to get everything done. i would definitely recommend asking for Jon if you’re looking at buying a car at this dealership! ",5.0
10,"July 30, 2019",Manny Sepeda is very good at listening to the needs of his customers. He worked diligently to get me the kind of car I needed.,5.0
11,"July 24, 2019","So let me just say that i am a skeptic when it comes to purchasing a new car.  I have to give credit where it is due. Pedro S is an AWESOME sales guy. He was kind,  very knowledgeable about all vehicles, and was helpful in every step of the purchasing process. Big shout out to financing who are AWESOME aswell. They went above and beyond and exceeded my partner and I expectation. I will be purchasing from them again. Before you shop anywhere else GO SEE PEDRO!!!! I  cant say that loud enough. I love our 2019 Explorer and in the near future we will be purchasing again. 

Thank you all for a great experience!!! I WILL BE referring friends/family here without hesitation.",5.0
12,"July 06, 2019","I had an amazing experience here thanks to Raphael! He made sure I got the car I wanted and went out of his way to find one with all of the things I asked for. He made me feel so welcome, like family. I may have only been there for a few hours to buy my car but he made the whole experience great. I will be looking for him in the future for any questions and obviously future purchases. I'll also be sure to recommend him to all of my friends and family or anyone I know of looking for a Ford. I can not stress enough how amazing he was to work with. I left with a new car and a new friend, the experience was truly amazing. Do yourself a favor and if you're looking for a new car, go to my new friend Raphael! He will make sure you get exactly what you are looking for and leave you with a smile on your face!",5.0
13,"May 22, 2019",Met with Melissa and she had the car and color I wanted with everything I asked for on it. Love my car and my dealership.??,5.0
14,"May 11, 2019","Took son look at preowned 2018 5k miles $26k  Mustang GT unfortunately was just sold son didn’t want 2017 GT convertible Sales person suggested looking new car lot son fell in love with 2019 Mustang GT salesperson offered several incentives made promises he’d make happen after purchase traded in 2013 Camero SS $42k later $820 month after while finishing purchase convinced son let take Camero back service make ready promised let take out $ Woofer speaker receiver Ray Ban sunglasses all worth $850 total said come back Monday get all returned couldn’t locate car said come Wednesday no calls I called GM spoke with assistant insured give GM message committed return call n 24  hours 72 hr later after several attempts  still no return call to this day salesperson also committed $1000 after sale!!!
Gina DALEHITE & Margaret Castillo parents",1.0
15,"April 24, 2019","I made appointments with two people at the used car lot to look at a specific truck.  I was coming from two hours away, only to find out the truck wasn’t there when I showed up.  The salesman told me another branch picked it up that morning, but I called them and it was sold the day before...The same day I got confirmation about meeting with them about it.  Tried to up sale me on a more expensive truck that was out of my price range and wouldn’t give me a good deal even though they wasted my entire day.  The store is disgusting as well",1.4
16,"April 19, 2019","I was referred to this dealer from a friend so had high hopes, but once I got the process of buying a car, it all went downhill.

I started the process at 10 am with the application, trade-in amount, etc. and it's now 6 pm and still no response.

I talked to one person who told me what to send and what car I wanted then nothing. Tried to call the finance department only to be hung up on and I mean they picked up the phone and hung up like I was bothering them.

I made many calls to the person I was talking to and even got a contact number for another person and left many voicemails only never to get a response.

Someone needs to help this dealership learn what Effective Communication is and how to treat potential customers.

I am taking my businesses elsewhere. Buy hey if you want nothing but frustration be my guest.",1.0
17,"March 28, 2019",JoAnn helped me find the perfect deal! I’m so happy to have worked with her. She was kind and very knowledgeable! I will be returning to buy another new car from her for my next new vehicle ,5.0
18,"February 04, 2019","Our family has used Leif Johnson Ford (LJF) through 3 generations and we all still committed and loyal to this organization.   I have purchased multiple vehicles from them and most recently purchased my retirement car.  There were a few concerns after I purchased the car however LJF has a history of managing with integrity, setting high performance standards and continuously producing a level of customer service that is first-class.
Gordon, a part of the leadership team, possesses  proficient characteristics of leadership and service delivery/excellence.  He showed professionalism that was exemplary while being completely down to earth.  Gordon was dedicated to doing what was right and was strongly self-motivated to achieve results within a short period of time. 
My sales person, Clifford Hatch, is also a key reason we are 3 generations strong with LJF.  Clifford possesses real practical experience and is viewed in the field of car salesmen as an expert.  He makes a substantial contribution to LJF as every person I have referred to him says that he far exceeds their expectations and leaves with a car.  Clifford loves the car business and performs with a commitment to excellence that is outstanding.  Thank you for taking great care of my father and my children's transportation needs.
",5.0
19,"February 02, 2019","These guys are crooks.  Don't waste your time going to this dealership.  They advertise lower mileage than what the car actually has and when you bring it to their attention they claim it was a mistake but the car price is still the same.  Then if you take the time to negotiate a deal, they wait until the very end to state they can no longer honor the price you both agreed upon and if you want the vehicle it will be at a  higher price and only if you do financing through them.  ",1.0
20,"January 28, 2019","Brand new f150 Limited. SYNC3 is always either not functioning or totally locked up. No help from dealer. Call appointments made. One to three hours after appointment, if I remind them they call back. I ask if I bring the vehicle in if I get a loaner on a $74,000 plus truck, and I get no answer. I wish I hadn’t bought this truck and I would urge all not to buy from this dealership.",1.8
21,"January 24, 2019","Told Clarence what I was looking for and he found it. Awesome effort on his part. Price, options and color were all perfect. A big part of my decision to buy was the way Clarence conducted business. It was professional, courteous and on the mark. Thank you Clarence and the whole team at Leif Johnson Super Store",5.0
22,"January 02, 2019","I recommend Leif Johnson Ford at Koenig and Airport for purchase of a new car.  I have bought two cars there:  a Focus in 2011 and another Focus in December 2018.  Brian Barnett and Dave Christian consulted with my wife and me regarding our desires, and came up with an offering that fit well.  The process went quickly, as well.  I made an advance visit Wednesday morning to scout the sales department and explain our needs, then my wife and I looked at new cars on Wednesday afternoon, and the next day we closed a deal in about 1 1/2 hours.  We like our new Focus hatchback.",5.0
23,"December 20, 2018","I bought a used Ford F-150 from Timothy Broadus, December 2018. He is the salesman you want because he is extremely professional, kind, knowledgeable, and patient. Sometimes salesman look at you like a number or dollar sign, but Timothy was like shopping with a friend. He gave his suggestions, and listed to my suggestions and together we found the right truck for me. I am a 30 year old woman and wasn't experienced in buying a vehicle on my own before. But I can confidently say that I feel comfortable now because of Leif Johnson walking me through the process and teaching me how to safely buy a used vehicle. 
",5.0
24,"December 05, 2018",Attempted to purchase 3 Ford trucks. Sales Manager lied about delivery. 70 days late. Agreed  to refund deposit. Did not. Lied again. Legal escalation required. ,1.0
25,"November 20, 2018","I've been buying my Ford's from Leif Johnson Ford since the mid eighties. I call them, they either bring me my new vehicle, or it's ready when I get there. A quick drive and an hour later, I'm taking delivery of my new Ford! It's incredible and only gets better. Michael Flake could be the best salesperson I've ever had. He was knowledgable and very efficient in getting everything ready. I highly recommend the Leif family for any new Ford you or your family might need.",5.0
26,"November 13, 2018","I had a Service visit that could have ended in disappointment and me being hesitant to be a returning customer. Randall at the dealership got word of this and took the time to call me not once but twice (I missed his first call). He listened to me and acknowledged my concerns. He went above and beyond anything I was expecting and turned what could have been a disappointing experience into an exceptionally positive one. ""Outstanding"" sums it up. Leif Johnson Ford will be the first place I turn to for Service or Sales and will try their Parts department if the need shall arise. By far the dealership I will recommend to friends, family, coworkers etc. Randall showed that he and the dealership really care about customer service.",5.0
27,"October 16, 2018","I PURCHASED PARTS FROM CHE' ARNOLD THE OTHER DAY 10-16-2018. CHE' IS GREAT KNOWS HIS PARTS HAS A TON OF EXPERIENCE.  GOES BEYOND MOST ANT PARTS MAN I HAVE DEALT WITH IN THESE YEARS.(OLD SCHOOL GUY) THAT'S WHY HE IS SO GOOD. BOTTOM LINE HE CARES ABOUT YOU AND WHAT YOU NEED.
GARY",5.0
28,"September 28, 2018","This is the second vehicle that we've bought from Leif Johnson. Each time the staff has been courteous, the sales professional honest and helpful, the car excellent, and the experience superior. I couldn't recommend Leif Johnson more for your consideration on your next car purchase. Ask for Leo Light next time you're there!",5.0
