,Date,Reviews,Ratings
0,"June 19, 2020",Stay away from this dealership at all costs! I purchased 2020 Explorer only 2 months ago and broken seat already! $100 not covered by warranty! ,1.0
1,"December 10, 2018","I have a 2018 f250 diesel and had run into an elk. Keep in mind I did not buy the vehicle from Bill Fick so I was worried about how I would be treated But, I dealt with Randall Miller in Service and Danette in the collision center and they were both the kindest most helpful individuals you could ask for. everything was done very professionally the body shop emailed me constantly keeping me updated on the work being done and service was second to none. Needless to say I asked the Collision Center to remove my dealer sticker on the tailgate and replace it with their own. Almost forgot to mention the total repair took only 7 days!!!",5.0
2,"October 01, 2018","Bought my F250 brand new in 2015 from Bill Fick. I’ve had it in Fick’s body shop and service department multiple times. I have NEVER been impressed with either. There is no attention to detail. My radiatior still leaks as it did before I had my whole front end fixed as part of an insurance job. They’ve painted my door handle and rear corner of my bed. One has dirt/dust particles under paint while the other is streaky. The most infuriating part is I take my truck to them for an aliagnment to get rid of my death wobble. Without my truck for the day and a charge to my charge I get my truck back with no change in the wobble. Had my brakes changed at a small shop later on and they pointed out the issue for free and offered up advice. Something Bill Ficks dealership has never done for me. It’s always “ ok, ready to pay? Take your truck and leave.” Do yourself a favor and deal with someone who cares about you and your vehicle. ",1.0
3,"July 17, 2018","I brought a 2001 Ford Ranger in for repairs that had lost power and wouldn't run.  It has 175,000 miles, bought it used, and had never been tuned up.  They replaced sparkplugs, wires and coil, and got it back running. The mechanic assured me that was all it needed.  ($1100).. During the process they disconnected a vent hose from the AC to inside the cabin.  When I got the truck, the AC was blowing but not into the cab.  I brought it back and was told there was a plugged line that had to be replaced.  I told them it worked when I brought it in and they rechecked it and connected it correctly.

Then a few days later the engine started running rough and barely made it to the shop.  I was told it was a ""sending unit"" costing $500 and $400 in labor to replace.  I took the truck back and did some research.  The sending unit ($500) is attached to the fuel pump.  A new fuel pump with sending unit can be found for $170.  Lifetime warrenty too.  Asking a few professional mechanics I found out that a ""sending unit"" only monitors the fuel gauge.  Basically telling how much gas is in the tank..  It has nothing to do with the performance of the engine.  Had I let them replace the unit (over $900) the engine would still have not run properly.

 I will never let them work on my vehicles again.  I just cant afford random parts replacements.  

















",1.6
4,"August 09, 2017","Their body shop is second to none! Great repair work, and the office employees treat you like family. No matter how busy, they always make time to address all your concerns, whether by phone, or in person. They work with the insurance companies, and rental agencies. Thank You!!!!!!! I would, and have, recommend them to friends and coworkers. ",5.0
5,"June 08, 2016","SO HAPPY with our experience and personnel at Bill Fick Ford's Service Dept.  We took our Mustang to Gullo in Conroe.  They got rid of the clicking sound the A/C was making but didn't fix the cause of why the A/C wasn't cooling as it should.  Plus, when we asked about the rattle in the back, they said, ""Oh, we forgot to look at that"".  $100 pd to them for basically nothing.  Because the car was still under warranty we then went to Bill Fick.  They FIXED the A/C, replacing the evaporator coil, replaced the rear sway bar links and bushings and of course fixed the airbag recall issue.  THESE WERE MAJOR ITEMS GULLO FORD OVERLOOKED.  I will gladly recommend Bill Fick Ford.",5.0
6,"February 23, 2016",Body shop has had my wife's car for over a month. Have had excuses after excuses as to when the car will be ready. Extremely disappointed with service. ,1.0
7,"February 26, 2015",Everyone at this dealership is wonderful! Have bought 2 new vehicles from them. Would not hesitate to send any friends & family there. I know for certain they'd take good care of them & treat them fairly. Highly recommend this dealership! ,5.0
8,"August 19, 2014","I believe I worked with bobby. I had my heart set on 2 trucks at the dealership. I tried and loved both trucks. I admit I was trading in an older truck but in perfect working condition, leather seats, gooseneck, etc. I had been to several other dealerships that all offered me 5500-6000 for my vehicle. When I came to bill fick, they insulted me with a 3000 offer!!!! They wouldn't comprise, they wouldn't work with me, nothing. I was prepared to put a large cash down payment and purchase a 40,000 truck. They let me walk out the door over 1500 dollars. This is the worst experience and I would never recommend this place to anyone. Whoever runs this place needs a reality check. ",1.0
9,"September 01, 2013",EVERYTHING WAS SO GOOD TILL WE S AW THE DAMAGE DONE ON THE PASSENGER SIDE OF THE CAR WAY BACK BEHIND REAR DOOR.  EXTENDING OVER TO BUMPER.  THEY TRIED TO COVER IT UP WITH PAINT BUT THERE IS SMALL CHIPS OF PAINT MISSING AND SEVERAL BAD SCRATCHES. WE WILL BE RETURNING IT FOR REPAIR.  KELVIN IS A GREAT GUY AND SO IS EVERYONE ELSE.  ANOTHER THING WHILE I WAS TRYING TO GET A IDEA WHAT THE PAYMENTS WOULD BE I NOTICE IT DID NOT A DD UP.  WELL ANOTHER MAN DID WHT EORK AND ADDED THE WARRANTY IN WITIH IT.  NICE TRY BUT I CAN SEE THE FIGURES WERE WAY TO HIGH. THEY NOT EVEN ASK US YET IF WE WANTED THE W ARRANTY HE JUST ASSUMED WE DID. WELL HE ASSUMED WRONG AND THAT IS A SNEAKY WAY OF TRYING TO GET IT ADDED IN.  NOT KELVINS FAULT AND THE THE FINANCE MANAGER SOMEONE ELSE. ,4.0
10,"August 28, 2013","Terrible service and false representation of the warranty. Vehicle was supposed to be a certified pre-owned, but has had SEVERAL problems, mostly with the electrical system, since the purchase. Then, several times, they tried to charge us for the service when it was their fault. We have gotten the run around from them several times and they are very rude every time we deal with them. Sales will not work with you on pricing and tried to rip me off several times. Did I say the service is inept and rude? It also seems that the managers do not care and get irritated when you bring a problem to them, instead of righting a wrong. ",1.0
11,"August 24, 2013","Contacted brisn about a new expedition, after working through the wants and needs we selected a vehicle and agreed upon a price through e-mail

Arriving at the dealership my wife and i were first impressed by the new facilities-----------our new expedition was ready and waiting, washed, tires detailed--the entire vehicle was imaculate.

Paper work was gone throught with the finance manager (the electronic forms and desk screen were very nice)------------all documents completed we thanks those involved and drove home in our new suv

thanks again to all involved------------total time less tha 2 hours

Dave",4.8
12,"August 18, 2013","Kelvin was a great and knowledgeable person about the cars and trucks at the dealership. He went above and beyond the call of duty to help me out and get my a truck that I always wanted, he is an awesome individual and I recommend him anyone looking for a new car!! Excellent experience!!",5.0
13,"August 11, 2013","Kelvin Riddler was extremely helpful, polite, and answered every question I had.  I am not familiar with how to operate gadgets like navigation systems, sun roofs, etc., but Kelvin was very knowledgeable not only concerning every gadget in the cars, but also the more necessary functions of the cars themselves.  I cannot say enough about Kelvin.  I took a while to make up my mind - several hours in fact, and two test drives of each of the two vehicles I was considering, but Kelvin was happy to take me on all the test drives I wanted and gave me really helpful, impartial information about each of the two vehicles.  He didn't hurry me at all, unlike some other dealerships I have visited over the years.  I recently had an unpleasant experience at another dealership, and I was very happy that my experience at Hillcrest Ford was so much better.  Kelvin's customer service approach was really refreshing in the car dealership business.  What impressed me the most was that Kelvin concentrated on me, was not distracted by other things going on in the dealership (yet another bad experience I've had elsewhere) and having given me all the facts on the cars, gave me time to decide and ask any final questions.  It was quite late when I left the dealership, but I am so very happy with my final selection.  Thank you Kelvin.",5.0
14,"August 05, 2013","BEST CAR BUYING EXPERIANCE EVER!! I was in and out quickly. I do not have the best credit and did not qualify for a new car but they worked really hard and found me a barely used one that I absolutely love! They gave my top value for my trade in, and reworked the finance numbers until I was comfortable with them.  So not what I expected from a car dealership, (& I have had a couple bad experiences at the other large dealership in town.)  I felt like I was the one in charge and was not being pushed around by the dealer. The paperwork process was completely paperless on a desk with a built in touchscreen PC and took all of 10 minutes! Thank you Jeremy, Chase, their managers and the ENTIRE Hillcrest team!.....
.........Including the Quick Lane Service and the Body Shop! I went to Hillcrest because their service, parts and body shop departments had always treated me right the last couple of years. They helped me fix what the local lube chain messed up and gave me a fair deal on brakes, tires, and body work on my old Toyota minivan. I am completely happy with ALL their departments and know where to go if I need ANYTHING related to my car and future vehicles! ",5.0
15,"July 29, 2013","Purchase of the truck went great, went in for warranty work and was told they couldn't duplicate the door handle problem , and had ordered the tail lights which were full of water, they had it for a week and couldn't get them? I repair cars and could have them the next day. So I replaced the lenses.
 I developed a heart condition and was laid up for a few months, I called to schedule the door handle and was told I would have to leave it again, for how long?
What ever you do don't give them a negative on there report card, the courtesy will be gone. Typical dealer traits. I will never buy a new $60k truck again. Even though I need one.",2.4
16,"July 21, 2013","These guys were absolutely awesome! I really am grateful to Ron and, his manager and, anyone else who was involved for staying so late waiting on us to make our way all the way from Tulsa to help me get into the exact car I wanted. They were very polite and, a pleasure to work with!  Thank you all so much! God bless! I would definately recommend them to my friends.",5.0
17,"July 17, 2013","I came.  I test-drove.  I purchased.  This was by far the best car buying experience I have had.  Adam Chernosky was very professional, helpful and cordial.  I never felt pressured to purchase anything other than the vehicle I drove to Huntsville to acquire.  I appreciate how the internet has changed how we shop for vehicles.  Daniel Strickland was also very helpful when it came time to finalize the financing.  Thank you again, and I am very happy with my purchase.  Great salesmen, great selection of vehicles.  It was worth the drive.",5.0
18,"July 15, 2013","Davidlakins  has now sold me three fords in the last two years.He is courteous ,very knowledgeable of all vehicles ,and works so hard to get you the best deal possible.I would recommend  anyone to David  who might  be interested in anew or used car or truck.          Jeffry Johnson ",5.0
19,"July 13, 2013","This is the third truck I have bought from Hillcrest Ford.  My memory of the first two, (a few years ago), are all good.  This time though, was even better.  I was really not looking forward to buying another vehicle.  I stared out looking online at different dealerships inventory, to get a feel for what was available, and the price range.  I had been doing this for about 3 or 4 months.  Then one day I was looking over the Hillcrest inventory online and saw a truck that fit what I was looking for.  Submitted a information request online, and within probably about 30 mins David Larkins from Hillcrest called me.  We set up a meeting time.  He had the truck already brought up to the front ready for me to take it on a test drive.  My wife and I drove it around for about an hour.  Got a good feel for it.  Liked it.  Went back to Hillcrest.  David was waiting to see how it went.  We talked about the pros and cons of this various model.  He was very informative on this model.  I wanted to add a stepside bar and trailer hitch without upgrading to a higher convenience package.  He said they could make that happen.  So, we then discussed price.  I liked their offer, we filled the credit app. and then made the purchase.  David and everyone at Hillcrest made the whole process very easy.  I would recommend then to anyone looking for a vehicle.",5.0
20,"June 11, 2013","My first experience buying a new car was excellent!  Adam was outstanding and helped me to understand what vehicle was best for me while keeping my price range in mind.  His knowledge, honesty, and friendliness made sure my first buying experience was perfect.  I would highly recommend working with Adam and the staff at Hillcrest to buy a new car.   - Craig",5.0
21,"June 10, 2013","Chris Conner was a great saleman, service and very friend and not pushy like alot of salemans. 
Made sure you understood every thing about the car. ",5.0
22,"May 17, 2013",I am truly excited with the purchase of my new 2013 Ford Tauras!  David Larkins was very knowledgeable as to this car. He was very impressive on how much he cares about good customer service . That is very important to the purchase of a car.Your finance team were awesome on how well they worked to put me in my dream car. Thank you very much.I definetly will reccomend David Larkins and the great team you have.        Sincerely                                                                                Sandra Hasty,5.0
23,"May 13, 2013",Ron Gunnels was easy to work with to arrive at a deal that was good for me.  This is the fourth vehicle we have purchased from this dealership.  My mother has purchased two and my brother-in-law two.  My daughter and son-in-law purchase two. They treat people right.,5.0
24,"April 29, 2013","Great dealership, Daniel and Adam C.. worked with me and they were great and friendly. I would definitely recommend them to anyone! It was a great environment as well!  ",5.0
25,"April 24, 2013","As long as Ron Gunnels works at hillcrest,you have a customer for life!! Thanks Mr Gunnels You went above and beyond!!!
By far the best sales person I have had.Thanks again!!!!",5.0
26,"April 24, 2013","All the personnel at the Hillcrest Ford dealership were helpful, especially David Larkins, my salesman.  I unexpectedly found myself in need of a new vehicle.  David and the other personnel were very patient and helpful as I looked at several options.  Adam, in the Service Department, was also helpful in enabling me manage the costs on my old vehicle as I evaluated whether to repair it or seek a new vehicle.  David demonstrated several vehicles, provided very helpful explanations and other information, and made the sales process go very smoothly.",5.0
27,"April 20, 2013",Ron Gunnels reviewed various options available to meet what I was looking for.   After reviewing various options he recommended the vehicle we purchased which met what we looking for at a rewsonalble price with great financing.  Good service and I was very pleased.  Tom,5.0
28,"April 10, 2013","Both gentlemen were very friendly.  I went in knowing exactly what I wanted, and what I wanted to pay for it, and they didn't waste my time trying to push a more expensive vehicle off on me or anything like that.  Would gladly work with them again.",5.0
29,"April 01, 2013","I give Hillcrest Ford Hyundai a 5 rating across the boards! They're friendly, helpful, and honest. When I brought my old truck in to trade they gave me the deal I wanted and made the truck I was looking for readily available. Great prices and great people. Go see Brian Creighton, David Larkins, and John Addison, they will take care of you!",5.0
30,"March 23, 2013","Daniel Strickland deserves an award for the incredible job he did getting us our new Form Mustang.  I purchased this vehicle for my son and at the last minute I found out that I told Daniel the wrong color!  When I told him he didn't get the least bit upset but rather said we should get the car we wanted He handled everything and my son drove home today in a Black Mustang, Not a Metallic Gray!   Thank you Daniel and we will see you next year when my daughter turns 16.
Melissa McConnell",5.0
31,"March 18, 2013","Prompt, friendly and fantastic service.  Mr. Larkins told me about getting a refund on the GAP and credit life from my previous car which was still under warranty at Fiat.  No one had ever informed me of this before.  He saved me more more and it is very much apprerciated.  I purchase vehicles every 3 years and I will definitely come back to Hillcrest Ford for my next car.  Thank you David and thankyou Hillcrest Ford.
Marylyn Jackson
",4.8
32,"March 13, 2013","John Addison is a miracle worker! He was able to help me when no one else would speak to me!! Thank you!!!  

Ronald Gunnels is a very nice salesmen. They all treated us kindly and professionally. 

Thank you all!!!!",4.5
33,"March 07, 2013","This is my second buying experience at Hillcrest Ford and both times I was treated in a courteous, friendly, respectful manner.  All procedures, forms and pricing were explained fully.  Any delay, and there were few, was explained.  In short these folks do a great job and should make Ford very proud.  These folks are the ""marines"" of car sales and care.  ",4.8
34,"February 16, 2013","Ron is a top notch sales guy. He will do whatever it takes to get you financed. Man is good at his job! We've been to other dealers in the past that express the same confidence, but fail to deliver. Not him. He talks the talk, but he walks the walk also. That is what makes a good salesman. The rest of the staff was as equally pleasant, & we really liked the finance guy as well. Just really good people skills here! Highly recommend this place. Oh and they are quick! Buying a car should not be an all day affair! It's not here. Thanks guys! ",5.0
35,"February 06, 2013","Great service, everyone was super friendly! Adam Chernosky was very helpful and went above and beyond our expecatations and found us the perfect car with everything we wanted.  I would definitely recommend this dealership!",5.0
