,Date,Reviews,Ratings
0,"January 05, 2020","Leidy Hildago
i dont know how and why keeping that liar person in Ford.i left my truck one peice and i asked her especially when change my cabin filter dont brake my glove box.when i pick up my truck i see glove box on floor and when i asked her did you check my truck she told me yes everything done and ok with my truck while my glove box on floor and cant close at all,and saw 2 of lug nuts was loose.after talked with service manager they replaced my glove box but now i have big funny look gap on my glove boc in my 64k cost truck.
 another issue was my truck was jerking she was aware that and when i pick up truck she lied again and said its gone which still continue.
that supposed to be DEALER place where they charge double triple because of work quality but i see that they all have cheap non experience workers and advisers.even when i contact with Ford they didnt even do anything about my glove box advised me to deal with them.so sad.now i have large enviroment and telling them saty away from ford is far far away from build tough",1.4
1,"August 06, 2019","I bought a Transit van last year and I was told that I was entitled to two free oil changes but they never mentioned that I had a time frame of one year to get the two oil change. Spoke to Josh the Manager and he didn’t do anything about it. So for all the new buyer be aware of that because the finance department didn’t mention anything about the timeframe or 12,000 miles.
",1.0
2,"July 26, 2019","Only a few NORMAL things to be done it took four days. The car hadn't
been looked at after 30 hrs. Terrible service ugh
",1.4
3,"April 02, 2019","The sales and service staff have been very helpful and knowledgeable. Jennifer and  Douglas Torres
Service Advisor have followed up on service keeping me informed.  All of my visits have been pleasant and productive.  A pleasure to see the sales and service staff. Tommie
",5.0
4,"March 31, 2019","I have been coming to Russell & Smith Ford for a number of years for service of my vehicles. My most recent visit was for the 100,000 miles service.  I was very pleased with service I received. My Service Advisor kept me abreast of the repairs that were needed; as well as when the different items were completed, and how much longer it would be before the entire job was completed.",4.6
5,"March 29, 2019","I brought in my 2013 Ford Fusion Hybrid for a flashing engine light to Russell & Smith Ford.  The service representative Drew Bethel was very helpful and concerned with resolving my problem.  Drop off of my car at the dealer was very quick and efficient.  My car was repaired in 2 days, and I was notified by Drew throughout the process.  The spark plugs were replaced and the throttle body cleaned, and now my car runs great.  I would bring my car back for future service because of the excellent customer service from Drew Bethel.  They also washed my car which was great.  The only improvement I would suggest is that this dealer was unable to resolve a second problem (unrelated to the first) which was identifying a slight noise my car makes when accelerating at speeds around 30 to 40 mph.  This noise was definitely not normal and the dealer was unable to resolve this problem.  ",4.2
6,"March 25, 2019","I got a great deal on a new 2018 Fiesta, love it!
Great gas mileage
drives great
saved a lot
love the features: camera, keyless entry, alum wheels, pw, pdl, tint, etc",5.0
7,"March 22, 2019",Been going to Russell & Smith for years. I always feel like they take good care of me whenever I come in to buy or to get my  vehicles service. I have no complaints about Russell & Smith. All I can say keep doing what you do. (  Two thumbs up!!!! ),5.0
8,"March 21, 2019",The service was great and Leidy was very courteous and well informed. She stayed in constant contact with updates and worked to accommodate my  travel schedule. It was an all around good experience.,5.0
9,"March 21, 2019","My service advisor Lance was knowledgeable, courteous and professional. Service was prompt and completed in a timely manner. All my questions were answered to my satisfaction. Thank you. ",5.0
10,"March 16, 2019","Keith Black, Service Advisor, did a great job of keeping me informed of status and an additional item that needed attention.  Service is why I continue to use/recommend Russell & Smith.",5.0
11,"March 15, 2019","I went to the lube area for an oil change and had terrible customer service on March 13, 2019. I called multiple times and was on hold and transferred multiple times. Someone picked up the phone and said “they aren’t answering, but I will walk over and give them your message”. I had asked them not to throw out my old filter. I dropped my Ford Edge at about 1215pm and they never called me that my car was ready. My husband picked me up from work and drove me to the Russel and Smith service center and I told them that they never called me. Karla  then said I called but maybe the wrong #. I said “you all have my number because you texted me, I then texted several times and no one answered”. Karla was then was quiet AND the filter was thrown away and no one could get it!!!! I received  a text from Karla on 3/14/19’asking if the car was ok. Really?????????",1.0
12,"March 14, 2019","I’m so appreciated for the excellent service front and back end. My advisor Drew did an awesome job getting my car out at a prompt time. And he also ran it through the car wash. Even better. Felt good to have great customer service. The customer lounge was nice and clean to where I was able to work. 
Thank you again Drew for making it happen in one day!!!!",5.0
13,"March 02, 2019","Thaddeus was very friendly and helped me tremendously. I would definitely recommend him as a sales person. He was very professional and polite. We were able to test drive 2 vehicles before I made the purchase. I will definitely be buying another vehicle there in the future.

Thank you for a great experience!",5.0
14,"February 28, 2019","I've been getting my service check ups at this location since I bought my Escape.   Drew has almost always been my first point of contact whenever I stopped in.  He is polite and very helpful.  Very personable, which makes me feel at ease.  Thank you to all the service people that help keep my car running smoothly.",5.0
15,"February 28, 2019","Everything went as I would have wanted it to, all was good, Drew did a great job helping with my truck and was very friendly.  Thanks",5.0
16,"February 26, 2019",When I need service I know I can trust them to be honest and let me know what I need to keep my escape running problem free. From the day I bought it they were there if I had any concerns. I am a firm believer in preventive maintenance and they will be honest and let you know what you really need or what you can wait until the next oil change. Friendly honest and trustful  service why I choose to purchase my vehicle here. ,5.0
17,"February 25, 2019", We took our new 2018 Ford Explorer for its complementary 1st Oil change and the vehicle was serviced within 45 minutes! The service department Employees were very professional yet friendly and courteous! Thanks R&S!,5.0
18,"February 25, 2019",We've been purchasing trucks from Chris Alvarez with Russell & Smith Ford for years now.  We won't go anywhere else.  The customer service and communication make the car buying process smooth and stress free.  They are competitive in pricing and truly take care of their customers!!!,5.0
19,"February 23, 2019","Purchased my truck at a different dealership and had work done there. They were very far from my home, but Walter at Tomball Ford was more than willing to finish the job. ",5.0
20,"February 19, 2019","Leidy was friendly and attentive. I enjoyed the texting portal where I could reply and ask questions anytime in regards to my vehicle. Of course you have to wait a while for your vehicle to be serviced, but she called and gave me updates throughout the way. ",5.0
21,"February 18, 2019",Very professional & timely service. Lance made sure my truck was taken cared of & serviced properly. Waiting lounge is clean & comfortable. Everything was done within a span of 3 hours. ,5.0
22,"February 16, 2019",Once again I will say the service at Russell and smith Ford did an outstanding job servicing my truck. I was in and out in no time at all. ,5.0
23,"February 15, 2019",I called ahead to verify with Drew that there he could get me in for a Diesel Oil change/service.  Drew got me in and out while also looking at another item for me.  Drew is amazing!,5.0
24,"February 12, 2019","I am very grateful to my Service Advisor, Drew Bethel. He approached my car and greeted me immediately when I drove up for service. He listened to my requests and he was professional, courteous and thorough. All of my concerns were addressed and my car was returned to me freshly washed. Drew has been my Service Advisor on two other occasions and he is the reason that I return to Russell & Smith Ford for car maintenance. He is always helpful and he makes me feel that my business is valued. I am very thankful for Drew and I wish that there were more professionals like him as he sets the standard for customer care. ",5.0
25,"February 08, 2019",I ran in to see if I could get my headlight changed.  Lance had everything completed in no time at all.  Very happy how fast everyone worked.,5.0
26,"February 08, 2019",Personally I like this dealership for friendly and good quality service I recommend it 😁 and another reason to recommend is because they give a good opportunity to get my first new car ,5.0
27,"February 08, 2019","Matthew was very professional and courteous. He went above and beyond to address my concerns and to make me happy.  I thought I heard a noise, and Matthew did not hesitate to ride with me to see if he could figure out what it was.  Thanks",5.0
28,"January 30, 2019",The service was excellent. From the service advisor to the waiting area. Feel comfortable inside the waiting area. No other complains as to the service they perform.,5.0
29,"January 30, 2019",Have been using R&S for years now.  Always good service!  On my second car purchased through them and my 3rd car for servicing. Fully trusted!,4.6
30,"January 29, 2019","Drew was helpful, friendly, and informative over the phone and in person at the dealer. I had to get several recall repairs made and the dealership fit me in on short notice and had my vehicle ready hours earlier than expected. ",5.0
31,"January 29, 2019",Service was fast and great never have any issues when i bring my fusion for a oil change will always bring it back for my oil changes ,5.0
32,"January 27, 2019","I went in for an oil changed, Morgan was very helpful and I was in and out quick. Love the facilities very comfortable. Always happy to be there. ",5.0
33,"January 16, 2019","So, to sum up my experience with Russell & Smith Ford. 
• They were not honest about the cost of the car.
• Did not present the correct car for a test drive.
• Lied during the procedure of purchasing the car and delivery
• Withheld truthful information about the car being damaged.
So I end my review, saying once again, I found the salesmen and dealership to be dishonest and not forth coming with the truth. I would not deal or buy another car from Russell and Smith Ford.
",1.6
34,"January 16, 2019","Chris Alvarez is excellent,  estamos felices por el servicio y la atencion que se nos brindo servicio y dedicasion en satisfaser nuestras preguntas.
. se preocuparon por que nos fueramos satisfechos con muestra compra gracias a todo el personal se ve que tienen, estoy seguro que tienen un buen gerente que se preocupa en tener motivado a su personal por dar un buen servicio. Estoy seguro que mi proxima compra la realizare en su tienda.",4.8
35,"January 13, 2019",I thought Keith Black was very helpful and patient in helping me. I called day before I took my car in at 6:00 oclock and he answered and helped me.,5.0
36,"January 08, 2019","Drew was extremely helpful, offered great advice, didn't ""over-sell"" me, and got me in and out fast. I look forward to coming back here for all my future services for my new truck!",5.0
37,"January 07, 2019","My service advisor, Lance @Russell Smith Ford and the repair team have my 2011 Ford Fusion running great! I am very pleased with the service rendered and the effort they put into getting my vehicle's power steering,  hub bearings, and other problems fixed with my car.  They earned this 5-Star rating.",4.8
38,"January 07, 2019","Brought in my 2015 Ford F-250 for service.  

I was in need of brake pad replacement and a repair to my drivers side locking mechanism.  I called and spoke with Keith Black and explained my truck's needs.  He explained pricing and time needed to make the repairs.

Once I brought the truck in, I dropped it off.  Mr. Black later called me to re-verify pricing and service needs.  My truck was repaired and I am happy with the job done on my truck by the service technicians and also the customer service provided by Mr. Black.

Any other repair needs that arise, I do intend on bringing my truck to Russell and Smith Ford for repairs.",5.0
39,"January 07, 2019","There were some info I did'nt get during the transaction, all the warranty or I did'nt understand what i were getting. but I think they should have explain.The other thing they service my car 1/4/19 my paperwork say you service battery, check brakes, and tires,  and they ran the car threw the car wash do they suppose to vacuum my car also? I need to know these things so I will know next time...     Thank you!!  PS The MULTIPOINT list not sure about something the check off everything they checked, so there were some area that isn't checked and at the top of the page there is Red, Green and NA,what does that mean? About the transaction/warranty maybe  I should talk to Finance or someone who can explain that to me. Thank you!!",4.4
40,"January 04, 2019","We knew exactly what we wanted going into Russel & Smith. I submitted an online inquiry and Rishi called within an hour to make an appointment. I am still waiting to get a response from other dealers who I submitted an online inquiry to! Rishi pulled the car up and answered all of my questions/concerns immediately. Negotiations were over a 2 day period but once we agreed on the price all I wanted was for it to be quick and easy. Russel & Smith definitely did that and I was in and out in less than 2 hours when purchasing the new car. A few days later, I text Rishi who sold us our expedition and he was very responsive answering all questions I had about the technology in the vehicle. It was a very easy process and would go back to Russel & Smith to purchase another car and recommend others to do the same. The customer service exceeded my expectations!",5.0
41,"January 03, 2019",I go in and out quickly. I recently had oil change and state inspections and service was quick and customer service is great. Nice employees and it is very convenient i live right around the corner. I don't have to travel too far. ,4.4
42,"December 31, 2018",Eric was very helpful.  He saw to me getting my car service. And it did take all day.  I will send anyone looking for a car to Russell & Smith ,5.0
43,"December 28, 2018",The experience was the best car experience ever! I got in and out so quick I didn’t realize it was over. I told my car salesmen what I wanted to pay and he made it happen without any haggling! Perfect! I couldn’t be more pleased!,5.0
44,"December 28, 2018",Lance was great. He answered all of my questions and got my truck back to me with in the time he told me he would.,5.0
45,"December 26, 2018","I went in for an oil change and was in and out within an hour. The service advisor, Leidy, was very friendly and helpful and was attentive to all my needs. ",5.0
46,"December 24, 2018",Service was great from checking in to the time I left. Got my recall done and another problem. Bryan Foster was my serviceman and he was very friendly and professional. Thank you ,5.0
47,"December 20, 2018",Super nice guy and he always does his best to please his customers. He's a good communicator and follows up with you through the process.,5.0
48,"December 20, 2018",My agent gave me clear explanations and completed my service on time. My service was good and the waiting room was clean. I got a free newspaper and will continue to get my car serviced with Russell and Smith.,4.6
