,Date,Reviews,Ratings
0,"June 18, 2020",Best Ford dealer I’ve encountered in my 65 years. Maria is the Queen of service. Can’t say enough good about this place. Top flight. ,5.0
1,"May 14, 2020","I went to ford thinking I wasnt going to find anything. But with the help of Patrick and Alejandro, im now the proud owner of a ford explorer!",5.0
2,"May 11, 2020","I am extremely pleased with the customer service provided  by Jony Benitez with Appel Ford.  He made the purchase of my new car an easy and efficient process.

Thank you Jony and Appel Ford!",4.8
3,"May 05, 2020",Every since we started dealing with this dealership it has been the greatest experience we have ever had and we have bought a lot of vehicles in the past thank you Apple Ford,5.0
4,"April 05, 2020",I took my truck to Apple for warranty work.  I didn’t by my truck here but was treated like I did.  Excellent customer service. I will by my next truck here.,5.0
5,"March 21, 2020",Service was handled timely.  Very friendly staff.would definitely recommend for all ford and lincoln service needs.  Scheduled my appt and got my car done same day.,5.0
6,"March 01, 2020",Kevin Tran was my salesmen he was very helpful and was not pushy at all he answered all of our questions and he was kind enough to call us and he even put the plates on for my wife when she went to pick them up. You need more salesman just like Kevin ,5.0
7,"January 04, 2020","Great dealership! Though I haven't bought a new vehicle from Appel Ford, I will definitely consider them on my next purchase. Their parts and service depts are excellent and we're very helpful when I used my FordRewards points to purchase accessories for my F-150. Thanks for your help and willingness to figure out how to redeem my points!",5.0
8,"November 21, 2019",Great experience and great prices. Will be buying from them again! Easy to work with and very friendly. Very happy with buying my car here!!,5.0
9,"October 13, 2019","We were treated very well in our search for a new vehicle, when we changed our minds at one point we received courtesy and understanding.  I would HIGHLY recommend this dealership to anyone!
Pat F, Woodbury",5.0
10,"October 09, 2019","I made an appointment one week in advance to get an oil change and a recall notice for a block heater addressed.  I was asked to show up at 7 AM, which I did.  The oil change took 2-1/2 hours and they didn't have the part required to handle the recall on my block heater.  I don't live in Brenham, so now I have to make another appointment to go back to have the rest of the work done that wasn't completed while I sat in the waiting room for 2-1/2 hours.",1.0
11,"September 25, 2019",I am very pleased with my service starting with the service representative who is very pleasant to work with and the service and attention to detail in regards to the warranty work ,5.0
12,"August 27, 2019","Amazing, By far the best dealership I have ever dealt with Sam and Richard were unbelievable to deal with what a great organization you have in the future I will buy all of my vehicles from you I have never owned a Ford before now and was extremely down on Ford with the dealer I Purchased mine through but now those two Individuals have made me a believer in purchasing the Ford product I want to thank you very much for your support and what you have done for me",5.0
13,"August 05, 2019",Buck and the team at Apple Ford and Hyundai of Brenham went above and beyond making my car buying experience a simple and pleasant experience!,5.0
14,"July 27, 2019","The gentleman who helped me was Chris.  He was very prompt in addressing my situation and professionally courteous in solving my problem.  He had to order a part for my '17 Explorer, & it came in the next day.  Since it was a simple fix, he asked me to come in at my convenience.  He had the part installed & me back on the road in less than 15 minutes.  No other dealership has ever been that attentive & reasonable in addressing my issues!",5.0
15,"July 22, 2019",Mary did an outstanding job getting my truck fixed after being stranded out of town and got me a loaner car. For next day repair  need my people like her,4.6
16,"July 20, 2019","Been there several times and I always have to go back because something is not right.
Auto start, headlights don't come on, they mess with the trucks settings, but don't make sure they turn them back on.
Service department staff is very nice, just everyone is not on the same page.",3.6
17,"July 05, 2019","I had the best experience with purchasing my 2019 Ford Edge. I first tried to do a trade,  but my car was to upside down. So I asked my salesman Kevin Tran,  to see if I could just try am purchase without a trade.  Frank. Zach,and Kevin went above and beyond to get me into a new car.  Frank was outstanding,  not only did he get me into a nice vehicle, but the rate,and monthly payments were way in my price range. I am truly blessed to have had such an extraordinary group of professional men to working on my side.  Words alone can not express how grateful I am, and everyone treated me with such care,  and respect.  I will definitely share my experience with everyone I come in contact with. Hat's off to Frank, Zach, and Kevin. God bless you all and the entire Apple Ford Team. 
Melissa Obi ",5.0
18,"June 20, 2019",I feel that I dealt with an excellent salesperson. (Jony Benitez) There was no pressure to buy. There was only assistance as to what I wanted in a vehicle. After making my decision the sales team made the transaction very simple. ,5.0
19,"May 24, 2019","Mary, our service advisor is very knowledgeable, she explained in detail the overall work to be done on our vehicle as well as the price for each item.  No surprises here!  She greeted us with a big smile! A very genuine individual who cares about her customers.  Thank you Mary, we will be back! 

",5.0
20,"April 06, 2019",Awesome job and thank you so much for all your help Blake Sander. And thanks zack so much. Enjoyed it very much love our new truck. ,5.0
21,"March 30, 2019","
ALWAYS PUT THE CUSTOMER FIRST AND SALESMAN BLAKE SANDERS IS AWESOME
SHOWS YOU WHAT EVERTHINK DOES ON VEHICLE AND SOMETIMES ENTERS 
PHONES  AND OTHER STUFF US OLD PEOPLE DON'T KNOW HOW TO DO.
ALL OTHER DEPARTMENTS  YOU HAVE TO GO SEE ARE JUST AS AWESOME.

HIGHLY RECOMMEND THIS DEALERSHIP   BEEN DOING BUSINESS FOR 35 PLUS
YEARS WITH THEM.",5.0
22,"March 15, 2019","I have a new F150 that I purchased at another dealership. I was having some issues, and I live closer to Brenham so I took the truck in to Appel. They not only fixed my problem but treated me as if I had bought the truck there. Great experience!",5.0
23,"March 13, 2019","In and out within an hour for oil change, tire rotation and usually check up on my explorer. I requested a quote on future work and got an estimate. No pressure to do suggested service according to mileage quidelines. Just reminder that it needs to be done. ",5.0
24,"February 04, 2019","Excellent vehicle, excellent salesmen, a great experience for us! Jake and J.J. Seemed to know what we wanted and were very patient and  thorough in helping give us a crash course of the features in the vehicle. Fiancé was quick to get things going, and the shop crew did an excellent job getting our new vehicle ready to go. Thanks everybody!",5.0
25,"January 02, 2019",My experience with Appel Ford and Blake Sander was great. Blake helped me find exactly what I was looking for and made the process very easy. ,5.0
26,"November 03, 2018", It was a pleasant experience with no pressure from the salesman. I went online and found the truck the online salesman was very helpful. Ashley Aaron and Alex were very professional and dealing with me and answering all my questions. And I got a great deal! ,5.0
27,"November 02, 2018",Mary was exceptional in getting my truck  worked on and getting me to and from home in the mean time. I will definitely bring my vehicles back for service.,5.0
28,"September 30, 2018",We had excellent service in purchasing a 2018 Ford Escape. Friendly and helpful staff. Made the process easy and enjoyable. Would recommend Appel to anyone. ,5.0
29,"September 11, 2018","Thanks To Blake Sander, our truck shopping was made easy and convenient. It says a lot about a person who is willing to put the time and effort as Blake did for me and my wife today.

There was no hassle or pressure which made our experience a great one. 

Thanks for the rest of the Ford Apple Team we will definitely return because the quality of service. I would highly recommend to anyone in the market of purchasing a vehicle new or used.

Thanks Apple Ford in Brenham Texas

Thanks to Crystal (Kubeczka) Hinds for the referral.
",5.0
30,"August 04, 2018",I put a $500.00 deposit on a vehicle and committed to buy it. The dealership sold the car from underneath me with no notice.,1.0
31,"July 10, 2018",Services was great from the beginning the service writer understood my concerns about my repairs.she took the time and found out exactly what the warranty would cover.,5.0
32,"July 06, 2018",We wanted a solid white 2018 King Ranch F150. We ordered it from Appel Ford and our sales person was James Baker. He made us feel like we were a part of the family. We could not have been more satisfied. My next Ford will definitely come from Appel Ford!,5.0
33,"May 22, 2018","Went in at 9, out by 10:30 with a new Mustang. James at Appel Ford Brenham gave me a great deal, and Zach in Finance got me out quickly. Strongly recommend Appel Ford!",5.0
34,"May 05, 2018",The people are very personable. Would recommend the dealership to everyone. Vehicle clean and full of gas ready to go. One of the best dealerships I have done business with.,5.0
35,"April 08, 2018","Very competitive in pricing, great service, friendly staff. Have used this dealership for service after purchasing my truck in 2015. Have made my service requirements easy ",4.8
36,"February 21, 2018","Appel Ford has been excellent at all levels.
From Sales, communications, pricing, delivery, and maintenance. I would highly recommend to anyone looking for a vehicle. ",5.0
37,"February 11, 2018","Appel is not your usual dealer. They value long term relationships and loyalty. They act on it, not just lip service. We strong suggest shopping at Appel, or using their service department.",5.0
38,"January 24, 2018",They took care of all issues with the truck. Service Teck even stayed late on Friday to get my truck done. Great job. Thanks again,5.0
