,Date,Reviews,Ratings
0,"June 25, 2020","Extremely satisfied with David. My first visit to your shop, but will come back. He was able to work me in since I live out of town. ",5.0
1,"June 25, 2020",My truck buying experience was great.  No long wait and Karl was efficient and a pleasure to work with. Great dealership to purchase a vehicle. ,5.0
2,"June 25, 2020",Very fast service the purchase was done start to finish in less than 2 hours. The sales team was very helpful. We purchased the truck that we had selected from the on line inventory for a fair price. ,5.0
3,"June 24, 2020","Have bought last two fords from Gullo.
Excellent service & warranty.
I travel 160 miles to buy from Gullo.
Their salesman Thad is perfect for me",5.0
4,"June 21, 2020","I have purchased multiple cars at Gullo ford.  I have always been very pleased with the customer service.  They treat us like family from the beginning to the end.  I had the pleasure to have Froy Romero as my sales person. He found the best deal for what I was looking for.  Pedro Portillo, the new Car director, helped out with the process as well. Thanks to Silvano Escobedo, the finance director and Joseph Fletcher who helped me out with all the financing procedure. I appreciate the help.  Thank you so much Gullo Ford of Conroe, as always. ",5.0
5,"June 20, 2020","Love love my car and Chis Whitehead is the BEST !  easiest car buying experience we’ve ever had!  Thank you so much , ... Janice Derossett  the NEW CAR owner! ",5.0
6,"June 20, 2020",Don’t waste your time shopping other dealerships or true car like I did. Got a smokin deal on my F 250 and trade in !,5.0
7,"June 20, 2020",Chad was very easy to communicate with and honest. I usually have a low tolerance for salesman even though it’s a job. Chad was not overbearing at all. Will send many his way. ,5.0
8,"June 18, 2020","I recommend Juan Jimenez as a service advisor. He was knowledgeable, courteous, and friendly and easy to deal with. He explained everything and made sure I was taken care of. Thanks Juan ",5.0
9,"June 18, 2020","Went in for an oil change and to do an inspection per the state of Texas to renew my tags. Went into the quick lane, no appointment was made but was in and out in a hour. ",5.0
10,"June 17, 2020",Best dealership in all of the Houston area. I would recommend them to anybody. They care more about their customers than making a dollar. If you want honesty go to Gullo Ford.,5.0
11,"June 16, 2020",Great experience with this service department!  Exceeded my expectations!  Repairs were completed faster than expected. The service writer Waseem Elhelou was very knowledgeable and helpful. I will return to this dealership for any service work needed in the future ,5.0
12,"June 15, 2020","Jake, Dean and the Technicians went above and beyond. I took my truck in for a recall, which was corrected  and they also  found a small oil leak which was covered under warranty. They did a full point inspection and addressed all required repairs. 
Thanks for a Great Job and I will return my truck for future service visits.  

Arnold Mejia",5.0
13,"June 15, 2020","I've purchased approximately 25+ vehicles from Hullo Ford and have always been treated well.  In the future, I plan to purchase a few more and will from Hullo.",5.0
14,"June 12, 2020","Great experience as always!  Friendly greeting, prompt help with my service need, follow up as promised.  In and out in a timely fashion, highly recommend.",5.0
15,"June 12, 2020","For the past 23 years Gullo Ford and their service has been the best, I will never use any other. Gullo will always be the best in my book. I always recommend Gullo! Thanks!!",5.0
16,"June 11, 2020",Wonderful quick service!!!  Saff was exceptionally helpful and nice.  Hardly any wait time!  Explained my service plan and any cost.  They even met me at my vehicle!,5.0
17,"June 11, 2020","Always the best experience, both in Sales and in Service. Great family-owned Ford dealership. If you live in Conroe or The Woodlands, this should be your Ford dealer!",5.0
18,"June 11, 2020",I have purchased 4 vehicles from this dealership and have been very satisfied with the sales and service organization. I went in this time to have a recsll on our 2017 Ford Fusion. Due to the virus and my age repsir was done outside while we remainef in the vehicle.,5.0
19,"June 09, 2020",Great people at store. Salesman Jordan was very knowledgeable and helpful throughout the process of buying what we wanted. I would definitely recommend to all my family and friends. ,5.0
20,"June 09, 2020",Excellent as always they are the only Ford dealer we deal with. Not only my wife ani but our entire family.  I highly recommend this dealership ,5.0
21,"June 08, 2020",Very pleasant and courteous customer service. Staff is very friendly and helpful.It was very easy to get an appointment for an oil change. Everything was done in a timely manner .,5.0
22,"June 08, 2020","Very clean, very prompt, communicated very well. All individuals treated me with a proper level of dignity and respect. I have had my 2016 Truck serviced there probably a dozen times and there has never been an issue.",5.0
23,"June 08, 2020",This is a great place to do business.  I have been shopping here since 2012 and my experience has always been great    Excellent customer service ,5.0
24,"June 03, 2020",Service appointment for scheduled maintenance. Took my truck before my scheduled time and had it back to me in 35 minutes. Excellent employees and service department.,5.0
25,"May 30, 2020",Easy transaction.  No real issues. The price and trade were right at the number I was willing to spend for this vehicle. Froy did a great job,5.0
26,"May 29, 2020","I can’t say THANK YOU ENOUGH TOO Mr. Willie Sanford and Mr. Omar Ali for making me feel like family. These two guys went above and beyond. Omar was the salesman, very professional and fast. I ended up leaving with the car I wanted. Sharp young man!!! Thank you Omar and Team who helped with the fast process!!! #SUPERMAN",5.0
27,"May 29, 2020",The service advisor and all the staff were courteous and polite. The experience was smooth and easy. Thank you Jacob & Gullo Ford.  Love the dralership,5.0
28,"May 29, 2020",I was greeted right away. Positive and respectful staff. Service manager Waseem came out right away and helped direct me on what was going to happen next. He followed up with me and was clear about my problems and resolution. I am very satisfied.,5.0
29,"May 28, 2020","Absolutely the easiest, fastest, most pleasant car purchase we have ever done.  Professional, kind, straightforward, transparent.  All the things you hope for when doing a business transaction.
Thank you!",5.0
30,"May 27, 2020","Outstanding, friendly service.  Juan Jimenez was so knowledgeable and made sure everything was done on time and throughly.  If you need service on your vehicle go to Gullo and request Juan. You will not be disappointed ",5.0
31,"May 26, 2020","Once the issue on my vehicle was diagnosed Gullo Ford’s service team and service director did a great job thank you for all your hard work, David and Willie need to be recognized for the follow up and Dedication to getting the vehicle repaired ",5.0
32,"May 26, 2020",This was my 3rd  new truck purchase from Gullo in 6 years. Always  a pleasant  experience.  If anyone  decides  to patronize  Gullo look up sale assciaite  Mary Chan. This woman is a HOOT. What a grand experience  having  her a a sales rep.,5.0
33,"May 26, 2020",We had a good experience at Gullo Ford.  Very professional team!  We were pleased with the whole process and drove the vehicle off the lot in a reasonable time.  ,5.0
34,"May 25, 2020",Juan Jimenez always provides excellent service to us. He listens to any concerns we have and makes sure they are fixed. The entire service team is courteous. ,5.0
35,"May 24, 2020","This was my second truck and third purchase from Gullo Ford. Top notch, first class all the way.
Go see Martin Madrid, he’ll find what you’re looking for and get you into your new vehicle quickly and painlessly. He really goes the extra mile.
Thanks, Gullo Ford!
Thanks, Martin Madrid!",5.0
36,"May 23, 2020",We had a great experience with Mary purchasing my first new vehicle. She was awesome when I felt like I was asking silly questions and really took care of me like I was family. ,5.0
37,"May 22, 2020",Love the experience. Walked in the salesman approached me with a great attitude showed me the car and I brought it. I will recommend Gullo Ford to my family and friends.,5.0
38,"May 22, 2020","Did great, Karl was awesome helped alot and wasn’t forceful or over the top. He was very patient with me while I figured out what I was looking for.",5.0
