,Date,Reviews,Ratings
0,"June 06, 2020","Great people! Fast service, no run around. Will definitely recommend to friends and family. Zero money down, drove out with vehicle. No hassle!! Great experience!",5.0
1,"June 06, 2020",Found a great truck at a great price. Wonderful experience. Highly recommend this dealership. Ask for Tony Evans. He will take care of your new or used car needs,5.0
2,"May 25, 2020",Perry did everything he could to get me in the truck of my dreams. Great dealership. Friendly people. If you need anything go to them. ,5.0
3,"May 25, 2020","David Delisio and his crew really go out of their way to make it happen. Every time I go there the crew is friendly and helpful.
Thank you David ",5.0
4,"May 21, 2020","A very pleasant experience.  No hassle, no pressure .They were informative and  very honest.  I will never buy a Ford from any other dealer. Highly recommended. ",5.0
5,"May 16, 2020",The process was made simple for me. I was able to walk in saying what I want and left at ease knowing I had exactly that. The car salesman was upfront and honest and made sure we were comfortable with our decision. Our finance officer was beyond helpful. He found every helpful way to get us the payment we needed. ,5.0
6,"May 14, 2020","I loved my experience with Cook Ford! I completed my purchase from Louisiana and flew in to get the car that I wanted. I was skeptical of course but they helped me so much and made me feel so comfortable about it. They were not pushy about making a sale and truly had my best interest at heart! I recommend Mr. Bill, Mr. Rick and Ms./Mrs. Tabitha. They’re all VERY informative and genuinely helpful. ",5.0
7,"May 05, 2020",Went to the dealer to get my car serviced and even during this time of crisis they did a great job keep me and them safe ,5.0
8,"May 02, 2020","Stacy was professional, courteous, and efficient. Service department is always reliable and on time. I appreciate the the hospitality and refreshments. Thank you for your time.",5.0
9,"April 30, 2020","I bought my first vehicle last night with the help of my parents from Cook Ford! As a first time buyer, they made this process hassle free and enjoyable! They answered all of my questions and truly made myself and my parents feel like valued customers. Our salesman, Jody Dale, and their finance manager, Rick Gomez, even stayed well past closing to ensure I got this vehicle because of my dad’s work schedule. We were able to do the credit checks through an online form which made the process much faster once we arrived at the dealership. Through mine and my families dealings with Mr. Dale, he was extremely helpful and personable on the phone and in person. He never became pushy and made it very clear that if Cook Ford couldn’t give us their best deal, he did not expect us to buy the vehicle. Mr. Gomez was also wonderful! He again was never pushy! He informed us about different warranty packages, and we said we were not interested, he simply said “ok” and we moved on! He gave us great advice on how to improve my credit throughout this process as well. Traci Hendricks, their finance manager, who we had originally requested to deal with because of her wonderful reviews, came to us to personally to explain she was going to visit her grandchildren who she hasn’t seen in a while. She assured us we were in great hands with Mr. Gomez, game is her business card for any questions or concerns throughout the process, and truly made us feel like family. Everyone we dealt with at Cook Ford was wonderful! They made my first time buying experience go so smoothly and truly hassle free. Mr. Dale even went and filled up my 2017 Ford Explorer I purchased before we drove it off the lot! I would HIGHLY recommend Cook Ford in Texas City, TX to anyone looking to buy a new or used vehicle! They are truly amazing and made us feel like family. ❤️ ",5.0
10,"April 29, 2020","Very friendly, trustworthy and helpful personnel. Have been a customer for several years because of service manager. They go the extra mile ! All my vehicles have been ford and will continue to be",5.0
11,"April 29, 2020","Cook Ford has always given me a stellar experience. The buying process was one of, if not the, easiest I have ever encountered. When I really needed my first oil change, they went the extra mile with extraordinary friendliness. They even waited for me even though it was almost time to close. I will continue to use Cook Ford. It is worth the drive!",5.0
12,"April 26, 2020","My boyfriend and I had a great experience with Louann! From the second we arrived she was honest and knowledgeable. She never pressured us to make a decision. Of all the places we went to, she was the most honest and respectful. Being younger, we felt like some other places did not take us seriously. She did from the second we arrived. She told us how it was and has the best personality. We loved working with her and love the truck we purchased. Only negative experience was with Traci in the Finance Department. We felt like she was rude and talked to us disrespectfully. Thank you Louann!",5.0
13,"April 23, 2020","Quick, kind and upfront!! They knew I was in a pinch and did their best to help me right then and there, took an evening to get parts, but gave me a really nice loaner vehicle, and had my truck ready the next morning!! Thank you so much!!",5.0
14,"April 23, 2020","Brittany, David and Tracy were extremely helpful with my online purchase. I will definitely be purchasing at this dealership again. I can’t wait to receive my new F-150 King Ranch!",5.0
15,"April 23, 2020",Replaced cracked windshield using insurance policy. No hassle and replacement done in a very timely manner. The extra insurance purchase was exactly what I expected.,5.0
16,"April 22, 2020",I’m very happy with my new F150 Platinum truck. I feel the deal on the truck was a good one even though I feel I should have gotten more on my trade but Bill and the rest of the staff did a good job making my purchase experience a comfortable one. Thanks Cook Ford!,5.0
17,"April 20, 2020",Excellent service. Trustworthy and responsive. I will continue to bring all my vehicles to Cook Ford. They make it easy to do business with them. ,5.0
18,"April 08, 2020",First time purchase with Cook Ford was a pleasant experience.  Enjoyed working with my salesperson David.  Will recommend Cook Ford to friends.  Five star rating.,5.0
19,"April 07, 2020",I've purchased many vehicles over the years and purchasing from Cook Ford was by far the shortest time I had to spend in a dealership when financing a vehicle.  Everyone at the dealership was straight forward thru the entirety of the process.  I will be buying from Cook for my next Ford.   ,5.0
20,"March 31, 2020",Perry was a great pleasure to be able to meet my needs for a new truck. I like the dealer because it doesn’t have a show room and looks like they run an efficient facility.  They had a great selection of F-250s. There was no pressure on sales.  Perry was able to provide me everything I was looking for.  Thanks Cook Ford,5.0
