,Date,Reviews,Ratings
0,"July 03, 2019",Conclusivly diagnosed and repaired my GMC HD truck Great value and exceptional customer service and communication from service advisors and staff. Had similar positive experiences on multiple occasions in Sales and the collision center. An all around dealership you can trust.,5.0
1,"December 04, 2018",This is the second car we've bought from Jose Cervantes.  He got us a great value for our trade in and for the new one.  We were delighted with the service from Jose and the dealership.  ,5.0
2,"August 24, 2018","Jose Cervantes at Hall GMC has done it again!  This is the second GMC we’ve bought from him.  Both times have been quick and painless.  He texts or calls - whatever the situation requires to make my time more efficient.  Great guy, fun to work with, and highly knowledgeable.  Thanks Jose!",5.0
3,"August 15, 2018",We met at the office with Jose Cervantes and he was so friendly and patient helping us to make the right decision. But he got a extra points because we took our three little kids with us and he gave them some candys. We extremely recommend José for his passion to make sure everything is clear and quickly. ,5.0
4,"August 09, 2018","Reily McCally was amazing.  Found what I was looking for immediately and wasted no time getting me a great deal.  He was professional knowledgeable and a pleasure to deal with.  The finance guy was unbelievable, super fast and thorough.  I will recommend them to everyone I know looking for an auto.  As a matter of fact I just bought my 2nd vehicle from Reilly within 4 months. Sending family member to them too. ",5.0
5,"August 04, 2018",Purchase went smoothly. Helpful staff. I was considering a car at this dealership and another and feel the customer service was positive and helpful. They were patient as I compared other cars and they were not too pushy.,4.8
6,"July 17, 2018","Great experience buying  a vehicle for the first time in 15 year. Everyone was very helpful, honest and friendly.  Reily was awesome to work with.  Highly recommend him to anyone wanting/needing to buy a vehicle.  ",5.0
7,"July 15, 2018","Great helpful customer service. Good salesman. Worked with us and very helpful. The staff that dealt with me was very helpful, very open and ho est. ",5.0
8,"July 07, 2018","This was the best car buying experience.  Our salesman, Burke, went over and above making sure all of the details were met. Every person we encountered at the dealership was very professional and friendly.",5.0
9,"July 06, 2018",I have purchased 6 new cars in my life and this is the first time the salesman was as honest and clear in all he said and did. I felt no pressure and I felt that my opinion was taken in to account as hehe went out of his way to make me comfortable and satisfied. I will refer him to friends and family. He really was outstanding.,5.0
10,"July 06, 2018","From when I first spotted the 2017 CrossTrek on CarGurus , for a really great price , & still came off a few hundred bucks . I felt I needed to purchase this car since my current was no longer working . Great experience ! 

Thanks Burke !  & the team there 🔈",5.0
11,"July 05, 2018",Jose was great to work with. I had asked him to keep an eye out for a good used car. He did just that. Now I'm have a great car.,5.0
12,"June 27, 2018","Being 76 years of age,I have bought many cars and trucks. With that said my experience with hall was #1 The dealership was clean and the people very friendly.",4.6
13,"June 21, 2018",This is a great place!  Reilly McCully helped my wife and I tremendously.  I was very impressed with everything Hall had to offer.  I recommend Hall to everyone who is interested in a new vehicle. ,5.0
14,"June 15, 2018",Had a great experience at the dealership. Our salesman was Riley and he was a very professional and helpful young man. Everybody in the dealership was very nice despite us working through our purchase after they were closed. Definitely plan to come see this dealership in the future. ,4.8
15,"May 13, 2018","We had a good experience shopping for a new car with Hall.  Our salesman, Rylie McCully, was a new salesman but was very courteous and professional.  Any questions he couldn’t answer, he promptly brought in someone who could answer.  
We love our new GMC Denali Acadia.  It’s a big change for us going g to GMC from years of driving Lexus.  So far, I’m very pleased and happy to do business locally ",4.8
16,"May 12, 2018",Your salesman Leo Flores was great to work with. I believe that the price of the new Enclave was fair and the value for our car was also fair. Leo was very knowledgeable and helpful. Thank you for a pleasant car buying experience.,5.0
17,"March 31, 2018","I was in the market for a 2500 HD diesel, and found a 2016 model with extremely low miles at Hall Buick/GMC. I began working with Jose Cervantes. It was a long distance negotiation (I was 235 miles south of Tyler), and Jose was very patient and accommodating with my many questions about the truck. We also worked out my trade in value over the phone, and using photos e-mailed and texts.

It took about ten days to finalize the deal, and Jose remained focused, working patiently with me to ensure I was getting what I wanted out of this deal. I drove the four hours yesterday to get the truck, and in spite of a several block-wide power outage as soon as I arrived, they made it happen. Jose had prepped everything the day before, even sending me a photo of the temporary plate to add to my EZTag account. Gus Sanchez took care of the paperwork old school, since the computers and copiers were affected by the outage.

Since we had pre-coordinated everything up front, I don't think I was there for more than 45 minutes before I was driving away in the best truck I have ever owned. The return trip was fabulous, and this truck is awesome, and great looking to boot!

I can't say enough how pleased I was with the whole experience. Jose was the utmost professional, never pressuring me once, just making sure I was happy with the deal I was getting. I would highly recommend anyone use Hall Buick/GMC, and when you do, ask for Jose! ",5.0
18,"March 20, 2018","Leo was great! I was initially impressed by how well he explained the features of the used car we eventually bought even though it was from a different manufacturer. He maintained an upbeat attitude and made my wife and I feel like he was genuinely interested in getting to know us, not just selling us a car. I highly recommend him to anyone looking to buy from Hall Buick GMC.",4.0
19,"March 19, 2018",Hall Buick GMC dealership was great to work with during the the purchase of my new truck.  Leo and German were both great to work with.  They were very helpful and answered all the questions I had before making the decision to purchase.  It was a great buying experience.  Gus was great on the paperwork side of things also. Overall a great buying experience and would definitely recommend them to anyone.,5.0
