,Date,Reviews,Ratings
0,"June 25, 2020",Super easy process that took less than a  week to complete! Friendly staff. No pushing or budging that makes for a super friendly transaction with minimal anxiety!,5.0
1,"June 25, 2020","After test driving multiple brands of vehicle, we decided to go to gmc dealerships just to go and look, we are greeted by Stephen and he show us couple canyon, even though we are don’t have any plan to buy on that day we decide to make a purchase the same because of Stephen attention Us and His customer service. ",5.0
2,"June 18, 2020",Buy a truck from West Point buick gmc is a great experience and I want to thank Stephen for showing me and my family the best customer service ever. I will Definitely recommend him to my friends and family,5.0
3,"June 13, 2020",James was very helpful and very informative about the 2020 Canyon I purchased. He worked with my schedule and always kept me up to date with  the process. ,5.0
4,"June 07, 2020",Stephen was very gracious in allowing me to test drive a Buick Enclave. I was immediately sold on the luxurious ride. Stephen was honest and helped me get a great deal. It was by far the most pleasant car buying experience I've ever had. Thanks Stephen!,5.0
5,"June 06, 2020",Sales rep was very professional. Explain everything thoroughly. Process turned out better than expected. I would do business again. Very impressed from start to finish.,5.0
6,"June 04, 2020",I had the best experience! It was so fast and efficient! I will definitely be back. Everyone was so helpful and answered all my questions. Maani had so much patience with me and allowed me to look at multiple cars! I AM SO HAPPY with my purchase!,5.0
7,"June 04, 2020","After having a few not-so-great experiences with other GMC dealers, I was able to find the car I was looking for close to the price point I wanted. Thank you, Maani!
",5.0
8,"June 01, 2020","I will like to take Steven Oyewale for stepping up when I walked into West Point Buick GMC looking for a truck. He was professional as they come, answering all of the questions I had an he sold me the truck of my dreams. Awesome salesman. ",5.0
9,"May 30, 2020",Steven is very attentive and polite anda took a time out to find me and my family a great truck the everything we are looking for in it.,5.0
10,"May 30, 2020",Stephen is one of the best sales person we ever meet. He take time out to show us the vehicle and get us agree on the new truck.,5.0
11,"May 29, 2020",We enjoyed the no hassle purchasing experience at Westpoint GMC.  Bill Truman is a personable guy and was a pleasure to work with.  We would do it again.,5.0
12,"May 28, 2020","Stephen is one of a kind sales Professional and me and my family thank God he is our sales guy. Stephen took a time to explain everything to us, he make sure we are well informed with the process and get us into the payment we wanted. Thank you sir",5.0
13,"May 28, 2020",Stephen was amazing..He help us getting a wonderful truck.. We loved. He always smiling and do a great costumer service. Thank you Stephen you area five star employees.,5.0
14,"May 26, 2020",Excellent service and great to work with.  Couldn’t be happier with my new 2020 Sierra Denali duramax.  Will be returning for future vehicle purchases. ,5.0
15,"May 26, 2020","James was great to work with, He was accommodating, fair, and honest with no high-pressure sales stuff. Really enjoyed working with Chris Scott and Marilyn Hernandez as well. All a pleasure to work with. ",4.0
16,"May 25, 2020",I was in the dealership for service issues that were out of West Point’s control. Bill stepped in to help make the situation right and got me out the door in a brand new truck!,5.0
17,"May 21, 2020",Great service. Would recommend to family and friends. Awesome dealership they were all friendly and helpful. Called about the truck and the next day I drove home with it.,5.0
18,"May 21, 2020",Maani was incredible! He simplified the process and made it relatable so I could have a full understanding. He helped me find the perfect car I wouldn’t go to anyone other than him. I will definitely be sending my friends and family to him!,5.0
19,"May 21, 2020",I was at ford dealerships earlier in a day and the treatment I received from Stephen Oyewale make me decided to go with Gmc and we are looking forward to future business with him.,5.0
20,"May 21, 2020","Great service here at West Point Buick Gmc, William Truman was very helpful and friendly, helped me find exactly what i was looking for. Would totally recommend and come back for sure.",5.0
21,"May 21, 2020","We were very impressed by Omar's professionalism and prompt response to our emails, Marilyn was also very helpful and got us a great deal on our new Canyon. We will gladly recommend your dealership to our friends and family! ",5.0
22,"May 21, 2020",this is a great place to do business. everal was very nice and listened to everything I wanted. Im very happy with me purchase and with the deal I got there. highly recommend this dealership to anyone.,5.0
23,"May 20, 2020","Omar was awesome!! We bought this car for our daughters 16 bday.  We surprised her with the car and Omar helped us with the surprise.  He made her day and our day one that we will never forget.  Not only did he go out of his way to make the surprise amazing, but my wife doesn’t like pressure when she is shopping for a car.  He did everything we asked and then some.  I would recommend d and would buy a car from Omar again.  West Point GMC is lucky to have Omar.  I sought out the sales manager to tell him what a joy it was to work with Omar and thank the manager fir the honesty and candor we received while purchasing the Encore.  Thank you again West Point",5.0
24,"May 20, 2020",Omar was excellent.  He quickly responded to questions and texts throughout the process and even after we purchased the vehicle.  Angel and Randy were also great for the technical and finance parts of the buying process.  Very pleased with the truck.,5.0
25,"May 20, 2020",Thanks Maani for the excellent service! you made sure to provide the assistance i needed to decide my best options without pressure a lot of patience and excellent attitude. Thanks again! ,5.0
26,"May 19, 2020",James and the West Point Team were great to work with on AT4 purchase. The entire team was professional and they made the process an enjoyable one.,5.0
27,"May 14, 2020","Maani was very thorough and helpful. He was to the point and honest, didn’t waste any time and was truthful through the financing process. Knowledgeable about the car with an outgoing personality.",5.0
28,"May 14, 2020","Maani was on the ball very upfront and knowledgeable answered all of my questions. He was fast and efficient I was looking to make a move quick with trade in of my lease and purchase of a new vehicle. He was a great salesman!

",5.0
29,"May 14, 2020","I am very pleased with the purchase of my AT4 from West Point Buick GMC. Tony Arana was my salesman, he was very knowledgeable and I was very happy with the deal. I will tell all my friends about West Point GMC",5.0
30,"May 14, 2020",I called the dealership looking for a price out the door on a new truck.  Maani answered the phone and provided me with the info I requested within minutes.  I called a few other dealers afterwards so I could make the right decision .  I finally decided to buy the truck from Maani at West Point GMC due to the excellent service and info Maani provided over the phone.  Everything was just as great at the dealership.  I was in and out quickly  with no issues.  Thanks Maani!!!,5.0
31,"May 13, 2020","This was the easiest car buying experience I’ve ever had. Stephen, James, and Brian made it super easy and quick. I was in and out in about an hour at the payment I wanted to be at in the exact truck I wanted. I highly recommend West Point Buick GMC",5.0
32,"May 13, 2020","Tony assisted me with the vehicle purchase virtually as i live 350 miles from the dealership.  He was very knowledgeable of the vehicles features.  He took his time to explain and answer any question i had.  Constant communication was the key in my ultimate purchase.  He was very professional, respectful and most of all courteous.  I will recommend that my family and friends  pay a visit with Tony on their next vehicle purchase.",5.0
33,"May 13, 2020","We were ready to purchase a new vehicle and new exactly what we wanted.  We reached out to 3 GMC dealerships to initiate the purchase process.  West Point GMC was by far the most responsive and proactive of all three dealerships.  Our sales contact, James, was proactive in getting all the information they needed to close the deal as soon as possible.  We were very impressed on how quickly the dealership pulled everything together and was able to answer all our questions.  In fact, we had the deal wrapped up with West Point GMC before one of the other dealerships even acknowledged our initial inquiry.  I was happy to tell that dealership that West Point GMC had already closed the deal.",5.0
34,"May 12, 2020",James and Marilyn made this the best car buy experience ever. They put my mind at ease at every turn. They were so busy so that took longer then I like but james kept apologizing and made sure I didn’t feel like I was forgotten about ,5.0
35,"May 11, 2020",He did an amazing job helped me out . He met all my demands . Definitely will be back to him for other purchases and recommend him to my friends and family ,5.0
36,"May 11, 2020","Helpful and informative staff that never made us feel pressured about the sale, honest and upfront about pricing.  Took the time to explain the process throughout the purchase. ",5.0
37,"May 11, 2020",They were kind to us and didn’t have any problems. Also they let us take our time to think about our purchase and didn’t pressure us.,5.0
38,"May 11, 2020","Very easy dealership to work with. I very much appreciate of all the help that Shane provided to us - he was excellent.  Very helpful and patient, without being pushy.  He gave us space to look at the cars but was always close to answer any questions we had.

While Shane was great, once we agreed on the vehicle, it took over an hour in the waiting room before I could sign the paperwork. ",4.0
39,"May 11, 2020",THE DEALERSHIP WAS CLEAN AND SANITARY WITH HAND CLEANER AVAILABLE.  WITH THE COVID-19 IN FULL AFFECT.  THAT MADE ME FEEL COMFORTABLE THROUGH THE PROCESS.  THE SALESMAN WAS EXTREMELY HELPFUL AND FULL OF KNOWLEDGE MAKING THIS A SEAMLESS PROCESS.  THERE IS NO ONE THAT I KNOW THAT LIKES THE PAINS OF THE PROCESS OF PURCHASING A NEW VEHICLE.  THIS WASN'T BAD AT ALL. ,5.0
40,"May 09, 2020",James is amazing!!! He helped my daughter at 18 get her very first vehicle financed in her name!! He always works hard to get the deal done and I can always count on him!!!,5.0
41,"May 04, 2020","My wife and I had a really GREAT experience buying my first truck in over 20 years.  James Smith made the experience painless and seamless from the moment we arrived with the truck ready for a test drive to getting the paperwork completed so we could get back on the road that same afternoon back to SA.  David made the finance experience not an experience if you know what I mean.  Angel did a great job on running us thru the trucks technology package and operations until we felt comfortable...BUT this great experience all started with Sandra in the chat room to get the ball rolling and getting us aligned with James in sales.  I can honestly say when my wife is ready to buy in a few years we will definitely keep this dealership in mind.  
      ",5.0
42,"May 04, 2020","Ive never had an easier purchase. Was in and out in 2 hours tops. Manny got all the info he needed from me including the vehicle I wanted, my trade info and my credit app before hand and made an appointment with me. Everything was ready was perfect. ",5.0
43,"April 04, 2020","Tony was my salesman and started working with me over the phone before I ever went in. Once I got there everything ran smoothly and no surprises. He made it a great experience and I love my truck. Thank you Tony

Jerry P",5.0
44,"March 26, 2020","Saw your truck online with $15,000 off first thought it was a gimmick but I went in and talk to Stephen and he has show me that is not a gimmick, so I trade in my vehicle and drive off in my new truck. Thank you Steve ",5.0
45,"March 19, 2020"," Just when I thought my deal could not be done, Maani found a way. He is fantastic to work with and he will go above and beyond because he knows the deal is worth it. I would love to work with him again if I ever need a vehicle and I highly recommend him to anyone that is looking for a vehicle!",5.0
46,"March 19, 2020","Excellent service! Our experience was very positive and quick. We definitely would buy again from Maani. He made the car buying experience very painless and fun.
",5.0
47,"March 19, 2020","Thank you Mr Stephen for showing how the sales personnel suppose to treat a customer, Stephen is very professional and took a time out to explain everything about the vehicle to me and my wife. We have been to multiple dealerships before we decidedTo go to West Point GMC and we are so glad we did.",5.0
48,"March 12, 2020",Buying vehicle from this dealership is a good feeling especially dealing with Stephen is one of the most pleasurable experience ever. The guy take his time to show me around and make sure I find what I’m looking for before we even talk about price. One of special thing about him is been a Christian and also proud of it. I will Definitely recommend him to my friends and family.,5.0
49,"March 05, 2020","Working with Stephen for over 3 weeks before I finally decide to buy from West Point, Stephen is amazing guy to work with and I can’t be more happier with my decision ",5.0
50,"March 04, 2020","The truck buying experience was my best yet.  Bill greeted me promptly, had all the information I needed quickly, and did a great job meeting all my expectations.  The finance and setup departments also did a great job, especially Angel.  I will definitely recommend West Point to my friends. ",5.0
51,"March 04, 2020",Great experience working with Bill to purchase my new GMC Acadia Denali. He lead the whole process in a fair and open process leaving me very satisfied!  Thanks Bill and team!,5.0
52,"March 03, 2020",So far the experience has been good. I can't give a comprehensive total evaluation until we have completed all of the programming and paint repair.,5.0
53,"February 28, 2020",Thank you WestPoint for all your help I was able to purchase the car of my wife’s dreams with the help of Kendrick and the WestPoint,5.0
54,"February 27, 2020","I want to dealership not a bar just gonna look around, but Stephen took a time out to show me around and promise me a great deal. He and his female manager took care of me and get to my number. Thank you stephen",5.0
55,"February 21, 2020",I really kinda of bought the truck spur of the moment but it was a good decision and I’m glad I did it at WestPoint ,5.0
56,"February 21, 2020",Kendrick did an awesome job at getting me the truck I wanted for the right price. I couldn’t be any more happier with my purchase. ,5.0
57,"February 21, 2020","Maani was a joy to work with! I'm not easily impressed by used vehicles, and had to find the right one. We are thrilled with the truck he helped us find. Absolutely would recommend Maani and West Point GMC.",5.0
58,"February 20, 2020",Shane and dave are great to work with! very friendly and super easy! I will be coming back here for my next car! I will also be sending people here !,5.0
59,"February 20, 2020",Daniel is easy going did everything to get the truck work for my budget.  I love the truck and very happy with my purchase.  Will be back.,5.0
60,"February 20, 2020",Had an awesome experience at West Point Buick GMC. Omar and David were great assistance quslifying and approving me the same night. Aweskme team player!!!,5.0
61,"February 20, 2020","I find this truck online and I called the dealership all the way from Colorado knowing that I will be in Houston it a week later, Mr. Stephen make My Buying decision very easy and I would definitely recommend them to my family and friends",5.0
62,"February 20, 2020","Dave was a excellent salesmen, he answered all our questions and never made us feel unconfortable. I will recommend all my friends and family to West Point.",5.0
63,"February 20, 2020",Great service by Omar Pérez.  I would buy from him again.  He deserves a raise.  I’m my opinion.  I would recommend Omar to anyone.,5.0
64,"February 20, 2020",Dave at West Point Buick GMC was a excellent sales men to work wit. He answered all our questions and helped us find the Ford F-150 we wanted. ,5.0
65,"February 20, 2020",This was my third time purchasing a vehicle from Chris and West Pointe.  I believe that speaks VOLUMES!  Chris is indeed AWESOME!!! Also West Pointe never disappoints.,5.0
66,"February 19, 2020",We have been buying vehicles from this dealership for over 10 years now. And each time they have provided us with an exceptional buying experience. We just purchased vehicle #6 yesterday and will be back to buy #7 in a few years! Keep up the good work West Point!,5.0
67,"February 18, 2020",We had a great experience working with Robert.  His communication was excellent and made for a very good buying experience.  The rest of the staff we encountered were equally helpful and pleasant as well. Very satisfied first time customer!,5.0
68,"February 18, 2020","I had no problems at all during my visit. The Daniel was very polite, knowledgeable and objective and we closed the sale fairly quickly. It took a bit longer to go through the financial part even though I was not financing. Overall I am very satisfied.",4.6
69,"February 17, 2020","Dave was the best salesperson with whom I have had the privilege of working on any of my car purchases in my lifetime. He is straightforward, honest, communicative, helpful and kind. I feel so good about having purchased a car with his assistance, I would send friends and family to work with him, as well. I also had a great experience in Finance in working with Christopher. Thank you to the West Point team for making the experience pleasant and transparent from start to finish. It demonstrated to me how customer service is upheld, and why this wonderful dealership has been in business for so many years, with great longtime employees like Dave. Thanks again for all of your help! I could not be more thrilled.",5.0
70,"February 17, 2020",Im beyond satisfied with the warm experience I received at West Point GMC Buick. Everything was seamless from the first interaction over the phone to inquire about the vehicle all the way to the finish line in the finance department. Marilyn was professional and genuinely has a gift and passion to help customers. David from finance was very transparent with the numbers for I value greatly. This dealership does things with integrity and I will recommend them to all my friends and family. ,5.0
71,"February 16, 2020","No pressure, fair dealing..I drove over 4 hours one way to get the best deal. I will work with him on my next ride too.",5.0
72,"February 15, 2020",My experience with James and West Point Buick GMC was nothing short of high quality professionalism and family comfort.  They took care of me like family and did a great job addressing my concerns and questions.,5.0
73,"February 13, 2020",i came here looking for a used truck at a certain price. The whole place was very helpuf with everything Shane  and Dave were awesome and made thing quick and easy! Thank You!,5.0
74,"February 13, 2020","stephen is best sales person I've ever dealt with, he took me over a months of working with him before i finally decide to buy a new truck, i went to multiple dealership first but i keep coming back to stephen because the way he treat me and my family. Also the manager Michelle was great.

Thank you",5.0
75,"February 13, 2020",The sales team went the extra mile for closing the deal. I would recommend the dealership to friends and family. Thanks guys for everything s,5.0
76,"February 13, 2020","I want to first thank CJ for helping my wife the night before we purchased with the color interior and showing the different positions of the driver seat that would help with my back problems as well as my long legs. I want to thank Mustafa for getting the best deal out there with no hassell, I really liked how they came together as a team to make this experience a great one.",5.0
77,"February 13, 2020",I want to thank Stephen Oyewale for making sure we get a great deal on our new vehicle. He explains everything to us and make sure the bank give us a great rate,5.0
78,"February 12, 2020",Dave was an excellent salesman to work with. He understood all my needs are was a smooth transaction. I will recommend all my friends and family to West Point!,5.0
79,"February 12, 2020",West point was a great dealership to deal with. Dave was a excellent salesmen and helped us find the right car. I will tell all my friends about Dave and West Point.,5.0
80,"February 12, 2020","Dave was excellent to work with, he provided all the information we needed to decied on our GMC Sierra. I will defentaly recommend West Point Buick GMC.",5.0
81,"February 11, 2020",Went in on Saturday to check out some of the new GMC Sierra Elevation pickup trucks because of the rebates. Met with Mark and went on a test drive. Mark was very knowledgeable and informative regarding the features of the new generation pickup trucks. The deal effortless to get done. Would definitely recommend Mark to anybody looking for a new vehicle. ,5.0
82,"February 11, 2020",Made the switch from Ram to GMC. And I’m glad I did. And I’m glad I choose to go to West Point. James Smith made my buying experience smooth and simple. Gave me the most for my trade in. ,5.0
83,"February 10, 2020","Manny makes things so easy and fast! I would recommend Manny to anyone. No pressure, great salesman. I will definitely be buying my next truck off of Manny",5.0
84,"February 10, 2020","I can't express how great my experience was with West Point GMC.  From beginning to end, the service was great and easy.  Shane was a pleasure to work with, and did everything he could to make sure I was in and out under a tight buying time window.  He made sure that I had all the information on the vehicle before driving from San Antonio, and worked with me to get the best pricing.  I have already recommended several people to check out West Point GMC for future purchasing.  It's hard to find good customer service these days, and Shane and the dealership did a fantastic job.",5.0
85,"February 10, 2020","I've had such a wonderful experience with West Point Buick GMC --- I Just recently purchased a new GMC Sierra AT4 truck from them - and did so because of the flawless and very personable service that I received from them over the past few years on my 2013 GMC 2500 HD Diesel... They have always taken such great care of me and that was the reason i went back when it was time to buy a new Truck.   I've since had it in for some very minor service - but once again - i was treated as if i were the only customer they had -- with the greatest of respect, kindness, and professionalism.   Roy was just great and took care of things very quickly for me and always with a Smile.  This is like old fashioned service from the good-ole days and it means a great deal to me.  Keep up the amazing work out there you guys - You've definitely earned a customer for life with me.   Sincerely ~ Joe",5.0
86,"February 09, 2020","Excellent customer service.  
I am so thankful I purchase a vehicle for this dealership everybody is very friendly and make me feel very comfortable thank you so much good job",5.0
87,"February 09, 2020",We had a great experience at West Point. The entire car buying process was quick and painless. James took care of us and our needs were completely met. Thanks James!,5.0
88,"February 06, 2020",I Flew from OK to Houston for my dream truck.  EW3 and Daniel provided the information I needed.  I got to the dealership a little late so they had everything ready for me.  In and Out.,5.0
89,"February 06, 2020",I came here to purchase a truck I saw online the process was smooth and easy going. I deal with 2 individual sales people and they were both fantastic. They took care of me on my trade wich I bought band new from them a year prior. I will definitely be returning.,5.0
90,"February 06, 2020",I came here to view a vehicle I saw online but unfortunately it was sold. However Shane Said he had another one that had been recently taken in on trade. I said I would take look. The truck was the perfect truck and with Shanes expertise the WHOLE deal was easy going and fast. Thank You Shane,5.0
91,"February 06, 2020",I always buy From Shane at Westpoint I just bought my 2nd truck From him....well because he is simple awesome at what he does! Thank you again Shane for my new truck as always your customer service is off the charts!!!,5.0
92,"February 06, 2020","I was dead set on a 2020 Sierra with 2.7L turbo engine. I searched far and wide in my area and I could not find one. Finally, I sent Omar at Wespoint an email and he was great. He found me the exact truck I wanted and I could not have asked for a better deal or service. Thanks Omar!",5.0
93,"February 06, 2020",I was only there to look around after seen the Enclave at the car show. Stephen took a time out to explain everything to us and promise us the best interest rate and we end up with a brand new car. I will recommend Stephen to my friend and family for sure.,5.0
94,"February 06, 2020",Excellent service buying a car at West Point Buick GMC. Really enjoyed the experience! Will recommend all my friends and family to West Point Buick GMC.,5.0
95,"February 06, 2020","Thank you Bill for your patience and being so helpful in numerous ways in finding us a car that fit our needs.  We will be back for our next car as you, Bill,  made our buying experience easy, pleasant, and we are totally satisfied with our purchase.",4.8
96,"February 05, 2020",The salesman were very helpful and friendly I was able to get the truck that I were looking for and help with setting an update the the system on my truck he were very nice and helpful thanks 😊 ,4.0
97,"February 04, 2020",James at West Point was super easy to work with and made the buying experience super easy and pleasant. He was able to show me a range of vehicles and trims and help me narrow in on what I wanted. Then he took that information and found me exactly what I was looking for at a great price. Really great experience at West Point Buick GMC. ,5.0
98,"February 04, 2020",I really enjoyed this buying experience. Never before have I left buying a vehicle feeling satisfied and unstressed over the whole experience. My salesperson was Bill Truman and finance agent was David Le. I will definitely be going back for my next purchase. ,5.0
99,"February 03, 2020","I commend Mark Minnis, for his professional services, the accounting department and the dealership for their quick and friendly services. This lease, literally, was an answer to my prayers. You can be sure that  I will refer others to you and in particular, Mark. Blessings indeed.....",5.0
100,"January 30, 2020","drove 2 in a half hours and i could no b more satisfied with the car i bough EW , Daniel and Leroy gave me a great deal and i definitely would not mind coming back. ",5.0
101,"January 30, 2020",Daniel was straight forward and honest.  He gave me his best number and I shopped around and realized this was a great deal.  He even delivered the vehicle to my house which live about an hour away.  Thank you Daniel!!  I love my Ford Edge!!,5.0
102,"January 30, 2020","Bill was a pleasure to work with.  When we all know, buying new vehicles is not a fun process.  Bill was responsive and attentive but never pushy.

",4.0
103,"January 30, 2020","Stephen get us the truck we are looking for and the price we saw online, also mr Le get me the very good rate and the best payment ",5.0
104,"January 30, 2020","
Awesome from start to finish! Got me exactly what I wanted at the price I wanted! Will definitely be back in future! Well worth the drive to Houston.
",5.0
105,"January 30, 2020",A courteous clean and friendly atmosphere.  They are dedicated in helping you select the right vehicle for you. One that fits your budget and needs.  They are efficient in getting you in and out in a timely manner.,5.0
106,"January 30, 2020",I am glad to have my new truck home. A big thank you to West Point for making that happen as well as the young man I worked with. ,5.0
107,"January 30, 2020","requested some info on a vehicle I liked on line and Shane quickly reached out to me via email. He set me up an appointment to stop by and look at the truck. When I arrived Shane was there to greet me and show me the truck. The truck was awesome and supper clean! Within about an hour I was driving away in my new Tundra!! great job Shane, thank you for your help.",5.0
108,"January 30, 2020",Great and easy process. EW3 wasn’t extremely helpful and made the this whole ordeal worth while👍👍. Appreciate everything and more then likely will be a future customer. ,5.0
109,"January 29, 2020","Easy , Smooth Transaction. Jose & David Made my car buying experience quick & easy and took great car of me & my family. Definitely will be coming back for future purchases.
Thank you!",5.0
110,"January 29, 2020",I enjoyed the dealership and enjoyed my salesman. Overall I am very pleased with my purchase. I Plan to buy from West Point again. Thank you,5.0
111,"January 29, 2020",I'm a 71 year old widow and had never bought a car on my own.  James was excellent and made it so easy and quick for me.  I dreaded going through the process but West Point and James made it an awesome experience.  My son was with me and he buys new cars every two years and he said it was by far the best and fastest experience he had ever had.  I totally recommend West Point and James to all my friends.  I am one very happy and pleased person.  Thank you.,5.0
112,"January 28, 2020","James is the example of what a car sales man should be.  Kind , effecient and understanding.  There has never been a better experience than the one we recieved when he sold us our terrain.  ",5.0
113,"January 27, 2020",Jose Lima help us a lot to able to buy my 2009 BMW.and christ the finance guy is really helpfu.thaks to the help. ,5.0
114,"January 27, 2020","Our salesman Bill was terrific. He was very easy to work with and was quickly able to understand exactly what we wanted and needed...and ultimately what we purchased. 
Although the sales process was quite lengthy, everyone we interacted with seemed genuinely interested in making sure we were happy along the way. 
We are very excited with our new Buick and cannot wait (well maybe a little) to experience the renowned service department ",4.0
115,"January 23, 2020","Amazing customer service, smooth buying process, awesome experience! Maani was very helpful in getting me a better rate! 10/10 would definitely recommend! Thank you.",5.0
116,"January 23, 2020","Very happy with our purchase and I feel we received great service from most everyone we dealt with. Maani was great! So far, so good!",5.0
117,"January 23, 2020","Had a wonderful experience at West Point Buick. I started when my representative, Daniel, called me about my interest in the Chevy Tahoe. Once I got to the dealership, I was impressed by the smooth transaction and the overall service. ",5.0
118,"January 23, 2020",I had the best experience at West Point. Daniel was absolutely amazing and helped ease the car buying experience. I love my car and I have Daniel to thank for that. Making the trip from Alabama really paid off for me and I couldn’t be happier. Thank you West Point!,5.0
119,"January 23, 2020","I only went to the dealership for oil change and also for a recall, at the time of me waiting Steve begin to ask me some questions regarding my 2016 Terrains, before you know it I was buying 2017 Acadia and trade in my Terrain. Stephen is very good and get me the top dollar for my terrain.",5.0
120,"January 23, 2020",JC and maani were such a pleasure to work with and made this dreaded process so much better than expected. I will defiantly be back to see these guys!,5.0
121,"January 23, 2020",Whenever I make a decision in buying a vehicle is not because of the dealerships is the sale person. Stephen is great show us around and we end up buy a pre-owner vehicle from him. We find toyota online and we call the dealer Stephen pick up the phone and answer all my questions and we went straight to see it. We end up buying the vehicle and we are happy,5.0
122,"January 23, 2020","The best salesman ever!!!!!!
West Point GMC and Manny made my purchase smooth and easy.A 5 Star dealership. I will highly recommend your next car purchase from West point GMC.
",5.0
123,"January 22, 2020","By far the best experience, from service to sales.
CJ exceeded my expectations and provided me the highest quality customer service.
Very impressed with this dealership.",5.0
124,"January 22, 2020","Jose Lima and David Le helped us a lot to be able to buy our van, 
At all times we were guided and communicated all the details to be able to close the negotiation, we received from both an excellent service and advice.


Best Regards",4.8
