,Date,Reviews,Ratings
0,"June 04, 2020",We were very disappointed by our experience at this dealerships service department. We dropped the car off yesterday to diagnose a noise coming from the front. We were told it might be a day or two. No one called us with updates by late afternoon on day two so we called them.  We were told that no one had looked at it yet and that he had put it in the que but had no idea when they would get to it. We found this to be very unacceptable response. We went down and picked it up and the service guy would not even look at us or apologize for the delay. Terrible customer service. Stay away from them. ,1.0
1,"May 04, 2020","We bought 2 vehicles and Derrick was awesome. If you need a vehicle without the usual 'car salesman' pitch and pressure, I highly recommend you go see Derrick B. He went above and beyond any salesman I have ever dealt with. He was patient, helpful and very knowledgeable. Derrick kept asking if we were happy with our choice and took the time to show me how things worked in my Terrain. He took the same amount of time with my husband and his Canyon. It was very late by the time we were finished, but no steps were skipped. Our vehicles were detailed, Michelle inspected the vehicles after and they were perfect. I would definitely recommend McKinney Buick GMC to anyone looking for a quality care buying experience. Brandon in Finance explained everything clearly and made sure we got the best warranty coverage and stayed in our price range. ",5.0
2,"February 01, 2020",I had a great buying experience. My family and I have purchased 6 vehicles from Perez. Pleas ask for him. He’ll take great care of you. ,5.0
3,"January 28, 2020","Perez helped me with getting the truck I needed he also answered my questions, the test drive was great and made my shopping experience perfect.",5.0
4,"December 31, 2019",Brad in service was amazing to work with. Kept us updated on when parts would arrive and made sure it was a quick turn around to repair before we left town for the holidays. Will request him from now on!,5.0
5,"December 27, 2019","I purchased my gmc yukon on 11.02.2019. The sales reps Josh and Perez, were awesome. 
However,  SERVICE DEPT IS  HORRIBLE! The manager has no customer service skills whatsoever, so you can imagine how the remaining staff treats customers. On  Saturday Nov. 9th, my vehicle was detailed/onstar setup.  Got home and realized my GPS is defected. Called back and they requested I bring my vehicle back in. Please keep in mind that I live an hour away. I go ahead and decide to bring my vehicle back to the dealership. Dan, the service manager, helped me and adv. he would have to order a part and he'd be in touch. (Fast Forward), here we are 2weeks later, Monday, November 25th, no callback, no follow up, and after several attempts on my end to get an update, BRANDY, had the audacity to HANG UP on me!!! Dan never followed up, refused to call me back. I just dont understand.  A simple update would have solved the problem, but instead of taking ownership of the situation, the Service Dept has turned this into a pure xxxx show. I get it Dan, you're busy, managing ... but BRANDY?! She's busy making a simple issue a lot worse. I'm sure she's done this before. She needs training over providing excellent customer service. 
I want this complaint to go as far as it possibly can go! 

Update: Called Corporate, Dealership was provided another opportunity to make things right,  but of course,  failed to do so. Car problems still exist. Next step is BBB. 
Who would've thought,  buying a car from a dealership would need so much immediate service!!! Nothing but problems!",1.0
6,"December 25, 2019","Matt internet sale manager and Caleb helped me and my wife with every aspect of purchasing our new truck. Matt, made sure that our concerns/needs were meet in every way! Including taking family time off to assist us on our travel and comfort in order for our purchase to run as smoothly as possible. 
As for Caleb!  A very knowledgeable sales member with absolute clarity and commitment to helping us .  ",5.0
7,"December 20, 2019","Justin, service advisor is the BEST....always responds.   Outstanding and goes above and beyond.

Also, the man who pops the popcorn, smiles & greets everyone and makes sure the waiting area is clean and in order - a true gem.",5.0
8,"December 13, 2019",Service staff at McKinney GMC is top notch.  They take excellent care of customers and make sure that they are informed on the status of service.  I like the personal touch that they take with each customer. ,5.0
9,"December 11, 2019",I had a great experience with Mr. T! He put me in a car that I could afford and made the process so easy. He was kind and very considerate of our time! ,5.0
