,Date,Reviews,Ratings
0,"June 26, 2020","Very polite and patient employees, didn’t feel rushed to make a decision. Great atmosphere! 
Love my new truck!! Definitely recommend this place if you are looking to purchase a new car!",5.0
1,"March 10, 2020",I took in my vehicle for an oil change. Your prices are ridiculous 78.00 too much. Burns Motors and Pharr Toyota have better prices.,3.0
2,"January 20, 2020",If you want the best customer service and all your questions answered you need to go with William Watts! Awesome salesman! He is very knowledgeable.,5.0
3,"January 07, 2019","Went to this dealership today 1/7/19, my last time was a year and half ago, receive a negetative experience in the sales department and went to buy elsewhere. Came back again today thinking that maybe things have change but I was mistaken. Went in because of an advertisement on their internet page of a truck with an amount of discount. They didn’t want to honor the discount and if they did I would have to buy an add on, extra cost that wasn’t necessary for me. Bert Odgen dealerships are not honest, transparency and sincere. They will screw you if you let them, Buy elsewhere where you feel that they are honest.",1.0
4,"August 27, 2018","Took my 2017 2500 Sierra Denali because brake pedal was sticking also have fuel filter replaced set up appointment for Friday 9:00 am about 5:30 pm I call to see if truck was done.They haven’t even started said they were backlogged and maybe Monday so Monday came and went maybe Tuesday. Also put on hold multiple times couldn’t find me in the system I had to call a salesman and ask for to have service mgr to call me because they wouldn’t answer the phone 
Not very happy ",1.7
5,"January 15, 2018","First of all I would like to thank Robert Lucio general manger for all his help. Professional of salesmen Juan Hernandez , Joe cruz,  Danny Alcantar and David Rios, I want to especially thank Johnny Rodriguez and Carlos Fantini for making a fun experience.  I am going to recommend all my family and friends. ",4.8
6,"December 15, 2017","I had to bring my truck in for service due to a check engine light. Being from out of state I felt more comfortable bringing it to a dealer for service. I guess I was expecting service like my local dealer, and did not receive it. Burt Ogden had 1 service writer who I had to wait to talk. after talking to the service writer I decided to make appointment for Monday morning since I plans for Friday and they are not open on the weekend. Took the truck in on Monday morning and service area was a mess of cars after service area open for a hour. Had to wait again to talk to a service writer to get the truck checked in. I get it Monday morning and having to wait your turn, nothing new there. What was disappointing is having to wait all day to be contacted about what needed to be repaired. I had already taken it in and knew it was a O2 sensor, Even told the service writer the exact code and what was wrong. So waiting all day to confirm what I knew was wrong already and then have to wait till the next day after setting appointment to have the service done was not ideal. On to the next day go pick up the truck get stopped at the driveway by salesmen asking what we were there for. Picked up truck after waiting and paying. Again normal part of any transaction. Make the payment get my keys and given receipt. Thanked for choosing Burt Ogden have a nice day. Again stopped by same sales force blocking driveway to leave. Here is where the local service of Bergstrum GM of Wisconsin stands apart and is in my opinion much more customer focused. 1: Takes the time to go over what was done even if it was just a simple oil change. Burt Ogden did not offer to explain the bill. 2: Offers a complimentary car wash with any service and asks if you want one at time of drop off. Burt Ogden did not offer or mention this. Was told by family member who we were visiting that there was a sign there about a free oil change if a walk around was not offered. again not mentioned by any service writer. 3: Not blocked from entering or exiting by a team of sales people. Overall Burt Ogden did fix what was wrong with the truck but the lack of personal service was a let down.",2.5
7,"December 07, 2017",The dealership was slow at first no one was really out side walking the yard took half an hour for someone to talk with. But from that point on very tentative answered all my questions ,5.0
8,"October 26, 2017",Lousy service not helpful.  Nor would he explain why the charge for the battery when it wasn't even 2 yrs old. All he would say was that their policy had change  I asked why we the customers were not notify in writing.  Seams to me all in your company's mind is to cheat the customers .  Last time I'm ever buying anything from you.  To make matters worst is that I bought 2 cars from you on the same day.  ,1.0
9,"September 01, 2017","They were very helpful, attentive, and friendly. I loved the experience it was great.
Thanks Danny you are an awesome person, I will recommend you to my family and friends ",4.8
