,Date,Reviews,Ratings
0,"June 01, 2020",First truck to ever buy and it was a Great experience. Great service and very smooth. Nice people all across the board. Thank you for a nice truck ,5.0
1,"April 13, 2020","While searching for a new 2020 Acadia SLT I found Baytown GMC Buick listing pricing on Autotrader and their website. I contacted sales at the dealership through there website and began asking about the vehicle. As I live a good 2 hours from the dealership I first asked Vincent Pierre to confirm the price listed on the website is accurate. After hours of him ""calculating"" pricing he returns a price that is 5k higher than listed on there website. They claim its dealer add-ons for wheel locks, tint and paint protection. A very old school trick dealers commit to perform a bait and switch on pricing. Luckily they lost my sale without me leaving my home. ",1.0
2,"March 24, 2020","Patrick sales Mgr was very friendly and helpful, he transfer my call with the best sales agent Milton Martinez. They both work together to make the purchase fast and I walk there with my new 2020 Acadia.
I am coming back soon to purchase a truck for husband. Thank you Patrick and Milton! ",5.0
3,"August 28, 2019",My time spent here was excellent! Great service and friendly people! The atmosphere was inviting and comfortable. I waited in the lobby area and was able to get some work done as well. ,5.0
4,"August 09, 2019","Everyone was very pleasant and professional, process was quick and easy. Would recommend to friends and family members, Will be back to purchase our next GMC",5.0
5,"July 28, 2019","I'd been looking for an SUV so some time now. And heatd alot if crazyness. But we to Baytown GMC and meet Nicole. I was able to get the truck i need and ended up with truck of my dresms to fit my family needs.

Thank you!!!",5.0
6,"July 11, 2019","Don't buy your next vehicle here. They are not equipped to process your loan in a timely manner. We showed up at 5:15pm to sign paperwork. We were told it would be quick. 3 hours later, we were finally invited to the finance office to sign, however it was another 20 minutes before there was even anything, paperwork wise, to look at, much less anything to sign. The funny thing was that we did our loan application the night before and we had been already been approved for the loan. They are severely short staffed and under equipped. 3 1/2 hours later, still no car and about to walk out the door. We were lied to numerous times being told certain things were free, but they were not! Numerous people were disrespectful and they had so little regard for our time or comfort. This dealership doesn't deserve the 1 star I was required to give.",1.2
7,"May 08, 2019","They selling auction cars and never tells you the truth gives you clean titles and when you trying to sell the trash car you buy like new is when you discover the truth. Very bad customer service also how is this possible to exist if you go to a brand how you can get auction cars
Dont buy over there go any where else and also GM cars so bad interiors. This is my worst experience ever dont buy those trash cars can Igive you negative 0 dont deserve any stars.",1.0
8,"January 10, 2019",Was told by the service department to schedule an appointment . Made appointment for the following day at 10 AM and dropped my truck off at 0900. Checked back at 1330 and the truck still hadnt been looked at. Service department then said appointment times dont mean anything that they had vehicles from the day before sitting that had appointments as well. Before leaving without any work being done and a day wasted another gentleman came in and asked them to make sure they put all the bolts back on his skid plate since last time they didnt and it dropped  while he was driving. ,1.0
9,"November 29, 2018","Crystal did a wonderful job, great to work with her. Janice in finance was very nice always ask for her. She did wonderful very funny",5.0
10,"November 18, 2018","I was in the market to trade my car for a SUV.  Brian James internet sales guy called and called with great offers and say we will make a deal. I told him my car is upside down in value and he said we have plenty of rebates. Upon arrival, I was introduced to an older sales guy Martin Zavala while they appraised my car.  Brian found a vehicle of choice and I gave them both the payoff of my vehicle. They were disappointed when I would not allow them to run my credit. Well that happen Nov 2, 2018 and I attempted to call them both once on Monday 11/5 and was not successful.   Today is Nov 18, 2018.  It would have been nice to receive a courtesy call or email to say ""unfortunately we ...""but they don't operate in that manner.which is great.  That disconnect with customer service pushed me to a Lexus dealer about 1 hour away from Baytown and I'm happy because the customer service was outstanding, offered me something to drink while they appraised my car, they didnt assume my credit was bad and they completed my deal the same day.   Thank you for not allowing me to be another victim to your dealership. 
Both guys were nice when they knew they had a potential sale but they will not follow up.  Just a side note Brian and Martin a new vehicle was a want, not a need so I had options. I hope you guys can start calling people back but please don't call me. Good Luck with future sales and customer service.",1.5
11,"August 31, 2018",Absolutely recommend this dealership. Everyone is friendly and kind. They all keep true and stand by their mission statement. Robert and Deanna were wonderful with us! I'm so happy and excited with my brand new 2018 purple Buick Enclave! Thank you for making this happen!,5.0
12,"August 15, 2018",The Staff took care of me quick and Fast ! I would recommend this dealer ship to friends and family members. I will return in the future. ,5.0
13,"June 27, 2018","I was called by the dealership to bring my truck in for recall work, the service people were not very friendly in the morning,  They didn't seem very happy and appeared to want to be somewhere else.  Now, I get endless fliers iin the mail, and unsolicited phone calls and mail requesting me to trade in my truck that is only 4 years old.  I have requested that my name, number, email and address be removed, yet they continue. Do not go here,  unless you want to be relentlessly bothered and your mailbox full for the rest of your life.",1.0
14,"April 12, 2018","Unbeleivably bad at dealing with unhappy customers. I still cannot believe they would not even let me finish speaking. Their mission statement is comical when compared to their actions. Terrible experience. I will never again be associated with this organization, and I may not even buy another GM product, due to the lack of respect for customers shown to me by the general manager.  ",1.4
15,"March 30, 2018",We found the one we seen online. Test drove it and talk to the salesman about everything it had on it. Salesman and finance manager were very helpful.,5.0
16,"March 19, 2018",Jessica was very friendly and helpful. She could answer all of our questions. She helped us find the right truck. She is very knowledgeable about the vehicles.,4.8
17,"March 18, 2018","I communicated with the salesman exactly what I was there to do. He provided some options, explained some deals they they had to offer and I bought a car. No hassle no hustle. ",5.0
18,"March 04, 2018","I verified an advertised price on Autotrader by phone and was told that there also were new rebates this month thst would cover dealer fees in the amount of  $1,500. Kelton knew that l was driving 3 hours to meet him. When l arrived, he gave me a price that was about $5,000 more than discussed by phone for that stock number. ",1.8
19,"February 08, 2018","Darwin took care of us, in getting us, a great vehicle in a timely manner. His attitude is awesome. If you go, ask for Darwin, and tell him Krista sent you. Thanks",5.0
20,"January 18, 2018",Hey guys let you know how it turns out my truck been in service since Sunday Jan 14  had it towed there 2015 model first time ever in shop for a problem seems to be fuel  I will write a review good or bad . ,5.0
21,"January 05, 2018",Vincent was patient and answered all my questions and provided the information I asked for in a timely manner.  I appreciated this since I shopped on the internet.  Other dealers did not want to answer questions over the phone and wanted to come in to the dealership before giving out and details or talking price.,4.8
22,"December 15, 2017","My 2006 Buick LaCrosse had been stolen and was brought to the dealership with the steering column damaged and no key. I was very concerned that due to the age of the vehicle and the damage that the parts may not even be found.  With patience and Tim Znidarsic my service rep at Baytown GMC Buick my car was repaired with a new key and a great relief.  Tim also made sure my car was safe to drive and needed maintenance was done.  Oil change, new battery, both rear windows in my car would not stay closed and were repaired leaving me no further concern of my windows being left down.  Tim made sure the brakes were in good shape and that my car would be safe to drive on the road.  I’m grateful to Tim for understanding Without these repairs that I would not have transportation.  When I’m able I will return to purchase my next vehicle at Baytown GMC Buick because their not just a business selling and repairing cars they reach out to the needs of each individuals to see that they have transportation at an affordable rate that fits the customers income.  Thank you so very much.  I’m on the road again😀",5.0
23,"December 06, 2017",This is my third purchase from Vincent Pierre at Baytown Buick GMC. I’ve had nothing but great service every time. I highly recommend this dealership and will continue to purchase vehicles there in the future.,5.0
24,"August 09, 2017",That was so kind and it was a fast service everybody is friendly and they're always have a smile on their face they have coffee ready and donuts and also water that's awesome some other place don't even have this and GMC does I will recommend it to my friends,5.0
25,"June 10, 2017","Went in as a serious buyer, but didn't get much help with pricing of truck. They offered me another truck, but then seemed uninterested after I rejected high price offer on initial vehicle. Good customer service until you shoot them down. Probably thought i was a joke. Will go elsewhere where I know would appreciate my business and meet my price",2.4
26,"May 18, 2017","I was charged 500$ for an etching fee, which is unbelievable, should have just walked out then because you can do it by yourself for $25. They also tried to charge me $400 for something I didn't ask for and when I found it in your invoice the financial manager said ""oh let me see if I can remove that"".  You're telling me after 6 years of working here you aren't complete aware of that $400 worth of nothing you just put on my bill. I liked the car and if it wasn't the only car I ended up liking within 400 miles I wouldn't have bought it, cause they are a bunch of scam artist, reviews on every website will reflect. Not the right way to do business, I would be very careful if you plan on doing business with them. Add $500 to the price of the car for your ""etching fee"" too.",1.2
27,"April 17, 2017","Came in and purchased a new truck. Highly recommend it. Got financing through them, and I currently get service on my other vehicles through them too so it was a easy choice.",5.0
28,"February 25, 2017",Was in and out pretty quick. Steven was very professional and made sure we were comfortable while everything was being taken care of. Feel like I got a good deal out the door and didn't have to fight for it.,5.0
29,"February 07, 2017",They helped me get a car in the budget that I was looking for. I like the car that I got as well. It was worth the wait. ,5.0
30,"January 03, 2017","This dealership gave me exactly what I asked for, no questions asked. They were straight to the point and I am very satisfied. Will do business again in the future when it is time to purchase another great vehicle. ",5.0
31,"December 31, 2016",It was the end of the year so didn't have much to choose from on that years modles..... but I did find the truck I wanted well for the most part I was under the impression it was a v8 because I test drove one like it but the one I got was a v6.... after driving it and comparing the price and I came to terms of what I actually needed.... turned out to be the truck I needed and my family couldn't be happier..... I strongly recommend you speak with Anthony. .. don't let his tattoos scare you he's a great family guy and took great care of us,4.6
32,"December 30, 2016","Excelente!! very good 😊 Experience everything We expect 
Definitely I will recommend this Baytown Gmc Buick to my relatives and friends to look for you was good time we spent there to have our new vehicle ",5.0
33,"December 12, 2016",Very good service very help explain everything very nice people I would recommend friends and family nice selection on tucks and carsthank you helpful nice,5.0
34,"November 16, 2016",Quick easy process. Had minor hick up but problem was solved quickly. Thanks for the help and making it a easy purchase. Recommend to anyone ,4.8
35,"October 25, 2016",Excellent service and customer relations. Best buying experience I have ever had. I would highly recommend if you are looking for a new Buick or gmc to visit the Baytown store. Great prices and great people's. ,5.0
36,"October 20, 2016","Hector assisted in the servicing of our vehicle, was very helpful, completed in a timely manner. Very professional! Thank you. We purchased another GMC Terrain  today while our GMC truck was serviced.",4.8
37,"October 18, 2016",it was awesome. the service was great.they attended me fast and the process was great. I recommend anyone to go there. thank you miguel and dwayne,5.0
38,"October 16, 2016",Thank you to all 3 guys that helped us out with teh purchase of our new 2016 Sierra.. this is byfar the best seevice from a dealership that weve gotten.. great deal and interest rate.. Thank you Baytown GMC & Buick God Bless! ,5.0
39,"October 06, 2016","I swear I had the best experience today. Vincent showed excellent customer service today, I felt down until I made it too you all. I will make major recommendations for you all. I felt as if everyone especially Mr Vincent knew me prior too coming there. Thanks for everything..... Jonathan Wiley ",5.0
40,"September 03, 2016","Most of the paper work was done before we arrived, and I love my new car. It was a great experience and will buy my next car here.",5.0
41,"September 01, 2016","Joseph and Vincent went over and beyond to assist us with purchasing a vehicle. You can't buy customer service. We are sincerely grateful.
Additionally, signing our paper work was easy and pleasant. Finally, the follow up with setting up our On Star was more than helpful.
Thanks to Barrow GMC ",5.0
42,"August 30, 2016",I were very happy with my new 🚗 mr Dewayne were very niece and the other sale man to i will tell my friend and family to come and get a car. and the service is very niece to i like very thing about my new car it drive very niece i am glad i came and got me a new car,5.0
43,"August 15, 2016","Wonderful salespersons. Considerate of our time. Very respectful and helpful. First time car buying was a good experience, almost fun. Felt valued and appreciated. Thanks!",5.0
44,"July 26, 2016",Easy purchase  very friendly great to work work and would recamend to someone else.. Not pushy let us make are mind up on are own. ,5.0
45,"June 15, 2016","Great review of the truck I bought. Sales person very knowledgeable. Buying , trade in , negotiation was no pressure. I got excellent finance rate. I would buy again from Baytown GMC.  ",5.0
46,"May 28, 2016",The purchase experience here was very pleasant. Paperwork was ready very quickly and delivery was very thorough. They take measures to ensure you are completely satisfied with your purchase. Would definitely recommend. ,5.0
47,"March 18, 2016","I went later in the evening to buy a SUV and was meet with nothing but eagerness to help me in my endeavors  and after a little while I got what I wanted and a great price on top.
Definitely go there for the customer service. ",5.0
48,"March 07, 2016",Fast service reasonable pricing! Very friendly and courteous Hector was always checking on me! Customer areas were clean and coffee was good! They took good care of me!,5.0
49,"February 29, 2016",I had a great experience with your dealership. This is the 8th car we have purchase with Barry Stephen. He has always made our visit happy and great. Thank you so much for helping me get my dream car. Thank for the service and great place to visit. Thanks you Mr. Vincent Pierre for your good service.,5.0
50,"January 22, 2016",Professional sales staff was quick to offer the vehicle I was in the market for and offer a price that was resonable and got the vehicle serviced and ready to go.,5.0
51,"December 30, 2015",No pressure from sales and a lot of good trucks in stock. Close to my office and reasonable. Knowledgeable staff and will recommend to my friends and family.,5.0
52,"October 21, 2015",Best place ever!!! Working with Andy Tiwari on repairs is great John was easy to deal with for Loaners..........:).............Baytown GMC  Buick best dealer in town ,4.8
53,"March 21, 2015",Worst car buying experience. 5 weeks and my trade is still NOT paid off!!! Hassle to speak with a live person always voicemail no call back ,1.8
