,Date,Reviews,Ratings
0,"March 26, 2020","I am a disabled Veteran on a fixed income and I was in need of a more comfortable ride. The team at Sterling McCall Honda in Kingwood was very helpful in my purchase of a Honda Odyssey. Besides the fact that the car rides like a dream, I no longer needed to crawl into the hatchback of my old Mazda CX5 and lay down for trips to the VA Hospital while someone else drove me. My Salesperson, Julie Barnachea, and Finance Specialist Joseph Boguhet were extremely helpful and caring. I was in a lot of pain the day I bought the car and they helped my wife through the entire process while they helped me to be as comfortable as possible. I highly recommend Sterling McCall Honda in Kingwood and especially my Salesperson Julie Barnachea. ",5.0
1,"February 29, 2020","I had a great experience with Amyn. He was honest, straightforward and extremely helpful. I did feel any pressure and felt like he was always looking out for me. ",5.0
2,"January 09, 2020","Good service facility but with incompetent services, delayed work, wrong procedure, disappointing in the end. My Accord of 80k miles has heavy steering and high pitch noise under the hood, another surprise. ",1.0
3,"April 14, 2019",The service was excellent.  The employees were very helpful & friendly. This is the 4th Honda I've purchased from Sterling McCall Honda. I will most definitely continue to have my HR-V serviced with them!,5.0
4,"March 19, 2019","Went in there for a simple computer issues, representative said I would have to leave the car because the mechanic were so busy and would take some time to get to it!!! This is why I scheduled the appointment in the first place!!!",1.7
5,"December 02, 2018","I was given a long talk how this dealership differes from other as they don't have any  hidden cost. The sales price agreed with the salesman was not reflected on the invoice, which conveniently was not show during signing process. It was put together with other papers in sealed envelope, which I opened only a day after. Be careful and review every line.",2.5
6,"June 21, 2018",Joshua Davis and his team in the express service department were great!! I just went for a oil change and they inspected my car and everything! They were great! Definitely going back and will continue to get my car serviced there! ,5.0
7,"April 23, 2018",Everyone was so very helpful. Anita at the front desk. BJ Wilson the GM - the absolute best salesman Tommy Huynh answer all my questions. Last but not least Joseph Boguhet in Finance. Very successful in buying my new Honda Touring. Love my new ride!,5.0
8,"April 04, 2018","at 55 years old, went into McCall Sterling Honda prepared to do battle, due to past experiences with other dealers. Had opposite experience here, was totally surprised!

Very low pressure and informative service. Highly recommend! my salesperson was really good to work with and the finance guy was awesome with getting me an excellent deal. my credit was lower than I expected, but the rate he got was also lower than expected...   again, highly recommend!

salesperson: Amyn Ankleshwaria - aankleshwaria@sterlingmccallhonda.com
finance guy: Joseph Boguhet",5.0
9,"February 22, 2018", Brought my car to Sterling McCall Honda after the Glass sunroof spontaneously exploded. Nothing has hit it and there weren’t any issues with it. In looking this problem online others have had this problem too and it is attributed to either a manufacturing error in the safety glasses or a problem when it was installed too tightly. This dealership knows of this issue and kind of shrugged their shoulders and won’t take care of it. They want you to submit it to your own insurance even though it’s through no fault of yours or anyone else’s except theirs.  I was about to go buy a Honda Pilot for myself. I will not buy from a dealership that won’t stand behind a defect in its own vehicles.,1.0
10,"December 03, 2017",Great staff! Very professional and friendly! The people treat you very special and always accommodating to all my questions. Their service is also speedy with very minimal waiting time,5.0
11,"November 14, 2017",Robert was very courteous and knowledgeable very good salesman . He went above and beyond to help us. I would recommend the dealership to my friends. ,4.6
12,"November 01, 2017",From the moment I walked in the door and was greeted with expert service from all associates.  I will continue to have all service work done with your company.,5.0
13,"October 30, 2017","Excellent, fast service. This is my favorite place to get an oil change. I feel like they are really trying to make the customer experience excellent. ",5.0
14,"October 27, 2017","No matter what we take our car in for,  the service manager Steve Fishel always takes care to make sure our experience is a good one. He works with you to resolve any service issues you have.",5.0
15,"October 14, 2017",Great experience- told me what I needed and what could wait. Shirt wait time. Reviewed my additional concerns and offered to help in future by providing direct number.,5.0
16,"September 22, 2017","Atmosphere was good, staff was friendly and the work was completed within the expected time. Work include an inspection of brakes etc. and a wash and vacuum. Was very pleasantly surprised by the first time service discounts. ",5.0
17,"September 18, 2017",Gabriel was very helpful in selecting  my car. He new his cars very well and he was very friendly. I purchased the car that same day.,5.0
18,"September 18, 2017",Great service & sales.  Salesman & finance gave us all options & let us decide with no pressure from them.  They made sure we knew about the features and how to use them.  Third car Friday m this dealership since June 2016.,5.0
19,"September 15, 2017","Sales person was knowledgeable as was the finance advisor.  Purchase was easy. Even though it was an emotional purchase as I was a flood victim, they put me at ease",5.0
20,"August 23, 2017",Brayan Vasquez was awesome and got us a great van at a good price. Great customer service and worked hard to iron out some issues that came up. Thank you Brayan.,5.0
21,"August 18, 2017","My service consultant was Sam Carcamo. He immediately checked me in, explained everything that is going to be done with my car. Showed me where the lounge was and offered refreshment while waiting for my car. A multi-point inspection was done, oil change and tire rotation was done. Since i'ts my car's first tine for oil change, the tire rotation was free. I'm very pleased with the excellent service i had today.",5.0
