,Date,Reviews,Ratings
0,"December 04, 2019","The best customer service in San Angelo. I had Kyndall, and she helped me find the best car for me, even if it wasn’t at Honda. A great experience!",4.6
1,"February 09, 2019",They kept my vehicle for two days. One day just to do A diagnostic test then when I finally called at the end of the day and told me how much it would cost to fix it I told them just to do the oil change in the transmission filter change and ask him could you be sure and get my car out by 12 o’clock Saturday because I was going on a trip and he said no problem but 12 o’clock came and went nobody called and I still haven’t got my vehicle,2.0
2,"December 02, 2018","My experience at Honda of San Angelo was to say the least horrible. I had received information that they had been purchased by another company. I had previously gone under old ownership, and my experience wasn't great, but it was significantly better. The cars are overpriced, the sales teams are great, but the way I heard management talking to their employees was absolutely disgusting. I wouldn't give my business to anyone who treats their employees that way, because it shows a lot of how they treat their customers. I immediately went to dodge before I even got inside after watching a manager yell at an employee in public. Disgusting ethics, if you need a car please go somewhere else. ",1.2
3,"September 15, 2018","My 2012 Honda Accord front end sounded like it was grinding on deceleration after driving about 800 miles.  Within a short time, it was discovered that it was 2 loose lugnuts on driver side!! Amazing catch, since my car was last serviced at a Tulsa, Oklahoma Honda dealer for balance/rotation. Thanks Brock and Raymond for the save, literally!",5.0
4,"August 25, 2018", I dealt with each department at the Honda dealership and each one of them has no problem lying and misleading to get their best sale.  After selling me a car that was not what they said it was their lied about prices of service including over doubling  the oil change prices to talk me into getting extra services. When I found out the car was not what I had asked for I brought it back and I was told we thought you do what you were doing. And that’s their stance.  The tent job was pointed out the date of sale and they told me it had bubbles because it was brand new Tint.  Now I have to take it back in on my time and have all windows re-tinted. Back glass will have to be replaced. ,1.2
5,"August 13, 2018","You all have two excellent service advisors and this is what had kept me returning to this store. The service advisors are eager to help, explain the work process, and they each always have a smile on their face. Please let them both know that I greatly appreciate the job they do and being treated like a true customer.  Thanks",5.0
6,"August 13, 2018","I brought my 2013 Honda Pilot in for a routine oil change, a new rear wiper blade and to have the battery checked.  Brock Guevara is my service coordinator.  When I called to make the appointment, he listened to my request and paid attention to what I was asking to have done.  He actually remembered our conversation! I have had other service coordinators at other dealers NOT listen and perform work that was not asked for so having Brock actually listen and remember was GOLD to me!",4.8
7,"August 10, 2018",As usual I was treated like a vip. Raymond and the guys do a very good job of keeping me on the road safely.  I tell everyone I know just how amazing they are. ,5.0
8,"August 09, 2018","I did not like what was said outside the office to the other salesmen before the sales pitch. 
It was in poor taste boasting because, I could hear the salesman boasting about the deal he is about to make. As if I got taken advantage of and somehow paid too much or got too little for trade. 
Overall, it left me with a bad experience. ",3.4
9,"August 02, 2018",They respond to my concern right away. They Explained very well problem and gives me ideas on to take care of the car. They work very efficient,4.8
10,"August 02, 2018",Raymond keeped me up to date on what was going on with my car! He even said if there is anything afer he will be happy to service the issue! ,5.0
11,"July 26, 2018",The service I received was very good.  The service representative was courteous and professional.  The drivers who provided transportation to my home and back were also courteous and professional and were good and safe drivers who obeyed the traffic laws.  My vehicle was serviced and repaired to my satisfaction and I was kept informed during the process of what needed to be done and what the charges would be.,4.8
12,"July 25, 2018","Awesome service. Took care of the oil change, dropped me at home then picked me up when car is ready. Definitely recommend to visit this place again.",5.0
13,"July 25, 2018",They go out of there way to help get what they want and try to get it to the price they can afford each month they are really good people that work hard at Hands in San Angelo Texas ,5.0
14,"July 25, 2018","My wife and I went in to look at a new 2018 CRV Touring model. Our sales rep, Enrique Medellin, showed us the vehicle and came with us to our house to see if it would fit in our garage. On the way and back, he described the many features and how to use them. During the purchase, Enrique helped us get a good price for the CRV and for our trade-in (2009 Honda Fit). He also helped us secure a better interest rate on our loan than what was initially offered. After the purchase, Enrique took us out to the CRV to help us set up our phones and to demonstrate how to use and maximize the many options included with our model. Overall, this was a great experience. Enrique was personable, helpful, and well-informed. We will return to Honda of San Angelo for future purchases and will tell our friends to to the same.",5.0
15,"July 23, 2018","We have been buying  Honda's from this dealership for 6 years , this is our 5th car purchase and always very pleased with our experience, Everyone is always very friendly and helpful and always go the extra mile to make sure were satisfied. Would highly recommend . ",5.0
16,"July 20, 2018",Friendly and fast service went in to buy a seat belt buckle and was told that it has a warranty on it so went to service got it done pretty fast and quickly,5.0
17,"July 18, 2018",Routine service on my Pilot.  Staff was quick to provide the service so I was able to return to work.  The staff takes the time to explain the process.  Quick and effortless.,5.0
18,"July 17, 2018","To whom it may concern: 


Unfortunately, I'm writing this email to inform you of some wrong doings I feel need to be corrected. 

On June 20th, 2018 I purchased a 2018 Honda Civic LX from Honda in San Angelo,Tx. On Thursday, July 12th, 2018 we dropped the vehicle off with Honda Services to have the window tint redone due to large amounts of air and fluid filled bubbles. Later that afternoon, my husband called to check the status of the vehicle; he was told ""the employee who does the window tint did not show up for work, it would be another day or two."" 

After this my husband asked for them to put me in a loaner vehicle due to the fact they had our only means of transportation. Which they did. Friday, July 21st, 2018; the second day they had the vehicle Raymond called to inform me that the car had been done but he wasn't happy with the results so he was having his employees redo the tint for a third time! 

Finally Saturday, July 22nd, 2018 the car was ready. Upon arriving at Honda we proceed to remove our belongings from the loaner vehicle to put back in my car. As I open the back door I see black smudges and stains all over the back seats and front passenger seat. The interior of this car is very light grey! I walked into the service center and asked about the stains in the car. I was told by Raymond the service manager "" Ma'am I didn't inspect the car, it was hot outside. So I got in, drove it around, parked it and came back inside the building!"" Raymond also asked me to bring my car back again on Monday, July 16th, 2018 to leave for 2 to 3 hours so they could try to remove the stains on the seats and do a full wash and detail. 

I'm furious at this point! I just signed paperwork on this vehicle and they have ruined my interior! Upon arriving at my house, my husband inspected the tint and it was worse than it was before I originally took it the first time! I was informed by a friend to reach out to Buddy Jones at Chevrolet in San Angelo. I talked to Buddy, filed a complaint and made an appointment for Monday, July 16th, 2018.  Buddy stated he would look at the damage and take care of it.  So at this point I'm semi okay. We go to get groceries and as I open the trunk I find that it  is full of water. Green soapy water. There are white glue stains on the back of the rear seats, there was water seeping into the cab of the car into the the seat backs and cushions. I called and left another complaint for Buddy, as he had left for the day. 

So come Monday we take the car to the Chevy house. Just to learn that the only way the water could have gotten  into the trunk was to seep through the back dash and through the seats. So after another 2 days of someone else having my car we go to look at the work that has been done to the only  Brand New Vehicle I have ever owned!! 

Tim the service manager for Chevy comes out and talks to us as we are going over the car. There are still stains in the seats. There are still bubbles in the tint! There is water damage to the rear seats and unknown amounts of water damage done to the back dash not mention the stereo components that also reside in the back dash. Tim says to me "" I reached out to Buddy and let him know that there is nothing else we can do for the seats except seat covers or new seats! I DID NOT pay $ 23,000 plus for seat covers or for someone to wreck the interior of my personal property that I had just purchased! 

 I feel so incredibly screwed over. I do feel like all the guys who we have interacted with at Chevy have been more than helpful and have done everything they can do. Now I'm reaching out to you! I need a remedy for this situation. Not a cosmetic fix.

 I want the damage fixed and my windows tinted the right way! I was informed that since the interior can not be cleaned anymore because the damage is done that I could request to have a leather kit installed in the car to fix the damage caused by an ever so careless employee at Honda. I would also like to ask that since this is the fourth time that the windows will have to be redone if we can take it to an outside shop and have it done at Honda's expense. I feel like I'm asking a lot but at the same time I have had my car for exactly 3 weeks and  1 day when I took it in for tint services.  It has been in 2 separate shops for a total of 6 days counting tomorrow! I need this made right! How would you feel if you were in my shoes?  Just spent that much money on a vehicle to  have all this done to you. This has been the worst experience I've ever had buying a vehicle. This  should NOT be my first experience of buying a Brand New vehicle period!

The carelessness of the tint installer at Honda amazes me.  I hope this can be fixed and perhaps the installer needs more training on how to treat customers vehicles.


",1.0
19,"July 17, 2018",My tire pressure light came on and took it to Brock and he made sure it was fixed. He is great with his customer service.,5.0
20,"July 17, 2018",Everyone os very polite and courteous. They try their hardest to get you into a car and even with kind of poor credit got me into a 2018 Honda HRV. I would definitely recommend them if you are looking for a new vehicle. ,5.0
21,"July 16, 2018",After an accident Ineeded a new vehicle. The responded quickly and while I didn’t get the deal I wanted I got a deal I can live with,4.6
22,"July 16, 2018",We went in there for service and we got done in less than an hour. We just got here from Georgia and we drove from there to here in San Angelo. Quick oil changing service. A+. Thank you!,5.0
23,"July 13, 2018","Raymond and brock only reason why i come to the honda location. Best service i receive ever at a lithiaa location. They are awesome.  Great service
",5.0
24,"July 12, 2018","Fast, friendly,  efficient. Ray worked with me to find an appointment, informed of the problem, presented solutions and also went the extra mile! Thank you! ",5.0
25,"July 11, 2018","The process went well for setting up an appointment with the dealership, bringing my vehicle in for service, and picking up the vehicle when it was ready. The service representative clearly explained what was being done with the vehicle, and the results of the multi-point inspection.  I am pleased with this Honda dealership for their customer service.",5.0
26,"July 11, 2018","I went there for an oil change. It didn’t take too long and the price was reasonable. Also, the employees are friendly! Great service (: ",5.0
27,"July 11, 2018",The staff was very helpful and professional. They answered all of my questions to my satisfaction. I will not hesitate to take my vehicle there for service in the future. ,5.0
28,"July 10, 2018","Easy appointmentcwith online scheduling. 
Prompt service with Mr. Aguero.  He was able to find me a coupon to defer the cost of changing the air filters which were in need of eeplacement",5.0
29,"July 10, 2018",Honda of San Angelo is the only place I'll get my car serviced.  Always does a great job working on my car in a timely manner.,5.0
30,"July 10, 2018",Raymond is very accomodating. He makes sure everybody is satisfied with with service honda offers. He follow up and update every step  of the way. ,5.0
31,"July 09, 2018","This was my first time using the app to schedule an oil change. When I called to make sure my appointment went through, the gentleman was very nice and spoke in a great and cheerful voice. When I had gotten to the Honda service department, they got my car in right away. The people were very friendly and helpful. They got my car in and out. ",5.0
32,"July 09, 2018","Tire repair shop in Durango CO. recommended we have alignment checked when we got home from a 3 week road trip.  Dropped our Pilot off with Brock, who tested the vehicle and determined that alignment was fine, just that tires had not been rotated as recommended. Good advice, no charge. Really appreciate Brock's professionalism and courtesy.",5.0
33,"July 08, 2018",I had a small mishap with my CRV 2 days before leaving to meet my brother at the hospital in Dallas. Brock had me on the road in no time! ,4.6
34,"July 06, 2018",We went in to get a larger vehicle for our family of 7. Ron Chavez was a huge help. He didn't give up on trying to find us a worthy deal. He was friendly and professional. The staff the day we went in were helpful as well. We left with a '15 Pilot and love it! ,5.0
35,"July 06, 2018","Brock was friendly, efficient, and took care of me and my vehicle.  He is always very helpful and is willing to help me or my wife with our service needs.

",5.0
