,Date,Reviews,Ratings
0,"June 06, 2020","When I arrived at Community Honda for my car service, Carlos was the service man that assisted me. He even remembered me from when I had last come in for service.  He told me about how long it would take and sure enough he came and got me when car was ready within the two hours as he told me. Carlos is very helpful, knowledgeable, kind and courteous. That makes customers feel good when the serviceman remembers them. It makes you want to go back and it gives you a good feeling about the service. I would say Carlos is truly an asset to Community Honda.",5.0
1,"May 23, 2020","Best service advisor Mr.James and well trained technicians he explained me the whole process of engine coolant function and was very knowledgeable I will certainly recommend community honda service department to my friends and colleagues 
Thanks",5.0
2,"May 07, 2020",Experience was Great 👍🏻 i love this car ! Service was Great by the dealership staff ! Thanks Community Honda 😀 Staff is very helping & polite 👍🏻 I will recommend my family & Friends 😃,5.0
3,"May 01, 2020","oil change and filter, ck out dash board reading a certain no. code, your service person who works on vehicle needs to make sure they clear dash of all readings and put it back to normal, shouldn't have to look at some other item on there thank   you",3.8
4,"April 25, 2020","My experience was great Tracy and the finance Dept. Made this the easiest and pleasant car buying Experience I have every had buying a car  from another country for my wife in Baytown, This is our second purchase from Comunity Honda, the next purchase will be from Comunity Honda Thanks'",5.0
5,"March 19, 2020","I have always been pleased with the service provided when I purchased my first vehicle from community back in 2011.  The knowledge of the sales people impressed me back then.  As I purchased my 2020 HRV, I received the same professional help and am sure that I will also receive the same when I bring in my HRV for servicing. ",5.0
6,"March 12, 2020","The team was friendly & efficient to get me in & out quickly.  Id dropped my car off, picked up a rental and they kept me informed of what was going on with my car. ",4.8
7,"March 11, 2020",They was able to exceed my expectations and more.. I will definitely recommend them. They gave me ever option to choose from. I appreciate them so very much! ,5.0
8,"February 23, 2020","Very fast in and very fast out, while representative Garcia kept me posted as to the status of my vehicle and also notified me of what I needed to do when I come back for my next service. ",5.0
9,"January 31, 2020","Please read this:
On September 28 2019 Gerald Bailey sold my wife (I was not there) a 2012 Cadillac SRX for 16000 cash. I thought this was high but the check was already signed and the deal was done. Fast forward to today I have a different dealer tell me they won’t buy it nor will any other dealership due to a damage report, we can only trade it in. We were, my wife was never told about a damage report nor given a carfax. Now I have a manger of Community Honda telling me they don’t have to disclose a carfax report, I thought that was bs, but unfortunately for us, he is right. We never knew this. We are now stuck with a vehicle that we paid 16k cash for that will get no where close to that, due to the damage report. Please, if you are reading this, ask for a carfax report. I never knew how important it was until now. That being said, do NOT purchase from this dealership. What has been done here is beyond me, and the manger Ever, I believe was his name was absolutely no help. Told me he did not have to disclose the information cause it could be “false” and had a complete Is what it Is demeanor. I will never sure business with them again, I hope you don’t and hope someone is able to help me legally with this situation, cause this seems so wrong and illegal. Thanks for reading our issue with Community Honda.",1.0
10,"January 15, 2020",In n out in short amt of time. My normal service guy was busy so another one stepped in and service was good as usual,5.0
11,"January 10, 2020",I dropped my car off in the early afternoon and it was ready to pick up the same day. I can always trust James in Service to have a discount coupon and answers to  any questions that I might have. ,5.0
12,"January 07, 2020",I was seen on time and the maintenance was completed in the time frame  as described. Happy to be serviced at this convenient location. Thank you.,4.6
13,"January 07, 2020","They were thorough, quick as possible, and informed of other additional things that may be needed without any pushiness at all.  Good job team Honda!",4.8
14,"December 18, 2019",Great customer service advisors and a pleasant experience. Each time I have came to the dealership they have been able to help me and be professional but have a warm and welcoming spirit. ,5.0
15,"November 22, 2019","Knew what we wanted and Liz delivered. Liz made this the best car buying experience ever! We were looking for a new 2019 Civic LX birthday gift for our daughter. She wanted black on black and to our surprise they had only 1 left, perfect! We were done with financing, washed, full tank of gas and rolling down I-10 West all within 3 hrs. No need to negotiate, we asked for a specific price and that was it! Like butter :) How awesome is that, we will be back for sure. Beyond satisfied!",5.0
16,"November 17, 2019","We had visited several other dealerships in the area,  but none of them were as friendly or accommodating as this dealership. At Community Honda we had, from the very beginning, an appointment with our salesman. From there, we got confirmations, phone calls, and messages checking to see if we needed anything. Our sales person personally called me to introduce himself. Kamerin was most informed about the car we were interested in. He walked us through the process of trading our car and purchasing our Honda CR-V. It was all worth the forty mile drive!",5.0
17,"November 15, 2019","Excellent service. Dead battery in 2017 Accord - they had someone to me to jump my car within 30 minutes, gave me a ride to/from dealership while battery was being replaced, and had car washed. No fuss, no hassle, just fixed. ",5.0
18,"October 21, 2019","Professional and let me know what was needed and time required.  Parts required not in stock but ordered for next day arrival.  Advised that grill and front wheel and dinner fender needed to be removed for access to remove and install new compressor. I told them I could wait until Monday to pick up vehicle and get job done right.
",3.8
19,"October 15, 2019",Excellent service. Very friendly. Provided rates for additional services recommended services. I would recommend this dealership and their excellent service and will return in the future for all of my service needs.,5.0
20,"October 15, 2019",THE EMPLOYEES ARE ALL VERY FRIENDLY AND I WAS IN AND OUT IN NO TIME AT ALL.  AN ALL POINTS INSPECTION WAS ALSO DONE DURING THE STATE INSPECTION.,5.0
21,"October 04, 2019",Gregory Hunter and the Community Honda did everything in their power to make a deal. I would definitely come back and refer family and friends.,5.0
22,"September 27, 2019","Greg Hunter and Jean DuPont were extremely patient, professional, informative, and worked with me to provide a deal that worked for everyone. Tracy Schmersal did a great job of detailing my newly purchased vehicle and made sure that I was fully satisfied with the job.",5.0
23,"September 26, 2019","I’ve been going to Community Honda since 2013, and have always had excellent service. Everyone greets me with a friendly hello and a smile. ",5.0
24,"September 16, 2019","Went by this location as it was close to our house to test drive a new Honda.  Let the salesperson know that we were not buying on that day, but just starting to look.  Had a pleasant experience, and came back a couple of weeks later to purchase.  Easy to deal with, not a high pressure sale.",5.0
25,"September 05, 2019",I highly recommend Community Honda. The service is excellent. Employees in the service center are very helpful and friendly and they keep you informed. Great job!,5.0
26,"August 26, 2019","I needed to get quite a few things done for my car, due to its proximity to 100K miles, and fortunately I came here and got everything done. I’ve never really had any issues, and I always leave confident in the work done on my vehicle",5.0
27,"July 31, 2019","I used to laugh at the Honda commercial slogan, “The Car That Sells Itself” , however, last year I bought new a 2018 Honda Accord Hybrid Touring edition. I’m so glad I did, the slogan is an understatement, I love the car, it’s spectacular. From this point on I’m a die hard Honda man. I took my car for routine maintenance over at Community Honda, the do a fabulous job and take well care of my car. I also want to acknowledge my service rep James Chesser, this guy deserves a raise and promotion, I’ve never seen a harder working individual who takes personal interest in both myself and my car, he treats my car as if it was his own and he does a spectacular job, he won’t leave work until the job is done well, even if he has to stay late on a weekend. James makes my visit to the dealership most pleasant, I even look forward to going there. I can’t wait until the next revision of the Accord Hybrid comes out so I can trade up. Community has my business! I also want to recognize Kysta  Nichols and Roxanne Villanueva for their excellent work, Kysta always follows up with a phone call to make sure the work was done to my satisfaction and that I had a great experience while at the dealership. I’m looking forward to my next new car purchase at Community Honda.",5.0
28,"July 30, 2019","Excellent work, greeted right away and recalls were taken care of promptly thanks again. I came in for 2 air bag recalls and 1 headlamp wiring recall. ",5.0
29,"July 29, 2019","I purchased a Civic for my daughter at the Lafayette Louisiana location. Very enjoyable experience, friendly sales staff. I will be back here for my future purchases.",5.0
30,"July 25, 2019","Very professional, kind, make you feel welcome, keep you well informed, work is done on time as told, reasonable prices , only necessary work is done,  clean comfortable waiting area",5.0
31,"July 25, 2019",We came in just wanting to look at a used Honda pilot and ended up getting a new one because the sales team was so willing to work with us. It was an excellent experience.,5.0
32,"July 25, 2019","I highly recommend purchasing a vehicle from Community Honda.  Everyone was friendly and eager to help!  My salesman, Brooks Richard, was very knowledgeable and went out of his way to make sure I had a great experience!",5.0
33,"July 24, 2019","Mr. Fulton was very professional and thorough. He gave detailed information and was patient when questions were asked. In addition, he was diligent about following up to make sure we were satisfied with our purchase.",5.0
34,"July 23, 2019",A year after purchasing a used car and interior cleaning package from Community Honda of Baytown I find out I can’t transfer my interior cleaning package to my local Honda dealer that is just 20 miles away from Baytown because it is not a Honda product. My car has been at my local dealer for 7 hours now trying to resolve this issue. At least a dozen phone calls have fallen on deaf ears at Community Honda. They sure like to sell you a car and their interior cleaning package but stay away from them! After the sale you are on your own. Worst customer service I have ever seen!,1.0
35,"July 22, 2019",My car buying experience was great. The staff was very friendly and made the process easy and fun! I would recommend buying a car from community Honda to anyone looking!,4.8
36,"July 21, 2019","Maintenance: oil change and tire rotation.. Ms. Racel is my service advisor.. She is always pleasant.  She keeps me informed, as I wait, as to the progress of the services being performed. She is an assist to the service department at Community Honda.",5.0
37,"July 17, 2019",It exceeded my expectations. No appointment necessary. They took me right away. Only took about 20 minutes. Almost seems like a fluke that things went so smoothly. I hope it’s that easy next time! 😀,5.0
38,"July 17, 2019","Loved that they didn’t waste my time. They moved quickly to get the sale processed. They had the vehicle I wanted clean and ready when I got there waiting for me. 
Other than the initial sales guy Joel Boni trying to slip in a stocking fee in on my initial quote, the sale was a Great experience. ",5.0
39,"July 16, 2019",Community Honda service department is awesome.  Ms. Rachel and her team go above and beyond to meet my needs. The wait time was very short. ,5.0
40,"July 16, 2019",My experience at Community Honda was fantastic and I would absolutely recommend this dealership to anyone. Jerry was exceptional and very knowledgeable and helpful. He made the long process easy and enjoyable and I am confident in my purchase! Thank you Community Honda!,5.0
41,"July 15, 2019",Overall great service visit. Friendly and very helpful staff that made my visit go as smooth as possible. The waiting time was short and my vehicle was taken care of.,5.0
42,"July 15, 2019","Great service was provided, as always, by Charity Phillips.  We were well and timely informed on any and all updates relating to our vehicle.  Ms. Charity has always been excellent every time we do bring our vehicle to Honda, so kind and friendly.  And we most definitely can rest assured that our vehicle will be tended in a timely manner.",5.0
43,"July 14, 2019",I was very satisfied with the way my transaction was dealt with. I would definitely recommend my friends and family to deal with this dealership.,5.0
