,Date,Reviews,Ratings
0,"May 25, 2020","Super friendly, knowledgeable, Polite,  helpful,  met us at the door!   We called ahead because we came from out of town. We really appreciated that he had the car ready for us to test drive when we arrived.The easiest car buying experience ever, for me!",5.0
1,"September 05, 2019","I just moved to the area and have a 2016 HRV-EX. Out of nowhere when I was out of town I had lights show up on my dash that were all related to the parking brake system and I was so worried because I was an hour away and it was a holiday. I showed up and didn’t have an appointment, not feeling well and on crutches. They were ALL SO NICE and VERY HELPFUL. They drove me home and not too long afterwards they called and let me know that everything was actually okay with it and explained EVERYTHING as to what caused the problem. And they came to get me at my house and I was able to get my car back. I was SO worried... but they were all just so helpful and so nice, and I just can’t thank everyone enough. ",5.0
2,"September 04, 2019",Matthew Crasta was very helpful in helping me make a decision on buying my new vehicle. My son also bought a Honda 2019 CRV and recommend Mr. Crasta.Thank you.,3.5
3,"June 19, 2019","Frank Brown Honda rep Dan was very helpful, willing to work with us on pricing, and transparent in his dealings. Very much appreciate his help in leading our new CRV",5.0
4,"April 28, 2019",Yesterday was my first day buying a car! Ricardo helped me all day long and was honest and helpful in getting the payment affordable!  10/10 recommend ,4.8
5,"April 13, 2019","I have had two Hondas both civics, and I haven’t had to take them in but three times and each time Rudy provided excellent customer service, keeping me posted on the progress. The cars came back to me repaired and working well, in a very timely fashion. Would not hesitate to take my Hondas back to them.",5.0
6,"September 18, 2018",We Had an oil changed for our CRV and we had an awesome experienced.service was done in less than 1 hour.will definitely comeback.,5.0
7,"September 11, 2018","Frank Brown’s was very polite, honest, and helpful with setting us up with a car. Shout out to car dealer “Ricardo” for helping us out!",5.0
8,"June 15, 2018","Awesome experience! Ricardo is very easy to work with and made buying a new vechicle almost effortless. He is very dedicated to customer satisfaction, and stands by what he says. ",5.0
9,"May 28, 2018","My husband and I went in to talk to Ricardo Alegria. He was very open and honest. He was very helpful and got everything done very efficiently. We have already referred family members to him and he has successfully helped them as well. Thank you Ricardo, we will keep referring your way!",5.0
10,"May 22, 2018","Went to Frank Brown looking for a used car I saw on their inventory. Was helped by Blake Silvas, who was honest and upfront about the condition of the cars and such and did not try to force a sale on me. Loved his patience and honest approach. especially in an industry notorious for ""tactics"" to offload inventory; this was a refreshing and welcome change. Though the sale did not go through, I'll certainly look to do business here should an opportunity arise in the future.",5.0
11,"May 16, 2018",Muy buen servicio al cliente me trataron muy bien muchos hablan español y te pueden Alluda yo recomiendo a Ricardo alegria me trato muy bien ,5.0
12,"April 23, 2018",I find the dealer to be really great in helping people get the right car at the right price. And the employees are also very cooperative. ,5.0
13,"January 15, 2018","So I will try to be as thorough as possible, I have been in the market to switch from truck to car as my driving habits have changed. I was interested in a 2018 Honda Accord because of engineering and reliability. I am an active duty military service member and have access to several lender's for large purchases and found a couple cars that met my financial need. Theres only 3 dealerships that had the car I wanted new Mexico, Lubbock TX, and Dallas, TX. I test drive at Frank Brown and really liked the car, the salesman Dylan was great (hondstly one of the nicest and sincere salesman ive met) and he asked me to give them a chance at a deal. I didn't care to make a deal as I already had my ducks in a row (already had secured financing and %) and the only thing to negotiate was my trade in, Frank Brown offered 20K where as the others had already offered 23K aight unseen. The ""Finance Manager"" Emilio wasted about 4 hours of my time playing childish games of ""let me see how much they offered so I can offer that, and what's their car price"". None of this matters, sad games to play on those who don't research. At one point I even heard them in the office say ""xxxx how many dealerships has he talked to"" which I guess they pray on ignorant buyers. After wasting my time the finance manager comes out and say and I quote ""looks like you're ready for a buy"" with a smile on his face and shakes my hand and then says..... ""Good bye"". ""You've wasted my time and my salesman time"" ""We have to feed our families"". I asked him if he thought his actions are a good business model for frank brown? No answer. I firmly let Dylan know the only way to resolve this is to have the owner schedule a meeting with me and have his manager apologize for his actions. That was a month ago....Not even a call.

To end this I will say please review all low star ratings on this dealership, on no less than the first 3, they all have one thing in common which is the salesmanager. I drove 100 miles away to buy a car from another dealership and will never return for any services at Frank Brown Honda. ",1.0
14,"August 22, 2017"," I'm now on my third Honda from Frank Brown automotive and I have never been more happy with my choice than I was today. I have an issue with my car that I did not know how to fix, did not think I could afford to fix , But took it  in anyway.  And was so pleasantly surprised when the service department figured out how to fix my problem with that charging me anything. I've been having a really tough time this past month through all sorts of trouble's and did not think I could handle one more problem that I could not afford! What loveLy people to help me out when I needed it most.",4.6
15,"May 02, 2017","I've always received good service from Frank Brown.  Rudy Cisneros has been very courteous and helpful and understands that most of the time I do the maintenance on my Ridgeline, but have had them do heavier maintenance like transmission and rear-differential fluids.  Their courtesy van driver knows the city and will quickly pick you up or get you where you need to be.  The same gentleman has been the cashier for as long as I can remember and is always friendly.",3.8
16,"July 27, 2016",We are traveling home from our vacation too busy to install a battery.  We still have 350 miles home still . No other dealer. Available to us.,1.0
