,Date,Reviews,Ratings
0,"June 25, 2020","I was working with several dealers and Dustin Hudec from Round Rock Honda was always looking for the car and color I wanted. I was about to give up when Dustin gave me a text with the exact car and color I wanted.  I drove it and came back and said I’ll buy it. They were so professional and friendly, I would definitely 
buy a car again from them.",5.0
1,"June 17, 2020","This is the second time I have come to Honda to purchase a new car, and every time I've came here, the service has been nothing but superb and fantastic. I had the honor to meet Trish and she easily welcomed me into the facility and into the Honda family. I was a little anxious because I didn't really prepared myself for an appointment as it was made the day prior. Nevertheless, Trish made me feel like at home and helped answer every question with optimism and positivity. I can't thank Trish enough for helping me feel at ease especially during a stressful time period. I also had the pleasure to meeting Jason. Jason has helped my family with the finance portions on the last 3 cars we took home. Jason was super informative and treated us like a friend. Seeing Jason again was a nice surprise as we already had a connection with him and happen to have many similarities in our lifestyles. Our visit at the Honda dealership is one I would certainly never forget as I felt more than a customer, Trish and Jason included me into the Honda family and I can't wait to promote their services to our friends and families.",5.0
2,"June 10, 2020",We really appreciated the assistance we received from Trish Scheffer on our purchase of the Honda Passport.  Trish and I started communicating after I submitted a request for information on a Honda Pilot I saw online. Trish would always answer all of my questions and I never felt pressured.  I have purchased a lot of vehicles over the years and it is a process that I have always hated due to being pressured.  Trish worked with us on a few vehicles and always answered our questions.  We were very concerned about trying to purchase a vehicle due to the coronavirus and Trish understood our concern and took measures to make things as safe as possible.  We looked at several other brands at other dealers and we never felt as safe at those dealers as we did at Round Rock Honda. I hope those same measures are extended to other buyers. We decided to purchase the Honda Passport and it was getting late in the day and we were exhausted and didn’t want to spend more time going through the buying process.  Trish and Art Hellman agreed that we could wait until the next morning to complete the deal on a virtual handshake.  At that point I felt some trust that we would be back the next morning.  It’s very refreshing that deals are still being made in that manner.  Thanks Trish for making the process better.   ,5.0
3,"June 05, 2020","I was going from dealer to dealer to find an eight passenger vehicle with some very specific needs. By the time  I came to Honda  I was exhausted and frustrated until I met Josh. He was a no pressure sales person, he listen to our needs, ran around the lot and pulled different vehicles for us to look over.   He let us look and ask as many questions as we wanted, but he never tried to push us into a vehicle.  When we decide to go with Honda the financing was a breeze because of Sam.  I have never been happier with a vehicle purchase then I am now and I have brought a lot cars.  Josh our sales rep I can not say enough about how he handled the whole buying car experience.  Josh is not our sales rep, but part of my family now and forever.  You would be crazy not to go to Round Rock Honda for your next vehicle purchase and when you do ask for Josh!  ",5.0
4,"June 03, 2020","I came prepared to buy a Honda CR-V as I have been doing my research and planned my purchase for almost a year. My salesperson was Joshua Scruggs. He was very respectful, kind, and easy to communicate with, and, most importantly, not at all pushy. Not only that, when it got to the financing part, that guy was absolutely wonderful too and very easy to work with. Another note: When I went to the dealership, I really liked that they are taking the pandemic seriously while not taking away from their brand - they even provide disposable gloves to wear when you're test driving a vehicle. Round Rock Honda is literally the best Honda dealership in the area and I highly recommend them. ",5.0
5,"May 30, 2020","We visited the RR dealer today to lease a car. I was truly impressed by Trisha, Josh and Sam for their great service. They helped us get the car we wanted and in the price range we were comfortable with.

Really appreciate their work.",5.0
6,"May 26, 2020","Trish Scheffer was great! She was very informative and helpful with our car purchase. Would totally recommend her to our friends! And, we love our new Honda Civic Sport! The Finance guy was great too!",5.0
7,"May 26, 2020","Trish took us thru the process and was pleasant and courteous at all times.
Went over fine points of the car and set up the phone etc.. Over all class dealer
even in these trying times   .",5.0
8,"May 21, 2020","Great people, great service. Very nice, friendly, knowledgeable, patient, polite, specially Trish and Josh, wonderful. They helped me to get the right car. Highly recommended.",5.0
9,"May 13, 2020","I was buying my leased vehicle as my lease was expiring. Trish Scheffer and Joshua Scruggs were magnificent. They answered every question that I had. My doctor did not want me going to the dealership due to the virus, so the dealership came to me. within 24 hours they secured a car loan, picked up the car  for inspection at the dealership and returned the car to me the same day and all the paperwork was completed within that 24 hour period.no one believes me when i say 24 hours from start to end!!  Trish and Josh are amazing and very informative. Seek them out when you go to Round Rock Honda.",5.0
10,"May 11, 2020",Mr. Scruggs was very informative and very patient with me. He truly helped me narrowing down my options. I never felt pushed to make a decision on anything. I ended up leasing an awesome CRV. I love this car 😊 ,5.0
