,Date,Reviews,Ratings
0,"May 17, 2020",Great team! Very informative! Process was easy and pleasent. I got a great car for a great price. Thank you for everything! God bless you all!,5.0
1,"April 25, 2020","Chris our salesman was very responsive and transparent, as was his manager.  We were able to get a lot of the upfront negotiating done in advance.  ",5.0
2,"April 19, 2020",I had a really great experience at Big Star and my sales rep Andy Garcia answered all my questions and she was very friendly/helpful. ,5.0
3,"April 19, 2020",Great experience! Honda is the best if you want a new or use car. They helped me to get my dream and gave me great deals. ,5.0
4,"April 16, 2020","Alex Garcia and Danny Tran were magnificent to work with.   Helpful, friendly, attentive and really worked with me to get the best deal on a new vehicle, best value for my trade-in and great financing.  Both of these gentlemen were a real pleasure to work with.  I highly recommend both Alex Garcia and Danny Tran.  ",5.0
5,"March 10, 2020","Our experience at Big Star Honda was outstanding! After looking for a vehicle online I called Big Star to see if it was still for sale. 
Lee Creech answered said come on over, it was parked and waiting for us ten minutes later. Test driving was a breeze and service was excellent! Our plans were to take a test drive and think about our options but Mr Creech not only sold us our new family vehicle but earned our business! Thank you Big Star for your outstanding service!",5.0
6,"March 03, 2020","This was my third time leasing a car from Big Star Honda, AND the best experience, by far. Your representative Andrea Garcia is irreplaceable. TOPS",5.0
7,"February 25, 2020",The employees at Big Star Honda treat you like family. The salesmen are very communicative about every step in the buying process. Any concerns or second guesses are thoroughly explained. Southern hospitality is an absolute part of the culture here. The trust is earned and real deals are made. I made the right decision buying from here. ,5.0
8,"February 15, 2020",Very nice facility and friendly Starr. Art “Cowboy” was extremely easy to work with. Honest man and honest company.  Went out of their way to give my son a great deal on his car.,5.0
9,"February 08, 2020","I got a pretty good deal! Ruth is awesome! She has heart and worked hard to get me close to my budget price. Thanks, Ruth!",5.0
10,"February 08, 2020","I drove out from Austin and got a great deal, and excellent service! I even forgot my phone charger at home and Sam gave me one of his! Super nice folks!",5.0
11,"January 31, 2020",Sam Brady is a good Salesman.  He made a good car buying experience.  I would work with Sam again in the future.  Good job Sam!,4.0
12,"January 22, 2020","Saturday, I made appointment for  Sienna 2016 test drive on MONDAY. Before coming, I called  to make sure it is still there. Sales (known name) confirmed that it is  in stock and ready for test. I drove for one hour to dealer.. Sales who was on phone did not show up  . Other sales  came out and informed that car was sold on SATURDAY !!

I will  never  take a look to this dealer website.  Not recommended",1.8
13,"January 20, 2020","Great experience, fast and easy. Our sales person (Ruth) was very helpful and had a smile the entire time, eventhough I changed my mind on which car to choose from. Overall great experience as usual and would recommend Big Star to anyone looking to purchase a car. ",5.0
14,"January 19, 2020","Great experience overall, sales, service, financing.  Highly recommend sales rep, Chris Tran; and Janet Chang, finance manager.  We were in and out less than 2 hours.  Despite resistance to negotiate on our Navigator price and our trade-in, they compromised and worked with us to fair price for both!",4.0
15,"January 10, 2020",We purchased a certified pilot. They could have explained the certification better. They also took way to long with the transaction. We were also missing a remote for the dvd. We were promised to receive it on the mail and 3 weeks later never came. It the little details that makes a difference in the buying experience. Given them a rating of 3 because the car was price better than other places. ,3.0
16,"January 06, 2020",Thank you for getting my second vehicle! Thank you Jason! I appreciate the effort you gave us. This is a top rate dealership in Houston.,5.0
