,Date,Reviews,Ratings
0,"June 12, 2020","Feel like I am being ignored. Small chip I asked to see if it I can get repaired  and I can’t seem to get anyone to answer me. Talked to Nik sales, Ron new sales manager  and left a voicemail. ",1.0
1,"May 26, 2020",We have been very pleased with the service and friendliness at Howdy Honda!  Edward Kwak has been wonderful at helping us buy/lease cars there.,5.0
2,"March 05, 2020","Would like to take a minute to thank Bill Wright for his assistance in the purchase of my new vehicle! He was very patient and courteous throughout the whole ordeal. Once again thank you! 

Best, 
C. Martinez
",5.0
3,"February 27, 2020","My husband and I had a very good experience at Howdy Honda. We leased a 2020 CRV LX. and our sales person Carina was so helpful, courteous, and knowledgeable.
We have been driving Honda's for may years we love them. She was so patient and by the time we left the dealership it was dark and she drove us home.Definitely would recommend her to other customers. ",5.0
4,"February 13, 2020","Thanks to Steve Gonzales, our grand daughter is Very Happy with her new car. He helped us so much and was very courteous. He was very patient in explaining everything to her. This is the 4th Honda we have bought from howdy Honda and Steve was a big part in all. It was a pleasure to deal with him.",5.0
5,"February 01, 2020",Carina Al-ger helped us find my son a good deal on a new Honda civic.   She was knowledgeable  and was very patient with us.  Thank your Carina!,5.0
6,"January 26, 2020","I recently purchased a new Accord from Howdy Honda.  I worked with DeJohn Reeves who provided a great purchase experience. He was very patient, professional, and personable--not pushy at all.  He listened carefully regarding our preferences and he was very considerate of our needs. A couple of weeks after purchasing the car, I contacted DeJohn about replacing the rear window tint (which was very dark) with a lighter one.  He was extremely accommodating in making arrangements for that and Oscar did a great job with the removal of the dark film and the installation of the lighter film.  I give DeJohn, Oscar, and the dealership an enthusiastic 5 starts for a great overall experience. ",5.0
7,"January 03, 2020",Bill was really helpful! He was not pushy and was open to negotiations. Definitely would recommend especially for a first time buyer. The whole experience was great!,5.0
8,"December 03, 2019","I Have To say  Thank You Thank You Thank You, To Steven who took awesome care of me!!! He put me in the car I wanted and took great care of me, Thank you Mr. Steven Mobley  I will definitely send anyone who needs a car to Howdy Honda and best believe they will be asking for Steven ,,😎😁😁",5.0
9,"November 28, 2019",I have been a Howdy Honda customer for over 20 years. Steve Gonzalez  is an excellent person to work with each time. He is very professional and knows every aspect of the vehicle. I recommend him to everyone who wants a new car!,5.0
10,"November 19, 2019","I had gone there before, no luck. I guess they changed managment, this is was a completely new experience. Ed did an outstanding job.I will definitely tell others and will buy from him again ",4.8
11,"October 31, 2019","Mark K. was a pleasure to work with. He made everything easy. I would definitely recommend Mark to friends and family! 
Thank you to Mac too! ",5.0
