,Date,Reviews,Ratings
0,"March 11, 2020","Accepted a price emailed from sales manager and set an appointment to come in and purchase the vehicle. Met the sales manager and he appointed a sales person to go over the car with us. After getting home and going over the contract, realized the car was priced $650 more than agreed amount. I should have payed closer attention to the numbers and didn’t want to argue over it and was going to forget about it. Over the next couple of days and several reminders from the dealership to fill out survey and give them all 10’s I explained after overpaying I didn’t feel they earned it. The sales manager did not think I understood the figures on the contract and had the gentleman from finance call me to explain. After receiving a voice mail from him I called back and explained it to him on his voicemail. Never heard from anyone at the dealership again. On the two week anniversary on the purchase of the vehicle the screen on the dash indicated there was an updated for the system. It would not download and stated to see dealership. I called the service department at Gilman and was informed I would have to schedule and appointment and drop the car off. Went by the dealership talked to the salesman, he talked to the service department and confirmed even though I was right there with the vehicle I would have to make an appointment and drop the car off. This seemed inconvenient so I called Honda Car of Katy which is a few miles from my house. After explaining the issue with no questions the gentleman said to bring it by the next morning and they would look at it. This made me realize I may have chose the wrong dealership. Today received letter from Wells Fargo with details of purchase. After turning down wheel and tire protection at least three time to the gentleman in finance he stated he would throw it in for free. No where on the contract at the dealership did it list tire and wheel protection. The letter from Wells Fargo has it listed as an add on item for $1,049.00 charge to the loan. I have now started a claim with Wells Fargo and plan on contacting the Better Business Bureau.",1.0
1,"February 20, 2020","If I could give this dealership 100,000 reviews of 0 stars, I would, every single day, for the rest of my life. 

DO NOT COME HERE. FOR ANYTHING.

I brought my 2002 Honda CRV in because it was having issues starting. They charged me the diagnostic fee, I said ok, they said they'd figure out what was wrong with it.

It took them four days to figure out what was wrong with it. Up to this point, I'm still fine. Maybe it was something really complicated, who knows. So the service rep calls me back and quotes me at 900$ to replace the starter, and then says oh, you also need all of this other extra stuff (as dealerships often do). I said oh, that's a whole lot, please let me call you back soon. 

I called my family mechanic, who quoted me for 250$ less, and decided I would take my car to him. I called the dealership back within 15 minutes, no answer. Called again, no answer, so I left a voicemail saying hey, please don't do anything to my car, I'll be by to pick it up tomorrow after I get off of work.

The next day, I got a call from the service rep saying they went ahead and replaced the starter, and my total would be 980$. Of course, I was pissed, because I had never said yes, please fix my starter. When I came in to pick up my car, this customer rep tried to say TO MY FACE that I authorized the work. I demanded he bring up the audio recording of our phone convo (because you know they have to record everything) where I approved the work, and he shrank back and knocked 200$ off my price. I should have just refused to pay and taken my car back at this point, because THIS IS WHERE IT GETS WORSE.

I got back in my car, turned it on, and my SRS light was on. It had never been on before, not until I took it to the dealership, so I immediately turned around, walked back in and said, ""........Why is my SRS light on? If y'all messed up something else in my car, you need to fix it."", to which I was responded with ""Well, we can run a diagnostic on it, but it will cost"" at which point I just walked out.

Fast forward to today, when I took my CRV to the Clear Lake dealership to have the SRS light looked at. They quoted me TWO THOUSAND AND FOUR HUNDRED DOLLARS to fix the damage this dealership did to my car. I can't even begin to explain in English words how upset I am right now at this dealership. Probably the worst experience I've ever had paying for anything, ever, and then they ruined my car (for those of you that don't know, they basically killed my car's safety system, so the airbags will not deploy if somebody hits me). I can't afford to get a new car right now (because I just paid y'all at Gillman 900$), I can't afford to fix my car's airbags, and my car inspection is due at the end of this month. 

Tl,Dr;
I took my car to Gilllman to be looked at, they kept it for a week, and charged me an exorbitant amount to break my airbags while doing work I hadn't authorized, so now I drive a deathtrap that I can't make street legal, and if I get pulled over, I'll get arrested.

Thanks Gillman Honda. I really hope someone at your company reads this and actually does something about it,
because literally,
what the xxxx
",1.0
2,"January 21, 2020","My mother-in-law dropped our 2016 Honda Odyssey off because the check engine light had come one.  They responded back to her and told her that a purge valve solenoid needed to be replaced at $537 and they recommended a $222 engine carbon cleaning.

When I researched what they recommended, I couldn't believe the prices they were charging.  I watched someone on youtube replace the same solenoid in less than 20 minutes and the part costs around $70.  It's one thing that they charge $145 per hour shop rate.  But to think that they wonted $537 was over the top.  Carbon Cleaning, who has heard of this.  I bought a Honda because of the reliability.  Carbon Cleaning, I consider this a total scam and hope everyone looks out for this, I have had cars that have gone over 200,000 miles and no one every recommended Carbon Cleaning!

Picked up the car and they charged me a $145 diagnostic fee.  Really, if they wanted to keep me as a loyal customer, they would tell me what is wrong with my vehicle and help me fix it a reasonable price.  I can go to any parts store and they'll run a diagnostic test for FREE.  

Worst yet, I drove off their lot and there is not check engine light on.  Yes, they most likely reset the light, but is has been a long  weekend running the vehicle and no check light.  Was it a fluke, did they even check the solenoid to see if it was faulty?

In my opinion, BAD, BAD customer service philosophy.  Treat people fare and honestly and they will stay will you forever.  Treat them poorly, leaving someone with the feeling of being taken advantage of, not only will you loose their business, they will tell as many other people of your failures.

Gillman Honda will NEVER earn my business.  I will drive or trailer my HONDA ODYSSEY to another Honda dealer and explain to them exactly why before they work on my vehicle.  Hopefully all Honda Dealers aren't the same.

Sgt. Bill Pailes",1.0
3,"January 06, 2020","Worst customer service experience after my car got totaled and needed assistance settling with my insurance company, no response to any phone calls or emails for 2 months. I paid interest on a car loan due to poor service. Would not recommend. ",1.0
4,"December 05, 2019","Great dealership. Helped me get a new CRV. Very helpful and informative. Honest friendly fair  staff
Thank you Mr s.Ghazi for your help & patience 
",5.0
5,"October 30, 2019","A used car was posted online for $5,700. I chat online and confirmed the price for $5,700. Besides, I requested an online appraisal for my car and immediately they gave me a range of what they could pay for mine, So I went (from far away) and after spending more than 3 hours, they gave with this paper with a totally different price for their car ($11,995) and an appraisal for mine almost $1,500 below the minimum price provided in the online appraisal.
I decided to talk with the manager and no surprise, I found a rude and disrespectful woman that could not even apologize for their mistakes or wasting people's time. It was clear she cares only for numbers, not for treating customers right. 
I don't recommend this dealership. Definitely, the worst experience.",1.0
6,"September 03, 2019","My husband and I were referred to this dealer. We purchased 2 vehicles on Friday 08.30.19, I didn't think we were going to find what we wanted at our preferred numbers but we did.  We are very happy with our choices. Chris, Erick, & Chris Nguyen worked very hard to our expectations to get us to seal the deal.

Thank You!",5.0
7,"August 12, 2019",Great dealership. Helped my daughter get a new CRV. Very helpful and informative.  Honest friendly fair and goes above and beyond.  Thank you for being there for us,5.0
8,"August 10, 2019","Wanted to test drive Toyota sequoia which hadn't been cleaned and wouldn't start. Jose, my salesman was going to let me drive until it wouldn't start, then dumps me by telling me has an appointment waiting. ",1.0
9,"August 09, 2019",I booked a reservation to have my honda clarity re-calibrated for the lane departure systems due to a windshield replacement. During the appointment scheduling they took down all details about the claim with the insurance etc to file against. When I go to the appointment they are like I don't even have this appointment. Then they figured that they made the appoint against my old car which I don't even own. Then the service guy out right denied they ever file a claim with the insurance and that I have to pay out of pocket and file with the insurance myself. He won't even let me even talk to the manager. The way he talked made me realize that this is not a place you should even walk into. It doesn't feel safe to leave you car in such a place. I just took my car out of there as soon as possible. ,1.0
10,"August 08, 2019",Bad experience I service am change the oil and filter the people don’t care I send only one star the people don’t care ,1.0
11,"August 05, 2019",I had a paint issue with the roof of my 2014 Honda Accord.  I talked to the GM and he immediately stepped in and helped me resolve the issue. I recommend buying a car from Gillman.,5.0
12,"July 29, 2019","I made an appointment for A/C repair and my car is still under warranty. I got there 10 minutes early, the service advisor refused to serve and told me to wait until the exact time for appointment, then let me wait like 30 minutes more because he was busy on the phone with somebody else. After checking my car, he contacted me and said they need to replace new A/C compressor but unfortunately that part is out of stock. He said he didn't know how long I have to wait for that part is shipped. 
Two days later, he called me and said it will take one week to ship. After a week sweating without A/C, he hadn't contacted me so I called him and asked about it, he didn't even apologize but also said that I gotta wait much longer and do not know how long. While I bought my car brand new 2017 from them, there is no ways a large dealer like this take forever to ship A/C compressor. Then, I decided to go to other dealers to get my car fixed. 
Went to Spring Branch dealer, dropped off my car early from morning and got it done completely in one day.
Never go back here again!!!",1.0
13,"July 19, 2019","I made an appointment for my wife's car to do some warranty work.  When I got there, the tech couldn't figure out what the recall was or why I was there (even though the tech that made the appointment noted both).  Then they charged me $150 to tighten the oil cap because it wasn't covered under the warranty.  To top it all off, they said the issue I brought it in for wasn't broken so they wouldn't fix it.  If you want to throw your money away, you can go there.  My wife always took her car there for regular maintenance, but never again.  Ironically, I'm in the market for a new lease and my old lease was with Gillman.  They just lost a customer over $150.",1.0
14,"July 19, 2019",This is a third time i have had bad experience at Gillman Honda. This time i got Service Director involved due to bad behavior and attitude demonstrated by one of their employees. She would not apologize or offer any compensation despite absolutely terrible customer services and rip-off prices even though i had pre-paid maintenance contract. Honda should take away the dealership license as they don't know the meaning of customer services.,1.0
