,Date,Reviews,Ratings
0,"June 05, 2020",Elias provided outstanding service after pin pointing an electrical problem covered by extended warranty.   He scheduled an appointment & resolved the matter!  Outstanding! Thank You! Graciela,5.0
1,"May 18, 2020",Great and friendly customer service. Geoffrey was a great help while I get oil changed. Was faster than I thought it was gonna be! Thanks to everyone at Fernandez Honda for always be great! ,5.0
2,"August 20, 2019","Fernandez Honda showed great concern for customer satisfaction and were very helpful in addressing any issues that I had with my used car purchase. The new car sales manager, Gilbert Martinez, was particularly attentive and quick to respond to my calls. I am very grateful to the company for the excellent follow-up service that was afforded me after my purchase was completed. I would definitely recommend Fernandez Honda to anyone considering buying a vehicle.",5.0
3,"July 31, 2019","I was in the market for a new vehicle and went through several sources and couldnt decide.  A friend recommended I go see her salesman over at Fernandez Honda.  Joe Campos was very professional and made my experience wonderful.  It was the best decision I could make.  Thank you to all the staff at Fernandez Honda, especially Joe Campos, I will be back when my daughter needs a car!!!  ",5.0
4,"July 31, 2019",I had an amazing experience at Fernandez Honda.  Joe Campos was my salesman and Ak my finance guy.  Joe made the experience smooth and easy with no pressure.  I would recommend buying a car here and will go back when I am in the market again!!!,5.0
5,"July 31, 2019","I had the best experience in leasing a vehicle with Fernandez Honda. I went online and submitted my request through Honda's website and typed one of San Antonio's zip codes. Within minutes Kevin Elias called me about my new car request. I told him exactly what I was looking for and he immediately started working with me. I was doing all my negotiations with him via cell phone. I reside in Corpus Christi and was looking for the best deal. Kevin Elias informed me about a leasing promotion Honda was offering and I was listening because this was in my price range. During the negotiations, I spoke with him very briefly because I was at work and just needed the best deal out there. I had done my homework and knew what vehicle and monthly payments I was was willing to accept. I was amazed by Kevin Elias prompt response. When I showed up to pick the vehicle, all I had to do was sign the paperwork. Everything was ready. I never wasted any time with negotiations and so forth. They were very straight forward. My experience was a breeze. The drive to San Antonio was worth my time and money. The kind of deal Fernandez Honda made me was exceptional. I could not have made the same agreement with the dealer in my own town. 
 Thank you Fernandez Honda for working with me so efficiently.

",5.0
6,"July 12, 2019","Recently had a dead battery on my 2013 Honda Accord. The battery went dead in my garage and I did not have a set of jumper cables, the battery was under warranty. I called Joe Yracheta (service consultant) at Fernandez Honda and explained my situation. He said no problem, bring in the battery and he would take care of me. I did and he took great care of my situation. I left about 30 minutes later with a new battery. Great service!
Alan",5.0
7,"June 22, 2019","We bought a new 2019 Honda Pilot from Fernandez Honda over the weekend. Our Sales Consultant, Kevin Elias was amazing with a friendly and professional attitude. He went above and beyond to get us the competitive price and help accommodate our schedule. George is very knowledgeable about the Honda Vehicles and we had a wonderful customer service with all the staff. I highly recommend Fernandez Honda to all!.",5.0
8,"May 29, 2019",Kevin Elias did an amazing job at knowing his product. I would recommend  this dealership to anyone who is looking to buy a car. It was the best experience i ever had.,5.0
9,"March 17, 2019",every time I go into the dealership to have my car serviced everyone is so friendly. JC Santibanez is extremely helpful and is so nice and always has my car ready when promised. I always go to him when having my car serviced.  I always leave a happy customer because of him. Thank you JC for the excellent customer service you give my wife and I when we go. Definitely an awesome dealership! ,5.0
10,"February 02, 2019","I purchased a pre-owned vehicle from Fernandez Honda on 31 Jan 10.  The sales consultant (Remi Vitales) was both friendly and professional.  He was good to work with and met my needs/desires completely.  The business manager (Oscar Fernando) was also professional, friendly and a real pleasure to work with.  He also met my needs/desires and was eager to go out of his way to provide assistance.  These two individuals should be commended for their work.  I'm fully satisfied with the vehicle I purchased.  However, the service personnel should check wiper blades prior to placing a vehicle on the lot.  Replaced all of the wipers myself because two of the rubber wipes were separating.",4.8
11,"January 04, 2019","I was impressed.with not only the quality of the vehicles here, but also the great customer service. I called to set up an appointment to see the car I wanted, and Fernandez Honda had the car ready when I arrived. They worked with me to get the best deal possible on the 2018 Honda Accord Hybrid. ",5.0
12,"December 02, 2018",My experience with Ruben F. was Great!  I am definitely going back to Ruben when I’m ready to purchase my pilot .  He was a professional and assisted me with no pressure.,4.6
13,"November 30, 2018",I went in not really knowing what car to get. The staff made sure they understood what I was looking for and gave me options. I really liked that he was patient and didn’t pressure me into anything I wasn’t sure of. ,4.8
14,"November 30, 2018","I had a very pleasant experience at Fernandez. Julian, the salesman, was knowledgeable about the car I bought, although not a Honda. Oscar, in finance, was very informative and nice.",5.0
15,"November 30, 2018","I had a friend who bought a car from here and told me to check them out. Sure enough, she was right. Julian helped me out and made sure I had everything I wanted in a car. I definitely recommend!",5.0
16,"November 30, 2018",Very transparent with pricing and great customer service. Was able to handle just about everything online. Will definitely recommend to family and friends. Ask for Alyssa,5.0
17,"November 27, 2018",Drove from out of town to purchase our new vehicle. Definitely worth the drive thank you to all Fernandez Honda staff for the pleasant experience ,5.0
18,"November 21, 2018","Our experience was great.  Used vehicle cash purchase.  Our salesman was not pushy; very professional.  Finance was great, even when paying cash.  I would buy from this dealership again.",5.0
19,"October 31, 2018","I came in looking for a New Accord and Michael greeted me, from the beginning to end everything went great, I bought the Accord I had been wanting and thanks to Michael. ",5.0
20,"October 31, 2018","Had a really great time looking for a used vehicle at Fernandez Honda, Michael Esteves helped make it an easy and great experience, I would recommend my family and friends to Fernandez Honda.",5.0
21,"October 31, 2018","Had looked everywhere for used Accord and couldn’t find the right car, I walked into Fernandez Honda and Robert was there to great me. He showed me a Accord that looked new. I knew instantly it was going to be my car. ",5.0
22,"October 31, 2018","I had a great experience with Robert, he showed us everything the Pilot did. Was really impressed with the new Honda’s and the technology behind them. ",5.0
23,"September 30, 2018","Fernandez Honda and Michael made my car buying experience great, Michael Helped me pick out my new civic and I couldn’t be happier! Check them out!",5.0
24,"September 30, 2018","Michael Esteves was awesome, he did a great job helping me and my family pick out or new car, I would definitely recommend Fernandez honda to my fiends and family!",5.0
25,"September 29, 2018",Liz was easy to work with she made our buying process very easy and they had a great selection to choose from. Danny the manager was very friendly and introduced himself upon our arrival and congratulated us when we left with our new vehicle.,5.0
26,"September 29, 2018","I will be visiting Fernandez Honda again soon, George was very helpful and informative. He gave me all the information i will need to make a good decision",5.0
27,"September 13, 2018","I feel very deceived, The finance team are just money hungry, don't be pressured to choose packages! I do not reccomend Fernandez Honda they are not what they promise and will up-sell or over-sell to you from the Start. I 100% regret my purchase, they offer no support to their customers after the sale. Beware! ",2.2
28,"September 03, 2018",Fernandez Honda was a great place they were very helpful with every question. The staff was kind and knowledgeable about all the vehicles on the lot! Thank you so much.,5.0
29,"August 31, 2018",This dealership is really good at what they do. I’m always happy with the way they treat people. Will for sure recommend them to everyone else,5.0
30,"August 31, 2018",I had a really good experience looking and purchasing my new Accord. Michael helped make it quick and easy. check out Fernandez Honda and Michael.,5.0
31,"August 03, 2018","Devin was excellent when I brought my 2012 Honda CRV in for service. He kept me apprised on every step of the repair process keeping me informed about my vehicle. Being in a wheelchair, it is not easy for me to have my car serviced but Devin did an excellent job by providing me detailed information at every step, understanding my time constraints and especially making me feel like a valued customer. Excellent customer service performance Devin!",5.0
32,"August 01, 2018","Margie was very helpful,  friendly and professional. Will be referring her to my friends for assistance. She answered all my questions and more.   My experience was not a headache like in the past.... Thank you ",5.0
33,"July 31, 2018",Thanks to Margie for helping me get the deal done and taking care of all my concerns and needs. That I had about my new accord.,5.0
34,"July 31, 2018",I had a easy time finding and picking out my used vehicle. Great customer service. Michael was awesome. I would recommend Michael and Fernandez Honda to my friends and family.,5.0
35,"July 30, 2018","I am buying for the third time at this dealership. Everyone is friendly, Ruben Fuentes has been my salesman for the second time now. he reassures that you get anything you want in a car and will make sure that you are satisfied with your purchase. ",5.0
36,"July 29, 2018","From beginning to end the experience was amazing.  Everyone took thier time to explain and go over information thoroughly.  

George was an outstanding saleman.  Fabian got the deal done and Don wrapped it up quickly.

I will definitely return to Fernandez Honda.",5.0
